Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.2337382564150725,0.06917087761265099,0.12044657909407255,0.0038956376069178753,0.0011528479602108499,0.002007442984901209,0.03364053557607957,0.09432849006976217,0.10576923076923077,0.0,0.12044657909407255,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,On,2931.560884102564,21.111111111111143,0.8005208676345466,0.0,3.5299412764632168,0.10576923076923077,1,2825.791653333333,2825.791653333333,Off,0.0,0,47.01872756915935,51.666666666666686,46.10666666666668,0.0,52.10416495132642,0.0,0.0,0.0,73.46676182681149,52.12380486442677,52.133624820976955,52.10416495132642,12.43753247303448,21.050855732866616,0.0,7.161627763293363,2.8,9.236100170605994,2808.9625119807633,-555.0759089240581,-372.6159908254965,-0.0,-0.0,256.14852472399104,0.0,2.0,0.0156660895474945,0.0,0,0.7731653075759128,131.99922844444444,-6.130906020295008,0.24069311380533964,10.701409220114094,0.003658829985605273,38.69443433194461,1.2134440548473047,0.10040510001384138,-570.718595998741,15.642687074682883
2025-01-01 00:01:00,0.2337382564150725,0.06917087761265099,0.12044657909407255,0.0038956376069178753,0.0011528479602108499,0.002007442984901209,0.03364053557607957,0.09432849006976217,0.10576923076923077,0.0,0.12044657909407255,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,On,2931.560884102564,21.111111111111143,0.8005208676345466,0.0,3.5299412764632168,0.10576923076923077,1,2825.791653333333,2825.791653333333,Off,0.0,0,46.79167598554708,51.666666666666686,46.10666666666668,0.0,52.09381376993305,0.0,0.0,0.0,73.11199372741731,52.11403707487664,52.12414872734844,52.09381376993305,12.43753247303448,21.191117478431384,0.0,7.184786767440807,2.8,9.236100170605994,2799.7609938706155,-558.3070616054641,-377.0772791102729,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015732748281838696,0.0,0,0.7764551024341386,131.99922844444444,-10.87113584566682,0.23937218132470447,10.78784443372967,0.0036595425488717575,38.382609162489736,1.2164082311724835,0.10042565952101612,-573.8664336130277,15.559372007563525
2025-01-01 00:02:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,46.572583703768444,51.666666666666686,46.10666666666668,0.0,52.083512830971586,0.0,0.0,0.0,72.76966203713819,52.10431645359754,52.11471826491053,52.083512830971586,12.43753247303448,21.32616657571178,0.0,7.206277984259796,2.8,9.236100170605994,-140.8018699437591,-561.33481543926,-381.3928419823685,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015796807335698066,0.0,0,0.7796165957940513,131.99922844444444,-15.557552685381644,0.2374427150674022,10.847765584021866,0.0036602476474350194,38.081639867468574,1.2158498605688388,0.100444734678149,-576.7886694041501,15.453853964890186
2025-01-01 00:03:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,46.78417282697865,51.666666666666686,46.10666666666668,0.0,52.07326037977575,0.0,0.0,0.0,73.10027004215414,52.09464134710396,52.10533183076807,52.07326037977575,12.43753247303448,21.17664520531332,0.0,7.22624865889539,2.8,9.236100170605994,-137.4808772309967,-564.175465929503,-376.615977625662,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015725876408578546,0.0,0,0.7761159562811245,131.99922844444444,-17.013424329325666,0.23967636083453925,10.783324644722356,0.0036609475383861763,38.340857266811646,1.2164670138641052,0.10046245698710857,-579.5050908199202,15.329624890417154
2025-01-01 00:04:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,46.98730753741179,51.666666666666686,46.10666666666668,0.0,52.06296153246597,0.0,0.0,0.0,73.41766802720592,52.08492228455003,52.09590266059207,52.06296153246597,12.43753247303448,21.03266690897925,0.0,7.244826623683667,2.8,9.236100170605994,-132.79528443882438,-566.776533784455,-372.039019657049,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015657435864679062,0.0,0,0.7727382241409958,131.99922844444444,-16.90478950576643,0.24185145570834932,10.720933000847708,0.0036616518359211593,38.58983028089023,1.2170618586320134,0.10047894057572682,-582.0328871034853,15.256353319030389
2025-01-01 00:05:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,47.182380225839445,51.666666666666686,46.10666666666668,0.0,52.05261815254537,0.0,0.0,0.0,73.72246910287413,52.07516102227687,52.08643245714263,52.05261815254537,12.43753247303448,20.893974134569657,0.0,7.262137579683657,2.8,9.236100170605994,-127.16984733051387,-569.2095482806234,-367.651306176901,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015591377834843115,0.0,0,0.769478075729286,131.99922844444444,-15.66706587760389,0.24396961209745596,10.661122092581753,0.0036623603604704013,38.82900210250272,1.2176353951155539,0.10049429755764222,-584.3889930516717,15.179444771048376
2025-01-01 00:06:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,47.36974932212225,51.666666666666686,46.10666666666668,0.0,52.04223201702948,0.0,0.0,0.0,74.01523331581602,52.065359235109355,52.0769228441493,52.04223201702948,12.43753247303448,20.760331691421758,0.0,7.278283669209836,2.8,9.236100170605994,-121.46773119335032,-571.4782032129885,-363.4431148294805,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015527603795188796,0.0,0,0.7663306486170379,131.99922844444444,-14.173141087860827,0.2460322933253509,10.603139873814065,0.0036630729405078503,39.058777304357086,1.218188537141406,0.10050861904247504,-586.5871671569756,15.108963943987076
2025-01-01 00:07:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,47.549830436020294,51.666666666666686,46.10666666666668,0.0,52.03180482392995,0.0,0.0,0.0,74.29661005628171,52.05551852341122,52.06737537315187,52.03180482392995,12.43753247303448,20.631466526897633,0.0,7.29335811806866,2.8,9.236100170605994,-115.97949712292171,-573.5952368068308,-359.4037510162111,-0.0,-0.0,256.14852472399104,0.0,2.0,0.015465995905031631,0.0,0,0.7632901270370954,131.99922844444444,-12.724270830701613,0.24804171280883572,10.547499312825277,0.0036637894118463237,39.2796410098214,1.2187223612006055,0.10052198814668965,-588.6399783250655,15.044741518234703
2025-01-01 00:08:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,47.72302918902378,51.666666666666686,46.10666666666668,0.0,52.02133817965913,0.0,0.0,0.0,74.56723310784965,52.0456404012064,52.05779151198004,52.02133817965913,12.43753247303448,20.50711210260644,-0.10399900850470445,7.307444823025154,2.8,9.236100170605994,-110.7468791742867,-575.5728590313367,-355.5229444285175,-0.0,-0.0,256.14852472399104,0.0,2.0,0.01540643817126136,0.0,0,0.7603507864052541,131.99922844444444,-11.37245946976019,0.25000016987624735,10.494069320977438,0.0036645096189763266,39.492071007767684,1.2192379225648664,0.1005344796417437,-590.5587456568423,14.98588662550562
2025-01-01 00:09:00,0.12796902564584176,0.06917087761265099,0.0,0.0021328170940973627,0.0011528479602108499,0.0,0.03364053557607957,0.09432849006976217,0.0,0.0,0.0,0.0,0.06917087761265099,0,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.015149013157894735,0.0,On,0.01849152241818484,0,On,0.002100653252894153,0,On,0.0545675623756451,0.04092567178173381,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,2825.791653333333,Off,0.0,0,47.88971749665,51.666666666666686,46.10666666666668,0.0,52.0108336012325,0.0,0.0,0.0,74.82768358851563,52.03572629825397,52.048172646764705,52.0108336012325,12.43753247303448,20.387024070322877,-0.22408704078826602,7.320619453677997,2.8,9.236100170605994,-105.75253999097222,-577.4216505704926,-351.7913186025409,-0.0,-0.0,256.14852472399104,0.0,2.0,0.0153488240622429,0.0,0,0.7575073690875551,131.99922844444444,-10.109746112422329,0.25190979482986486,10.441476051124592,0.0036652334149004846,39.6965060710226,1.2197361897048635,0.10054616094339346,-592.3536850143164,14.932034443823792
