Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.41503229085173854,0.27979290301492893,0.0,0.0069172048475289755,0.004663215050248816,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.026890436417340593,0.0,0.0,0.27194985905987124,0,0.007843043955057676,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.17425302853538,21.111111111111143,3.0076989255507494,0.0,0.026890436417340593,0.0,-6.704083691490664,0.9171090311278535,1,404.3916836001302,404.3916836001302,Off,0.0,0.0,30.393253858439046,51.666666666666686,46.10666666666668,0.0,50.41052938486908,0.0,0.0,0.0,30.393253858439046,48.62605885495444,50.41052938486908,47.73382358999712,12.43753247303448,22.55589234068586,0.9447812295747156,2.8,-97.34988084748699,-501.384540015779,-0.0,-32.96875267261948,761.6712688920695,0.0,6.0,0.01947406592151805,0.0,0.001280525448344719,0.3862103802404266,395.9976853333333,46.20340809151888,0.252728776931412,11.929821777707666,0.0042155063266838795,157.8715872344371,1.2068637750577862
2025-01-01 00:01:00,0.41500452978683955,0.2797848060376667,0.0,0.006916742163113992,0.004663080100627779,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.026862675352441575,0.0,0.0,0.27194985905987124,0,0.007834946977795463,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.22086018324896,21.111111111111143,3.013079838172813,0.0,0.026862675352441575,0.0,-6.718525320574525,0.9169931266619618,1,404.69692751911737,404.69692751911737,Off,0.0,0.0,30.39223106981402,51.666666666666686,46.10666666666668,0.0,50.40561325657445,0.0,0.0,0.0,30.39223106981402,48.62179341640708,50.40561325657445,47.729883496323396,12.43753247303448,22.552486766499605,0.9413756553884625,2.8,-101.24191708080394,-501.2575143541886,-0.0,-32.91158902119892,761.6712688920695,0.0,6.0,0.019472488891585052,0.0,0.0012785255747146155,0.38614381967748557,395.9976853333333,42.36021831875888,0.2535853017152278,11.955202075283381,0.004216608470861765,157.7478229554417,1.2104023182972174
2025-01-01 00:02:00,0.41500446676591163,0.27978478765656273,0.0,0.006916741112765194,0.004663079794276046,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.02686261233151363,0.0,0.0,0.27194985905987124,0,0.007834928596691479,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.21133488470323,21.111111111111143,3.0130920802446557,0.0,0.02686261233151363,0.0,-6.72818958606291,0.9168738681125683,1,404.6976223538307,404.6976223538307,Off,0.0,0.0,30.391474177343312,51.666666666666686,46.10666666666668,0.0,50.40069742569185,0.0,0.0,0.0,30.391474177343312,48.61752812139953,50.40069742569185,47.72594346925337,12.43753247303448,22.54885280376417,0.9377416926530273,2.8,-104.87256957217704,-501.1219840790118,-0.0,-32.85059564992976,761.6712688920695,0.0,6.0,0.019470806050150318,0.0,0.001276390972364214,0.386072783038434,395.9976853333333,38.485415688211205,0.25370688779277845,11.955259824177315,0.004217706531477107,157.64966388939263,1.2104163943209865
2025-01-01 00:03:00,0.41500520878089825,0.2797850040776005,0.0,0.006916753479681638,0.004663083401293342,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.026863354346500303,0.0,0.0,0.27194985905987124,0,0.007835145017729259,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.19992182176219,21.111111111111143,3.0129479485295114,0.0,0.026863354346500303,0.0,-6.737966547147234,0.916751391926164,1,404.6894418445471,404.6894418445471,Off,0.0,0.0,30.3909588110024,51.666666666666686,46.10666666666668,0.0,50.395781852666346,0.0,0.0,0.0,30.3909588110024,48.6132629326155,50.395781852666346,47.72200347259008,12.43753247303448,22.54501136110218,0.9339002499910372,2.8,-108.49899841824839,-500.978731606773,-0.0,-32.78612420945403,761.6712688920695,0.0,6.0,0.019469027070290003,0.0,0.0012741338094663364,0.3859976767546452,395.9976853333333,34.59419761472014,0.25383167392520095,11.954579920968731,0.004218803896059384,157.55230935100596,1.2104313205212107
2025-01-01 00:04:00,0.4150060574972674,0.27978525161987483,0.0,0.006916767624954456,0.004663087526997914,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.026864203062869425,0.0,0.0,0.27194985905987124,0,0.007835392560003585,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.18804686112202,21.111111111111143,3.0127831114209864,0.0,0.026864203062869425,0.0,-6.747970428474921,0.9166258650418883,1,404.6800864479847,404.6800864479847,Off,0.0,0.0,30.390672552047896,51.666666666666686,46.10666666666668,0.0,50.39086650156563,0.0,0.0,0.0,30.390672552047896,48.60899781615882,50.39086650156563,47.718063473455416,12.43753247303448,22.540973078355854,0.9298619672447117,2.8,-109.9829544939031,-500.82815628323414,-0.0,-32.71835397145091,761.6712688920695,0.0,6.0,0.01946715687007171,0.0,0.0012717602261414444,0.3859187066016479,395.9976853333333,32.83252117432253,0.2539595012527952,11.953802350617742,0.004219900569454582,157.4551246182795,1.2104470534034204
2025-01-01 00:05:00,0.415006274736789,0.27978531498140197,0.0,0.00691677124561315,0.004663088583023366,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.026864420302391036,0.0,0.0,0.27194985905987124,0,0.007835455921530723,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.17731123416279,21.111111111111143,3.0127409228560564,0.0,0.026864420302391036,0.0,-6.7582271796557665,0.9164986443272749,1,404.6776920690927,404.6776920690927,Off,0.0,0.0,30.390514802684052,51.666666666666686,46.10666666666668,0.0,50.38595133830369,0.0,0.0,0.0,30.390514802684052,48.604732739876184,50.38595133830369,47.71412344066243,12.43753247303448,22.536824386699642,0.9257132755884996,2.8,-110.12590004199097,-500.67348290718013,-0.0,-32.64873597637683,761.6712688920695,0.0,6.0,0.019465235469946007,0.0,0.0012693209352453176,0.3858375609839078,395.9976853333333,32.41160612031041,0.25408904058552023,11.953603339396718,0.004220996552131298,157.35744396830066,1.2104632392053905
2025-01-01 00:06:00,0.41500721572191646,0.27978558943539744,0.0,0.006916786928698608,0.004663093157256624,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.026865361287518475,0.0,0.0,0.27194985905987124,0,0.007835730375526226,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.16504525061603,21.111111111111143,3.012558197410831,0.0,0.026865361287518475,0.0,-6.768419122501341,0.916370574583367,1,404.6673218655868,404.6673218655868,Off,0.0,0.0,30.39042294750747,51.666666666666686,46.10666666666668,0.0,50.38103634374695,0.0,0.0,0.0,30.39042294750747,48.600467685732355,50.38103634374695,47.710183356725054,12.43753247303448,22.532619085710568,0.9215079745994252,2.8,-110.04657250584529,-500.51671840278715,-0.0,-32.57817333162303,761.6712688920695,0.0,6.0,0.019463287782204713,0.0,0.001266847519090573,0.38575529117736995,395.9976853333333,32.202276589575604,0.2542194635973872,11.952741393933433,0.004222091840245824,157.2605220044268,1.2104796577197854
2025-01-01 00:07:00,0.4150081822650944,0.2797858713438244,0.0,0.006916803037751573,0.004663097855730406,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.02686632783069645,0.0,0.0,0.27194985905987124,0,0.007836012283953135,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.15267430389694,21.111111111111143,3.012370537179876,0.0,0.02686632783069645,0.0,-6.778660095508794,0.9162418345649004,1,404.65667199702864,404.65667199702864,Off,0.0,0.0,30.390383709807097,51.666666666666686,46.10666666666668,0.0,50.37612150806869,0.0,0.0,0.0,30.390383709807097,48.59620264447962,50.37612150806869,47.70624321268509,12.43753247303448,22.528368577472296,0.9172574663611535,2.8,-109.87655647588855,-500.3582885250349,-0.0,-32.506857551647656,761.6712688920695,0.0,6.0,0.019461319085173484,0.0,0.0012643466527431043,0.38567211961589554,395.9976853333333,32.080692228209244,0.25435059582727393,11.951856177159238,0.004223186438887073,157.16371882865997,1.2104962622825475
2025-01-01 00:08:00,0.4150084796641972,0.2797859580852293,0.0,0.006916807994403286,0.004663099301420489,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.02686662522979919,0.0,0.0,0.27194985905987124,0,0.007836099025358102,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.14160848815295,21.111111111111143,3.012312801086932,0.0,0.02686662522979919,0.0,-6.7890706135762855,0.916112521371006,1,404.65339550864616,404.65339550864616,Off,0.0,0.0,30.390389885206393,51.666666666666686,46.10666666666668,0.0,50.37120682341568,0.0,0.0,0.0,30.390389885206393,48.59193760873357,50.37120682341568,47.70230300139252,12.43753247303448,22.524079046682573,0.9129679355714302,2.8,-109.70276115208065,-500.19842439134635,-0.0,-32.43489256654609,761.6712688920695,0.0,6.0,0.019459332241263918,0.0,0.0012618219488198794,0.38558816678960645,395.9976853333333,31.9673293545071,0.25448234283530624,11.951583830186603,0.00422428034873242,157.0663938310674,1.210513027588176
2025-01-01 00:09:00,0.4150094894156858,0.2797862525960802,0.0,0.006916824823594763,0.00466310420993467,0.0,0.0104390572810046,0.0,0.3777027971533934,0.0,0.02686763498128778,0.0,0.0,0.27194985905987124,0,0.00783639353620894,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003103307748538012,0.0,On,0.007335749532466587,0,On,0.01510298507356497,0,On,0.32097529822373994,0.24073147366780487,On,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0,0,920.8294311111111,On,74.12906245017899,21.111111111111143,3.0121167914060902,0.0,0.02686763498128778,0.0,-6.799392022327594,0.9159826779512079,1,404.64227236253294,404.64227236253294,Off,0.0,0.0,30.390438302661096,51.666666666666686,46.10666666666668,0.0,50.366292283005585,0.0,0.0,0.0,30.390438302661096,48.58767257212086,50.366292283005585,47.6983627166785,12.43753247303448,22.519753212426128,0.9086421013149852,2.8,-109.53476229927327,-500.03722787435146,-0.0,-32.36232414052454,761.6712688920695,0.0,6.0,0.019457328507982333,0.0,0.0012592749839062363,0.38550348543650154,395.9976853333333,31.838833074428223,0.2546146633208557,11.950659237647324,0.004225373566023599,156.96982409259522,1.2105299425205693
