Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.67685587822631,51.666666666666686,46.10666666666668,0.0,50.312929502932676,0.0,0.0,0.0,37.67685587822631,50.32878406127014,50.33671134043889,50.312929502932676,12.43753247303448,17.94522053448596,-0.9992239099584985,2.8,-80.49535303751259,-682.3834711834577,-0.0,-0.0,200.1881322017698,0.0,1.0,0.03457285503638554,0.0,0,0.48279260452472084,65.99961422222222,6.053985944175228,0.22627990737124912,8.36913675544919,0.002831877982560511,0.7784423312021351,1.2270014779374443
2025-01-01 00:01:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.666858104796965,51.666666666666686,46.10666666666668,0.0,50.307333074922745,0.0,0.0,0.0,37.666858104796965,50.323496430200606,50.33157810783954,50.307333074922745,12.43753247303448,17.94851682631374,-0.9959276181307182,2.8,-81.81568291731014,-682.594606723839,-0.0,-0.0,200.1881322017698,0.0,1.0,0.034576026863613836,0.0,0,0.48283689750333186,65.99961422222222,4.944791604759016,0.22689414373939207,8.393672411941118,0.002831881993902177,0.7731980390316044,1.230571770479927
2025-01-01 00:02:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.657125330383934,51.666666666666686,46.10666666666668,0.0,50.301738201896804,0.0,0.0,0.0,37.657125330383934,50.3182102022348,50.32644620240381,50.301738201896804,12.43753247303448,17.951586760196815,-0.9928576842476424,2.8,-83.09868678773012,-682.791266503357,-0.0,-0.0,200.1881322017698,0.0,1.0,0.03457898080447964,0.0,0,0.4828781478080207,65.99961422222222,3.8584475138570347,0.22685062662558636,8.395364887522085,0.0028318859666600017,0.7682878771610424,1.2305587900193495
2025-01-01 00:03:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.64764374472552,51.666666666666686,46.10666666666668,0.0,50.29614484443368,0.0,0.0,0.0,37.64764374472552,50.31292534018235,50.32131558805669,50.29614484443368,12.43753247303448,17.954442168762544,-0.9900022756819133,2.8,-84.35933391935043,-682.9742037300832,-0.0,-0.0,200.1881322017698,0.0,1.0,0.034581728260223536,0.0,0,0.4829165146514017,65.99961422222222,2.780737608962934,0.22681017901992906,8.396293026697775,0.002831889914230634,0.7636931158361397,1.23054671668465
2025-01-01 00:04:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.63840082901756,51.666666666666686,46.10666666666668,0.0,50.290552965165354,0.0,0.0,0.0,37.63840082901756,50.30764180879101,50.31618623060384,50.290552965165354,12.43753247303448,17.957093776588593,-0.9873506678558641,2.8,-85.27284046785553,-683.1441012683277,-0.0,-0.0,200.1881322017698,0.0,1.0,0.03458427956381514,0.0,0,0.4829521423282201,65.99961422222222,2.037128598702399,0.22677264615355683,8.397755721917203,0.002831893838231239,0.7593979370598651,1.2305355050875009
2025-01-01 00:05:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.629374647637306,51.666666666666686,46.10666666666668,0.0,50.284962528584984,0.0,0.0,0.0,37.629374647637306,50.30235957456545,50.31105809755569,50.284962528584984,12.43753247303448,17.959560403599,-0.9848840408454578,2.8,-85.71933557466662,-683.30216132332,-0.0,-0.0,200.1881322017698,0.0,1.0,0.034586652835231775,0.0,0,0.4829852838748836,65.99961422222222,1.748693546883474,0.22673775798386006,8.399116850202912,0.002831897740197949,0.7553747380548606,1.2305250756275206
2025-01-01 00:06:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.62054063943385,51.666666666666686,46.10666666666668,0.0,50.279373502446475,0.0,0.0,0.0,37.62054063943385,50.29707860708883,50.30593115941001,50.279373502446475,12.43753247303448,17.961863129583772,-0.9825813148606848,2.8,-86.09376227629673,-683.449731626629,-0.0,-0.0,200.1881322017698,0.0,1.0,0.03458886836644275,0.0,0,0.4830162226585804,65.99961422222222,1.5218371485624234,0.22670521251349793,8.399741217005221,0.0028319016215254044,0.7515926411781768,1.230515339160683
2025-01-01 00:07:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.61188777542691,51.666666666666686,46.10666666666668,0.0,50.27378585815472,0.0,0.0,0.0,37.61188777542691,50.291798879391244,50.300805390009515,50.27378585815472,12.43753247303448,17.964011406954782,-0.980433037489675,2.8,-86.41201708000654,-683.5874153428408,-0.0,-0.0,200.1881322017698,0.0,1.0,0.034590935260439326,0.0,0,0.48304508579802413,65.99961422222222,1.341266061064447,0.2266748738742693,8.400927480824153,0.002831905483449942,0.748037730505799,1.2305062556988942
2025-01-01 00:08:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.603406101703236,51.666666666666686,46.10666666666668,0.0,50.26819956875423,0.0,0.0,0.0,37.603406101703236,50.28652036605064,50.295680764698844,50.26819956875423,12.43753247303448,17.966013765493003,-0.9784306789514545,2.8,-86.701544732829,-683.7157568652522,-0.0,-0.0,200.1881322017698,0.0,1.0,0.03459286173135336,0.0,0,0.4830719879994521,65.99961422222222,1.1800799306533412,0.22664661950793646,8.40203362820858,0.002831909327136579,0.7446974435851521,1.2304977891584437
2025-01-01 00:09:00,0.586188799344207,0.10896348224515155,0.0,0.00976981332240345,0.0018160580374191925,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0.0,0,Off,0.003412116228070175,0.0,On,0.0076836816324464974,0,On,0.00360680293459924,0,On,0.09077544806656179,0.06808158604992133,On,On,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1,395.646,395.646,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,1266.6533422222221,Off,0.0,0.0,37.5950870600532,51.666666666666686,46.10666666666668,0.0,50.26261460876932,0.0,0.0,0.0,37.5950870600532,50.28124304304187,50.290557260178154,50.26261460876932,12.43753247303448,17.9678775368841,-0.9765669075603576,2.8,-86.9773205076392,-683.8352241044319,-0.0,-0.0,200.1881322017698,0.0,1.0,0.03459465483961444,0.0,0,0.4830970278582271,65.99961422222222,1.0237713950227851,0.2266203440721205,8.403063684951578,0.002831913153685951,0.7415609718438807,1.2304899085236631
