Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.586188799344207,0.10896348224515155,0.0,0.586188799344207,0.10896348224515155,0.0,0.011095797860516673,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.003412116228070175,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,37.46086777953547,51.66666666666668,46.10666666666668,0.0,50.148534732164606,0.0,0.0,0.0,37.46086777953547,50.173422841269975,50.18586689582266,50.148534732164606,12.43753247303448,17.97523334930373,-0.9692110951407285,2.8,-88.9018586394852,-684.3069141429004,0.0,0.0,200.1881322017698,0.0,1.0,0.034601731158030516,0.0,0.0,0.4831958451006836,65.99961422222222,-0.4290766983546866,0.22651051609648948,8.40603324369806,0.0028319887141509173,0.7225313870636718,1.2303990259621256
2025-01-01 01:00:00,0.5850562718650385,0.10830601817360412,0.0,0.5850562718650385,0.10830601817360412,0.0,0.01083988914341141,0.0,0.128570382721627,0.395646,0.05,0.0,0.0,0.09372268484027078,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.0031562075109649117,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,37.13017716320847,51.66666666666668,46.10666666666668,0.0,49.816407417255505,0.0,0.0,0.0,37.13017716320847,49.85939188414102,49.88088411758379,49.816407417255505,12.43753247303448,17.944895077288223,-0.9995493671562343,2.5,-54.89343228999326,-646.9760762828845,0.0,0.0,199.05560472260132,0.0,1.0,0.032156614911830084,0.0,0.0,0.44905102137622005,65.99961422222222,-2.6189607297101514,0.22700263302314186,8.392729376938194,0.002832592684215355,5.8289579371110145,1.2305865547996397
2025-01-01 02:00:00,0.5841796531029753,0.1076485541020567,0.0,0.5841796531029753,0.1076485541020567,0.0,0.01083988914341141,0.0,0.12769376395956375,0.395646,0.05,0.0,0.0,0.09306522076872335,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.0031562075109649117,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,21.111111111111143,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,36.8074678687738,51.66666666666668,46.10666666666668,0.0,49.49746748615791,0.0,0.0,0.0,36.8074678687738,49.54811383923096,49.57343701576749,49.49746748615791,12.43753247303448,17.910757987041936,-2.6725753462914286,1.6500000000000001,-49.50573150498042,-640.3081330599915,0.0,0.0,198.17898596053809,0.0,1.0,0.030079315513022325,0.0,0.0,0.42004257570193176,65.99961422222222,-3.022584405526977,0.22775122778685966,8.380433061573514,0.0028358440801592136,14.952092073202046,1.230728475594558
2025-01-01 03:00:00,0.5831324285295085,0.10699109003050927,0.0,0.5831324285295085,0.10699109003050927,0.0,0.0106692833320079,0.0,0.12681714519750054,0.395646,0.05,0.0,0.0,0.09240775669717594,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.002985601699561403,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,21.111111111111143,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,36.55543139353394,51.66666666666668,46.10666666666668,0.0,49.22759699985148,0.0,0.0,0.0,36.55543139353394,49.23922691774123,49.245041876686095,49.22759699985148,12.43753247303448,17.81964767734093,-2.7914634337702124,1.6500000000000001,-70.83982449613853,-660.659023835516,0.0,0.0,197.13176138707135,0.0,1.0,0.031249887244495254,0.0,0.0,0.4363890236428396,65.99961422222222,-2.958562047693839,0.2294030164748785,8.342440363766658,0.002840088810653782,1.6918222267943412,1.231110697210813
2025-01-01 04:00:00,0.5822558097674453,0.10633362595896186,0.0,0.5822558097674453,0.10633362595896184,0.0,0.0106692833320079,0.0,0.1259405264354373,0.395646,0.05,0.0,0.0,0.09175029262562852,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.002985601699561403,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,36.31409306536408,51.66666666666668,46.10666666666668,0.0,48.90300562482948,0.0,0.0,0.0,36.31409306536408,48.932481020947826,48.947218719007,48.90300562482948,12.43753247303448,17.719803968750604,-1.2524182534716308,0.55,-133.5859247691234,-722.8752418740171,0.0,0.0,196.2551426250081,0.0,1.0,0.03205115843659375,0.0,0.0,0.4475783745181644,65.99961422222222,-2.611825520114425,0.23065855283947787,8.290389398940103,0.002839034835550108,15.764198696857106,1.2309561058782867
2025-01-01 05:00:00,0.5825970213902523,0.10633362595896186,0.0,0.5825970213902523,0.10633362595896184,0.0,0.011010494954814919,0.0,0.1259405264354373,0.395646,0.05,0.0,0.0,0.09175029262562852,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.003326813322368421,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,36.16453145376456,51.66666666666668,46.10666666666668,0.0,48.580287947608475,0.0,0.0,0.0,36.16453145376456,48.62728051721902,48.6507768020243,48.580287947608475,12.43753247303448,17.54263365729519,-1.4018107871492669,-0.25000000000000006,-154.89359963880744,-744.7960723302695,0.0,0.0,196.59635424781513,0.0,1.0,0.031795045740281504,0.0,0.0,0.44400188899001514,65.99961422222222,-2.339881556353073,0.2339480396820154,8.21432605502754,0.0028489936098609015,20.87151880748405,1.2310808810521165
2025-01-01 06:00:00,0.5847767734428875,0.1076485541020567,0.0,0.5847767734428875,0.1076485541020567,0.0,0.01143700948332369,0.0,0.12769376395956375,0.395646,0.05,0.0,0.0,0.09306522076872335,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.003753327850877193,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,35.921043078092154,51.66666666666668,46.10666666666668,0.0,48.2829344807626,0.0,0.0,0.0,35.921043078092154,48.32375647155751,48.344167466954964,48.2829344807626,12.43753247303448,17.44856906881702,-1.495875375627438,0.3,-122.35048116608414,-712.6798645901981,0.0,0.0,198.77610630045035,0.0,1.0,0.03162979890596202,0.0,0.0,0.44169429971378654,65.99961422222222,-4.092722876336372,0.23542639084859235,8.170976350996291,0.0028500260501930523,0.3155036187480476,1.2314786006074447
2025-01-01 07:00:00,0.5862741022499087,0.10896348224515155,0.0,0.5862741022499087,0.10896348224515155,0.0,0.011181100766218427,0.0,0.12944700148369023,0.395646,0.05,0.0,0.0,0.09438014891181822,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.0034974191337719296,0.0,0.0076836816324464974,0.0,0.00360680293459924,0.0,0.09077544806656178,0.06808158604992133,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,35.71687003860009,51.66666666666668,46.10666666666668,0.0,48.00728764622189,0.0,0.0,0.0,35.71687003860009,48.02217741851647,48.02962230466378,48.00728764622189,12.43753247303448,17.323241769458164,-1.621202674986292,-0.55,-171.94686064750934,-763.8377387551661,0.0,0.0,200.27343510747156,0.14167907285256093,1.0,0.0324064095652068,0.0,0.0,0.45253927859921117,65.99961422222222,-4.028556999814852,0.23747220105514774,8.11393613242703,0.0028521028017902115,17.635081090527805,1.2320084098501574
2025-01-01 08:00:00,1.7626263040171777,0.13802865437489567,0.0,1.7626263040171775,0.13802865437489567,0.0,0.07114293120170846,0.6999710417777778,0.5458663310376913,0.395646,0.05,0.0,0.0,0.12344532104156232,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.35476029965011846,0.0,0.0026443900767543858,0.0,0.06849854112495408,0.0,0.026512269998823033,0.0,0.1286523921441574,0.09648929410811803,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,699.9710417777777,0.2,37.35576217829916,51.66666666666668,46.10666666666668,0.0,49.467685568445056,0.07627583539665211,187.08317332034787,699.9710417777777,37.35576217829916,49.35133927239622,49.47982128067432,49.281030412142535,12.43753247303448,17.282528491876246,-1.661915952568209,-1.4,135.6208935520613,-829.499005257645,0.0,0.0,574.6703251094979,5.751079794226684,1.0,0.033581942041332656,0.0,0.0,0.46895500085457303,65.99961422222222,-5.196426299791521,0.23917341594898694,8.1120287517923,0.0028638697867097085,75.87832568874047,1.2327510601148381
2025-01-01 09:00:00,0.7252662592746165,0.1406331990369478,0.0,0.7252662592746164,0.14063319903694782,0.0,0.07815114700817834,0.0,0.20146911226643813,0.395646,0.05,0.0,0.0,0.12604986570361448,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0021325726425438594,0.0,0.07601857436563447,0.0,0.033402624661618745,0.0,0.13212511836022695,0.09909383877017018,395.646,19.444444444444457,1.0,0.0,0.395646,0.0,1.0,395.646,395.646,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1266.6533422222221,0.0,0.0,39.98313888984276,51.66666666666668,46.10666666666668,0.0,51.691251301281234,0.0,0.0,0.0,39.98313888984276,51.70793268645697,51.71627337904485,51.691251301281234,12.43753247303448,17.34210442955867,-1.6023400148857887,-0.85,-65.21677145620036,-794.5640088942158,0.0,0.0,336.37111521162274,18.722565703759432,1.0,0.03305714102063303,0.0,0.0,0.46162641745079724,65.99961422222222,-2.6698777736073778,0.24055472386648444,8.174799244551602,0.002889927743556219,79.2466409710702,1.233097478036613
