Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.36626070398143107,0.20990738664840755,0.0,0.006104345066357184,0.0034984564441401258,0.0,0.0188746108894348,0.3173860930919962,0.0,0.03,0.0,0.0,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,Off,0.0,15.611111111111143,0.0,0.0,0.0,0.0,0,0.0,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,88.96184004500739,51.666666666666686,46.10666666666668,0.0,49.20115296332436,0.0,0.0,0.0,139.00287507032405,48.119326164637755,49.20115296332436,47.57841276529446,12.43753247303448,15.003045421268794,-0.10806568984234843,2.6352721306936253,2.8,9.236100170605994,-2037.6550237719675,-177.50737210017454,-2722.55955414214,-0.0,-0.0,809.622517652231,0.0,8.0,0.17119517045321533,0.0,0.0,1.2485384006414315,527.9969137777778,-124.71798728205849,0.3022763544901954,7.323611510701513,0.0031383056655735317,-12.641393256701727,1.2393006547756393,0.14558067626754825,31.252766372677495,-208.76013847285202
2025-01-01 00:01:00,0.36626070398143107,0.20990738664840755,0.0,0.006104345066357184,0.0034984564441401258,0.0,0.0188746108894348,0.3173860930919962,0.0,0.03,0.0,0.0,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,Off,0.0,15.611111111111143,0.0,0.0,0.0,0.0,0,0.0,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,89.11854617310858,51.666666666666686,46.10666666666668,0.0,49.18581492188891,0.0,0.0,0.0,139.24772839548217,48.10546529616348,49.18581492188891,47.565290483300764,12.43753247303448,14.93073432134682,-0.18037678976432225,2.588619586433057,2.8,9.236100170605994,-2028.4878649938887,-167.72086253576109,-2700.5440081272645,-0.0,-0.0,809.622517652231,0.0,8.0,0.1708230673023286,0.0,0.0,1.2458246262303203,527.9969137777778,-137.56637451885527,0.30457157348820524,7.310382469159068,0.0031382719825095383,-11.697112289028874,1.243232823087587,0.1458181640949967,40.169277571757334,-207.89014010751842
2025-01-01 00:02:00,0.36626070398143107,0.20990738664840755,0.0,0.006104345066357184,0.0034984564441401258,0.0,0.0188746108894348,0.3173860930919962,0.0,0.03,0.0,0.0,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,Off,0.0,15.611111111111143,0.0,0.0,0.0,0.0,0,0.0,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,89.27132948606042,51.666666666666686,46.10666666666668,0.0,49.17045151008808,0.0,0.0,0.0,139.4864523219694,48.09158001179324,49.17045151008808,47.552144262645825,12.43753247303448,14.859860686385256,-0.2512504247258871,2.5438479784764017,2.8,9.236100170605994,-2020.1629998299004,-157.9645923140979,-2679.0319452584886,-0.0,-0.0,809.622517652231,0.0,8.0,0.17045822013983244,0.0,0.0,1.2431637702521081,527.9969137777778,-150.75357222364278,0.3059630876301004,7.275963822344021,0.0031382409140643867,-10.772383030550637,1.243538781841279,0.14604571375131506,48.75332667756053,-206.71791899165842
2025-01-01 00:03:00,1.2661763289814314,0.20990738664840755,0.8894918918918919,0.02110293881635719,0.0034984564441401258,0.014824864864864866,0.0188746108894348,0.3173860930919962,0.8999156250000002,0.03,0.0,0.8894918918918919,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,On,20385.62476608082,15.611111111111143,0.925,4627.5957389191835,26.068437708108107,0.8999156250000002,1,24113.30488,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,89.4203302604953,51.666666666666686,46.10666666666668,0.0,49.15506338149136,0.0,0.0,0.0,139.7192660320239,48.077670922728714,49.15506338149136,47.53897469334739,12.43753247303448,14.790372852230695,-0.32073825888044816,2.501087100820974,2.8,9.236100170605994,18372.992371489134,4479.057418570001,-2658.0038525662308,-0.0,-0.0,809.622517652231,0.0,8.0,0.17010037303974282,0.0,0.0,1.24055396622062,527.9969137777778,-164.2510596776856,0.3073345044544065,7.241761010250163,0.003138212308812208,-9.866475546130667,1.243838902983182,0.14626271344178612,56.97652195592336,-205.5148423051059
2025-01-01 00:04:00,1.2661763289814314,0.20990738664840755,0.8894918918918919,0.02110293881635719,0.0034984564441401258,0.014824864864864866,0.0188746108894348,0.3173860930919962,0.8999156250000002,0.03,0.0,0.8894918918918919,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,On,20385.62476608082,15.611111111111143,0.925,4627.5957389191835,26.068437708108107,0.8999156250000002,1,24113.30488,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,88.79002603341443,51.666666666666686,46.10666666666668,0.0,49.13965116629318,0.0,0.0,0.0,138.73441567721005,48.06373861831549,49.13965116629318,47.52578234432665,12.43753247303448,15.011284981905902,-0.09982612920524048,2.8014775433571257,2.8,9.236100170605994,18281.171057857733,5096.588636958717,-2725.072440429854,-0.0,-0.0,809.622517652231,0.0,8.0,0.17123756081618166,0.0,0.0,1.2488475565354937,527.9969137777778,-189.0037854454626,0.3029870386610923,7.349885047541036,0.003138186115450778,-12.681803525844353,1.2428853625206067,0.14474657246969952,677.2614004353394,-208.2685023958059
2025-01-01 00:05:00,1.2661763289814314,0.20990738664840755,0.8894918918918919,0.02110293881635719,0.0034984564441401258,0.014824864864864866,0.0188746108894348,0.3173860930919962,0.8999156250000002,0.03,0.0,0.8894918918918919,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,On,20385.62476608082,15.611111111111143,0.925,4627.5957389191835,26.068437708108107,0.8999156250000002,1,24113.30488,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,88.17672433351069,51.666666666666686,46.10666666666668,0.0,49.12434461044568,0.0,0.0,0.0,137.77613177111044,48.04990451964966,49.12434461044568,47.51268447425164,12.43753247303448,15.225959249445099,0.0,3.141066066014405,2.8,9.236100170605994,18199.27590855909,4351.494784139949,-2790.8532171627253,-0.0,-0.0,809.622517652231,0.0,8.0,0.17234132149670864,0.0,0.0,1.256897360692397,527.9969137777778,-205.1181580112323,0.29882753361224973,7.4536935095007575,0.0031381524221720343,-15.409664284630631,1.241960152839524,0.14647631451040627,-65.10638289483624,-210.99457188439877
2025-01-01 00:06:00,1.2661763289814314,0.20990738664840755,0.8894918918918919,0.02110293881635719,0.0034984564441401258,0.014824864864864866,0.0188746108894348,0.3173860930919962,0.8999156250000002,0.03,0.0,0.8894918918918919,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,On,20385.62476608082,15.611111111111143,0.925,4627.5957389191835,26.068437708108107,0.8999156250000002,1,24113.30488,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,87.57932254730103,51.666666666666686,46.10666666666668,0.0,49.1091408795889,0.0,0.0,0.0,136.84269148015787,48.03616597762016,49.1091408795889,47.49967852663579,12.43753247303448,15.434803909806057,0.0,3.418706060924286,2.8,9.236100170605994,18120.99230638619,4295.662538698303,-2855.4191262604727,-0.0,-0.0,809.622517652231,0.0,8.0,0.17341382042710662,0.0,0.0,1.26471917071019,527.9969137777778,-218.83585108638852,0.29484159218270284,7.555003842403805,0.0031381114509570615,-18.05549917660907,1.2410613948464382,0.1478754803056926,-119.23347202862016,-212.69972819225964
2025-01-01 00:07:00,1.2661763289814314,0.20990738664840755,0.8894918918918919,0.02110293881635719,0.0034984564441401258,0.014824864864864866,0.0188746108894348,0.3173860930919962,0.8999156250000002,0.03,0.0,0.8894918918918919,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,On,20385.62476608082,15.611111111111143,0.925,4627.5957389191835,26.068437708108107,0.8999156250000002,1,24113.30488,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,86.99705652815257,51.666666666666686,46.10666666666668,0.0,49.09403732302584,0.0,0.0,0.0,135.9329008252384,48.02252051491075,49.09403732302584,47.486762110853206,12.43753247303448,15.638101253895332,0.0,3.6867732577052377,2.8,9.236100170605994,18044.749988910873,4241.0479255439095,-2918.8097495759416,-0.0,-0.0,809.622517652231,0.0,8.0,0.1744565740753831,0.0,0.0,1.2723240462965484,527.9969137777778,-231.68754524623415,0.2910179753651993,7.652945129755636,0.0031380634102311567,-20.62313417300741,1.2401877642824704,0.14921395542971197,-172.4406624589435,-214.10715091633048
2025-01-01 00:08:00,0.36626070398143107,0.20990738664840755,0.0,0.006104345066357184,0.0034984564441401258,0.0,0.0188746108894348,0.3173860930919962,0.0,0.03,0.0,0.0,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,Off,0.0,15.611111111111143,0.0,0.0,0.0,0.0,0,0.0,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,86.42928944605953,51.666666666666686,46.10666666666668,0.0,49.07903141736577,0.0,0.0,0.0,135.045764759468,48.008965773264485,49.07903141736577,47.47393295121385,12.43753247303448,15.836086244895556,0.0,3.945703736151483,2.8,9.236100170605994,-2415.443443654687,-439.94677169098793,-2981.0541814472667,-0.0,-0.0,809.622517652231,0.0,8.0,0.17547085513479682,0.0,0.0,1.279721269292786,527.9969137777778,-244.01177985965114,0.28734692399464096,7.748203614682167,0.0031380084990794495,-23.115789582574717,1.239338150000631,0.15049550838724501,-224.7054053644436,-215.2413663265443
2025-01-01 00:09:00,0.36626070398143107,0.20990738664840755,0.0,0.006104345066357184,0.0034984564441401258,0.0,0.0188746108894348,0.3173860930919962,0.0,0.03,0.0,0.0,0.0,0.20115738664840754,0,0.008750000000000004,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0.0,0,Off,0.004544051535087718,0.0,On,0.01433055935434708,0,On,0.006381298480487956,0,On,0.16914506228589932,0.12685879671442446,On,0.04279494574696485,0,On,0,0,Off,Off,0.0,15.611111111111143,0.0,0.0,0.0,0.0,0,0.0,24113.30488,Off,0.0,16.611111111111143,0,0.0,0.03,0.0,0.0,0,0,0,7173.208515555556,Off,0.0,0,86.65110775326113,51.666666666666686,46.10666666666668,0.0,49.06412074532344,0.0,0.0,0.0,135.39235586447052,47.99549949364694,49.06412074532344,47.461188867808694,12.43753247303448,15.739905533974195,0.0,3.8548381606171476,2.8,9.236100170605994,-2377.189813315852,-418.0812237096359,-2950.7531651799386,-0.0,-0.0,809.622517652231,0.0,8.0,0.17497827222452977,0.0,0.0,1.27612882753558,527.9969137777778,-236.05916578814495,0.289115692156318,7.701996596987888,0.003137946908790492,-21.856188000393086,1.239750811438566,0.15004702405016804,-206.2675313902178,-211.81369231941807
