Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.48632688627559,51.666666666666686,46.10666666666668,0.0,51.938379453423565,0.0,0.0,0.0,149.1973857598056,51.84841406595049,51.938379453423565,51.803431372213964,12.43753247303448,16.266655843926205,0.0,0.5327941338061503,2.8,9.236100170605994,-22.774843263406353,612.2127128546617,-345.10299692194195,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019663975185636708,0.0,0.0,0.1840353525001013,131.99922844444444,9.37707729073,0.2379720513142957,7.383873452137151,0.0026770971242644987,84.31353120733897,1.2342331540023792,0.21747338182655995,642.5615235908516,-30.348810736189847
2025-01-01 00:01:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.48641441802631,51.666666666666686,46.10666666666668,0.0,51.92243823584347,0.0,0.0,0.0,149.1975225281661,51.833536637410425,51.92243823584347,51.789085838193905,12.43753247303448,16.251709329154345,0.0,0.5954729263998558,2.8,9.236100170605994,-26.83161175070174,595.1778458903966,-344.56752352013666,-0.0,-0.0,312.9510763678056,0.0,2.0,0.01965527911081861,0.0,0.0,0.18395396584356782,131.99922844444444,4.784835401629309,0.23892051454899224,7.399185523393024,0.0026773866005175375,84.30433367511534,1.2379022222980336,0.21747338182655995,624.797375629529,-29.619529739132325
2025-01-01 00:02:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.48594941939494,51.666666666666686,46.10666666666668,0.0,51.906497521799686,0.0,0.0,0.0,149.1967959678046,51.8186591952323,51.906497521799686,51.77474003194862,12.43753247303448,16.236968729680193,0.0,0.6567078644960411,2.8,9.236100170605994,-30.839686646578144,578.631611817342,-344.0397427642925,-0.0,-0.0,312.9510763678056,0.0,2.0,0.01964670191075219,0.0,0.0,0.18387369173709722,131.99922844444444,0.24897974990877003,0.2391709029681934,7.39209359069952,0.0026776751872956655,84.295085953845,1.23796506207657,0.21747338182655995,607.4424385650216,-28.81082674767962
2025-01-01 00:03:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.48494368109868,51.666666666666686,46.10666666666668,0.0,51.89055740303041,0.0,0.0,0.0,149.1952245017167,51.803781825504174,51.89055740303041,51.76039403674107,12.43753247303448,16.22242973778832,0.0,0.7164822354651984,2.8,9.236100170605994,-34.875348834701214,562.3044882824271,-343.5194874916684,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019638241118098334,0.0,0.0,0.18379450708883646,131.99922844444444,-4.306937710838454,0.2394184937793954,7.385727323031196,0.0026779637277701985,84.28573753322001,1.2380270457502272,0.21747338182655995,590.5014490173426,-28.196960734915326
2025-01-01 00:04:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.48341405690873,51.666666666666686,46.10666666666668,0.0,51.87461796930809,0.0,0.0,0.0,149.1928344639199,51.78890461247702,51.87461796930809,51.74604793406149,12.43753247303448,16.208086156984944,0.0,0.7747733021550577,2.8,9.236100170605994,-37.038397137546355,546.3057864475917,-343.0065235455364,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019629893164532695,0.0,0.0,0.18371637850280018,131.99922844444444,-6.982949959815514,0.2396633714396223,7.378855255503605,0.0026782522218006576,84.27629175905975,1.2380881995736928,0.21747338182655995,573.9808510502722,-27.675064602680578
2025-01-01 00:05:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.48128647543223,51.666666666666686,46.10666666666668,0.0,51.85867930759652,0.0,0.0,0.0,149.18951011786285,51.77402763777586,51.85867930759652,51.73170180286554,12.43753247303448,16.19396567325487,0.0,0.831592298994841,2.8,9.236100170605994,-36.99257724642666,530.6670309648267,-342.5018281296611,-0.0,-0.0,312.9510763678056,0.0,2.0,0.01962167420229388,0.0,0.0,0.18363945714796087,131.99922844444444,-7.441825484571183,0.23990510230717685,7.372719998245725,0.002678540669251824,84.26673173852758,1.2381484048270497,0.21747338182655995,557.8774606512491,-27.210429686422387
2025-01-01 00:06:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.478474921892,51.666666666666686,46.10666666666668,0.0,51.842741517188934,0.0,0.0,0.0,149.18511706545624,51.759150994566575,51.842741517188934,51.7173557332554,12.43753247303448,16.180100435049635,0.0,0.8869628852783635,2.8,9.236100170605994,-36.18025129975899,515.390947791142,-342.00653574714573,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019613602987398372,0.0,0.0,0.18356391856207596,131.99922844444444,-7.124791920418858,0.24014318258636297,7.366113494674658,0.0026788290699582443,84.25703784525516,1.238207523650805,0.21747338182655995,542.1845724071883,-26.793624616046284
2025-01-01 00:07:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.47496674453572,51.666666666666686,46.10666666666668,0.0,51.8268047116961,0.0,0.0,0.0,149.17963553833707,51.74427478941673,51.8268047116961,51.703009828277054,12.43753247303448,16.166495264121625,0.0,0.9409111008672317,2.8,9.236100170605994,-35.17884380424735,500.47282120316777,-341.5208032296631,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019605682372803693,0.0,0.0,0.18348978944600516,131.99922844444444,-6.609116942389832,0.2403775256768721,7.359651761860883,0.002679117423719317,84.24720674676857,1.2382655350954905,0.21747338182655995,526.8948062149431,-26.421985011775284
2025-01-01 00:08:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.47077740347459,51.666666666666686,46.10666666666668,0.0,51.81086900683171,0.0,0.0,0.0,149.17308969292904,51.729399130865126,51.81086900683171,51.68866419288184,12.43753247303448,16.153144507698425,0.0,0.9934631693266667,2.8,9.236100170605994,-34.23898573677337,485.90767951525027,-341.04441365570494,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019597909112727463,0.0,0.0,0.18341703942243676,131.99922844444444,-6.145648448874027,0.24060820570061808,7.35333165317326,0.0026794057303278205,84.23724138036856,1.2383224630445,0.21747338182655995,512.000729906895,-26.093050391644724
2025-01-01 00:09:00,0.3410260083769613,0.1301418258571239,0.0,0.005683766806282688,0.0021690304309520646,0.0,0.02857369001037514,0.26245231836658617,0.0,0.05,0.0,0.0,0.0,0.11555849252379055,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.0060315515350877185,0.0,On,0.0008704371284056667,0.0,On,0.021671701346881754,0,On,0.004830249631454443,0,On,0.09328688214556054,0.06996516160917038,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,7917.022995555556,Off,0.0,17.444444444444485,0,0.0,0.05,0.0,0.0,0,0,0,6858.450142222222,Off,0.0,0,95.4659336893311,51.666666666666686,46.10666666666668,0.0,51.794934515732024,0.0,0.0,0.0,149.16552138957982,51.71452412504176,51.794934515732024,51.67431892969663,12.43753247303448,16.140038288138367,0.0,1.044645531860762,2.8,9.236100170605994,-33.38940871584711,471.69093040727955,-340.57700018459747,-0.0,-0.0,312.9510763678056,0.0,2.0,0.019590277498985648,0.0,0.0,0.18334561506841573,131.99922844444444,-5.763484899055236,0.24083536228436758,7.347758672346504,0.002679693989580927,84.22714723282026,1.238378349481493,0.21747338182655995,497.49484963317343,-25.803919225893843
