Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.028116176237724,51.666666666666686,46.10666666666668,0.0,51.76366904356232,0.0,0.0,0.0,24.028116176237724,51.77135293313094,51.775194877915254,51.76366904356232,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.7202815250066,17.651428967139303,0.0,2.8,-661.5301743934842,-1106.1139241048304,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05714970133195753,0.0,0.0,0.7980669552696062,123.15528013866667,44.18921538362882,0.2369308378264667,8.323174536681048,0.0029111568866911804,-0.810174394752158,1.2281823487393975
2025-01-01 00:01:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.031371561458773,51.666666666666686,46.10666666666668,0.0,51.76009890804286,0.0,0.0,0.0,24.031371561458773,51.76798078833078,51.771921728474744,51.76009890804286,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.991209990193,17.643428358342124,0.0,2.8,-663.1249781711919,-1105.2692529652982,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05713683979138072,0.0,0.0,0.7978873502972446,123.15528013866667,41.749740466388964,0.2377425662665647,8.342017851129675,0.0029111527158470715,-0.7866979669978971,1.2318039212610352
2025-01-01 00:02:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.0347120292483,51.666666666666686,46.10666666666668,0.0,51.756528319794924,0.0,0.0,0.0,24.0347120292483,51.76460818666458,51.768648120099414,51.756528319794924,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.9285823408313,17.635306476431975,0.0,2.8,-664.7013567499847,-1104.4120365169417,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05712378246157389,0.0,0.0,0.7977050112263478,123.15528013866667,39.316145439239634,0.23786408746550478,8.33819177718016,0.002911148677768719,-0.7629001501806183,1.2318383295972088
2025-01-01 00:03:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.03813144229729,51.666666666666686,46.10666666666668,0.0,51.75295726617188,0.0,0.0,0.0,24.03813144229729,51.76123511619171,51.76537404120163,51.75295726617188,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.8648440966103,17.627072024234245,0.0,2.8,-666.2658704742491,-1103.5432045545178,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05711054329779975,0.0,0.0,0.7975201329351707,123.15528013866667,36.88279975255132,0.237987378745482,8.334303811353323,0.002911144761952662,-0.7388036786102585,1.231873216667034
2025-01-01 00:04:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.04162421693038,51.666666666666686,46.10666666666668,0.0,51.749385735439404,0.0,0.0,0.0,24.04162421693038,51.75786156583287,51.76209948102961,51.749385735439404,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.800074161626,17.618732919479402,0.0,2.8,-666.9607815865927,-1102.6636031045916,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05709713499610157,0.0,0.0,0.7973328927175981,123.15528013866667,35.30828719028156,0.23811232428407356,8.330358280586431,0.0029111409699264373,-0.714431246766301,1.2319085490052817
2025-01-01 00:05:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.045168907601596,51.666666666666686,46.10666666666668,0.0,51.745813716693185,0.0,0.0,0.0,24.045168907601596,51.75448752529237,51.75882442959197,51.745813716693185,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.734344662619,17.610319604395883,0.0,2.8,-666.6215055957107,-1101.7764520359378,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05708360647582612,0.0,0.0,0.7971439737078062,123.15528013866667,34.76041211250978,0.23823846938829327,8.326371844056688,0.0029111373031007284,-0.6898695098284744,1.231944197704392
2025-01-01 00:06:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.04874201011852,51.666666666666686,46.10666666666668,0.0,51.74224120221652,0.0,0.0,0.0,24.04874201011852,51.75111298728423,51.75554887981809,51.74224120221652,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.6679332954573,17.601865447262373,0.0,2.8,-666.0956541764386,-1100.885275658425,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05707001137462607,0.0,0.0,0.79695412492875,123.15528013866667,34.39508715426891,0.23836531425171748,8.32236276585181,0.002911133762440845,-0.6652133734719765,1.2319800214296084
2025-01-01 00:07:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.05233714649631,51.666666666666686,46.10666666666668,0.0,51.73866818778622,0.0,0.0,0.0,24.05233714649631,51.74773794782109,51.75227282783853,51.73866818778622,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.6011445086706,17.59337950094508,0.0,2.8,-665.4688521600486,-1099.9910319285536,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05705636423895022,0.0,0.0,0.796763549514301,123.15528013866667,34.127645440787646,0.23849272382252446,8.31833599979093,0.002911130348424449,-0.6404886040866469,1.2320159818497005
2025-01-01 00:08:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.055949876881467,51.666666666666686,46.10666666666668,0.0,51.73509467012712,0.0,0.0,0.0,24.055949876881467,51.744362403810676,51.74899627065246,51.73509467012712,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.5340608786682,17.58486806670194,0.0,2.8,-664.8185521620943,-1099.0943877813233,-0.0,-0.0,400.3945343277174,0.0,1.866,0.057042675193522546,0.0,0.0,0.7965723888511584,123.15528013866667,33.881301291511704,0.23862060415718372,8.314294993878969,0.0029111270613967695,-0.6157131330069827,1.232052052285231
2025-01-01 00:09:00,0.2923959330836425,0.16239298815634054,0.0,0.004873265551394041,0.0027065498026056754,0.0,0.0632506802178073,0.0,0.22914525286583518,0.0,0.0,0.0,0.0,0.16239298815634054,0.0,0.0,1,0,0,Off,0.020472697368421052,0.0,On,0.042777982849386255,0,On,0.012621268657381049,0,On,0.21652398420845412,0.16239298815634054,On,0,0,Off,Off,0.0,16.666666666666686,0.0,0.0,0.0,0.0,0,0.0,762.8641022222222,Off,0.0,0.0,24.05957750597836,51.666666666666686,46.10666666666668,0.0,51.73152064662398,0.0,0.0,0.0,24.05957750597836,51.74098635278382,51.74571920586375,51.73152064662398,12.43753247303448,Off,0.0,20.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,2746.466739881084,17.576334969475276,0.0,2.8,-664.208078483585,-1098.1957485702897,-0.0,-0.0,400.3945343277174,0.0,1.866,0.05702895038268066,0.0,0.0,0.7963807287419198,123.15528013866667,33.59313575898726,0.2387488983969915,8.310241840709658,0.0029111239016108717,-0.590897843662864,1.2320882165451856
