Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.4056280636292405,0.10666926948799065,0.18351604166666666,0.4056280636292405,0.10666926948799063,0.18351604166666666,0.01568779486556691,0.12583822015256244,0.21410204861111112,0.05,0.0,0.18351604166666666,0.0,0.09208593615465731,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.004021034356725146,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,2734.13151148526,20.611111111111168,0.3066666666666667,1782.6305561628878,5.378325023796296,0.21410204861111112,0.38333333333333336,4302.660019037037,11224.330484444445,0.0,21.611111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,74.1703387772279,51.66666666666668,46.10666666666668,0.0,49.534355681871276,0.0,0.0,0.0,115.89115433941859,47.80865672466976,49.534355681871276,46.94580724606901,12.43753247303448,20.226788845998936,-0.06864910682813517,2.0696815620743028,0.9890162302912111,2.8,9.236100170605994,2464.4492060888415,240.92765516232737,2204.1711949981554,-498.16589895203975,0.0,0.0,267.2623619952273,0.0,2.0,0.021932256640363003,0.0,0.0,0.2052642227132265,131.99922844444444,-38.77876843960648,0.19479525034283146,9.414434723223447,0.002802048926445198,73.2022299752191,1.2209794833596843,0.21747338182655998,206.33863569193767,34.589019470389694,0.3105729241730876,739.654203534834,-318.11356469956655
2025-01-01 01:00:00,0.33933220517297047,0.10604467862002058,0.16637773759841046,0.33933220517297047,0.10604467862002058,0.16637773759841043,0.015386217288812527,0.12500543232860237,0.14894055555555555,0.05,0.03871440426507711,0.12766333333333332,0.0,0.09146134528668724,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0037194567799707597,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,1902.0045297288766,20.611111111111168,0.21333333333333337,1240.0908216785308,3.7414434948148148,0.14894055555555555,0.26666666666666666,2993.1547958518518,11224.330484444445,0.0,21.611111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,879.2133333333333,0.0,73.74245289672584,51.66666666666668,46.10666666666668,0.0,49.13893051385022,0.0,0.0,879.2133333333333,115.22258265113413,47.73868683644366,49.13915972835569,47.03833578323492,12.43753247303448,20.347458810347824,-0.04023480474440232,3.026986764484749,2.537701643186529,2.5,9.236100170605994,1638.9877495814922,-121.95567339136927,1010.8372794726871,-480.7635071130598,0.0,0.0,266.12799659451287,0.0,2.0,0.02067141122851055,0.0,0.0,0.1934639571195284,131.99922844444444,-48.38126962883717,0.19441087114924382,9.486918732792198,0.0028173197123255995,74.95844754105676,1.220525580960785,0.21747338182655998,-149.6268305419236,27.67115715055433,0.2267002182378979,40.586702200228935,-269.8402444060726
2025-01-01 02:00:00,0.43158726457123264,0.10542008775205054,0.20745291666666665,0.43158726457123264,0.10542008775205054,0.20745291666666665,0.015386217288812527,0.1241726445046423,0.24202840277777776,0.05,0.0,0.20745291666666665,0.0,0.0908367544187172,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0037194567799707597,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,3090.7573608094244,20.611111111111168,0.34666666666666673,2015.1475852276124,6.079845679074073,0.24202840277777776,0.43333333333333335,4863.87654325926,11224.330484444445,0.0,21.611111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,84.05567840419057,51.66666666666668,46.10666666666668,0.0,51.60922628286535,0.0,0.0,0.0,131.3369975065478,51.64013813357621,51.65559405893164,51.60922628286535,12.43753247303448,20.31409044875672,-0.062248853571183815,3.0891472499475676,3.1603048635941007,1.6500000000000001,9.236100170605994,2831.753292706008,-382.5706540673846,1390.9273163692244,-477.3934006548803,0.0,0.0,265.2952087705528,0.0,2.0,0.019537149647782796,0.0,0.0,0.1828483909450436,131.99922844444444,-46.90587621908898,0.19592478547820752,9.489775751295008,0.002833427676979653,79.67757412558574,1.2206527290373657,0.21747338182655998,-409.8008752860169,27.230221218632245,0.17246703962575818,-348.78767161351607,-275.4325972448718
2025-01-01 03:00:00,0.374700716696103,0.10479549688408049,0.15957916666666666,0.37470071669610294,0.10479549688408049,0.15957916666666666,0.01518516557097627,0.12333985668068223,0.18617569444444446,0.05,0.0,0.15957916666666666,0.0,0.09021216355074715,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.003518405062134503,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,2377.5056621610956,20.611111111111168,0.2666666666666667,1550.1135270981636,4.6768043685185186,0.18617569444444446,0.3333333333333333,3741.4434948148146,11224.330484444445,0.0,21.611111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,82.18773394894681,51.66666666666668,46.10666666666668,0.0,50.8353846119438,0.0,0.0,0.0,128.41833429522939,50.86381320264238,50.878027497991674,50.8353846119438,12.43753247303448,20.233976577195214,-0.0624920020648719,2.942324014764858,3.144657839612309,1.6500000000000001,9.236100170605994,2109.1761788312347,-339.5890416647198,870.5521751385899,-490.68744598517327,0.0,0.0,264.26136922875645,0.0,2.0,0.020186313385714846,0.0,0.0,0.1889239212593756,131.99922844444444,-41.90340657344394,0.19801882532429532,9.4718635649424,0.0028497940219367394,70.51402089191099,1.2209735667765194,0.21747338182655998,-368.0573870559764,28.468345391256598,0.20875122025137788,-387.28767750715963,-292.27367445241384
2025-01-01 04:00:00,0.36455914414992063,0.10417090601611043,0.15160020833333335,0.3645591441499207,0.10417090601611043,0.15160020833333332,0.01518516557097627,0.12250706885672216,0.17686690972222224,0.05,0.0,0.15160020833333335,0.0,0.08958757268277709,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003518405062134503,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,2258.630379053041,20.611111111111168,0.25333333333333335,1472.607850743255,4.4429641500925925,0.17686690972222224,0.31666666666666665,3554.371320074074,11224.330484444445,0.0,21.611111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,79.81316248442813,51.66666666666668,46.10666666666668,0.0,50.073371411701764,0.0,0.0,0.0,124.70806638191895,50.10673012367059,50.123409479655,50.073371411701764,12.43753247303448,20.361654869641345,-0.03406468157106316,2.947951331243319,3.274036704285405,0.55,9.236100170605994,1934.8818698731798,-658.7171468463517,442.178471975181,-541.3547461600531,0.0,0.0,263.4285814047964,0.0,2.0,0.02079325811707725,0.0,0.0,0.1946043234430576,131.99922844444444,-45.82234442460444,0.19732639051781434,9.541618125798816,0.0028636872946574002,78.52514100643819,1.219859650389209,0.21747338182655998,-686.8090469067832,28.09190006043154,0.219443636565773,-735.5623413196372,-294.86703744843703
2025-01-01 05:00:00,0.4301227406411488,0.10417090601611043,0.20745291666666665,0.43012274064114875,0.10417090601611043,0.20745291666666665,0.015587269006648785,0.12250706885672216,0.24202840277777776,0.05,0.0,0.20745291666666665,0.0,0.08958757268277709,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0039205084978070175,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,3090.7573608094244,20.611111111111168,0.34666666666666673,2015.1475852276124,6.079845679074073,0.24202840277777776,0.43333333333333335,4863.87654325926,11224.330484444445,0.0,21.611111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,77.95640052962895,51.66666666666668,46.10666666666668,0.0,49.328580367677766,0.0,0.0,0.0,121.80687582754521,49.36794550556815,49.38762807451335,49.328580367677766,12.43753247303448,20.31462291451502,-0.0585285650439553,2.1453815357741184,2.614050936562579,-0.25000000000000006,9.236100170605994,2750.679637491238,-652.8583161702383,957.9013690469573,-561.8633390134291,0.0,0.0,263.8306848404689,0.0,2.0,0.020750230147983526,0.0,0.0,0.19420162422355738,131.99922844444444,-42.045069145226236,0.19907970380973375,9.536882137536958,0.002882224527908853,81.06982690478075,1.219429399355684,0.21747338182655998,-686.2776462126286,33.41933004239037,0.19771552422174754,-729.2993211466492,-327.94689503400593
2025-01-01 06:00:00,0.5438687732162482,0.10891251180364978,0.28724249999999996,0.5438687732162482,0.10891251180364976,0.28724249999999996,0.027827653295936217,0.13092486992031196,0.33511624999999995,0.05,0.0,0.28724249999999996,0.0,0.09432917847031642,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.00442313779239766,0.0,0.0007927206379491872,0.0,0.022611794865589365,0.0,0.005152631959890038,0.0,0.09412630064993935,0.0705947254874545,0.0,0.0,4279.510191889972,21.44444444444449,0.4800000000000001,2790.204348776694,8.418247863333333,0.33511624999999995,0.6,6734.598290666667,11224.330484444445,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,73.24675244611643,51.66666666666668,46.10666666666668,0.0,48.59435412055265,0.04021994413425358,101.0978257696923,0.0,114.44805069705691,48.43723099595657,48.609227541623085,48.3437960125881,12.43753247303448,21.14089206309647,-0.06069417212084124,2.2927087353470257,3.096006780435351,0.3,9.236100170605994,3912.2885056039277,-536.2107466740151,1626.6785754473797,-580.9805531480284,0.0,0.0,279.7739362694191,0.0,1.9335,0.021212806216753432,0.0,0.0,0.19853087856152885,127.61025409866666,-66.01506940743545,0.19013818052833897,9.925284433475545,0.0028964943882786977,62.44637574161074,1.2159953673364103,0.21747338182655998,-569.480373287245,33.26962661322993,0.220820652608391,-812.1031297638477,-351.42264356546673
2025-01-01 07:00:00,0.4801988672659364,0.10666926948799065,0.29380499345142586,0.4801988672659364,0.10666926948799063,0.29380499345142586,0.015788320724485043,0.12583822015256244,0.28857232638888886,0.05,0.04645728511809253,0.24734770833333333,0.0,0.09208593615465731,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.004121560215643275,0.0,0.0003951580126480781,0.0,0.011271602496193689,0.0,0.0030569719463526723,0.0,0.08946973524780705,0.06710230143585529,0.0,0.0,3685.133776349698,21.44444444444449,0.4133333333333334,2402.6759670021534,7.249046771203703,0.28857232638888886,0.5166666666666667,5799.237416962963,11224.330484444445,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,1055.056,0.0,77.48678471176399,51.66666666666668,46.10666666666668,0.0,50.1896700845699,0.09030530504274487,226.3198559665929,1055.056,121.07310111213125,49.951516693440595,50.19935377927443,49.82275630317142,12.43753247303448,21.122566255426584,-0.05454677607850265,2.054877219914547,2.7330208926429593,-0.55,9.236100170605994,3225.100918453884,-711.6159800771169,1058.992463938663,-620.6301828765913,0.0,0.0,201.36327363192322,4.02138844619011,1.0,0.021716387115430235,0.0,0.0,0.20324389753787486,65.99961422222222,-40.765948651146246,0.19091315180335552,9.926757463276175,0.0029051864641382328,25.5784116784561,1.2160644067244506,0.21747338182655998,-746.655122652122,35.03914257500506,0.2296786518805847,-1005.0266379762415,-338.6568650872488
2025-01-01 08:00:00,1.1758287455131082,0.11977106765141773,0.13564229166666666,1.1758287455131082,0.11977106765141775,0.13564229166666666,0.05642132808927351,0.9111580771460569,0.15824934027777776,0.05,0.0,0.13564229166666666,0.0,0.10518773431808441,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.7584780014306425,0.0,0.0031163016264619883,0.0,0.001805463333650702,0.0,0.051499563129160826,0.0,0.012429763291301901,0.0,0.1061060116417498,0.07957950873131232,0.0,0.0,2020.8798128369313,21.44444444444449,0.2266666666666667,1317.5964980334388,3.975283713240741,0.15824934027777776,0.2833333333333333,3180.226970592593,11224.330484444445,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,78.96923800474704,51.66666666666668,46.10666666666668,0.0,51.35463882431414,0.13474934092162763,365.5936134844962,0.0,123.38943438241726,50.5019692055143,51.355301100627074,50.07497211980145,12.43753247303448,21.08407327075181,-0.06476155870629245,1.5804903028822406,1.865506072524694,-1.4,9.236100170605994,2197.9416127766517,-819.7376493407781,-37.76649136016168,-665.0111160956424,0.0,0.0,813.7777582420505,250.11350005998278,1.0,0.02237117820855143,0.0,0.0,0.20937209432915782,65.99961422222222,28.295157793312494,0.1923393095000609,9.928348570254064,0.002918649534100402,105.86439250891817,1.2167848297414434,0.21747338182655998,-856.8154791714045,37.07782983062632,0.23900081060819567,-1035.4365036268168,-319.9264857667837
2025-01-01 09:00:00,0.49018065722149207,0.12257694680398463,0.18351604166666666,0.49018065722149207,0.12257694680398465,0.18351604166666666,0.06563907681237596,0.160439531798005,0.21410204861111112,0.05,0.0,0.18351604166666666,0.0,0.1079936134706513,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0025131464729532165,0.0,0.0021381014173199766,0.0,0.06098782892210278,0.0,0.016448047170469875,0.0,0.10984718384517235,0.08238538788387922,0.0,0.0,2734.13151148526,21.44444444444449,0.3066666666666667,1782.6305561628878,5.378325023796296,0.21410204861111112,0.38333333333333336,4302.660019037037,11224.330484444445,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6550.725475555556,0.0,0.0,73.94133565945495,51.66666666666668,46.10666666666668,0.0,50.38614077248435,0.0,0.0,0.0,115.53333696789834,48.67753434531757,50.38614077248435,47.82323113173418,12.43753247303448,21.1804230272091,-0.03457412880702151,1.3839783601274704,1.717862424314663,-0.85,9.236100170605994,2490.57796061227,-608.8362599499802,744.0630958705636,-642.9174608416695,0.0,0.0,284.38891996344114,615.0849177357621,1.0,0.022097220211759274,0.0,0.0,0.20680811852905137,65.99961422222222,114.97499000523868,0.19247761410849404,9.99575988547908,0.002936772405184391,67.13327131435372,1.2169835502175623,0.21747338182655998,-641.567724141991,32.73146419201075,0.225537627409594,-779.8431017188699,-258.7243585734544
