occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.574,0.0186,0.0583,0.0,0.0,0.0,0.181,0,0,0,0
1.0,0.608,0.026,0.0831,0.0,0.0,0.0,0.229,0,0,0,0
1.0,0.608,0.026,0.0831,0.0,0.0,0.0,0.169,0,0,0,0
1.0,0.62,0.0288,0.0921,0.0,0.0,0.0,0.277,0,0,0,0
1.0,0.661,0.0413,0.153,0.0,0.0,0.0,0.263,0,0,0,0
1.0,0.68,0.0551,0.252,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.68,0.0551,0.252,0.0,0.0,0.0,0.292,0,0,0,0
1.0,0.68,0.0551,0.252,0.0,0.0,0.0,0.422,0,0,0,0
1.0,0.691,0.0602,0.269,0.0,0.0,0.0,0.447,0,0,0,0
1.0,0.719,0.074,0.315,0.0,0.0,0.0,0.0866,0,0,0,0
1.0,0.74,0.0818,0.35,0.0,0.0,0.0,0.169,0,0,0,0
0.911,0.777,0.0953,0.412,0.0,0.0,0.0,0.35,0,0,0,0
0.489,0.677,0.0585,0.244,0.0,0.0,0.0,0.0241,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
