Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,80.0880040322295,51.666666666666686,46.10666666666668,0.0,49.16332090707596,0.0,0.0,0.0,125.1375063003586,49.178404955604215,49.18594697986835,49.16332090707596,12.43753247303448,19.329511399813487,-0.22604415574211245,2.8,56.65515149775945,-270.80903788424376,-0.0,-0.0,319.34121528065646,0.0,1.0,0.01257145328769047,0.0,0.0,0.23393502034753866,65.99961422222222,8.122974101346768,0.1897427422002623,8.73547617264693,0.002588570246705182,45.91684255173459,1.221373495354594
2025-01-01 00:01:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,80.03407908473811,51.666666666666686,46.10666666666668,0.0,49.14568645432037,0.0,0.0,0.0,125.05324856990329,49.16176727080668,49.16980767904984,49.14568645432037,12.43753247303448,19.33294115695542,-0.22261439860017873,2.8,55.53683408774356,-270.8898497780919,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012572595999257466,0.0,0.0,0.23395628441681998,65.99961422222222,7.085468585179022,0.1902795549045897,8.760585235419626,0.002588886996405278,45.90333586175815,1.2249266871551787
2025-01-01 00:02:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.98072014043274,51.666666666666686,46.10666666666668,0.0,49.128064508412685,0.0,0.0,0.0,124.96987521942614,49.14514078851431,49.15367892856513,49.128064508412685,12.43753247303448,19.33617120921028,-0.21938434634531845,2.8,54.433953950595,-270.9659649231242,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012573672144081557,0.0,0.0,0.23397630978346293,65.99961422222222,6.058703593062777,0.19026439605707024,8.762288019706643,0.0025892027343939945,45.889916764314435,1.2249129262450542
2025-01-01 00:03:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.92789921536182,51.666666666666686,46.10666666666668,0.0,49.1104549438383,0.0,0.0,0.0,124.88734252400285,49.12852539114418,49.13756061479712,49.1104549438383,12.43753247303448,19.339211868266847,-0.2163436872887523,2.8,53.33955270179507,-271.03762478495605,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012574685162922539,0.0,0.0,0.23399516047460853,65.99961422222222,5.035962206094695,0.19025147346566593,8.763885836745596,0.002589518383627844,45.87654601516647,1.2248999588538902
2025-01-01 00:04:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.87559071735856,51.666666666666686,46.10666666666668,0.0,49.09285764125263,0.0,0.0,0.0,124.80561049587276,49.11192096692679,49.12145262976388,49.09285764125263,12.43753247303448,19.342072560193948,-0.21348299536165172,2.8,52.594176913865425,-271.1050501462204,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012575638200840537,0.0,0.0,0.23401289501489092,65.99961422222222,4.358011779429377,0.1902406748823929,8.766104859530596,0.002589833944232968,45.86322145733659,1.2248877454575038
2025-01-01 00:05:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.82373790068557,51.666666666666686,46.10666666666668,0.0,49.075272486954,0.0,0.0,0.0,124.7245904698212,49.095327409409265,49.10535487063691,49.075272486954,12.43753247303448,19.344774327195285,-0.21078122836031454,2.8,52.30021571372882,-271.16873578458825,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012576538272091028,0.0,0.0,0.23402964392859876,65.99961422222222,4.127736217660636,0.1902317506000572,8.767514865649567,0.0025901494163310256,45.84993803517162,1.2248761978929954
2025-01-01 00:06:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.77227706497472,51.666666666666686,46.10666666666668,0.0,49.05769937974675,0.0,0.0,0.0,124.64418291402299,49.07874462392721,49.08926724601744,49.05769937974675,12.43753247303448,19.34734081526922,-0.20821474028637965,2.8,52.09455898355293,-271.2292381131342,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012577393257470145,0.0,0.0,0.23404555386498269,65.99961422222222,3.982581816030713,0.19022442020992808,8.76884983436194,0.002590464800031768,45.83669001801829,1.224865217102748
2025-01-01 00:07:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.72118244657652,51.666666666666686,46.10666666666668,0.0,49.04013823247298,0.0,0.0,0.0,124.56434757277582,49.06217252904949,49.07318967733776,49.04013823247298,12.43753247303448,19.349781544781273,-0.2057740107743271,2.8,51.936514779766185,-271.286780751278,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012578206331339228,0.0,0.0,0.23406068389392645,65.99961422222222,3.882080250387777,0.19021857069894665,8.770836089827476,0.0025907800954311734,45.8234751641706,1.224854763189616
2025-01-01 00:08:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.67043352431341,51.666666666666686,46.10666666666668,0.0,49.022588963654265,0.0,0.0,0.0,124.4850523817397,49.04561104869722,49.057122091218694,49.022588963654265,12.43753247303448,19.35210408765792,-0.2034514678976791,2.8,51.792587895336396,-271.34154149199725,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012578980018602833,0.0,0.0,0.23407508099994218,65.99961422222222,3.792914106677209,0.19021411219018777,8.772035744145292,0.002591095302620192,45.81029170572212,1.224844804419616
2025-01-01 00:09:00,0.31668247694747936,0.1851347802923802,0.0,0.005278041282457989,0.00308557967153967,0.0,0.01833552899239064,0.24834694795508871,0.0,0.05,0.0,0.0,0.0,0.17055144695904687,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.003103307748538012,0.0,On,0.015232221243852628,0,On,0.020945018676359468,0,On,0.1905839412720736,0.14293795595405515,On,0,0,Off,Off,0.0,20.0555555555556,0.0,0.0,0.0,0.0,0,0.0,291.89882666666665,Off,0.0,21.0555555555556,0,0.0,0.05,0.0,0.0,0,0,0,1441.6167955555557,Off,0.0,0,79.6200141166332,51.666666666666686,46.10666666666668,0.0,49.00505149633658,0.0,0.0,0.0,124.40627205723938,49.02906011105458,49.04106441841358,49.00505149633658,12.43753247303448,19.35431440270935,-0.20124115284625077,2.8,51.65055628728555,-271.3936601822,-0.0,-0.0,319.34121528065646,0.0,1.0,0.012579716306500618,0.0,0.0,0.2340887821624417,65.99961422222222,3.7030011888291052,0.19021097395881367,8.773173121932913,0.002591410421685894,45.797138267945826,1.2248353158168401
