Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.575894832849983,0.1909337754843023,0.2512066666666667,0.5758948328499831,0.1909337754843023,0.2512066666666667,0.014522385216877227,0.2582980031886614,0.29307444444444447,0.010000000000000002,0.0,0.2512066666666667,0.0,0.18801710881763561,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.00284234283625731,0.0,0.005840021190309959,0.0,0.005840021190309959,0.0,0.007608524765147171,0.0,0.21104708427485852,0.15828531320614384,5230.426073582543,19.77777777777783,0.4266666666666667,952.3617243433825,7.362141691851852,0.29307444444444447,0.5333333333333333,5889.713353481481,11043.212537777777,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,0.0,0.0,77.46091079984333,51.66666666666668,46.10666666666668,0.0,49.41296858972992,0.0,0.0,0.0,121.03267312475522,48.31128398421278,49.41296858972992,47.7604416814542,12.43753247303448,19.481729557491683,-0.06952009317005524,1.4362758307769488,2.8,9.236100170605994,1545.1005221406083,613.7102663164076,-3102.2412587083327,0.0,0.0,522.0455493951874,0.0,4.0,0.1426712768606084,0.0,0.0,3.6926300763480886,263.9984568888889,-59.04462741228072,0.21419662505798356,9.232217922451609,0.002942387600461724,-56.83503427882421,1.223985255031947,0.0,0.0,46.66023861532263
2025-01-01 01:00:00,0.5563734445057696,0.190190480594015,0.23550625,0.5563734445057695,0.190190480594015,0.23550625000000003,0.014309209504157929,0.257306943334945,0.2747572916666667,0.010000000000000002,0.0,0.23550625,0.0,0.18727381392734832,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.002629167123538011,0.0,0.005840021190309959,0.0,0.005840021190309959,0.0,0.007608524765147171,0.0,0.21104708427485852,0.15828531320614384,4903.524443983634,19.77777777777783,0.4,892.8391165719212,6.902007836111111,0.2747572916666667,0.5,5521.606268888889,11043.212537777777,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,0.0,0.0,75.49908123295957,51.66666666666668,46.10666666666668,0.0,48.6176253697313,0.0,0.0,0.0,117.96731442649933,47.59601333801516,48.6176253697313,47.08520732215709,12.43753247303448,19.49482814226334,-0.06622523657288065,2.6059448520267816,2.5,9.236100170605994,1475.169371545293,-1260.3607619425718,-2909.3359909049864,0.0,0.0,520.8413138287517,0.0,4.0,0.1314218614892709,0.0,0.0,3.4014717545359243,263.9984568888889,-59.15550656537998,0.21220013349203798,9.209913580400437,0.002917051397343188,-19.486076794946072,1.2240085283007034,0.0,0.0,43.9397239031541
2025-01-01 02:00:00,0.5462238082631643,0.1894471857037277,0.2353989225196821,0.5462238082631643,0.1894471857037277,0.2353989225196821,0.014309209504157929,0.25631588348122863,0.2655987152777778,0.010000000000000002,0.007742880853015421,0.2276560416666667,0.0,0.18653051903706103,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.002629167123538011,0.0,0.005840021190309959,0.0,0.005840021190309959,0.0,0.007608524765147171,0.0,0.21104708427485852,0.15828531320614384,4740.0736291841795,19.77777777777783,0.3866666666666667,863.0778126861904,6.671940908240741,0.2655987152777778,0.48333333333333334,5337.552726592592,11043.212537777777,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,175.84266666666664,0.0,73.8064727995701,51.66666666666668,46.10666666666668,0.0,47.8436366110736,0.0,0.0,175.84266666666664,115.32261374932827,46.898584922264234,47.8436366110736,46.426059077859556,12.43753247303448,19.43402608220418,-0.08626824505776896,1.7546518304847503,1.6500000000000001,9.236100170605994,1440.2746327165125,-1548.1251449237707,-2816.6254586631135,0.0,0.0,519.8502539750353,0.0,4.0,0.12097784567940513,0.0,0.0,3.131158852415867,263.9984568888889,-55.00906594275305,0.2131912675067485,9.18489734607516,0.002919623426738249,23.328439851997352,1.2242609741500403,0.0,0.0,50.00696554408833
2025-01-01 03:00:00,0.5634077840454129,0.18870389081344044,0.274327981745395,0.5634077840454128,0.1887038908134404,0.274327981745395,0.014167092362345063,0.2553248236275122,0.2839158680555556,0.010000000000000002,0.030971523412061684,0.24335645833333336,0.0,0.18578722414677376,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.002487049981725146,0.0,0.005840021190309959,0.0,0.005840021190309959,0.0,0.007608524765147171,0.0,0.21104708427485852,0.15828531320614384,5066.975258783089,19.77777777777783,0.41333333333333333,922.6004204576518,7.132074763981481,0.2839158680555556,0.5166666666666667,5705.6598111851845,11043.212537777777,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,703.3706666666666,0.0,85.38861175437347,51.66666666666668,46.10666666666668,0.0,51.21784728197145,0.0,0.0,703.3706666666666,133.41970586620855,51.24127720215958,51.25299216225365,51.21784728197145,12.43753247303448,19.4526113195218,-0.07880437361678225,1.671942071774089,1.6500000000000001,9.236100170605994,1564.3335320092206,-863.5406899287484,-2953.2448846126586,0.0,0.0,518.7170769795061,0.0,4.0,0.12687275159579187,0.0,0.0,3.2837313068234852,263.9984568888889,-54.71886738409811,0.21360063670368049,9.203678674809657,0.002928678529901621,-35.89629811117493,1.2241764484978341,0.0,0.0,48.33627502730392
2025-01-01 04:00:00,0.5715753005805854,0.18796059592315312,0.2512066666666667,0.5715753005805854,0.18796059592315312,0.2512066666666667,0.014167092362345063,0.2543337637737958,0.29307444444444447,0.010000000000000002,0.0,0.2512066666666667,0.0,0.18504392925648644,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.002487049981725146,0.0,0.005840021190309959,0.0,0.005840021190309959,0.0,0.007608524765147171,0.0,0.21104708427485852,0.15828531320614384,5230.426073582543,19.77777777777783,0.4266666666666667,952.3617243433825,7.362141691851852,0.29307444444444447,0.5333333333333333,5889.713353481481,11043.212537777777,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,0.0,0.0,83.66242805274409,51.66666666666668,46.10666666666668,0.0,50.59419841605293,0.0,0.0,0.0,130.72254383241264,50.624842524554474,50.64016457880526,50.59419841605293,12.43753247303448,19.445356431480736,-0.07841676125254361,0.7035006883152504,0.55,9.236100170605994,1429.3851909635698,-2634.4942347111273,-3220.0629639999215,0.0,0.0,517.7260171257897,0.0,4.0,0.12985767973767923,0.0,0.0,3.3609874699069633,263.9984568888889,-52.618721028333354,0.2114338955001453,9.16289071880772,0.002898947562230644,31.498000715732417,1.2236542744477734,0.0,0.0,58.17972500620143
2025-01-01 05:00:00,0.6359695695864332,0.18796059592315312,0.306158125,0.6359695695864332,0.18796059592315312,0.306158125,0.014451326645970795,0.2543337637737958,0.3571844791666667,0.010000000000000002,0.0,0.306158125,0.0,0.18504392925648644,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.002771284265350877,0.0,0.005840021190309959,0.0,0.005840021190309959,0.0,0.007608524765147171,0.0,0.21104708427485852,0.15828531320614384,6374.581777178724,20.611111111111168,0.52,1160.6908515434977,8.972610186944445,0.3571844791666667,0.65,7178.088149555555,11043.212537777777,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,0.0,0.0,79.36730442454082,51.66666666666668,46.10666666666668,0.0,49.82730654961804,0.0,0.0,0.0,124.01141316334503,49.86237986252407,49.87991651897709,49.82730654961804,12.43753247303448,20.283403535795586,-0.07982774903208861,-0.2338693868701921,-0.25000000000000006,9.236100170605994,1987.163883540719,-1216.56865355585,-3569.367020654597,0.0,0.0,518.0102514094154,0.0,4.0,0.13206604683957096,0.0,0.0,3.4181446143546874,263.9984568888889,-61.1447689570784,0.20419102897474498,9.599244295270692,0.0029506123961345453,31.364967590493123,1.2195092514574635,0.0,0.0,60.31670657486135
2025-01-01 06:00:00,0.6643086453593162,0.20550103419616578,0.3213219042650772,0.6643086453593162,0.20550103419616578,0.3213219042650771,0.03785871125779136,0.28674118410152494,0.32970875,0.010000000000000002,0.03871440426507711,0.28260750000000007,0.0,0.2025843675294991,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.0031265771198830407,0.0,0.01736606706895416,0.0,0.01736606706895416,0.0,0.016628694062192716,0.0,0.2324522155981093,0.1743391616985819,5884.229332780361,20.611111111111168,0.48000000000000004,1071.4069398863055,8.282409403333334,0.32970875,0.6,6625.927522666667,11043.212537777777,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,879.2133333333333,0.0,77.16389372869313,51.66666666666668,46.10666666666668,0.0,49.78709274256309,0.35198831924847873,933.4918998566963,879.2133333333333,120.568583951083,49.00212255912225,49.787747025970106,48.60898318399483,12.43753247303448,20.269547635582178,-0.08129215867449607,0.4179916378082759,0.3,9.236100170605994,1733.5130196780558,-1670.9026796811331,-3471.4847646296284,0.0,0.0,554.7048001590042,0.0,3.7329999999999997,0.13228413745347306,0.0,0.0,3.4237892541026786,246.37655989155556,-57.09048207560888,0.2027603775798007,9.56703399737048,0.0029273965026091336,-57.61821759820457,1.2195837876746551,0.0,0.0,57.200167750631635
2025-01-01 07:00:00,1.1277014998373631,0.2136767275152562,0.31347169593174384,1.1277014998373631,0.21367672751525624,0.3134716959317438,0.046980092741754104,0.7501712334844979,0.32055017361111116,0.010000000000000002,0.03871440426507711,0.27475729166666674,0.0,0.21076006084858953,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.44767211072064844,0.0,0.0029134014071637428,0.0,0.02203334566729518,0.0,0.02203334566729518,0.0,0.02148570829906339,0.0,0.24137102031613045,0.18102826523709778,5720.778517980906,20.611111111111168,0.4666666666666667,1041.6456360005748,8.052342475462963,0.32055017361111116,0.5833333333333334,6441.87398037037,11043.212537777777,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,879.2133333333333,0.0,82.78319067145462,51.66666666666668,46.10666666666668,0.0,51.81701045394933,0.13539755366713277,368.3928292410437,879.2133333333333,129.34873542414786,51.10053463476572,51.81701045394933,50.74229672517392,12.43753247303448,20.298826903739563,-0.07424098450563997,-0.4239473609631707,-0.55,9.236100170605994,1611.050007245357,-2125.066350756514,-3729.78006040035,0.0,0.0,818.7842059161193,1.8710795103113518,2.4829999999999997,0.13565216174581096,0.0,0.0,3.5109607442121344,163.87704211377778,-54.57695265513751,0.20059346844989775,9.55091569773753,0.0029011860802101897,-1.9984986223044254,1.2194814705433488,0.0,0.0,63.24115827127421
2025-01-01 08:00:00,1.1307015349599354,0.20935038603951045,0.29045770833333334,1.1307015349599354,0.20935038603951045,0.29045770833333334,0.03874737020541427,0.7430868383656322,0.3388673263888889,0.010000000000000002,0.0,0.29045770833333334,0.0,0.20643371937284377,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.44767211072064844,0.0,0.002202815698099415,0.0,0.01827227725365743,0.0,0.01827227725365743,0.0,0.020169768481192025,0.0,0.23461150516141965,0.1759586288710647,6047.680147579816,20.611111111111168,0.49333333333333335,1101.1682437720362,8.512476331203704,0.3388673263888889,0.6166666666666667,6809.981064962963,11043.212537777777,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,0.0,0.0,78.7458579756266,51.66666666666668,46.10666666666668,0.0,51.037745731703396,0.0931889045938362,250.77169953020305,0.0,123.04040308691657,49.62027254108917,51.037745731703396,48.91153594578206,12.43753247303448,20.310542919634603,-0.06999872271354188,-1.276305066994825,-1.4,9.236100170605994,1551.4536706704782,-2168.61287447758,-4027.710488179438,0.0,0.0,772.06244065241,120.04220808943778,2.0,0.14032073966969716,0.0,0.0,3.6317932736101852,131.99922844444444,-31.042399866346326,0.20253079553385528,9.592448071644725,0.0029301110917456163,85.98938027260485,1.2199842690020442,0.0,0.0,68.24909777243727
2025-01-01 09:00:00,0.8408300765491963,0.3576660259636953,0.3527227375984105,0.8408300765491963,0.3576660259636953,0.35272273759841044,0.039268689561364714,0.42521833143227605,0.3663430555555556,0.010000000000000002,0.03871440426507711,0.3140083333333334,0.0,0.3547493592970286,0.0,0.0029166666666666685,1.0,0.12655875630587635,0.14796358184321032,0.0,0.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.0,0.0,0.0017764642726608186,0.0,0.018746112644351946,0.0,0.018746112644351946,0.0,0.02294520518797527,0.0,0.23508091593605235,0.17631068695203922,6538.032591978179,20.611111111111168,0.5333333333333333,1190.4521554292282,9.202677114814815,0.3663430555555556,0.6666666666666666,7362.141691851852,11043.212537777777,0.0,21.611111111111168,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,997.02792,879.2133333333333,0.0,79.82667537025556,51.66666666666668,46.10666666666668,0.0,51.17833630130962,0.10040855560965269,270.1144779851289,879.2133333333333,124.72918026602431,49.96689688422419,51.17833630130962,49.36117717568148,12.43753247303448,20.288716724900674,-0.08337981414710025,-0.8252340012844864,-0.85,9.236100170605994,1868.692706266327,-1247.4836023473642,-3856.7196233333934,0.0,0.0,487.6426932192718,308.5512269449498,2.0,0.13814309848026599,0.0,0.0,3.5754313798321937,131.99922844444444,7.343562797904636,0.2076373976765949,9.663359731961494,0.002998744771113851,168.948506810273,1.220636906024331,0.0,0.0,62.61751463261549
