Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,42.73498577417536,51.666666666666686,46.10666666666668,0.0,49.141450153635816,0.0,0.0,0.0,66.773415272149,47.50421069302067,49.141450153635816,46.68559096271309,12.43753247303448,19.320007603421654,-0.1799923965784025,-2.554712691308866,2.8,9.236100170605994,7843.974271639883,4635.258358169192,-2737.7545631914113,-0.0,-0.0,592.2640993747982,0.0,2.0,0.12716471337264693,0.0,0,1.7852038535069723,131.99922844444444,-52.82690719357845,0.2070969771790964,9.00142553538905,0.0028247220412030405,-79.70428138301531,1.221239097255243,0,0,73.50117748593148
2025-01-01 00:01:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,42.509270887947096,51.666666666666686,46.10666666666668,0.0,49.13384580434004,0.0,0.0,0.0,66.42073576241734,47.497552287385545,49.13384580434004,46.679405528908305,12.43753247303448,19.46247472704916,-0.037525272950897914,-2.176249712419933,2.8,9.236100170605994,7792.229208210473,4631.284661253929,-2771.7954788362767,-0.0,-0.0,592.2640993747982,0.0,2.0,0.1276450642942677,0.0,0,1.7919472675687027,131.99922844444444,-70.53105497812258,0.20583835582929313,9.090405408639151,0.0028243071969461637,-80.25245251068785,1.2242104676296328,0,0,69.52748057066754
2025-01-01 00:02:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,42.29047906177145,51.666666666666686,46.10666666666668,0.0,49.12627931702988,0.0,0.0,0.0,66.07887353401789,47.49092904968703,49.12627931702988,46.67325391601561,12.43753247303448,19.600402182296353,0.0,-1.8050849838250511,2.8,9.236100170605994,7741.622189886278,4627.662918686088,-2804.9096516423556,-0.0,-0.0,592.2640993747982,0.0,2.0,0.12810956206009916,0.0,0,1.7984681268504576,131.99922844444444,-88.02390049623926,0.20405090303540774,9.153422781167478,0.002823890513395951,-80.77500223433105,1.2236339964571177,0,0,65.9057380028268
2025-01-01 00:03:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,42.078329037603154,51.666666666666686,46.10666666666668,0.0,49.11874953828135,0.0,0.0,0.0,65.74738912125493,47.4843399012646,49.11874953828135,46.667135082756225,12.43753247303448,19.73397475019381,0.0,-1.44083070636597,2.8,9.236100170605994,7692.110248264684,4624.138825764415,-2837.1261129239415,-0.0,-0.0,592.2640993747982,0.0,2.0,0.12855888030070606,0.0,0,1.804775888125646,131.99922844444444,-105.3193808362476,0.20233529550721094,9.21393504837819,0.002823470919100434,-81.27254964733629,1.223076256010439,0,0,62.38164508115359
2025-01-01 00:04:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,41.87255476262702,51.666666666666686,46.10666666666668,0.0,49.111255361519376,0.0,0.0,0.0,65.42586681660471,47.477783807279664,49.111255361519376,46.66104803015981,12.43753247303448,19.863367207715363,0.0,-1.0831772528262116,2.8,9.236100170605994,7649.594567156836,4620.743835500997,-2868.472805048857,-0.0,-0.0,592.2640993747982,0.0,2.0,0.12899365481741143,0.0,0,1.810879477101265,131.99922844444444,-116.48836981917967,0.20068764145999102,9.27274950009707,0.0028230485477225772,-81.74614283484334,1.222536466486696,0,0,58.98665481773589
2025-01-01 00:05:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,41.67266009712894,51.666666666666686,46.10666666666668,0.0,49.10379572448542,0.0,0.0,0.0,65.11353140176396,47.47125977434652,49.10379572448542,46.65499179927707,12.43753247303448,19.988906420449883,0.0,-0.7318596750134394,2.8,9.236100170605994,7613.07630283282,4617.479422356854,-2899.0159767662485,-0.0,-0.0,592.2640993747982,0.0,2.0,0.1294150277124016,0.0,0,1.8167949271970432,131.99922844444444,-122.463462425804,0.19910233197567745,9.330061185665578,0.002822623527515552,-82.19757761483373,1.2220132183168317,0,0,55.72224167359289
2025-01-01 00:06:00,1.3311376967225113,0.31083072171775006,0.5933625000000001,0.02218562827870852,0.005180512028629168,0.009889375000000002,0.07810729084249354,0.5107741558800175,0.6922562500000001,0.05,0.0,0.5933625000000001,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,On,12552.864553312593,20.000000000000057,0.7999999999999999,2051.184270020742,17.38974071666667,0.6922562500000001,1,13911.792573333334,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,41.47820908200352,51.666666666666686,46.10666666666668,0.0,49.09636964754371,0.0,0.0,0.0,64.80970169063049,47.46476688638144,49.09636964754371,46.648965505800305,12.43753247303448,20.110879562646126,0.0,-0.38664697855124336,2.8,9.236100170605994,7579.073969944645,4614.344398472312,-2928.8139215942238,-0.0,-0.0,592.2640993747982,0.0,2.0,0.12982400221641086,0.0,0,1.8225363222836182,131.99922844444444,-126.6678504860038,0.1975744555272883,9.384615197267134,0.0028221959771851175,-82.62843505702716,1.221505273390781,0,0,52.5872177890508
2025-01-01 00:07:00,0.6388814467225111,0.31083072171775006,0.0,0.010648024112041852,0.005180512028629168,0.0,0.07810729084249354,0.5107741558800175,0.0,0.05,0.0,0.0,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,41.288925404266685,51.666666666666686,46.10666666666668,0.0,49.0889762236602,0.0,0.0,0.0,64.5139459441667,47.458304295226135,49.0889762236602,46.64296833100911,12.43753247303448,20.22946837853265,0.0,-0.04733384512066863,2.8,9.236100170605994,-2496.093469961003,49.577682860618076,-2957.9005247187074,-0.0,-0.0,592.2640993747982,0.0,2.0,0.13022122358143498,0.0,0,1.828112720741407,131.99922844444444,-130.45704461709377,0.19610055881996177,9.43865536026997,0.002821766007029215,-83.03975792751379,1.2210118376185704,0,0,49.577682860618076
2025-01-01 00:08:00,0.6388814467225111,0.31083072171775006,0.0,0.010648024112041852,0.005180512028629168,0.0,0.07810729084249354,0.5107741558800175,0.0,0.05,0.0,0.0,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,41.51950688069957,51.666666666666686,46.10666666666668,0.0,49.08161459182172,0.0,0.0,0.0,64.87422950109308,47.45187119577379,49.08161459182172,46.636999497749834,12.43753247303448,20.070629525541772,0.0,0.03696997125737275,2.8,9.236100170605994,-2450.209247006006,49.39784715518045,-2918.967547178319,-0.0,-0.0,592.2640993747982,0.0,2.0,0.12968909106391452,0.0,0,1.820642369921128,131.99922844444444,-123.50579920248575,0.1980070865015922,9.365449855041764,0.002821333721864897,-82.0727848281025,1.2216735835538937,0,0,49.39784715518045
2025-01-01 00:09:00,0.6388814467225111,0.31083072171775006,0.0,0.010648024112041852,0.005180512028629168,0.0,0.07810729084249354,0.5107741558800175,0.0,0.05,0.0,0.0,0.0,0.2962473883844167,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.02043355263157895,0.0,On,0.034593055990905654,0,On,0.023080682220008933,0.0,On,0.012233559330717493,0,On,0.35817852983923343,0.268633897379425,On,0.05395163904464596,0,On,0.04959243965876499,0,On,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,13911.792573333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8212.145604444444,Off,0.0,0,41.74291593869526,51.666666666666686,46.10666666666668,0.0,49.0742148480873,0.0,0.0,0.0,65.22330615421134,47.44540217013652,49.0742148480873,46.63099583116113,12.43753247303448,19.916494382264517,0.0,0.12059235774274253,2.8,9.236100170605994,-2406.96484792987,49.035407159159256,-2881.382817627847,-0.0,-0.0,592.2640993747982,0.0,2.0,0.1291720310286217,0.0,0,1.813383614382599,131.99922844444444,-117.84612967682109,0.19987664392405632,9.294621803483006,0.0028209067019617203,-81.1317360415816,1.222316424473748,0,0,49.035407159159256
