Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Gas Grill Gas Power (therms/hour),Gas Grill Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.491121364651977,0.16313610708307882,0.18225474733793445,0.00818535607753295,0.0027189351180513135,0.0030375791222989074,0.019035132253061582,0.23793154489891538,0.18415468750000002,0.05,0.0,0.00023312571631283082,0.1820216216216216,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,On,3890.785601561748,18.33333333333337,0.9250000000000002,1227.8073837160298,5.334527889489489,0.18415468750000002,1,4934.438297777778,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,81.66161437195352,51.666666666666686,46.10666666666668,0.0,49.226399141998655,0.0,0.0,0.0,127.59627245617736,48.89655161312222,49.226399141998655,48.73162784868401,12.43753247303448,18.475065122324473,0.0,-2.7268299959296907,-2.5967371025110495,2.8,9.236100170605994,1898.1286832310207,1988.5206755597344,737.580442738588,-1474.6501539986418,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07218749887430194,0.0,0.0,1.3512071365037843,65.99961422222222,-17.568227371892426,0.21213419901575184,8.516277509651227,0.0027442979679527407,-34.66558299676734,1.224836909270077,0,0,-17.44382846864517,0.12126643488044567,852.8831299119925,-115.30268717340445
2025-01-01 00:01:00,0.491121364651977,0.16313610708307882,0.18225474733793445,0.00818535607753295,0.0027189351180513135,0.0030375791222989074,0.019035132253061582,0.23793154489891538,0.18415468750000002,0.05,0.0,0.00023312571631283082,0.1820216216216216,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,On,3890.785601561748,18.33333333333337,0.9250000000000002,1227.8073837160298,5.334527889489489,0.18415468750000002,1,4934.438297777778,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,81.52519481055178,51.666666666666686,46.10666666666668,0.0,49.212642751196505,0.0,0.0,0.0,127.38311689148716,48.88382817017596,49.212642751196505,48.7194208796657,12.43753247303448,18.51314568116104,0.0,-2.5876018294385017,-2.514760653966032,2.8,9.236100170605994,1889.9932561244243,1986.3643052689827,719.9580410615082,-1479.6246160551325,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07225547477094305,0.0,0.0,1.3524795107802727,65.99961422222222,-20.72919242199812,0.21222826134113973,8.556997896437235,0.002744058105035555,-34.69450197530131,1.2282546081824066,0,0,-19.600198759397113,0.12099734744248207,838.0640526790924,-118.10601161758419
2025-01-01 00:02:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,81.39156856704004,51.666666666666686,46.10666666666668,0.0,49.19890957580717,0.0,0.0,0.0,127.17432588600005,48.8711259823386,49.19890957580717,48.70723418560432,12.43753247303448,18.550206577912487,0.0,-2.4507906306864924,-2.4364200204410764,2.8,9.236100170605994,-1230.5950244471549,-21.506507029700096,704.2505638622113,-1484.472071882906,-0.0,-0.0,277.71858335215586,0.0,1.0,0.0723216165730748,0.0,0.0,1.3537175544367968,65.99961422222222,-23.841535916404624,0.211717657335582,8.574208065370318,0.0027438187100092292,-34.72116077626771,1.228098734250015,0,0,-21.506507029700096,0.12073963416050197,823.9521326427925,-119.70156878058133
2025-01-01 00:03:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,81.56454829773875,51.666666666666686,46.10666666666668,0.0,49.18519914981986,0.0,0.0,0.0,127.4446067152168,48.85844461439194,49.18519914981986,48.69506734667798,12.43753247303448,18.473025664121085,0.0,-2.3894315375222686,-2.3613192938284193,2.8,9.236100170605994,-1220.496458759624,-22.19646520799728,689.0720606541795,-1474.3839216420945,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07218385792017941,0.0,0.0,1.3511389850472197,65.99961422222222,-23.831120469685317,0.2127255763590989,8.537382865349702,0.002743579100626826,-34.49612121868623,1.2284239403534911,0,0,-22.19646520799728,0.12049206155531247,810.469756783549,-121.39769612936952
2025-01-01 00:04:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,81.73166394536365,51.666666666666686,46.10666666666668,0.0,49.1714604258446,0.0,0.0,0.0,127.70572491463071,48.84573629500975,49.1714604258446,48.68287422959233,12.43753247303448,18.398003117644812,0.0,-2.3289936239047915,-2.289230349156619,2.8,9.236100170605994,-1210.1976677591106,-22.93876298981742,674.8018911695051,-1464.6032893552529,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07204989470316964,0.0,0.0,1.3486314587071284,65.99961422222222,-23.31296175601357,0.21371010529343012,8.502378054633816,0.0027433411072553945,-34.27634114496577,1.2287402208532447,0,0,-22.93876298981742,0.1202539379736972,797.5704729807633,-122.76858181125823
2025-01-01 00:05:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,81.89311080410728,51.666666666666686,46.10666666666668,0.0,49.15769438084118,0.0,0.0,0.0,127.95798563141761,48.833001937856636,49.15769438084118,48.67065571636438,12.43753247303448,18.32506707417526,0.0,-2.269458493109966,-2.219898630886761,2.8,9.236100170605994,-1199.2010810789088,-23.628207476180556,661.3138891875439,-1455.118702380643,-0.0,-0.0,277.71858335215586,0.0,1.0,0.0719196036897976,0.0,0.0,1.3461926687526913,65.99961422222222,-21.800962050421518,0.21467179043370735,8.467810565217103,0.00274310469104593,-34.06164914991861,1.2290478648863208,0,0,-23.628207476180556,0.12002447637036168,785.2038479040928,-123.88995871654892
2025-01-01 00:06:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,82.04902557568452,51.666666666666686,46.10666666666668,0.0,49.14390195922426,0.0,0.0,0.0,128.20160246200706,48.82024242616904,49.14390195922426,48.65841265964143,12.43753247303448,18.254167474453972,0.0,-2.2108030094244917,-2.1530975703073545,2.8,9.236100170605994,-1188.3129827922237,-24.276228009749122,648.5417010517261,-1445.9216622950742,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07179290023440038,0.0,0.0,1.343821030784592,65.99961422222222,-20.109903849305446,0.21561091024224915,8.433661051310889,0.002742869814450984,-33.85192218946982,1.2293470705723304,0,0,-24.276228009749122,0.11980297455814734,773.325153164156,-124.78345211242984
2025-01-01 00:07:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,82.19961554122418,51.666666666666686,46.10666666666668,0.0,49.130084082619405,0.0,0.0,0.0,128.43689928316277,48.80745862188428,49.130084082619405,48.64614589151672,12.43753247303448,18.185227935124143,0.0,-2.153004187378955,-2.0886208972389366,2.8,9.236100170605994,-1177.653982638307,-24.884340763088648,636.4226596747684,-1437.0003843806778,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07166965231100147,0.0,0.0,1.3415140735377997,65.99961422222222,-18.37218160978516,0.2165281221003126,8.401225447267059,0.0027426364408696157,-33.646979545303665,1.2296381478944032,0,0,-24.884340763088648,0.11958879095017778,761.8938833723857,-125.47122369761735
2025-01-01 00:08:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,82.34509007328774,51.666666666666686,46.10666666666668,0.0,49.11624163811314,0.0,0.0,0.0,128.6642032395121,48.79465135464389,49.11624163811314,48.633856212909265,12.43753247303448,18.118171261005056,0.0,-2.0960391766499122,-2.026281181224089,2.8,9.236100170605994,-1167.3682419431223,-25.45455306933617,624.8997363181413,-1428.3431228207874,-0.0,-0.0,277.71858335215586,0.0,1.0,0.07154972607671845,0.0,0.0,1.3392692917383995,65.99961422222222,-16.743702474490632,0.21742412153260687,8.369130337600142,0.0027424045350625766,-33.44663912445792,1.2299214111983006,0,0,-25.45455306933617,0.11938134067546409,750.8734080735045,-125.97367175536314
2025-01-01 00:09:00,0.30696667715197695,0.16313610708307882,0.00023312571631283082,0.0051161112858662825,0.0027189351180513135,3.885428605213847e-06,0.019035132253061582,0.23793154489891538,0.0,0.05,0.0,0.00023312571631283082,0.0,0.0,0.1485527737497455,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.0030978709795321632,0.0,On,0.00796863063676471,0,On,0.00796863063676471,0.0,On,0.005703429836781645,0,On,0.15842797085100502,0.11882097813825372,On,0.034157750062473013,0,On,0.00023312571631283082,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,4934.438297777778,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,2741.0941022222223,Off,0.0,0,82.48566318460418,51.666666666666686,46.10666666666668,0.0,49.10237547790581,0.0,0.0,0.0,128.88384872594403,48.7818214214677,49.10237547790581,48.62154439324864,12.43753247303448,18.052918495028816,0.0,-2.039885505827355,-1.9659082160415666,2.8,9.236100170605994,-1157.4277501296697,-25.988631652199064,613.9211731518584,-1419.9380435020823,-0.0,-0.0,277.71858335215586,0.0,1.0,0.0714329841883387,0.0,0.0,1.337084114593222,65.99961422222222,-15.208289979743242,0.21829965461027334,8.338000659374424,0.0027421740631583978,-33.25071538536912,1.2301971831733485,0,0,-25.988631652199064,0.11918009104504455,740.2306082449409,-126.3094350930825
