Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5781409446486031,0.1278847951981276,0.3376259459459459,0.5781409446486032,0.1278847951981276,0.33762594594594597,0.02763925328842304,0.0,0.1589191913601801,0.34158250000000007,0.05,0.3376259459459459,0.0,0.0,0.11330146186479424,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0060315515350877185,0.0,0.0008343549963655114,0.0,0.02077334675696981,0.0,0.007850575540454405,0.0,0.11775710286132297,0.0883178271459922,0.0,0.0,6068.285192609361,19.444444444444457,0.37000000000000005,3426.025335835084,9.894841111831832,0.34158250000000007,0.4,9152.728028444446,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,0.0,0.0,21.38866450171769,51.66666666666668,46.10666666666668,0.0,51.23999376900254,0.0,0.0,0.0,21.38866450171769,49.43833148491843,51.23999376900254,48.537500342876385,12.43753247303448,19.133647818540155,-0.05759333891130704,2.228952233517709,3.894201896759473,2.8,9.236100170605994,3341.761658433094,1062.806887257113,2803.0883689274224,-3025.065803896219,0.0,0.0,442.3139043371994,0.0,4.0,0.1420888840759523,0.0,0.0,1.3298113743738031,263.9984568888889,-143.77163461724714,0.2147526067618811,9.008753129250172,0.002886658221587883,-32.53453224547587,1.2254837386341966,1.4498225455103997,1045.528603843208,17.27828341390512,0.30032598632212787,-291.37820235861676,-331.5587645490449
2025-01-01 01:00:00,0.5819515381618072,0.12537619321559348,0.3516936936936937,0.5819515381618072,0.12537619321559348,0.3516936936936937,0.023657415062861214,0.0,0.15247901893227928,0.35581510416666673,0.05,0.3516936936936937,0.0,0.0,0.11079285988226013,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.005579185169956139,0.0,0.0006980687538535377,0.0,0.017380161139051536,0.0,0.004755205755932383,0.0,0.11524508804190425,0.08643381603142816,0.0,0.0,6321.130408968083,19.444444444444457,0.38541666666666674,3568.7763914948796,10.307126158158159,0.35581510416666673,0.4166666666666667,9534.091696296297,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,0.0,0.0,21.263388375926993,51.66666666666668,46.10666666666668,0.0,51.11169669831351,0.0,0.0,0.0,21.263388375926993,49.330552657706086,51.11169669831351,48.439980637402385,12.43753247303448,19.20299999951794,-0.04120993315415097,2.808890555220538,5.422155294324783,2.5,9.236100170605994,3709.0797363923703,-565.7446185058604,2267.097590195836,-2898.0269318932324,0.0,0.0,432.0677347210961,0.0,4.0,0.13314967571493738,0.0,0.0,1.2461492284312627,263.9984568888889,-146.09147540357736,0.21343463517489322,9.034952683354307,0.002881227336772941,-9.134127770636725,1.2252563787713886,1.4498225455103997,-584.5461998789957,18.8015813731352,0.27153414272166415,-1002.8422682695551,-298.83653302948846
2025-01-01 02:00:00,0.6238165628378471,0.12475160234762343,0.39389693693693695,0.6238165628378471,0.12475160234762345,0.39389693693693695,0.023657415062861214,0.0,0.1516462311083192,0.39851291666666666,0.05,0.39389693693693695,0.0,0.0,0.1101682690142901,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.005579185169956139,0.0,0.0006980687538535377,0.0,0.017380161139051536,0.0,0.004755205755932383,0.0,0.11524508804190425,0.08643381603142816,0.0,0.0,7079.666058044254,19.444444444444457,0.43166666666666675,3997.029558474265,11.543981297137138,0.39851291666666666,0.4666666666666667,10678.182699851854,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,0.0,0.0,21.239110620271667,51.66666666666668,46.10666666666668,0.0,50.983956186550195,0.0,0.0,0.0,21.239110620271667,49.2231586383137,50.983956186550195,48.34275986419546,12.43753247303448,19.1293294280601,-0.06319879394264347,2.237288474551105,5.889708167062243,1.6500000000000001,9.236100170605994,4513.921527223796,-1094.010155478797,2394.5059532206133,-2862.932553295793,0.0,0.0,431.234946897136,0.0,4.0,0.12509431743966398,0.0,0.0,1.170759044823454,263.9984568888889,-134.0469244218016,0.21459255566586488,9.003549603616733,0.002883538843648575,29.4764066989617,1.2255636268573111,1.4498225455103997,-1114.9709630454045,20.960807566607503,0.2315495175499642,-1289.0853230986052,-313.43828215504647
2025-01-01 03:00:00,0.5372865724371326,0.12412701147965338,0.3094904504504505,0.5372865724371327,0.12412701147965338,0.3094904504504504,0.02335583748610683,0.0,0.15081344328435914,0.3131172916666667,0.05,0.3094904504504505,0.0,0.0,0.10954367814632006,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.005277607593201754,0.0,0.0006980687538535377,0.0,0.017380161139051536,0.0,0.004755205755932383,0.0,0.11524508804190425,0.08643381603142816,0.0,0.0,5562.594759891914,19.444444444444457,0.3391666666666667,3140.5232245154934,9.070271019179179,0.3131172916666667,0.36666666666666664,8390.000692740741,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,0.0,0.0,21.153372859240147,51.66666666666668,46.10666666666668,0.0,50.856732966528334,0.0,0.0,0.0,21.153372859240147,49.11611395281624,50.856732966528334,48.2458044459602,12.43753247303448,19.143285281039507,-0.060428214795163866,1.9646493117507258,5.791726307796879,1.6500000000000001,9.236100170605994,2887.60585736389,-680.5362191083733,1425.1768097933993,-2974.302840103005,0.0,0.0,430.10058149642157,0.0,4.0,0.12999219487996652,0.0,0.0,1.2165983317793676,263.9984568888889,-130.78664392143943,0.21476962694974208,9.015602118650385,0.0028884514643090723,-26.63495037417405,1.2255014899226409,1.4498225455103997,-701.5476491068737,21.011429998500436,0.2590048538182698,-1386.564902397243,-328.7815123248516
2025-01-01 04:00:00,0.6218494096131726,0.12350242061168332,0.39389693693693695,0.6218494096131726,0.12350242061168332,0.39389693693693695,0.02335583748610683,0.0,0.14998065546039907,0.39851291666666666,0.05,0.39389693693693695,0.0,0.0,0.10891908727834997,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.005277607593201754,0.0,0.0006980687538535377,0.0,0.017380161139051536,0.0,0.004755205755932383,0.0,0.11524508804190425,0.08643381603142816,0.0,0.0,7079.666058044254,19.444444444444457,0.43166666666666675,3997.029558474265,11.543981297137138,0.39851291666666666,0.4666666666666667,10678.182699851854,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,0.0,0.0,21.05083310790654,51.66666666666668,46.10666666666668,0.0,50.73007606394061,0.0,0.0,0.0,21.05083310790654,49.00946536877389,50.73007606394061,48.149160021190525,12.43753247303448,19.18150170540923,-0.05106353075745578,1.5776979528437247,5.768505477124857,0.55,9.236100170605994,4107.234017776149,-1940.7165869074402,1899.5575224182332,-3273.583294527643,0.0,0.0,429.2677936724615,0.0,4.0,0.13371754528012125,0.0,0.0,1.2514639257198878,263.9984568888889,-128.11653941292352,0.2134479410277877,9.018471041222623,0.002878852100841387,34.57620473719741,1.224773314874374,1.4498225455103997,-1962.8260134956631,22.109426588223187,0.2647924329029913,-1773.5215883526419,-323.95044770338984
2025-01-01 05:00:00,1.6381837634560952,0.12557867775834575,0.39389693693693695,1.6381837634560954,0.12557867775834575,0.39389693693693695,0.027671813687600667,1.0083453494074075,0.15365368369442037,0.39851291666666666,0.05,0.39389693693693695,0.0,0.0,0.11099534442501241,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.005880762746710526,0.0,0.0008414348011713281,0.0,0.020949616139718814,0.0,0.005659891127737128,0.0,0.11801343090412081,0.08851007317809058,0.0,0.0,7079.666058044254,19.444444444444457,0.43166666666666675,3997.029558474265,11.543981297137138,0.39851291666666666,0.4666666666666667,10678.182699851854,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,1008.3453494074075,0.18333333333333332,20.969301799170456,51.66666666666668,46.10666666666668,0.0,50.54352482660866,0.2006668732879374,531.4311576317419,1008.3453494074075,20.969301799170456,48.79662435163177,50.54452716863402,47.92217177211798,12.43753247303448,19.104616752187358,-0.06657666057697711,0.31274103960623856,5.075378852053747,-0.25000000000000006,9.236100170605994,3999.3692053519244,-1111.179957671357,1922.361716723863,-3395.617420922249,0.0,0.0,437.0630141076215,0.0,4.0,0.13323795971073785,0.0,0.0,1.2469754792851144,263.9984568888889,-121.74244587770285,0.215917574741805,9.002967503170902,0.0028998196511057085,50.48226095572165,1.2244651583358361,1.4498225455103997,-1135.5051117706503,24.325154099293268,0.2462646053407672,-1713.5659761405814,-361.1018656098202
2025-01-01 06:00:00,0.7597818875531153,0.13928540237426038,0.3376259459459459,0.7597818875531153,0.13928540237426038,0.33762594594594597,0.08272461952384605,0.09166775903703704,0.19380700899223216,0.34158250000000007,0.05,0.3376259459459459,0.0,0.0,0.12470206904092704,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.013541128926490651,0.0,0.00663470668859649,0.0,0.002938118994413978,0.0,0.07315179384083557,0.0,0.013996454677838712,0.0,0.1346234880774202,0.1009676160580651,0.0,0.0,6068.285192609361,19.444444444444457,0.37000000000000005,3426.025335835084,9.894841111831832,0.34158250000000007,0.4,9152.728028444446,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,91.66775903703704,0.016666666666666666,22.017907339199255,51.66666666666668,46.10666666666668,0.0,51.446219413153266,0.22532418774595142,612.1041059946132,91.66775903703704,22.017907339199255,50.38980780177306,51.446219413153266,49.86160199608296,12.43753247303448,19.142903407687513,-0.06204305628039197,0.9898397216441441,4.908720671487189,0.3,9.236100170605994,3126.395231448858,-1292.1175551635374,1544.0493079757023,-3296.2176862584724,0.0,0.0,483.3068716486983,0.0,3.35,0.133106687573008,0.0,0.0,1.2457469019546161,221.09870764444443,-128.97914655072884,0.21492380445735018,9.013141239136733,0.0028932840099118074,-64.05837847889312,1.2243097220732428,1.4498225455103997,-1314.34393107698,22.226375913442745,0.25417173863709525,-1539.800851275473,-342.175176583909
2025-01-01 07:00:00,1.7341073092271744,0.1400347444267447,0.40796468468468466,1.7341073092271746,0.1400347444267447,0.40796468468468466,0.08098880884583073,1.0083453494074075,0.18202763014060283,0.4127455208333334,0.05,0.40796468468468466,0.0,0.0,0.12545141109341137,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.006182340323464912,0.0,0.0028885603607732594,0.0,0.07191790816159258,0.0,0.014759082016054281,0.0,0.13395703516614582,0.10046777637460934,0.0,0.0,7332.5112744029775,19.444444444444457,0.4470833333333334,4139.78061413406,11.956266343463463,0.4127455208333334,0.48333333333333334,11059.546367703704,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,1008.3453494074075,0.18333333333333332,22.162328266584733,51.66666666666668,46.10666666666668,0.0,51.61715192839347,0.19434732748974498,527.9535476575462,1008.3453494074075,22.162328266584733,50.574782325481365,51.61715192839347,50.05359752402532,12.43753247303448,19.162891959786535,-0.05444350850624424,0.3330121646695143,4.786576584648973,-0.55,9.236100170605994,4074.0567977660567,-1663.4476198595319,1908.1314872484554,-3554.7144661263246,0.0,0.0,425.2384435025811,2.878947327159879,2.6,0.13671952508669358,0.0,0.0,1.2795594865963207,171.59899697777777,-128.97845401317713,0.21381533519056192,9.009436388337914,0.0028819325459263057,-26.89638479712573,1.224234303569563,1.4498225455103997,-1687.572852305731,24.125232446199284,0.2659278237442778,-1881.6242538491376,-350.0248730364669
2025-01-01 08:00:00,0.7038204211694055,0.13243120512090442,0.43610018018018015,0.7038204211694055,0.13243120512090442,0.43610018018018015,0.04594635455828256,0.0,0.16666333744445613,0.4412107291666667,0.05,0.43610018018018015,0.0,0.0,0.11784787178757107,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0046744524396929825,0.0,0.0015936640617893645,0.0,0.039678238056800215,0.0,0.009532841727694636,0.0,0.1229861949343987,0.092239646200799,0.0,0.0,7838.201707120424,19.444444444444457,0.4779166666666667,4425.2827254536505,12.780836436116116,0.4412107291666667,0.5166666666666667,11822.273703407409,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,0.0,0.0,21.772795648913092,51.66666666666668,46.10666666666668,0.0,51.60923790048814,0.10193358115979177,278.54819508559444,0.0,21.772795648913092,49.98732192389162,51.60923790048814,49.17636393559337,12.43753247303448,19.11920008954873,-0.06707179778753272,-0.46463058483136394,4.320774819167933,-1.4,9.236100170605994,4261.139136430146,-1767.0309751452878,1955.2648859287206,-3831.382747125623,0.0,0.0,335.99988680177523,192.7492162494779,2.0,0.14122288880582362,0.0,0.0,1.3217065154479253,131.99922844444444,-81.67971036643021,0.21466395034721772,8.995481923821902,0.002884105724112125,68.57009719101065,1.2249909570765876,1.4498225455103997,-1792.7469748548167,25.715999709528987,0.28028802890665017,-2121.841392118016,-348.17644740691435
2025-01-01 09:00:00,1.569689102287427,0.1354686924280587,0.36576144144144146,1.569689102287427,0.1354686924280587,0.36576144144144146,0.05804107922565602,0.9166775903703706,0.17492272435806738,0.3700477083333334,0.05,0.36576144144144146,0.0,0.0,0.12088535909472535,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0037697197094298243,0.0,0.0020956222225217767,0.0,0.052175737293704415,0.0,0.013742245565100187,0.0,0.1270361780106044,0.09527713350795326,0.0,0.0,6573.975625326808,19.444444444444457,0.40083333333333343,3711.5274471546745,10.719411204484485,0.3700477083333334,0.43333333333333335,9915.455364148149,22881.820071111117,0.0,24.444444444444457,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,15114.849484444445,916.6775903703705,0.16666666666666666,21.874144148373603,51.66666666666668,46.10666666666668,0.0,51.558507569953775,0.15730245964158962,426.95405345052296,916.6775903703705,21.874144148373603,50.107704217403395,51.55889428663128,49.38191582445071,12.43753247303448,19.120482900080713,-0.06533618979137211,-0.3400109464445922,4.406221583511239,-0.85,9.236100170605994,3262.7952728573773,-1080.004158050263,1526.3493665230928,-3665.8544566633896,0.0,0.0,356.07049956742554,522.9791551349401,2.0,0.1389523046515237,0.0,0.0,1.3004560942450465,131.99922844444444,-1.3963953734661385,0.21683008675975174,9.032073259359498,0.002912098265836031,201.58288299764533,1.2255795527273972,1.4498225455103997,-1103.3555092241731,23.351351173910295,0.2727510706676888,-1904.0030030972132,-281.1750775343682
