Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,1.2162371974235704,0.11871769661311071,0.3585175000000001,1.2162371974235704,0.11871769661311071,0.35851750000000004,0.030726875108635737,0.0,0.717239905648268,0.41827041666666676,0.05,0.3585175000000001,0.0,0.0,0.10413436327977736,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03026737992042858,0.02270053494032143,0.5659168765538184,0.0,0.004544051535087718,0.0,0.0007359461434652881,0.0,0.025446877430082726,0.0,0.01247721138807965,0.0,0.1085784377859413,0.08143382833945595,7464.86214996024,18.33333333333337,0.29333333333333333,1359.0980329286497,10.507112207777778,0.41827041666666676,0.36666666666666664,8405.689766222224,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,39.365155761115496,51.66666666666668,46.10666666666668,0.0,51.88266348001183,0.0,0.0,0.0,39.365155761115496,51.899146289589524,51.90738769437837,51.88266348001183,12.43753247303448,18.06546221917315,-0.052922030474791625,9.187956089754987,2.6468470835597584,2.8,9.236100170605994,5686.837981525202,-731.5909064596782,169.74047239506518,-2316.1243924466285,0.0,0.0,713.9087931212632,0.0,2.0,0.11638928941090007,0.0,0.0,0.8488352613462912,131.99922844444444,-175.80856910967077,0.21807822260431176,8.342062852802856,0.0027409941280796576,7.380252263033966,1.23008694441786,0.2543589999687702,-2117.8468164649744,27.157877076646784,0.7249112727551998,134.0231403258743,35.71733206919086
2025-01-01 01:00:00,0.5602679208421222,0.11002962927223203,0.30962875000000006,0.5602679208421222,0.11002962927223203,0.30962875,0.018470318155459506,0.0,0.1305640610199959,0.3612335416666667,0.05,0.30962875000000006,0.0,0.0,0.0954462959388987,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02951069542241786,0.02213302156681339,0.0,0.0,0.004203247669956139,0.0,0.0004010184567321216,0.0,0.013866052028771244,0.0,0.0033023331014642773,0.0,0.09775103249611376,0.0733132743720853,6446.926402238388,18.33333333333337,0.25333333333333335,1173.7664829838336,9.074324179444444,0.3612335416666667,0.31666666666666665,7259.459343555556,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,39.21556721297177,51.66666666666668,46.10666666666668,0.0,51.66975776568606,0.0,0.0,0.0,39.21556721297177,51.70065271000354,51.71610018216229,51.66975776568606,12.43753247303448,17.99500387367457,-0.0689472579275146,9.406826416348158,3.5197162583220174,2.5,9.236100170605994,4237.210604284928,-584.6107027964983,-932.8825728660402,-2315.672138344686,0.0,0.0,274.1910353451719,0.0,2.0,0.11455108438674845,0.0,0.0,0.8354291030134978,131.99922844444444,-168.23469495394457,0.21888950951136335,8.306823246516943,0.002738926337509152,-29.525538289536655,1.2304458471875492,0.20243026875792408,-1783.2655412675495,24.888355487217453,0.7249112727551998,-964.5857323883137,31.703159522273417
2025-01-01 02:00:00,0.6355604030107781,0.109462115898724,0.3748137500000001,0.6355604030107781,0.109462115898724,0.37481375000000006,0.018470318155459506,0.0,0.12980737652198518,0.4372827083333334,0.05,0.3748137500000001,0.0,0.0,0.09487878256539066,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875401092440715,0.02156550819330536,0.0,0.0,0.004203247669956139,0.0,0.0004010184567321216,0.0,0.013866052028771244,0.0,0.0033023331014642773,0.0,0.09775103249611376,0.0733132743720853,7804.174065867523,18.33333333333337,0.3066666666666667,1420.8752162435883,10.984708217222222,0.4372827083333334,0.38333333333333336,8787.766573777777,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,38.91108420418118,51.66666666666668,46.10666666666668,0.0,51.45810759111782,0.0,0.0,0.0,38.91108420418118,51.50320296748802,51.52575065567312,51.45810759111782,12.43753247303448,18.05872394166806,-0.05219593848049655,10.230258986084447,3.1015858856827805,1.6500000000000001,9.236100170605994,5432.0816233596715,-196.3166275911968,-1345.9334577583859,-2483.3244693986585,0.0,0.0,273.43435084716117,0.0,2.0,0.1155478796599829,0.0,0.0,0.8426988009431553,131.99922844444444,-162.2023239563532,0.21776491089685207,8.333216661844274,0.0027357817713647187,-5.124957694056182,1.2301789482512224,0.14608756784530672,-1635.933382974236,18.741539139451152,0.7249112727551998,-1377.5019594972207,31.568501738834883
2025-01-01 03:00:00,0.19729380760267962,0.10889460252521596,0.0,0.19729380760267962,0.10889460252521595,0.0,0.01824311557870512,0.0,0.12905069202397448,0.0,0.05,0.0,0.0,0.0,0.09431126919188262,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02799732642639643,0.020997994819797316,0.0,0.0,0.003976045093201754,0.0,0.0004010184567321216,0.0,0.013866052028771244,0.0,0.0033023331014642773,0.0,0.09775103249611376,0.0733132743720853,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,41.0771615158973,51.66666666666668,46.10666666666668,0.0,51.24468204320966,0.0,0.0,0.0,41.0771615158973,51.30294000868453,51.33206899142196,51.24468204320966,12.43753247303448,15.996302470037971,0.0,8.786007960094,2.8103046466176367,1.6500000000000001,9.236100170605994,-1813.7613807839298,-1514.9663950620707,-1069.548337624055,-2027.642914071965,0.0,0.0,272.45046377239606,0.0,2.0,0.10740603741210135,0.0,0.0,0.783319773652062,131.99922844444444,-58.568930484360955,0.24862860275121765,7.3408831104156755,0.0027353021824567587,-32.42271287765616,1.238967038506109,0.17106895140995368,-1548.2108131073314,33.244418045260595,0.7249112727551998,-1101.3672765215865,31.8189388975315
2025-01-01 04:00:00,0.38666003977133556,0.10832708915170793,0.1629625,0.38666003977133556,0.10832708915170793,0.1629625,0.01824311557870512,0.0,0.12829400752596376,0.1901229166666667,0.05,0.1629625,0.0,0.0,0.09374375581837459,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027240641928385715,0.02043048144628928,0.0,0.0,0.003976045093201754,0.0,0.0004010184567321216,0.0,0.013866052028771244,0.0,0.0033023331014642773,0.0,0.09775103249611376,0.0733132743720853,3393.119159072836,15.000000000000057,0.13333333333333333,617.7718331493862,4.775960094444445,0.1901229166666667,0.16666666666666666,3820.7680755555557,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,42.35912903735359,51.66666666666668,46.10666666666668,0.0,51.08245169120471,0.0,0.0,0.0,42.35912903735359,51.090463115551564,51.094468827725,51.08245169120471,12.43753247303448,14.683868262712304,-0.06148679068168646,8.478041300510887,2.6222368943543732,0.55,9.236100170605994,1609.9671518861494,-842.9640663564084,-1945.8503767803472,-1982.840546112552,0.0,0.0,271.69377927438535,0.0,2.0,0.10606958629222914,0.0,0.0,0.7735729417798584,131.99922844444444,-72.00524034851968,0.26921042188900035,6.687520905616026,0.0027288372617394895,23.805752364084878,1.2440241251748196,0.15509625835381183,-1489.9904829883455,29.254583482551066,0.7249112727551998,-1977.2162229613748,31.365846181027432
2025-01-01 05:00:00,0.4821759032581777,0.10832708915170793,0.24444375000000004,0.4821759032581777,0.10832708915170793,0.24444375000000002,0.018697520732213892,0.0,0.12829400752596376,0.28518437500000005,0.05,0.24444375000000004,0.0,0.0,0.09374375581837459,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027240641928385715,0.02043048144628928,0.0,0.0,0.004430450246710526,0.0,0.0004010184567321216,0.0,0.013866052028771244,0.0,0.0033023331014642773,0.0,0.09775103249611376,0.0733132743720853,5089.678738609254,15.000000000000057,0.2,926.6577497240793,7.163940141666667,0.28518437500000005,0.25,5731.152113333334,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,42.078999168993214,51.66666666666668,46.10666666666668,0.0,50.85355759444981,0.0,0.0,0.0,42.078999168993214,50.87714823133079,50.88894354977129,50.85355759444981,12.43753247303448,14.71074162717012,-0.05961448760567144,8.975984734941234,1.3389458198512156,-0.25000000000000006,9.236100170605994,3093.6457473095984,-699.0770616538744,-1483.2115298638066,-2148.8560253791015,0.0,0.0,272.14818442789414,0.0,2.0,0.10892488495825912,0.0,0.0,0.7943968354703228,131.99922844444444,-119.32515034844823,0.26976317183260523,6.7117373115757335,0.002740671889689079,33.790705826067416,1.2432748033042849,0.1390692210548848,-1647.2776038546033,21.542792476649627,0.7249112727551998,-1517.488088695744,34.27655883193726
2025-01-01 06:00:00,0.7254999696912585,0.11950681719169652,0.24444375000000004,0.7254999696912585,0.11950681719169652,0.24444375000000002,0.057306225253601226,0.0,0.33300936943765713,0.28518437500000005,0.05,0.24444375000000004,0.0,0.0,0.10492348385836318,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875401092440715,0.02156550819330536,0.1845180556093311,0.0,0.00499845668859649,0.0,0.001470265437207525,0.0,0.050837503127797216,0.0,0.008593335350508458,0.0,0.11114396755341048,0.08335797566505783,5089.678738609254,15.000000000000057,0.2,926.6577497240793,7.163940141666667,0.28518437500000005,0.25,5731.152113333334,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,41.868738873191774,51.66666666666668,46.10666666666668,0.0,50.62612311809623,0.0,0.0,0.0,41.868738873191774,50.66505713390793,50.68452414181378,50.62612311809623,12.43753247303448,14.67879683728163,-0.06344292145232883,8.515750463466736,1.8873146790290416,0.3,9.236100170605994,3388.0366739387614,-801.6930782297381,-1479.6523611962557,-2019.3348812493007,0.0,0.0,462.8696898363515,0.0,2.0,0.1068139079332959,0.0,0.0,0.7790013317796467,131.99922844444444,-145.17687325754366,0.27010403632205987,6.693178087470228,0.002738474148618553,-20.429340605225736,1.2434144087798933,0.16265687835364295,-1752.3708687672238,24.02004081340649,0.7249112727551998,-1512.055336105929,32.40297490967338
2025-01-01 07:00:00,0.5696128465678584,0.12546851858598512,0.24444375000000004,0.5696128465678584,0.12546851858598512,0.24444375000000002,0.07461838892631359,0.0,0.1598100826415447,0.28518437500000005,0.05,0.24444375000000004,0.0,0.0,0.11088518525265179,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03026737992042858,0.02270053494032143,0.0,0.0,0.004657652823464912,0.0,0.001966454602738142,0.0,0.06799428150011053,0.0,0.011963168971342288,0.0,0.11757953374977384,0.08818465031233035,5089.678738609254,15.000000000000057,0.2,926.6577497240793,7.163940141666667,0.28518437500000005,0.25,5731.152113333334,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,41.621011053440625,51.66666666666668,46.10666666666668,0.0,50.40009232319616,0.0,0.0,0.0,41.621011053440625,50.4541397568109,50.48116347361827,50.40009232319616,12.43753247303448,14.680236368202056,-0.055524097648310636,8.414967940149783,1.3524245797092738,-0.55,9.236100170605994,3071.056210565922,-1006.8774807499332,-1784.2035284892263,-2225.8131291868212,0.0,0.0,358.19713264981857,6.380637852967086,2.0,0.11074053100308555,0.0,0.0,0.8076384695826474,131.99922844444444,-151.00653150632868,0.2699153816028417,6.692043172341224,0.002736922067899822,24.74547151422992,1.2434091096290305,0.16502689460993988,-1956.9858867582295,23.450656284217214,0.7249112727551998,-1817.6584400093475,33.45491152012109
2025-01-01 08:00:00,0.9328699849748273,0.2718180861931432,0.26074,0.9328699849748273,0.27181808619314324,0.26074,0.0788361448859861,0.0,0.49983717342217454,0.3041966666666667,0.05,0.26074,0.0,0.0,0.2572347528598099,0.0,0.01458333333333334,1.0,0.09396840587010417,0.1098612400949422,0.24064588046973123,0.03429018081192662,0.0,0.0,0.031024064418439294,0.023268048313829465,0.0,0.0,0.0035216399396929823,0.0,0.0021169382021203787,0.0,0.07319756674417274,0.0,0.014445111145084307,0.0,0.1197537115188155,0.0898152836391116,5428.990654516538,15.000000000000057,0.21333333333333335,988.4349330390179,7.6415361511111115,0.3041966666666667,0.26666666666666666,6113.228920888889,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,0.0,0.0,40.75971787820444,51.66666666666668,46.10666666666668,0.0,50.08959047486187,0.07681535395600791,201.79101604769227,0.0,40.75971787820444,49.6745280451839,50.11535782476107,49.44122948044572,12.43753247303448,14.649941344151811,-0.0646995231390553,7.878255516001827,0.6228473084292154,-1.4,9.236100170605994,3348.726788790185,-1135.202961388672,-1903.1012372021505,-2437.2402052431858,0.0,0.0,425.5341640547944,375.5292662917064,2.0,0.11483071590524044,0.0,0.0,0.8374684753155475,131.99922844444444,-68.55782453796105,0.27171062195674484,6.69458748223199,0.0027484641154725676,132.14361062974902,1.24411551936101,0.17531095969392815,-2150.5968229462646,26.95892851857478,0.7249112727551998,-1938.4092891265814,35.30805192443059
2025-01-01 09:00:00,2.2181493026250667,0.1621525220974148,0.26074,2.218149302625067,0.16215252209741476,0.26074,0.08039733221176051,1.3750163855555557,0.40853891819108407,0.3041966666666667,0.05,0.26074,0.0,0.0,0.14756918876408143,0.0,0.01458333333333334,1.0,0.0,0.0,0.24064588046973123,0.03429018081192662,0.0,0.0,0.031024064418439294,0.023268048313829465,0.0,0.0,0.0028400322094298243,0.0,0.0021799786288886126,0.0,0.07537732137344208,0.0,0.016854360451812964,0.0,0.1200146128511005,0.09001095963832535,5428.990654516538,15.000000000000057,0.21333333333333335,988.4349330390179,7.6415361511111115,0.3041966666666667,0.26666666666666666,6113.228920888889,22924.608453333334,0.0,23.888888888888914,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,14043.088431111111,1375.0163855555556,0.25,40.35067206339664,51.66666666666668,46.10666666666668,0.0,50.21078824950356,0.37887877523789387,993.7586345791474,1375.0163855555556,40.35067206339664,49.29797496875722,50.21078824950356,48.84156832838405,12.43753247303448,14.666757491117705,-0.06344859067479644,7.751304572838547,0.6045735818797452,-0.85,9.236100170605994,3629.447793511574,-953.4871669339336,-1358.1459602539321,-2306.5799236157663,0.0,0.0,404.3757693413944,1122.809428796846,2.0,0.11237710286064724,0.0,0.0,0.8195741030714044,131.99922844444444,102.66129326940926,0.27449059328231334,6.743243236810044,0.00277826208476116,234.29525507424893,1.2446448354642419,0.17314604533770084,-1968.468844395107,26.546744422155594,0.7249112727551998,-1392.5428695676846,34.39690931375261
