Metric,Value
Total Electric Energy (kWh),46.75673605839034
Total Gas Energy (therms),0.2787437107085552
Average Electric Power (kW),1.9481973357662643
Peak Electric Power (kW),6.908850892772585
Lighting Electric Energy (kWh),1.8119622252762482
Other Electric Energy (kWh),12.245524543248354
HVAC Heating Electric Energy (kWh),31.49924928986574
HVAC Cooling Electric Energy (kWh),1.2
Water Heating Gas Energy (therms),0.2787437107085552
Average Temperature - Indoor (C),18.285416535237086
Unmet Heating Load (C-hours),0.929919256567129
Unmet Cooling Load (C-hours),0.0
Total HVAC Heating Delivered (kWh),31.49924928986574
Average HVAC Heating COP (-),1.0
Average HVAC Heating Duct Efficiency (-),1.0
Total HVAC Cooling Delivered (kWh),0.0
Average HVAC Cooling COP (-),0.0
Total Hot Water Unmet Demand (kWh),0.0
