occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.567,0.0171,0.404,0.0503,0.0503,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.589,0.022,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.143,0,0,0,0
1.0,0.589,0.022,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.584,0.0208,0.354,0.0533,0.0533,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.567,0.0164,0.404,0.0496,0.0496,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0504,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0504,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.589,0.0191,0.337,0.0543,0.0543,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0696,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0696,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0696,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.591,0.0231,0.337,0.0777,0.0777,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.597,0.0276,0.337,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.597,0.0276,0.337,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.597,0.0276,0.337,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.6,0.0288,0.337,0.114,0.114,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.609,0.0333,0.337,0.129,0.129,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.618,0.0368,0.32,0.145,0.145,0.0,0.0,0.0,0.0,0.052,0,0,0,0
1.0,0.656,0.0508,0.253,0.208,0.208,0.0,0.0,0.0,0.0,0.0173,0,0,0,0
1.0,0.668,0.057,0.236,0.228,0.228,0.0,0.0,0.0,0.2,0.0,0,0,0,0
0.96,0.705,0.0777,0.185,0.288,0.288,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.8,0.664,0.06,0.253,0.22,0.22,0.0,0.0,0.0,0.867,0.0,0,0,0,0
0.8,0.664,0.06,0.253,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.664,0.0619,0.253,0.221,0.221,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.664,0.0693,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.8,0.664,0.0693,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.664,0.0693,0.253,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.674,0.0768,0.236,0.241,0.241,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.715,0.107,0.168,0.305,0.305,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.8,0.715,0.107,0.168,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.715,0.107,0.168,0.305,0.305,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.715,0.109,0.168,0.303,0.303,0.0,0.0,0.0,0.0,0.214,0,0,0,0
0.8,0.715,0.118,0.168,0.294,0.294,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.715,0.118,0.168,0.294,0.294,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.715,0.118,0.168,0.294,0.294,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.76,0.705,0.112,0.185,0.276,0.276,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.664,0.0879,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.664,0.0879,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.664,0.0879,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.664,0.0899,0.253,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.664,0.0982,0.253,0.205,0.205,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.664,0.0982,0.253,0.205,0.205,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.664,0.0982,0.253,0.205,0.205,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.56,0.654,0.0905,0.269,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.0596,0.337,0.129,0.129,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.44,0.623,0.0683,0.32,0.145,0.145,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.664,0.103,0.253,0.209,0.209,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.6,0.667,0.106,0.253,0.213,0.213,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.68,0.115,0.253,0.228,0.228,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.64,0.691,0.125,0.236,0.246,0.246,0.0,0.0,0.0,0.2,0.0,0,0,0,0
0.8,0.739,0.164,0.168,0.317,0.317,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.8,0.746,0.172,0.168,0.332,0.332,0.0,0.0,0.0,1.0,0.0714,0,0,0,0
0.8,0.774,0.203,0.168,0.389,0.389,0.0,0.0,0.0,1.0,0.214,0,0,0,0
0.8,0.774,0.203,0.168,0.389,0.389,0.0,0.0,0.0,0.933,0.0714,0,0,0,0
0.8,0.774,0.203,0.168,0.389,0.389,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.8,0.781,0.212,0.168,0.414,0.414,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.809,0.248,0.168,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.809,0.248,0.168,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.809,0.248,0.168,0.51,0.51,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.8,0.811,0.264,0.168,0.53,0.53,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.82,0.331,0.168,0.612,0.612,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.82,0.331,0.168,0.612,0.612,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.8,0.838,0.352,0.152,0.649,0.649,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.76,0.887,0.441,0.101,0.76,0.76,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
0.6,0.809,0.461,0.168,0.606,0.606,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.809,0.461,0.168,0.606,0.606,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.64,0.825,0.491,0.152,0.643,0.643,0.0,0.0,0.0,0.0,0.128,0,0,0,0
0.84,0.9,0.675,0.0674,0.793,0.793,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.798,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.798,0.0,0.0,0.0,0.2,0.143,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.798,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.919,0.926,0.0,0.759,0.759,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.602,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.602,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.602,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.841,0.816,0.0,0.586,0.586,0.0,0.0,0.0,1.0,0.171,0,0,0,0
1.0,0.77,0.515,0.0168,0.504,0.504,0.0,0.0,0.0,0.0,0.22,0,0,0,0
1.0,0.735,0.432,0.0842,0.428,0.428,0.0,0.0,0.0,0.0,0.0494,0,0,0,0
1.0,0.735,0.432,0.0842,0.428,0.428,0.0,0.0,0.0,0.0,0.0,0,0,0,0
