Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.30557501700969236,0.19359405185121703,0.0,0.30557501700969236,0.19359405185121703,0.0,0.008800759157336845,0.0,0.24677425785235554,0.0,0.05,0.0,0.0,0.1790107185178837,0.0,0.01458333333333334,1.0,0.0,0.0,0.03681798800665564,0.027613491004991726,0.0,0.0,0.0028521290204678363,0.0,0.005948630136869009,0.0,0.008093299828510533,0.0,0.20186297001718936,0.15139722751289197,0.0,0.0,0.0,21.44444444444449,0.0,0.0,0.0,0.0,0.0,0.0,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,0.0,0.0,21.111321993396,51.66666666666668,46.10666666666668,0.0,51.696215652075786,0.0,0.0,0.0,21.111321993396,51.62031867434821,51.696215652075786,51.582370185484436,12.43753247303448,21.644683412665643,0.0,2.8,-128.10485685873493,-511.95919065788763,0.0,0.0,373.4438375529336,0.0,2.0,0.020846191665818845,0.0,0.0,0.5317485393110747,131.99922844444444,10.410496246219099,0.20895489828815986,10.579508833018973,0.0032826680778425075,45.25419386063431,1.2147535489225094
2025-01-01 01:00:00,0.39576424275961997,0.19728130344990807,0.0,0.39576424275961997,0.19728130344990807,0.0,0.008936768900617582,0.08332988592592594,0.2534975879330764,0.0,0.05,0.0,0.0,0.18269797011657474,0.0,0.01458333333333334,1.0,0.0,0.0,0.03589753830648924,0.026923153729866926,0.0,0.0,0.0026382193439327484,0.0,0.006298549556684833,0.0,0.009900294444310054,0.0,0.20769975518227712,0.1557748163867078,0.0,0.0,0.0,21.44444444444449,0.0,0.0,0.0,0.0,0.0,0.0,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,83.32988592592594,0.03333333333333333,20.756409672647656,51.66666666666668,46.10666666666668,0.0,51.42893528523599,0.19665020053090895,530.3593388148306,83.32988592592594,20.756409672647656,50.92751133865099,51.42893528523599,50.67679936535849,12.43753247303448,21.437809238711374,0.0,2.5,-95.28386113241244,-482.7922302272721,0.0,0.0,379.89460241537904,0.0,2.0,0.0195586348595951,0.0,0.0,0.49890530050923027,131.99922844444444,7.613766679480679,0.21329702417763421,10.51732407876156,0.00330871148409809,48.45021705753574,1.2156465024815548
2025-01-01 02:00:00,1.5189712259561268,0.1971297463438683,0.0,1.5189712259561268,0.1971297463438683,0.0,0.008613998401304708,1.2082833459259261,0.25207388162889605,0.0,0.05,0.0,0.0,0.18254641301053495,0.0,0.01458333333333334,1.0,0.0,0.0,0.034977088606322856,0.026232816454742135,0.0,0.0,0.0026382193439327484,0.0,0.005975779057371961,0.0,0.008678664281516011,0.0,0.20841812874105717,0.1563135965557928,0.0,0.0,0.0,21.44444444444449,0.0,0.0,0.0,0.0,0.0,0.0,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,1208.2833459259261,0.48333333333333334,20.341551187457174,51.66666666666668,46.10666666666668,0.0,51.25478781095067,0.25805756003956876,699.024852925554,1208.2833459259261,20.341551187457174,50.10915965043695,51.2554084503089,49.535724930821864,12.43753247303448,21.29264993901395,0.0,1.6500000000000001,-91.38963676205056,-475.5371497489769,0.0,0.0,378.09783946277116,0.0,2.0,0.018496003951769254,0.0,0.0,0.4717995134128896,131.99922844444444,6.049673524155194,0.21710948724721638,10.485376687167014,0.0033381556725987924,53.688085855498436,1.2162242511192596
2025-01-01 03:00:00,0.30245715178163474,0.19152304002584264,0.0,0.30245715178163474,0.19152304002584264,0.0,0.008444243029778366,0.0,0.24401290875185636,0.0,0.05,0.0,0.0,0.1769397066925093,0.0,0.01458333333333334,1.0,0.0,0.0,0.03405663890615646,0.025542479179617338,0.0,0.0,0.002495612892909357,0.0,0.005948630136869009,0.0,0.008093299828510533,0.0,0.20186297001718936,0.15139722751289197,0.0,0.0,0.0,21.44444444444449,0.0,0.0,0.0,0.0,0.0,0.0,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,0.0,0.0,21.507510299359872,51.66666666666668,46.10666666666668,0.0,51.611462478985,0.0,0.0,0.0,21.507510299359872,51.618832963546325,51.62251820582699,51.611462478985,12.43753247303448,21.078154686415832,0.0,1.6500000000000001,-107.3358656477922,-482.748405027394,0.0,0.0,370.3259723248759,0.0,2.0,0.01899809100376136,0.0,0.0,0.4846068434414999,131.99922844444444,5.086567054725938,0.2219236509556219,10.423041601419222,0.0033677176094172178,43.482596735073386,1.217089201803652
2025-01-01 04:00:00,0.3015367020814683,0.19083270275071784,0.0,0.3015367020814683,0.19083270275071784,0.0,0.008444243029778366,0.0,0.24309245905168997,0.0,0.05,0.0,0.0,0.1762493694173845,0.0,0.01458333333333334,1.0,0.0,0.0,0.03313618920599007,0.024852141904492545,0.0,0.0,0.002495612892909357,0.0,0.005948630136869009,0.0,0.008093299828510533,0.0,0.20186297001718936,0.15139722751289197,0.0,0.0,0.0,21.44444444444449,0.0,0.0,0.0,0.0,0.0,0.0,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,0.0,0.0,21.523162024391468,51.66666666666668,46.10666666666668,0.0,51.41975332947087,0.0,0.0,0.0,21.523162024391468,51.43770472044138,51.446680415926636,51.41975332947087,12.43753247303448,20.874488625632857,-0.07508251840106066,0.55,-143.11190557205086,-516.9445190147604,0.0,0.0,369.40552262470953,0.0,2.0,0.01936133511933931,0.0,0.0,0.4938725419905845,131.99922844444444,4.427090818000137,0.22610224210578597,10.353525940567561,0.0033901162515100297,49.97605814950584,1.217344218117094
2025-01-01 05:00:00,0.5246927259464782,0.19083270275071784,0.0,0.5246927259464781,0.19083270275071784,0.0,0.008729455931825149,0.0,0.24309245905168997,0.222870810962963,0.05,0.0,0.0,0.1762493694173845,0.0,0.01458333333333334,1.0,0.0,0.0,0.03313618920599007,0.024852141904492545,0.0,0.0,0.0027808257949561406,0.0,0.005948630136869009,0.0,0.008093299828510533,0.0,0.20186297001718936,0.15139722751289197,0.0,0.0,222.87081096296296,21.44444444444449,0.7333333333333333,0.0,0.222870810962963,0.0,0.7333333333333333,222.87081096296296,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,0.0,0.0,21.46981749155318,51.66666666666668,46.10666666666668,0.0,51.22796984226607,0.0,0.0,0.0,21.46981749155318,51.25641242459638,51.27063371576153,51.22796984226607,12.43753247303448,20.76863519354004,-0.17580925090444494,-0.25000000000000006,61.08911377356738,-533.7808006484821,0.0,0.0,369.6907355267563,0.0,2.0,0.01929290311264568,0.0,0.0,0.49212696561937963,131.99922844444444,2.3083679323301567,0.2297086443190855,10.339275965457448,0.003423785200741383,51.477862523721356,1.2171469626780367
2025-01-01 06:00:00,1.6241952612170827,0.19820730668203834,0.0,1.6241952612170827,0.19820730668203834,0.0,0.013668106530937394,0.9999586311111113,0.2566537813528116,0.30391474222222226,0.05,0.0,0.0,0.183623973348705,0.0,0.01458333333333334,1.0,0.0,0.0,0.034977088606322856,0.026232816454742135,0.0,0.0,0.0031373419225146203,0.0,0.010530764608422775,0.0,0.011821816887871517,0.0,0.20985487585861723,0.15739115689396288,0.0,0.0,303.91474222222223,21.44444444444449,0.9999999999999999,0.0,0.30391474222222226,0.0,1.0,303.91474222222223,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,999.9586311111112,0.4,20.125426436137932,51.66666666666668,46.10666666666668,0.0,51.01408837620387,0.400643240742871,1079.4592903086304,999.9586311111112,20.125426436137932,49.52588288549031,51.01495806688094,48.780910449456464,12.43753247303448,20.986174226337017,-0.0006911441657912575,0.3,116.98379866092274,-526.5076215281762,0.0,0.0,339.2205579860902,0.0,1.2665,0.01937070977558665,0.0,0.0,0.49411167246803483,83.58851141244445,0.3561199807864893,0.22765561829720396,10.45178015228732,0.003439004581160559,0.3771784918620687,1.216235517229706
2025-01-01 07:00:00,0.7762208343092782,0.19359405185121703,0.0,0.7762208343092782,0.19359405185121703,0.0,0.008872062382848541,0.16665977185185188,0.24677425785235554,0.30391474222222226,0.05,0.0,0.0,0.1790107185178837,0.0,0.01458333333333334,1.0,0.0,0.0,0.03681798800665564,0.027613491004991726,0.0,0.0,0.002923432245979533,0.0,0.005948630136869009,0.0,0.008093299828510533,0.0,0.20186297001718936,0.15139722751289197,0.0,0.0,303.91474222222223,21.44444444444449,0.9999999999999999,0.0,0.30391474222222226,0.0,1.0,303.91474222222223,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,166.65977185185187,0.06666666666666667,21.578332747513443,51.66666666666668,46.10666666666668,0.0,51.585381414730406,0.0,0.0,166.65977185185187,21.578332747513443,51.58147283560121,51.59226224590572,51.572637714861315,12.43753247303448,20.951909908689252,-0.007769105563984743,-0.55,51.5104877450542,-562.0297716122803,0.0,0.0,307.51552655622305,1.0136983496845142,1.0,0.019824708027578738,0.0,0.0,0.5056923444304064,65.99961422222222,2.1099905788892337,0.22785093559201022,10.431986328188668,0.003434685715477293,-3.4032616994389793,1.2163803822207604
2025-01-01 08:00:00,0.6097684799024758,0.19428438912634183,0.0,0.6097684799024758,0.19428438912634183,0.0,0.008159030127731583,0.0,0.24769470755252193,0.30391474222222226,0.05,0.0,0.0,0.1797010557930085,0.0,0.01458333333333334,1.0,0.0,0.0,0.03773843770682203,0.028303828280116516,0.0,0.0,0.0022103999908625735,0.0,0.005948630136869009,0.0,0.008093299828510533,0.0,0.20186297001718936,0.15139722751289197,0.0,0.0,303.91474222222223,21.44444444444449,0.9999999999999999,0.0,0.30391474222222226,0.0,1.0,303.91474222222223,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,0.0,0.0,21.54325172745718,51.66666666666668,46.10666666666668,0.0,51.44305093214214,0.0,0.0,0.0,21.54325172745718,51.45824944853841,51.46584870673655,51.44305093214214,12.43753247303448,20.866587474606717,-0.07785696983776637,-1.4,23.70965266334151,-600.5148737268971,0.0,0.0,307.7229440012725,59.02999642926752,1.0,0.020401317854142287,0.0,0.0,0.5204006152715656,65.99961422222222,12.586840166743906,0.22932196300748217,10.401019001075618,0.0034371612741282837,13.81252540136234,1.217303094788373
2025-01-01 09:00:00,2.088937846817158,0.22816019225756276,0.0,2.088937846817158,0.22816019225756276,0.0,0.0337881413640501,1.374943117777778,0.32629184545310763,0.30391474222222226,0.05,0.0,0.0,0.2135768589242294,0.0,0.01458333333333334,1.0,0.0,0.0,0.03773843770682203,0.028303828280116516,0.0,0.0,0.0017825806377923979,0.0,0.0320055607262577,0.0,0.041522700220801685,0.0,0.24703070752548395,0.1852730306441129,0.0,0.0,303.91474222222223,21.44444444444449,0.9999999999999999,0.0,0.30391474222222226,0.0,1.0,303.91474222222223,303.91474222222223,0.0,22.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1369.5213022222222,1374.9431177777778,0.55,20.067725893621404,51.66666666666668,46.10666666666668,0.0,50.84184047476526,0.4855514523929409,1289.3541523130866,1374.9431177777778,20.067725893621404,49.42268563551707,50.84321076905624,48.711737921602,12.43753247303448,20.97404896177142,-0.020116600622396834,-0.85,155.282316290255,-580.7877458286206,0.0,0.0,408.7874515125961,124.34762011800201,1.0,0.020155809925049114,0.0,0.0,0.5141381532939834,65.99961422222222,23.367868384057285,0.22883487282481604,10.46761804837556,0.003450937373618347,35.49393640276398,1.2174589999552758
