Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,39.84394039645489,51.666666666666686,43.496666666666684,1672.4721660658765,0,4.082675329940199,0.0,50.38865801579193,0.0,0.0,0.0,52.12525386193985,42.91646948587396,50.47604584056216,15.650954370720205,12.43753247303448,14.007711026241898,0.0,6.560818367118156,2.8,9.236100170605994,-64.86854292712582,-1825.2134929785057,-405.4737010635503,-0.0,-0.0,402.87310750241255,0.0,2.0,0.02776055308468606,0.0,0.0,0.3592504935549236,131.99922844444444,-62.267949365988045,0.3002779883436068,6.571273466400633,0.0029222460746396975,55.8352470364005,1.2437583219038515,0.3808716354421063,-1866.7176847573662,41.50419177886066
2025-01-01 00:01:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,39.89938515702867,51.666666666666686,43.496666666666684,1672.54400860604,0,4.082948724058612,0.0,50.378559986205225,0.0,0.0,0.0,52.199180209371555,42.912080280266366,50.47107243063821,15.657100248918681,12.43753247303448,13.964747174860122,0.0,6.565656674641398,2.8,9.236100170605994,-65.17980493794698,-1827.7841646754337,-403.1599697549379,-0.0,-0.0,402.87310750241255,0.0,2.0,0.02770836239426605,0.0,0.0,0.3585750916191206,131.99922844444444,-64.89294268542164,0.3020233238880296,6.571663100264414,0.0029225091163583828,55.906107205675404,1.2475779627336394,0.3808881050588521,-1869.2000486364075,41.4158839609739
2025-01-01 00:02:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,39.95362250928428,51.666666666666686,43.496666666666684,1670.9571107936583,0,4.0800590431500225,0.0,50.368457453511816,0.0,0.0,0.0,52.271496679045704,42.90768484969268,50.46609374297384,15.663228474583011,12.43753247303448,13.922624163562322,-0.02182028088213528,6.570065834190699,2.8,9.236100170605994,-65.63019050429,-1830.169759655352,-400.89665799015194,-0.0,-0.0,402.87310750241255,0.0,2.0,0.027657156129794948,0.0,0.0,0.3579124291812279,131.99922844444444,-67.60664001655064,0.30287770436728556,6.5510782312484706,0.0029227716855392835,55.9753209508544,1.2477608258815205,0.3809031132341289,-1871.4624097516119,41.29265009625983
2025-01-01 00:03:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.006695921306246,51.666666666666686,43.496666666666684,1669.405235967836,0,4.077235610989266,0.0,50.35835064764601,0.0,0.0,0.0,52.342261228408326,42.90328332971257,50.461109892893255,15.669339295318235,12.43753247303448,13.881311622026544,-0.06313282241791285,6.574101540068778,2.8,9.236100170605994,-66.221919344598,-1832.3451748574041,-398.68183989842487,-0.0,-0.0,402.87310750241255,0.0,2.0,0.027606899477910375,0.0,0.0,0.35726205572004816,131.99922844444444,-70.41318694858576,0.3037188109462608,6.5309352198414095,0.0029230345412621975,56.042881766188444,1.2479402187564355,0.3809168497059349,-1873.533298613056,41.18812375565207
2025-01-01 00:04:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.05864932135127,51.666666666666686,43.496666666666684,1667.88704602846,0,4.074475908477643,0.0,50.348239789950725,0.0,0.0,0.0,52.411532428468355,42.89887585100551,50.45612099156126,15.67543295010434,12.43753247303448,13.840778851452846,-0.10366559299161082,6.577809386570504,2.8,9.236100170605994,-65.35751151878452,-1834.3351531282933,-396.51359167366905,-0.0,-0.0,402.87310750241255,0.0,2.0,0.02755755708581041,0.0,0.0,0.356623513733474,131.99922844444444,-71.717027347528,0.3045471110993299,6.511217201159502,0.0029232976764139826,56.10885184385829,1.2481162718536227,0.3809294697948167,-1875.4360743770562,41.100921248762816
2025-01-01 00:05:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.109469560589204,51.666666666666686,43.496666666666684,1666.362784433547,0,4.071704100254242,0.0,50.33812509309266,0.0,0.0,0.0,52.47929274745227,42.89446253931889,50.45112714593902,15.681509669211541,12.43753247303448,13.801035224069462,-0.14340922037499482,6.581225535550107,2.8,9.236100170605994,-62.70945551868067,-1836.1692359792523,-394.3921452742352,-0.0,-0.0,402.87310750241255,0.0,2.0,0.02750914229465547,0.0,0.0,0.35599697587002754,131.99922844444444,-71.19041774685803,0.30536228595072995,6.491421478452217,0.0029235610841513208,56.17320552731762,1.248288941556843,0.3809410966870484,-1877.1892642620166,41.02002828276427
2025-01-01 00:06:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.159133406548044,51.666666666666686,43.496666666666684,1664.8735956141177,0,4.068998705583648,0.0,50.3280067721973,0.0,0.0,0.0,52.54551120873072,42.89004352187641,50.4461284642473,15.687569685335328,12.43753247303448,13.762097194067605,-0.18234725037685173,6.584378896198786,2.8,9.236100170605994,-59.54196394356296,-1837.8668849579994,-392.3181099959782,-0.0,-0.0,402.87310750241255,0.0,2.0,0.027461677079176346,0.0,0.0,0.35538272650563096,131.99922844444444,-70.09696144999731,0.30616387514841276,6.472068378308397,0.00292382475752476,56.2359015173786,1.2484581534424062,0.3809518288619877,-1878.807679798611,40.940794840611645
2025-01-01 00:07:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.20766357764811,51.666666666666686,43.496666666666684,1663.4587981921275,0,4.066434817482001,0.0,50.31788504681407,0.0,0.0,0.0,52.61021810353082,42.885618928510176,50.44112505693171,15.693613235561676,12.43753247303448,13.723948954061111,-0.22049549038334604,6.587293275059144,2.8,9.236100170605994,-56.40163529488456,-1839.4629221922362,-390.2903797044817,-0.0,-0.0,402.87310750241255,0.0,2.0,0.027415144067355554,0.0,0.0,0.35478054082827,131.99922844444444,-68.98436309281537,0.30695206056206514,6.453655191322898,0.002924088689411796,56.29696956755867,1.248623973484054,0.3809617474154017,-1880.3035185875547,40.8405963953184
2025-01-01 00:08:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.255100789147406,51.666666666666686,43.496666666666684,1662.0370486297898,0,4.063857194848489,0.0,50.30776013195348,0.0,0.0,0.0,52.67346771886321,42.8811888865016,50.43611703226444,15.699640552404315,12.43753247303448,13.686562057356195,-0.2578823870882623,6.589987567774569,2.8,9.236100170605994,-53.386121300415084,-1840.8938673060616,-388.3071904143735,-0.0,-0.0,402.87310750241255,0.0,2.0,0.027369510370325194,0.0,0.0,0.3541899932217118,131.99922844444444,-67.95203838845406,0.30772728267522326,6.435153281751946,0.0029243528728206316,56.35646752958214,1.2487865228110018,0.3809709167163119,-1881.6864614957296,40.792594189668094
2025-01-01 00:09:00,0.2928086242886349,0.1699364629627846,0.0,0.004880143738143915,0.002832274382713077,0.0,0.05391413366066991,0.001,0.227894490627965,0.0,0.010000000000000002,0.0,0.0,0.0002506236243534685,0.16676917267176447,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.02105986842105263,0.0,On,0.03285426523961728,0,On,0.0055355937322789815,0,On,0.16156778900952576,0.12117584175714428,On,0,0,Off,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,12757.971608888889,Off,0.0,23.888888888888914,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1185.7657155555555,Off,0.0,0.0,40.301487051795654,51.666666666666686,43.496666666666684,1660.6471581242527,0,4.061339943884924,0.0,50.29763223458038,0.0,0.0,0.0,52.73531606906087,42.876753518560854,50.43110449462157,15.70565186029804,12.43753247303448,13.649907142568049,-0.29453730187640836,6.592481728238966,2.8,9.236100170605994,-50.48646511587293,-1842.2690422936003,-386.36674671930194,-0.0,-0.0,402.87310750241255,0.0,2.0,0.027324741860610072,0.0,0.0,0.3536106420408541,131.99922844444444,-66.99282589898353,0.3084900085611467,6.417053504395771,0.002924617301010101,56.41445557632026,1.2489459267166012,0.38097940472420594,-1882.9667357305714,40.697693436971186
