Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.3721638326219682,0.1699364629627846,0.07843603603603604,0.3721638326219682,0.1699364629627846,0.07843603603603602,0.05391413366066991,0.001,0.227894490627965,0.07935520833333333,0.010000000000000002,0.07843603603603604,0.0,0.0002506236243534685,0.16676917267176447,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.02105986842105263,0.0,0.03285426523961728,0.0,0.0055355937322789815,0.0,0.16156778900952576,0.12117584175714428,0.0,0.0,1714.556688920072,14.444444444444457,0.1541666666666667,491.12712089474263,2.2987336232232227,0.07935520833333333,0.16666666666666666,2126.3286014814817,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,39.606829217614674,51.66666666666668,43.496666666666684,1678.3063671631562,0.0,4.09779922492711,0.0,50.21009375010403,0.0,0.0,0.0,51.80910562348624,42.78755152776214,50.293373124483196,15.829419685985714,12.43753247303448,14.064278174336975,-0.0690778121338106,6.951788201007951,2.8,9.236100170605994,1620.0038460034739,-1541.333482329945,-408.65500190331323,0.0,0.0,402.87310750241255,0.0,2.0,0.02782829773175689,0.0,0.0,0.360127179902694,131.99922844444444,-88.77094851569751,0.3008826051217371,6.6298565019121165,0.0029299092811265015,55.034958802653975,1.2470808505568038,0.3821994336885259,-2068.1914178288553,35.730814604167904
2025-01-01 01:00:00,0.4087421689599019,0.1687966296899191,0.11765405405405405,0.4087421689599019,0.1687966296899191,0.11765405405405403,0.05233464352909096,0.001,0.226374712930811,0.11903281249999999,0.010000000000000002,0.11765405405405405,0.0,0.0002506236243534685,0.16562933939889896,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05927133018900624,0.044453497641754665,0.0,0.0,0.01948037828947368,0.0,0.03285426523961728,0.0,0.0055355937322789815,0.0,0.16156778900952576,0.12117584175714428,0.0,0.0,2571.835033380108,14.444444444444457,0.23125000000000004,736.690681342114,3.4481004348348345,0.11903281249999999,0.25,3189.4929022222223,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,39.17953875391212,51.66666666666668,43.496666666666684,1685.281778728705,0.0,4.119204806848627,0.0,49.85331960016559,0.0,0.0,0.0,51.23938500521616,42.527185700642185,49.941220710558035,16.180040932400345,12.43753247303448,14.141862134178064,-0.05532488605763245,7.33557789730664,2.5,9.236100170605994,2465.357679271956,-1072.8897286050424,-407.21831907109623,0.0,0.0,399.77383967367956,0.0,2.0,0.026832951210320075,0.0,0.0,0.3472463584005601,131.99922844444444,-99.03287471073521,0.30097208822503296,6.687764508716449,0.002945438961512054,56.79968952339274,1.2467930558005407,0.30058882625390554,-1840.9034956174687,31.323085670312217
2025-01-01 02:00:00,0.764320828762748,0.16765679641705358,0.4706162162162162,0.764320828762748,0.16765679641705358,0.47061621621621613,0.05233464352909096,0.001,0.224854935233657,0.47613124999999995,0.010000000000000002,0.4706162162162162,0.0,0.0002506236243534685,0.16448950612603344,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.01948037828947368,0.0,0.03285426523961728,0.0,0.0055355937322789815,0.0,0.16156778900952576,0.12117584175714428,0.0,0.0,10287.340133520433,21.111111111111143,0.9250000000000002,2946.762725368456,13.792401739339338,0.47613124999999995,1.0,12757.971608888889,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,33.03255035387476,51.66666666666668,43.496666666666684,1845.1563368336226,0.0,4.430839210613565,0.0,49.524411023555636,0.0,0.0,0.0,43.04340047183302,42.28350247768097,49.61167070023461,16.53669425486437,12.43753247303448,18.252247357016536,-2.274995502821348,9.468118601999542,1.6500000000000001,9.236100170605994,9767.367773518881,719.1190719839584,-692.4952627025702,0.0,0.0,398.2540619765256,0.0,2.0,0.03145400552427532,0.0,0.0,0.4070476180501138,131.99922844444444,-225.73115927550512,0.23464448353257827,8.672949298060253,0.0029613578654513624,53.62125479856107,1.2292468605499807,0.21946303073413898,-2236.886942074389,9.243288689891788
2025-01-01 03:00:00,0.587166599311208,0.16651696314418807,0.2980569369369369,0.587166599311208,0.16651696314418807,0.2980569369369369,0.051281650108038326,0.001,0.22333515753650296,0.3015497916666667,0.010000000000000002,0.2980569369369369,0.0,0.0002506236243534685,0.16334967285316793,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05623177479469822,0.042173831096023656,0.0,0.0,0.018427384868421052,0.0,0.03285426523961728,0.0,0.0055355937322789815,0.0,0.16156778900952576,0.12117584175714428,0.0,0.0,6515.315417896274,21.111111111111143,0.5858333333333334,1866.283059400022,8.735187768248247,0.3015497916666667,0.6333333333333333,8080.04868562963,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,29.111278734611474,51.66666666666668,43.496666666666684,1943.6448753394943,0.0,4.623422013282476,0.0,49.23955839510314,0.0,0.0,0.0,37.8150383128153,42.084255062578684,49.338536170587524,16.946801778140642,12.43753247303448,20.844920120079927,-0.055708861119527005,9.5311910844078,1.6500000000000001,9.236100170605994,5822.383090915202,-786.2481074217499,-881.2264292667825,0.0,0.0,395.68129085831896,0.0,2.0,0.03507092368152986,0.0,0.0,0.4538543091552077,131.99922844444444,-207.3871885726084,0.19905777609822825,9.887839671293944,0.0029751672941034897,33.48879481804231,1.218344596216539,0.26564784572064604,-2681.600108850895,29.068942029123278
2025-01-01 04:00:00,0.5221626549473872,0.16537712987132258,0.2353081081081081,0.5221626549473872,0.16537712987132258,0.23530810810810807,0.051281650108038326,0.001,0.221815379839349,0.23806562499999998,0.010000000000000002,0.2353081081081081,0.0,0.0002506236243534685,0.16220983958030244,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.018427384868421052,0.0,0.03285426523961728,0.0,0.0055355937322789815,0.0,0.16156778900952576,0.12117584175714428,0.0,0.0,5143.670066760216,21.111111111111143,0.4625000000000001,1473.381362684228,6.896200869669669,0.23806562499999998,0.5,6378.9858044444445,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,28.970503990068103,51.66666666666668,43.496666666666684,1943.7459166163353,0.0,4.629962566238152,0.0,48.95862290491451,0.0,0.0,0.0,37.62733865342413,41.89367344584658,49.05730292527027,17.348049653573142,12.43753247303448,20.79014535799991,-0.06684665337386034,8.993813264356636,0.55,9.236100170605994,4431.75681490988,-963.200517399055,-963.3040203534383,0.0,0.0,394.1615131611649,0.0,2.0,0.036119769365334134,0.0,0.0,0.46742746558405035,131.99922844444444,-142.77074465806314,0.20017623693805647,9.868335170620048,0.0029832740417394133,48.21098026759224,1.2179938847872451,0.24066494389660503,-2483.385288443475,46.80340836019227
2025-01-01 05:00:00,0.5894277151105893,0.1724623135147521,0.2666825225225225,0.5894277151105892,0.1724623135147521,0.26668252252252245,0.0618344485507957,0.023032927565914785,0.2247526306605455,0.26980770833333334,0.010000000000000002,0.2666825225225225,0.0,0.005772595786040477,0.16377305106204493,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054711997097544214,0.04103399782315815,0.0,0.0,0.020533371710526313,0.0,0.04130107684026939,0.0,0.0063885625778188244,0.0,0.16365207098518245,0.1227390532388868,0.0,0.0,5829.492742328245,21.111111111111143,0.5241666666666668,1669.832211042125,7.8156943189589585,0.26980770833333334,0.5666666666666667,7229.517245037036,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,99.82267889008978,0.22601772035891848,-22.830460436174654,51.66666666666668,43.496666666666684,1953.594550072851,0.05,4.679248932026388,0.0,48.67109738110307,0.16705862765195373,420.791269853017,99.82267889008978,36.81036725037446,41.46513053248802,48.770735253235685,17.367109687209883,12.43753247303448,20.82217133573777,-0.05547969004692004,9.24011748043006,-0.25000000000000006,9.236100170605994,5074.628569098978,-896.1308253068245,-1018.413867890683,0.0,0.0,381.9115447498451,0.0,2.0,0.036679122744662854,0.0,0.0,0.47466608136315414,131.99922844444444,-118.36185008842845,0.2009263754141271,9.899292638540794,0.0030019732491026897,43.9582445038339,1.2172361539804122,0.21491445180253818,-2615.469350928918,49.50631457996836
2025-01-01 06:00:00,1.1224700570504316,0.30257499741431965,0.22746450450450448,1.1224700570504313,0.30257499741431965,0.22746450450450445,0.15978095412972063,0.4608261563022305,0.2617328424518137,0.23013010416666665,0.010000000000000002,0.22746450450450448,0.0,0.11549392148934297,0.18416440925830999,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05775155249185224,0.043313664368889164,0.0,0.0,0.02316585526315789,0.0,0.13661509886656273,0.0,0.016180296774067023,0.0,0.18780099318589447,0.14085074488942081,0.0,0.0,4972.21439786821,21.111111111111143,0.4470833333333334,1424.2686505947536,6.666327507347347,0.23013010416666665,0.48333333333333334,6166.352944296296,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,1924.5885448573026,4.178401959188572,-934.4773365106058,51.66666666666668,43.496666666666684,1924.5885448573026,1.0,4.5221269046865125,0.0,48.894886148519255,0.44014331990873296,1120.911217414732,1924.5885448573026,37.9411199143226,42.26313281421554,48.954455799434555,15.67932129834417,12.43753247303448,20.84094745682249,-0.05129281934312721,8.88155569896937,0.3,9.236100170605994,3926.6040920917503,-1345.1864686201675,-980.0488343218276,0.0,0.0,58.90036727979238,0.0,2.0,0.03630204868698692,0.0,0.0,0.4697863500078894,131.99922844444444,-124.46183873442384,0.1998913584620839,9.894334596105773,0.0029899020401310174,-105.34014269439085,1.217167300088595,0.25110807190124007,-2825.993011781817,56.53789256689594
2025-01-01 07:00:00,1.0075784048511525,0.26108805576471333,0.2666825225225225,1.0075784048511525,0.26108805576471333,0.26668252252252245,0.18769033289982653,0.2625366646977591,0.27754369892023345,0.26980770833333334,0.010000000000000002,0.2666825225225225,0.0,0.06579789043222369,0.19237349866582293,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079110788616025,0.04559333091462018,0.0,0.0,0.021586365131578945,0.0,0.16610396776824757,0.0,0.021045700699136128,0.0,0.1957068903349371,0.14678016775120278,0.0,0.0,5829.492742328245,21.111111111111143,0.5241666666666668,1669.832211042125,7.8156943189589585,0.26980770833333334,0.5666666666666667,7229.517245037036,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,958.0622953781093,1.9517447353131196,-422.23577587753635,51.66666666666668,43.496666666666684,1756.8687448334604,0.5333333333333333,3.7883448901944305,0.0,51.023961903874806,0.0,0.0,958.0622953781093,46.78552049532645,47.27374386499592,51.121687359366504,18.21969947484518,12.43753247303448,20.807246126510776,-0.05825264412121426,8.709201644202592,-0.55,9.236100170605994,5013.972654130205,-1382.349853241285,-1047.5957147664624,0.0,0.0,354.87131981654323,3.6870508921867056,2.0,0.0372007664822871,0.0,0.0,0.4814166950713777,131.99922844444444,-122.79569324812066,0.19882164141078448,9.854513052470688,0.0029676610430619007,-12.434860291021328,1.2173231075943565,0.25440078988072845,-3111.539000285675,59.35693600226496
2025-01-01 08:00:00,0.5367688369853919,0.1756581229924816,0.21177729729729727,0.5367688369853919,0.17565812299248162,0.21177729729729727,0.07278341876519152,0.001,0.23872635572020043,0.21425906249999999,0.010000000000000002,0.21177729729729727,0.0,0.0002506236243534685,0.17249083270146148,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.016321398026315787,0.0,0.05646202073887574,0.0,0.008738578784918393,0.0,0.16767689135196778,0.1257576685139758,0.0,0.0,4629.303060084194,21.111111111111143,0.41625000000000006,1326.043226415805,6.206580782702702,0.21425906249999999,0.45,5741.087224,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,37.324005750317916,51.66666666666668,43.496666666666684,1722.2194375475954,0.0,3.646918676080571,0.0,51.437102026784196,0.0,0.0,0.0,48.76534100042388,48.34099448386612,51.53454163553318,20.310336520418314,12.43753247303448,20.823142422328868,-0.05942465399868393,8.05079440754452,-1.4,9.236100170605994,3827.434060845612,-1974.1945389974283,-1124.4930150536811,0.0,0.0,377.1359420809764,236.4889185337833,1.1664999999999999,0.03826833801467904,0.0,0.0,0.4952321835001208,76.98854999022223,-54.51192626587796,0.19933844187089286,9.875810317872803,0.0029768905381749936,41.99402454100243,1.2178222391217095,0.2694317827836136,-3366.454249570846,66.2164841576126
2025-01-01 09:00:00,0.5244965763278943,0.1710762962356501,0.2353081081081081,0.5244965763278943,0.1710762962356501,0.23530810810810807,0.04601668300277517,0.001,0.229414268325119,0.23806562499999998,0.010000000000000002,0.2353081081081081,0.0,0.0002506236243534685,0.16790900594462996,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062310885583314254,0.04673316418748568,0.0,0.0,0.013162417763157892,0.0,0.03285426523961728,0.0,0.0055355937322789815,0.0,0.16156778900952576,0.12117584175714428,0.0,0.0,5143.670066760216,21.111111111111143,0.4625000000000001,1473.381362684228,6.896200869669669,0.23806562499999998,0.5,6378.9858044444445,12757.971608888889,0.0,23.888888888888914,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1185.7657155555555,0.0,0.0,37.187617728374676,51.66666666666668,43.496666666666684,1732.6108601582996,0.0,3.6845523520689594,0.0,51.15994519607016,0.0,0.0,0.0,48.58349030449957,48.09518302091141,51.27949330752547,21.56178830147074,12.43753247303448,20.78109101458232,-0.06531804099189233,7.886875395929631,-0.85,9.236100170605994,4447.337572864631,-1530.4398342786856,-1074.887748957595,0.0,0.0,330.4958203194497,607.7011026863007,1.0,0.03761995905714636,0.0,0.0,0.4868414839418783,65.99961422222222,48.05943474255943,0.20097504249567483,9.878064806116932,0.0029921839923676328,71.02766335515625,1.2185965367203841,0.26595154580429065,-3069.860317730821,66.03912076790775
