Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.0599792448053144e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0599792448053144e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.067154219553384,0.0,-0.7375448607169596,2.555993115031727,2.8,9.236100170605994,-2143.2599066266284,1687.9597260973615,-420.5013927264049,-2281.4944309296857,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09583648259301486,0.0,0,0.698942197861142,65.99961422222222,-197.9261885513461,0.17687508616661987,9.643840347579054,0.002687231712882099,-46.00582002097258,1.214087763471807,0.3624556363775999,1670.9923650715978,16.967361025764,0.3150949690964153,100.19849577604512,-520.69988850245
2025-01-01 00:01:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.071521289162623e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.071521289162623e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.951585252135747,0.0,-0.4535953780348128,2.5129550044190956,2.8,9.236100170605994,-2117.3082804600235,1553.2973639412555,-400.4106078566599,-2260.5138474459336,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09555974014731157,0.0,0,0.6969238957698315,65.99961422222222,-192.9551458684932,0.1786480325765694,9.615612202293661,0.002687106584444504,-45.67596824460219,1.2181128396916825,0.3624556363775999,1536.8661740805567,16.431189860698893,0.31585226754770607,118.15487108691367,-518.5654789435736
2025-01-01 00:02:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.0827661134935624e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0827661134935624e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.839257869944444,0.0,-0.19212702304170035,2.4712277442401582,2.8,9.236100170605994,-2092.2659132239924,1429.3447837770084,-379.48310543638956,-2240.1954744718228,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09529049804088575,0.0,0,0.6949602941795981,65.99961422222222,-188.23115160657278,0.1798785356918239,9.564174522092932,0.002686982763654927,-45.354636297360585,1.2185783471844285,0.3624556363775999,1413.359153787174,15.985629989834191,0.31658477068230645,135.64470101332515,-515.1278064497147
2025-01-01 00:03:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.0936641811270725e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0936641811270725e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.73000931404165,0.0,0.048688255763241234,2.4309325045634833,2.8,9.236100170605994,-2068.165343100646,1315.1853725450096,-359.11838601868754,-2220.50384279463,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09502838795111268,0.0,0,0.6930487068876734,65.99961422222222,-183.82221316041944,0.18108431408971665,9.514323974430948,0.0026868598609165535,-45.04130628755031,1.2190314385747183,0.3624556363775999,1299.607806986136,15.577565558873724,0.3172905303361016,152.60914533557013,-511.7275313542577
2025-01-01 00:04:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.104314565405275e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.104314565405275e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.623694546313978,0.0,0.27052387214428086,2.3921347244515787,2.8,9.236100170605994,-2044.070066274105,1210.0283590432812,-337.43633603532356,-2201.4072234375053,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09477308209034456,0.0,0,0.6911867433157225,65.99961422222222,-178.82355569100335,0.18226630050445874,9.465985254923797,0.0026867378526100744,-44.735615289793984,1.219472687844335,0.3624556363775999,1194.821681051738,15.206677991542962,0.31796858215871554,169.01241002097458,-506.44874605629815
2025-01-01 00:05:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.114667729657109e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.114667729657109e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.52019538042803,-0.0909157306831112,0.4749169477181422,2.3549248494551054,2.8,9.236100170605994,-2019.8491864342686,1113.1442131146323,-317.0683088970379,-2182.879180842224,-0.0,-0.0,336.1607128544035,0.0,1.0,0.0945243154456325,0.0,0,0.689372470705698,65.99961422222222,-173.13071844644824,0.1834251804782205,9.419097452416016,0.0026866167162095844,-44.43726748800154,1.2199025598686948,0.3624556363775999,1098.2747022275023,14.869510887129948,0.3186175272728808,184.8079553430378,-501.8762642400757
2025-01-01 00:06:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.1247236738825755e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.1247236738825755e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.41940559754891,-0.19170551356223342,0.6632790854587787,2.3193155534405863,2.8,9.236100170605994,-1996.1481391182997,1023.8630866335116,-296.6536282632763,-2164.8958212711054,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09428185031533218,0.0,0,0.687604155482815,65.99961422222222,-167.41303070159773,0.18456154971723038,9.372865283866767,0.0026864964300855896,-44.14599666279402,1.2203214717965323,0.3624556363775999,1009.3000866605416,14.562999972969756,0.31923732280270417,199.98221850842646,-496.63584677170275
2025-01-01 00:07:00,0.2906995424044131,0.1665151217425469,0.0,0.004844992373406885,0.0027752520290424483,0.0,0.045720532172532025,0.007772,0.23720701023188104,0.0,0.0,0.0,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,Off,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0,0.0,19888.684813333333,Off,0.0,0.0,3.1345319347527344e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.1345319347527344e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.321217971730757,-0.28989313938038563,0.8369066461537749,2.285337944353133,2.8,9.236100170605994,-1973.2184815239798,941.569878617044,-276.7465355350457,-2147.4334379082084,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09404544524117397,0.0,0,0.685880036674956,65.99961422222222,-161.94575647017464,0.18567605707218168,9.32798012611694,0.002686376973416445,-43.86153341962164,1.2207298467677883,0.3624556363775999,927.285486221371,14.284392395672986,0.31982759829219043,214.51404834644316,-491.26058388148886
2025-01-01 00:08:00,1.032951104904413,0.1665151217425469,0.733654054054054,0.017215851748406886,0.0027752520290424483,0.012227567567567568,0.045720532172532025,0.007772,0.23720701023188104,0.7422515625000001,0.0,0.733654054054054,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,On,14613.379110146185,21.111111111111143,0.925,6017.557265687149,21.50128087927928,0.7422515625000001,1,19888.684813333333,19888.684813333333,Off,0.0,0.0,3.1441420489386473e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.1441420489386473e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.225528754970433,-0.38558235614070924,0.9969902338758095,2.252998437090329,2.8,9.236100170605994,12662.290940463881,865.6996600648769,5760.239958213745,-2130.469292838904,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09381486586558767,0.0,0,0.6841984050959035,65.99961422222222,-156.77958969780232,0.18676935205992837,9.28365336609558,0.0026862583261941333,-43.58361660003581,1.2211280951852048,0.3624556363775999,851.6685079528396,14.031152112037262,0.3203884057572887,228.39311644801043,-485.7104239214142
2025-01-01 00:09:00,1.032951104904413,0.1665151217425469,0.733654054054054,0.017215851748406886,0.0027752520290424483,0.012227567567567568,0.045720532172532025,0.007772,0.23720701023188104,0.7422515625000001,0.0,0.733654054054054,0.0,0,0.1665151217425469,0,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.0012477098008212258,0.0,On,0.03765674506907922,0,On,0.015186847908485106,0,On,0.18237776817474022,0.13678332613105512,On,0,0,Off,On,14613.379110146185,21.111111111111143,0.925,6017.557265687149,21.50128087927928,0.7422515625000001,1,19888.684813333333,19888.684813333333,Off,0.0,0.0,3.1327981512655846e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.1327981512655846e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.339026560358512,-0.2720845507526306,1.1446243505092477,2.3622767245069265,2.8,9.236100170605994,12633.746199884159,795.7349163322366,5712.37402087713,-2150.5964866442246,-0.0,-0.0,336.1607128544035,0.0,1.0,0.09408833738732904,0.0,0,0.6861928521090523,65.99961422222222,-165.19713647220405,0.18545560591972354,9.335743083171181,0.0026861404691974878,-43.83590825397755,1.2206559484944837,0.3624556363775999,781.9321536642985,13.802762667937989,0.3184894144223905,181.68216424021844,-486.86540905023804
