Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Pool Pump Electric Power (kW),Pool Pump Reactive Power (kVAR),Pool Heater Gas Power (therms/hour),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,1.4869894626064357,0.21067109625095853,0.13420203947690348,1.4869894626064357,0.21067109625095856,0.13420203947690348,0.079573019637883,0.9166775903703706,0.3073757275981823,0.133363125,0.05,0.002383661098525133,0.13181837837837834,0.0,0.0,0.19608776291762522,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.02105986842105263,0.0,0.058513151216830386,0.0,0.020722133692942908,0.0,0.2263856000743045,0.1697892000557283,0.02520324334840574,0.0,0.002383661098525133,0.0,0.0,3066.784263599353,18.94444444444449,0.2775000000000001,640.0535334006473,3.8632158616216206,0.133363125,0.3,3573.474672,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,916.6775903703705,0.16666666666666666,36.33019676480269,51.66666666666668,46.10666666666668,0.0,51.13993037545633,0.04683488556147794,124.41260555894095,916.6775903703705,36.33019676480269,49.76033579619679,51.14132723902009,49.06914164300326,12.43753247303448,18.618662891228933,-0.062164149318947474,7.77794838262274,2.8,9.236100170605994,2847.3471834547695,-1801.7071076251875,-683.577048344002,0.0,0.0,528.5194444353472,0.0,2.7670000000000003,0.03315229326078052,0.0,0.0,0.4290252315968098,182.6209325528889,-64.37947623592869,0.24516183123618196,9.119738193099275,0.00319270556008481,58.2698943819067,1.2274199657530083,0.3849920086324637,-2497.742261415153,55.981620389318124
2025-01-01 01:00:00,1.6669620373647882,0.21266658843028188,0.14152528272014672,1.6669620373647884,0.21266658843028188,0.14152528272014672,0.07094182758508699,1.1000131084444444,0.30523491383525675,0.1407721875,0.05,0.002383661098525133,0.1391416216216216,0.0,0.0,0.19808325509694855,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.01948037828947368,0.0,0.05146144929561331,0.0,0.015920663690919552,0.0,0.22992287507546552,0.1724421563065991,0.02520324334840574,0.0,0.002383661098525133,0.0,0.0,3237.1611671326505,18.94444444444449,0.29291666666666677,675.6120630340167,4.077838965045044,0.1407721875,0.31666666666666665,3772.0010426666663,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,1100.0131084444445,0.2,37.48045871779633,51.66666666666668,46.10666666666668,0.0,51.716011101281424,0.41890081203221624,1142.8283603528948,1100.0131084444445,37.48045871779633,50.8279902678282,51.716143701370925,50.38384725101208,12.43753247303448,18.645482950943997,-0.05264107952465344,8.140315616070433,2.5,9.236100170605994,3049.522956486403,-1455.0614101984963,-680.3357318385858,0.0,0.0,566.999540036211,0.0,3.5170000000000003,0.03231084268172705,0.0,0.0,0.4181359840049168,232.12064321955555,-74.30201884387277,0.2464106163591426,9.156896857857083,0.0032142611298490377,98.31798151447725,1.2273509024250722,0.3043456761189861,-2181.705645625454,51.03217239294107
2025-01-01 02:00:00,0.5397600538796633,0.20419365864670977,0.13420203947690348,0.5397600538796633,0.20419365864670977,0.13420203947690348,0.06646890338910463,0.0,0.2899280254905587,0.133363125,0.05,0.002383661098525133,0.13181837837837834,0.0,0.0,0.18961032531337643,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.01948037828947368,0.0,0.046988525099630946,0.0,0.011911015057650924,0.0,0.21950225412609928,0.16462669059457444,0.02520324334840574,0.0,0.002383661098525133,0.0,0.0,3066.784263599353,18.94444444444449,0.2775000000000001,640.0535334006473,3.8632158616216206,0.133363125,0.3,3573.474672,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,38.309262340846665,51.66666666666668,46.10666666666668,0.0,51.79237866993245,0.0,0.0,0.0,38.309262340846665,51.508257566122914,51.79237866993245,51.36619701421815,12.43753247303448,18.593160934701864,-0.06692930970372632,8.736302399972883,1.6500000000000001,9.236100170605994,2867.0768276216354,-1300.313454813437,-708.3927323559583,0.0,0.0,579.8269846313195,0.0,4.0,0.0319230106508442,0.0,0.0,0.4131170332626158,263.9984568888889,-71.14168825307873,0.2498226160786829,9.171594067198878,0.003248315384170281,126.9858673442624,1.2275457320910332,0.2149861656829177,-1985.994641639494,45.62765342540972
2025-01-01 03:00:00,0.5554477857949411,0.20124174592576063,0.14964307966289833,0.5554477857949411,0.2012417459257606,0.14964307966289833,0.06406946850089405,0.0,0.2931970672940471,0.14818125000000001,0.05,0.0031782147980335103,0.14646486486486485,0.0,0.0,0.1866584125924273,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.018427384868421052,0.0,0.045642083632473,0.0,0.010714859372936333,0.0,0.2164429892602303,0.16233224194517268,0.03360432446454098,0.0,0.0031782147980335103,0.0,0.0,3407.538070665948,18.94444444444449,0.30833333333333346,711.1705926673859,4.292462068468468,0.14818125000000001,0.3333333333333333,3970.5274133333337,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,37.996918292381146,51.66666666666668,46.10666666666668,0.0,51.582877938814335,0.0,0.0,0.0,37.996918292381146,51.31556116005161,51.582877938814335,51.181902770670256,12.43753247303448,18.66829466015419,-0.05230223358801981,8.626780523956533,1.6500000000000001,9.236100170605994,3180.283034479768,-1568.2780828415114,-725.5762765587834,0.0,0.0,572.509658971073,0.0,4.0,0.0325664992038122,0.0,0.0,0.421444445888203,263.9984568888889,-74.18841859846907,0.25135668355318935,9.246024071412188,0.003283719182410603,110.20617414866001,1.2272037170951025,0.2608830152309972,-2329.2466353394657,49.797959830568836
2025-01-01 04:00:00,0.5955845539974189,0.2005842818542132,0.1601445377041751,0.5955845539974189,0.2005842818542132,0.1601445377041751,0.06406946850089405,0.0,0.32592477299652484,0.15559031250000002,0.05,0.006356429596067021,0.15378810810810808,0.0,0.0,0.18600094852087987,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.018427384868421052,0.0,0.045642083632473,0.0,0.010714859372936333,0.0,0.2164429892602303,0.16233224194517268,0.06720864892908196,0.0,0.006356429596067021,0.0,0.0,3577.914974199245,18.94444444444449,0.3237500000000001,746.7291223007553,4.507085171891891,0.15559031250000002,0.35,4169.053784,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,37.82728687821403,51.66666666666668,46.10666666666668,0.0,51.37475771407237,0.0,0.0,0.0,37.82728687821403,51.12400415817261,51.37475771407237,50.99862738022273,12.43753247303448,18.621919790451166,-0.06591353207036944,8.326616577678202,0.55,9.236100170605994,3277.9218584311957,-1431.9409855602462,-801.7982597581863,0.0,0.0,571.6330402090098,0.0,4.0,0.03366164770393155,0.0,0.0,0.4356168090246148,263.9984568888889,-69.82789621887301,0.2542365294289304,9.254540556666276,0.0033134398714739868,120.12535600867426,1.2268007130988574,0.23647788083775187,-2232.082418426032,53.41231056503011
2025-01-01 05:00:00,0.663907171152471,0.2005842818542132,0.173029656843977,0.6639071711524709,0.2005842818542132,0.17302965684397698,0.06617545534299932,0.0,0.38473234080947155,0.162999375,0.05,0.011918305492625665,0.16111135135135132,0.0,0.0,0.18600094852087987,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.020533371710526313,0.0,0.045642083632473,0.0,0.010714859372936333,0.0,0.2164429892602303,0.16233224194517268,0.12601621674202867,0.0,0.011918305492625665,0.0,0.0,3748.291877732542,18.94444444444449,0.3391666666666667,782.2876519341245,4.721708275315314,0.162999375,0.36666666666666664,4367.580154666666,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,37.55456217365998,51.66666666666668,46.10666666666668,0.0,51.168112204724814,0.0,0.0,0.0,37.55456217365998,50.93367640132695,51.168112204724814,50.81645849962802,12.43753247303448,18.66538855884099,-0.04806497971651282,8.53079695895837,-0.25000000000000006,9.236100170605994,3398.346324478886,-1527.3024153342901,-853.6531753763946,0.0,0.0,573.739027051115,0.0,4.0,0.03424026370644901,0.0,0.0,0.4431047032264723,263.9984568888889,-70.03140492837733,0.25633244551808504,9.313699803902626,0.0033517470469396605,119.95631969142036,1.2259740982746565,0.2103255980942251,-2360.651128949312,51.06106168089687
2025-01-01 06:00:00,0.7791760867051473,0.20526918145111683,0.1744465042953259,0.7791760867051473,0.20526918145111683,0.17444650429532588,0.08756683526857728,0.0,0.4860189389365699,0.15559031250000002,0.05,0.020658396187217817,0.15378810810810808,0.0,0.0,0.1906858481177835,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.02316585526315789,0.0,0.0644009800054194,0.0,0.013343032426675432,0.0,0.22093628453197536,0.16570221339898147,0.21842810901951637,0.0,0.020658396187217817,0.0,0.0,3577.914974199245,18.94444444444449,0.3237500000000001,746.7291223007553,4.507085171891891,0.15559031250000002,0.35,4169.053784,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,37.241798650881975,51.66666666666668,46.10666666666668,0.0,50.95169682068737,0.04646725575224917,124.41260555894095,0.0,37.241798650881975,50.671063057018934,50.95169682068737,50.53074617518472,12.43753247303448,18.6682143104773,-0.05030814422084398,8.089515613617674,0.3,9.236100170605994,3290.3606328945225,-1720.0209858391574,-816.9124818447576,0.0,0.0,603.6905821572815,0.0,4.0,0.03383818115928127,0.0,0.0,0.4379013359492001,263.9984568888889,-74.33244161724656,0.2584769817930895,9.347485215299049,0.003380598079437756,95.52969485889629,1.2259409040277436,0.24695710431631684,-2522.939194701149,56.18908656123666
2025-01-01 07:00:00,2.738086345501636,0.2234339668632557,0.16677874115674696,2.7380863455016367,0.2234339668632557,0.16677874115674696,0.17722587031831186,1.0083453494074075,1.369152000775917,0.133363125,0.05,0.03496036277836862,0.13181837837837834,0.0,0.0,0.20885063352992236,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.6930873107020109,0.0,0.021586365131578945,0.0,0.1556395051867329,0.0,0.027949609590725434,0.0,0.2434027608907007,0.18255207066802548,0.3696475691099508,0.0,0.03496036277836862,0.0,0.0,3066.784263599353,18.94444444444449,0.2775000000000001,640.0535334006473,3.8632158616216206,0.133363125,0.3,3573.474672,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,1008.3453494074075,0.18333333333333332,35.519799328232914,51.66666666666668,46.10666666666668,0.0,50.64494944192345,0.23330379347185387,621.383177491104,1008.3453494074075,35.519799328232914,49.08897148988889,50.64494944192346,48.31098251387162,12.43753247303448,18.633759835129045,-0.05480953059222416,7.785033841373536,-0.55,9.236100170605994,3311.679625175632,-2050.6613694038115,-879.5838498657212,0.0,0.0,1195.5043180613661,3.0366292886066955,3.4829999999999997,0.03476837865178329,0.0,0.0,0.4499390611078263,229.876656336,-71.02510661936601,0.2616676608785665,9.370663740523074,0.0034151935096224575,137.86899513329445,1.226060027890225,0.2496246867504883,-2749.5459948282414,58.831092023782716
2025-01-01 08:00:00,1.3751145906528757,0.22194038532598898,0.2205306188668118,1.3751145906528757,0.22194038532598898,0.2205306188668118,0.15895290937779388,0.0,1.0105713687750817,0.15559031250000002,0.05,0.06674251075870373,0.15378810810810808,0.0,0.0,0.20735705199265564,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.016321398026315787,0.0,0.1426315113514781,0.0,0.028404485696180277,0.0,0.24053470007894853,0.18040102505921138,0.7056908137553606,0.0,0.06674251075870373,0.0,0.0,3577.914974199245,18.94444444444449,0.3237500000000001,746.7291223007553,4.507085171891891,0.15559031250000002,0.35,4169.053784,11911.58224,0.0,19.94444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,37.36326232637261,51.66666666666668,46.10666666666668,0.0,51.76408709051459,0.09052130057561357,248.8252111178819,0.0,37.36326232637261,50.77010999919276,51.76408709051459,50.27312145353185,12.43753247303448,18.68408929077241,-0.05113157266026249,7.263457149678876,-1.4,9.236100170605994,3197.363152302539,-2232.59181487469,-953.8253096219398,0.0,0.0,594.3731739502109,220.85787795179448,2.2329999999999997,0.03591657064001034,0.0,0.0,0.4647978622710467,147.3771385582222,-21.099686224976907,0.2629204308554033,9.42617144722521,0.0034407717083349736,45.736951748800706,1.2264056396517633,0.26561709410145684,-3042.2112033131875,62.890266137742636
2025-01-01 09:00:00,2.072097679609549,0.23183519512653394,0.2426058625053785,2.072097679609549,0.23183519512653394,0.24260586250537852,0.21239011281890255,0.0,1.6615263167906464,0.14818125000000001,0.05,0.09614099764051369,0.14646486486486485,0.0,0.0,0.21725186179320058,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.31138869034637584,0.0,0.013162417763157892,0.0,0.19922769505574464,0.0,0.043937662334304954,0.0,0.2537277798130085,0.19029583485975632,1.0165308150523646,0.0,0.09614099764051369,0.0,0.0,3407.538070665948,19.500000000000057,0.30833333333333346,711.1705926673859,4.292462068468468,0.14818125000000001,0.3333333333333333,3970.5274133333337,11911.58224,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7735.905048888889,0.0,0.0,35.09212936998013,51.66666666666668,46.10666666666668,0.0,51.35515359639574,0.14982143149171886,406.454719175294,0.0,35.09212936998013,49.26746663156971,51.35515359639574,48.223623149156694,12.43753247303448,19.16730011541815,-0.060655245382228114,7.2538085782482,-0.85,9.236100170605994,3398.2731544352014,-2042.325752609376,-947.6370461181065,0.0,0.0,867.9351615621774,637.0266839597314,1.75,0.035836553802465504,0.0,0.0,0.46376236098643636,115.49932488888888,70.43696832518316,0.25628811590335715,9.665759312954645,0.003455231734628711,82.10313161471211,1.2249819920495653,0.2628453405042919,-2814.8165969074475,61.32025163068587
