Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Grill Gas Power (therms/hour),Gas Grill Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.9063443501212385,0.2824440007129594,0.3820380860121159,0.015105739168687307,0.004707400011882657,0.0063673014335352655,0.026756836357008717,0.0,0.3841250137642297,0.44546250000000004,0.05,0.0002130860121159198,0.381825,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,On,7745.742541783683,20.000000000000057,0.8,1651.8701182163163,11.1901877,0.44546250000000004,1,8952.15016,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.053848481816644,51.666666666666686,46.10666666666668,0.0,51.142302618118606,0.0,0.0,0.0,20.053848481816644,48.403355550145875,51.142302618118606,47.03388201615952,12.43753247303448,20.028612558274503,0.0,-2.6426943235387848,2.8,9.236100170605994,4566.858794047019,3280.218741250809,-2028.3374388016225,-0.0,-0.0,456.0107742238389,0.0,1.0,0.09033837003798272,0.0,0,2.338145347759352,65.99961422222222,-57.4085748021432,0.1869940895716671,9.145197075560285,0.002664584538205509,-31.272499204491773,1.2184051452787723,0,0,79.20011467775655
2025-01-01 00:01:00,0.9063443501212385,0.2824440007129594,0.3820380860121159,0.015105739168687307,0.004707400011882657,0.0063673014335352655,0.026756836357008717,0.0,0.3841250137642297,0.44546250000000004,0.05,0.0002130860121159198,0.381825,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,On,7745.742541783683,20.000000000000057,0.8,1651.8701182163163,11.1901877,0.44546250000000004,1,8952.15016,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,19.95167427796179,51.666666666666686,46.10666666666668,0.0,51.14016915073395,0.0,0.0,0.0,19.95167427796179,48.401666916370715,51.14016915073395,47.0324157991891,12.43753247303448,20.17199105759859,0.0,-2.3536781694824604,2.8,9.236100170605994,4534.8054049893,3276.9335035760537,-2052.135439477915,-0.0,-0.0,456.0107742238389,0.0,1.0,0.09064393933435037,0.0,0,2.3460541181790497,65.99961422222222,-65.66396318356962,0.18586244970480012,9.234158305814676,0.002664283755367609,-31.486064804001536,1.22136717883622,0,0,75.91487700300084
2025-01-01 00:02:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,19.852843251295234,51.666666666666686,46.10666666666668,0.0,51.13804497327548,0.0,0.0,0.0,19.852843251295234,48.39998688617166,51.13804497327548,47.030957842619756,12.43753247303448,20.310630999722967,0.0,-2.0701619154968043,2.8,9.236100170605994,-1692.972585690693,72.98197272641875,-2075.2496057444437,-0.0,-0.0,456.0107742238389,0.0,1.0,0.09093915026336125,0.0,0,2.3536947924571474,65.99961422222222,-73.73375417008826,0.18425524818621544,9.297482383202098,0.0026639816528625285,-31.68850665153594,1.2207903895716192,0,0,72.98197272641875
2025-01-01 00:03:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,19.97671053217022,51.666666666666686,46.10666666666668,0.0,51.135929783395426,0.0,0.0,0.0,19.97671053217022,48.39831517803656,51.135929783395426,47.02950787535713,12.43753247303448,20.13305605722463,0.0,-1.953131074728164,2.8,9.236100170605994,-1663.2879638177587,71.97503892870276,-2045.662311738265,-0.0,-0.0,456.0107742238389,0.0,1.0,0.09056098770497059,0.0,0,2.3439071570788896,65.99961422222222,-73.63642630333236,0.1862685078984,9.216076645835944,0.0026636774643156455,-31.230090806434212,1.221529769373457,0,0,71.97503892870276
2025-01-01 00:04:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.09661722013848,51.666666666666686,46.10666666666668,0.0,51.133803446140945,0.0,0.0,0.0,20.09661722013848,48.39663303966039,51.133803446140945,47.028047836420114,12.43753247303448,19.96109455116809,0.0,-1.837979698032584,2.8,9.236100170605994,-1633.5907273763278,70.86648596229156,-2017.1682276660458,-0.0,-0.0,456.0107742238389,0.0,1.0,0.0901943811204936,0.0,0,2.334418614396612,65.99961422222222,-72.43327393412075,0.18824143515245984,9.136786371528224,0.0026633778577141174,-30.785030025891878,1.2222466337178595,0,0,70.86648596229156
2025-01-01 00:05:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.212704045291428,51.666666666666686,46.10666666666668,0.0,51.131666319685934,0.0,0.0,0.0,20.212704045291428,48.39494080454476,51.131666319685934,47.02657804697418,12.43753247303448,19.794546984556206,0.0,-1.7246754447151829,2.8,9.236100170605994,-1602.9269319907592,69.82405065365802,-1989.7196583583848,-0.0,-0.0,456.0107742238389,0.0,1.0,0.08983894568321518,0.0,0,2.325219204292667,65.99961422222222,-69.21804785621327,0.19017437535510978,9.059528340390376,0.002663082694032651,-30.352859287612368,1.222941734677278,0,0,69.82405065365802
2025-01-01 00:06:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.325070658878,51.666666666666686,46.10666666666668,0.0,51.12951874947754,0.0,0.0,0.0,20.325070658878,48.39323879434113,51.12951874947754,47.025098816772925,12.43753247303448,19.633272178909174,0.0,-1.6131755801617924,2.8,9.236100170605994,-1572.7798346952382,68.82716893177638,-1963.2795601226428,-0.0,-0.0,456.0107742238389,0.0,1.0,0.08949441789565596,0.0,0,2.3163021069029672,65.99961422222222,-65.51104879643412,0.19206710483664574,8.984969742172314,0.0026627918393707503,-29.933236589203197,1.2236155866713019,0,0,68.82716893177638
2025-01-01 00:07:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.433863335258327,51.666666666666686,46.10666666666668,0.0,51.12736107195035,0.0,0.0,0.0,20.433863335258327,48.3915273223098,51.12736107195035,47.02361044748953,12.43753247303448,19.477062744164364,-0.022937255835692838,-1.5034380081681686,2.8,9.236100170605994,-1543.6976948478548,67.87240270982035,-1937.8009915602095,-0.0,-0.0,456.0107742238389,0.0,1.0,0.08916038993607275,0.0,0,2.307656766950601,65.99961422222222,-61.90747751148422,0.19392029288354595,8.912290875679908,0.002662505163681974,-29.52568264242192,1.2242689858984326,0,0,67.87240270982035
2025-01-01 00:08:00,0.4608818501212384,0.2824440007129594,0.0002130860121159198,0.007681364168687307,0.004707400011882657,3.5514335352653303e-06,0.026756836357008717,0.0,0.3841250137642297,0.0,0.05,0.0002130860121159198,0.0,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.539240752628338,51.666666666666686,46.10666666666668,0.0,51.12519361031108,0.0,0.0,0.0,20.539240752628338,48.389806689394064,51.12519361031108,47.02211322893557,12.43753247303448,19.32569366502116,-0.17430633497889758,-1.3954212745549046,2.8,9.236100170605994,-1515.751318244868,66.9558429165985,-1913.235212226743,-0.0,-0.0,456.0107742238389,0.0,1.0,0.0888364131743693,0.0,0,2.2992715729534035,65.99961422222222,-58.52688024196389,0.1957349510319269,8.841390763205254,0.0026622225421237965,-29.129682734450846,1.2249028081059703,0,0,66.9558429165985
2025-01-01 00:09:00,0.9063443501212385,0.2824440007129594,0.3820380860121159,0.015105739168687307,0.004707400011882657,0.0063673014335352655,0.026756836357008717,0.0,0.3841250137642297,0.44546250000000004,0.05,0.0002130860121159198,0.381825,0.0,0.0,0.26786066737962605,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.0589948405115722,0.04424613038367914,On,0,0,Off,0.00284234283625731,0.0,On,0.011957246760375703,0,On,0.011957246760375703,0.0,On,0.026977457258061527,0,On,0.298152715994596,0.2236145369959469,On,0.0002130860121159198,On,0,0,Off,On,7745.742541783683,20.000000000000057,0.8,1651.8701182163163,11.1901877,0.44546250000000004,1,8952.15016,8952.15016,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,5571.281822222222,Off,0.0,0.0,20.641357024033677,51.666666666666686,46.10666666666668,0.0,51.12301667341725,0.0,0.0,0.0,20.641357024033677,48.388077183175724,51.12301667341725,47.02060743805497,12.43753247303448,19.17894639524795,-0.3210536047521053,-1.2890851164836574,2.8,9.236100170605994,4707.714994455529,3267.0929184257066,-1889.5355854804475,-0.0,-0.0,456.0107742238389,0.0,1.0,0.08852204981423006,0.0,0,2.291135193830042,65.99961422222222,-55.354227714807465,0.19751214478851511,8.77287675004193,0.0026619438553801187,-28.744737185311557,1.2255179076879024,0,0,66.0742918526537
