,Battery Electric Power (kW),Total Electric Power (kW)
2025-01-01 00:00:00,0.0,0.0
2025-01-01 00:10:00,0.0,8.460367804810168
2025-01-01 00:20:00,0.0,8.431660187913247
2025-01-01 00:30:00,-6.4603678048101685,2.1696207394292415
2025-01-01 00:40:00,-6.431660187913247,2.2856379751523233
2025-01-01 00:50:00,-6.62998854423941,1.8889438800981102
2025-01-01 01:00:00,-6.7172981630655695,1.7408854158975187
2025-01-01 01:10:00,-6.518932424337521,1.927905996514112
2025-01-01 01:20:00,-6.458183578963087,1.9971634393676219
2025-01-01 01:30:00,-1.2446149959926698,7.5700246051310724
2025-01-01 01:40:00,-0.00019489359826084114,7.285817266025741
2025-01-01 01:50:00,-4.751464967617991e-12,7.02957352520933
2025-01-01 02:00:00,0.0,6.95220532832063
2025-01-01 02:10:00,0.0,6.939838687312607
2025-01-01 02:20:00,0.0,6.951160341695655
2025-01-01 02:30:00,0.0,6.969933435496432
2025-01-01 02:40:00,0.0,6.567502930864457
2025-01-01 02:50:00,0.0,6.590126391506988
2025-01-01 03:00:00,0.0,6.615150337283701
2025-01-01 03:10:00,0.0,6.63875065424966
2025-01-01 03:20:00,0.0,6.665460749222077
2025-01-01 03:30:00,0.0,6.6914158121812815
2025-01-01 03:40:00,0.0,6.422995289184366
2025-01-01 03:50:00,0.0,6.447132222381891
2025-01-01 04:00:00,0.0,6.47213520963481
2025-01-01 04:10:00,0.0,6.494097003011045
2025-01-01 04:20:00,0.0,6.518872798260951
2025-01-01 04:30:00,0.0,6.541385944233999
2025-01-01 04:40:00,0.0,6.127050049500408
2025-01-01 04:50:00,0.0,6.146652631351141
2025-01-01 05:00:00,0.0,6.166152923929725
2025-01-01 05:10:00,0.0,6.368249540272218
2025-01-01 05:20:00,0.0,6.6523917843997005
2025-01-01 05:30:00,0.0,6.598928600364003
2025-01-01 05:40:00,0.0,5.80313873117796
2025-01-01 05:50:00,0.0,5.742076984211669
2025-01-01 06:00:00,0.0,5.814965126169107
2025-01-01 06:10:00,0.0,5.852353569058458
2025-01-01 06:20:00,0.0,5.814067032795161
2025-01-01 06:30:00,0.0,5.817037360476126
2025-01-01 06:40:00,0.0,6.049093008264537
2025-01-01 06:50:00,0.0,5.804621056633771
2025-01-01 07:00:00,0.0,5.800064254449341
2025-01-01 07:10:00,0.0,6.089909817102904
2025-01-01 07:20:00,0.0,5.944761965706162
2025-01-01 07:30:00,0.0,5.939110184918836
2025-01-01 07:40:00,0.0,5.369245725522045
2025-01-01 07:50:00,0.0,5.357554326433345
2025-01-01 08:00:00,0.0,5.347747841928777
2025-01-01 08:10:00,0.0,5.3664022942039065
2025-01-01 08:20:00,0.0,5.3412492170418755
2025-01-01 08:30:00,0.0,5.328748301397431
2025-01-01 08:40:00,0.0,4.276998148237805
2025-01-01 08:50:00,0.0,4.207739613820498
2025-01-01 09:00:00,0.0,4.155771665632234
2025-01-01 09:10:00,0.0,4.113256988074838
2025-01-01 09:20:00,0.0,4.067947728961583
2025-01-01 09:30:00,0.0,4.02645004421724
2025-01-01 09:40:00,0.0,1.8113529015130765
2025-01-01 09:50:00,0.0,1.5758737137864445
2025-01-01 10:00:00,0.0,1.3583962834643135
2025-01-01 10:10:00,0.0,1.1464803051942354
2025-01-01 10:20:00,0.0,0.9576882904108355
2025-01-01 10:30:00,0.0,0.7766712321602011
2025-01-01 10:40:00,0.0,-0.13705873605419394
2025-01-01 10:50:00,0.0,-0.2542780868594733
2025-01-01 11:00:00,0.0,-0.46174837970856886
2025-01-01 11:10:00,0.0,-0.6554955723885312
2025-01-01 11:20:00,0.0,-0.8175415521614333
2025-01-01 11:30:00,0.0,-0.8915219086731534
2025-01-01 11:40:00,0.0,-2.2492148706237196
2025-01-01 11:50:00,0.0,-2.2358481159079227
2025-01-01 12:00:00,0.2492148706237196,-2.1727888163956477
2025-01-01 12:10:00,0.23584811590792265,-2.3440479310595856
2025-01-01 12:20:00,0.4220036870193673,-2.287538352785998
2025-01-01 12:30:00,0.5798960469675083,-2.236301398066776
2025-01-01 12:40:00,0.7095420398053651,-1.2089122822561236
2025-01-01 12:50:00,0.8161974450342844,-1.1595612804815756
2025-01-01 13:00:00,0.0,-2.0307817973770383
2025-01-01 13:10:00,0.0,-2.0851059485284376
2025-01-01 13:20:00,0.030781797377038345,-2.102639053201489
2025-01-01 13:30:00,0.08510594852843756,-2.093510241446219
2025-01-01 13:40:00,0.13342085057852726,-2.4141009070933057
