Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Gas Fireplace Gas Power (therms/hour),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,2.9437380147375642,0.19813040009189967,0.008195411267719619,2.9437380147375642,0.19813040009189967,0.008195411267719619,0.10530105304666798,0.0,0.2702192328020074,2.558217728888889,0.010000000000000002,0.008195411267719619,0.0,0.0,0.195213733425233,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.027264309210526312,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.008195411267719619,2558.2177288888893,23.666666666666686,0.35,0.0,2.558217728888889,0.0,0.35,2558.2177288888893,7309.193511111112,0.0,24.666666666666686,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,0.0,0.0,28.798363674313794,51.66666666666668,46.10666666666668,0.0,51.03283014589466,0.0,0.0,0.0,28.798363674313794,47.93883246234572,51.03283014589466,46.391833620571255,12.43753247303448,23.301626428245072,-0.06493341069245903,5.538643487710628,2.050992099621702,-0.9250261082237703,2.8,9.236100170605994,2365.721240362941,-2304.276018943956,255.00801071522542,1696.9932760271115,-846.5668197878396,0.0,0.0,677.8456269082527,0.0,3.0,0.03168136016328731,0.0,0.0,0.23105438455827068,197.99884266666666,-23.775295646360924,0.1644015716428381,10.840699034027715,0.002853948125898101,132.2338651570328,1.2082774992734007,0.6696255723802537,-2390.435541156291,86.15952221233503,0.25371894546431994,247.66061563378955,7.347395081435903,0.41746972089374174,2033.0279067148838,-336.03463068777216
2025-01-01 01:00:00,4.76811495056249,0.19747293602035224,0.004283964980853438,4.76811495056249,0.19747293602035224,0.004283964980853438,0.1032562298558785,0.0,0.26934261403994414,4.3855161066666675,0.010000000000000002,0.004283964980853438,0.0,0.0,0.19455626935368556,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034188131720465954,0.025641098790349457,0.0,0.0,0.025219486019736836,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.004283964980853438,4385.516106666667,23.666666666666686,0.6,0.0,4.3855161066666675,0.0,0.6,4385.516106666667,7309.193511111112,0.0,24.666666666666686,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,0.0,0.0,28.516252807754444,51.66666666666668,46.10666666666668,0.0,50.84837380014879,0.0,0.0,0.0,28.516252807754444,47.79400533175939,50.84837380014879,46.266821097564694,12.43753247303448,23.397803588544118,-0.040538604535931694,5.966715873563874,2.978931378585197,0.43622021455537663,2.5,9.236100170605994,4118.194996534733,-2199.849427233454,-155.0247210348205,633.3926632038642,-849.4709912145322,0.0,0.0,617.6075894882349,0.0,3.0,0.031161701323297406,0.0,0.0,0.2272644761441341,197.99884266666666,-35.45770840563653,0.16463646283485464,10.905119531024232,0.0028746274867461293,121.04752552661712,1.2079291637926832,0.521705276503979,-2273.2433489742275,73.3939217407738,0.25371894546431994,-161.685445619201,6.660724584380535,0.3133784800091884,896.9564670472507,-263.5638038433865
2025-01-01 02:00:00,3.64312989350413,0.19681547194880483,0.003538927592878927,3.64312989350413,0.19681547194880483,0.003538927592878927,0.1032562298558785,0.8250098313333335,0.268465995277881,2.436397837037037,0.010000000000000002,0.003538927592878927,0.0,0.0,0.19389880528213815,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.025219486019736836,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.003538927592878927,2436.3978370370373,23.666666666666686,0.3333333333333333,0.0,2.436397837037037,0.0,0.3333333333333333,2436.3978370370373,7309.193511111112,0.0,24.666666666666686,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,825.0098313333333,0.15,28.985010261661948,51.66666666666668,46.10666666666668,0.0,50.73969606199455,0.0,0.0,825.0098313333333,28.985010261661948,48.13634208904453,50.73971162848616,46.83464953607791,12.43753247303448,23.354087664994687,-0.04816425715190622,6.377525918665158,2.9689675904353767,0.7986181451396105,1.6500000000000001,9.236100170605994,2134.934144992634,-2127.553896601587,-430.7500530866936,-13.371138609774004,-879.5662515510721,0.0,0.0,605.8135239705211,0.0,3.0,0.030948214569018948,0.0,0.0,0.22570750225264338,197.99884266666666,-27.710964463851976,0.16621321054906138,10.907516629740536,0.0028946243247723693,123.71572184948094,1.2080926305996484,0.3552533918730728,-2183.6666644922616,56.112767890674796,0.25371894546431994,-438.1894664672878,7.43941338059418,0.18957885345672806,237.0864409708853,-250.4575795806593
2025-01-01 03:00:00,0.37948239091116986,0.1961580078772574,0.0027938902049044157,0.37948239091116986,0.1961580078772574,0.0027938902049044157,0.10189301439535219,0.0,0.2675893765158177,0.0,0.010000000000000002,0.0027938902049044157,0.0,0.0,0.19324134121059072,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243489419633949,0.024326170647254612,0.0,0.0,0.023856270559210524,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.0027938902049044157,0.0,20.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,0.0,0.0,34.409860171914666,51.66666666666668,46.10666666666668,0.0,51.650909171206955,0.0,0.0,0.0,34.409860171914666,51.65776676280553,51.661195558604824,51.650909171206955,12.43753247303448,22.083353581461495,-0.004297318458364311,6.213117804659535,2.7889727520072127,0.7452444541157476,1.6500000000000001,9.236100170605994,-191.10181664704106,-2478.9193508244966,-370.78899875036035,57.61521483623288,-807.8877362803221,0.0,-1.9669243997297545,592.6562429922812,0.0,3.0,0.030189867165933484,0.0,6.92843965290266e-05,0.22068211735498788,197.99884266666666,26.096601040729606,0.18080533574355237,10.372495281101353,0.0029145486520576022,110.2490877327024,1.2132791312668283,0.43976958144510075,-2536.3026329249415,57.38328210044451,0.25371894546431994,-378.47404512066436,7.685046370304009,0.23397910922638102,329.48786368587065,-271.8726488496378
2025-01-01 04:00:00,0.3786057721491066,0.19550054380570997,0.002980149551898044,0.3786057721491066,0.19550054380570997,0.002980149551898044,0.10189301439535219,0.0,0.2667127577537544,0.0,0.010000000000000002,0.002980149551898044,0.0,0.0,0.1925838771390433,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.023856270559210524,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.002980149551898044,0.0,20.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,0.0,0.0,35.48939706159323,51.66666666666668,46.10666666666668,0.0,51.461220086249675,0.0,0.0,0.0,35.48939706159323,51.48098691200314,51.49087032487988,51.461220086249675,12.43753247303448,20.978270860352097,0.0,5.9656273925212995,2.7796784283375113,0.8428405056734173,0.55,9.236100170605994,-185.69917953294043,-2389.0278845700673,-737.5220943372128,-216.33592813192362,-808.7429023154021,0.0,0.0,594.5089859191306,0.0,3.0,0.030084866654332538,0.0,0.0,0.2194110452804868,197.99884266666666,28.534736863331073,0.1944695300966934,9.89595001659224,0.0029318843995010226,123.83999457079899,1.2172515115187104,0.39209120592530666,-2452.765634892609,63.7377503225418,0.25371894546431994,-745.1533170229443,7.631222685731446,0.23492684116452497,55.39862456840463,-271.73455270032827
2025-01-01 05:00:00,1.2030152699824184,0.20684671407041805,0.0033526682458852987,1.2030152699824184,0.20684671407041805,0.0033526682458852987,0.17161549365037432,0.7333420722962963,0.28805770403574776,0.0,0.010000000000000002,0.0033526682458852987,0.0,0.0,0.20393004740375137,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.026582701480263156,0.0,0.00589897706426212,0.0,0.13913381510584905,0.0,0.016150974164079134,0.0,0.2403484544373923,0.18026134082804418,0.0033526682458852987,0.0,20.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,733.3420722962964,0.13333333333333333,34.47187776137773,51.66666666666668,46.10666666666668,0.0,50.99779018900713,0.35092349362372216,940.8469373059365,733.3420722962964,34.47187776137773,49.73097628883666,51.00901118332116,49.08634834443739,12.43753247303448,20.141579097597305,-0.04607065215436078,5.969975299685473,1.9222381724607696,0.2143753675463208,-0.25000000000000006,9.236100170605994,-90.83804140391062,-2607.825096977131,-716.6169231655564,-372.2188712573688,-799.3277495663228,0.0,0.0,689.9761589425984,0.0,3.0,0.02974349721662731,0.0,0.0,0.2169214139979453,197.99884266666666,18.513549219813736,0.20622009146142267,9.539590536825743,0.0029544637956980795,128.7648473157048,1.2200948007385781,0.34152862127281536,-2668.202264165454,60.37716718832328,0.25371894546431994,-726.1216129955759,9.504689830019567,0.18500964278092666,-60.73274935192232,-311.48612190544645
2025-01-01 06:00:00,3.720651006917295,0.23077884254250053,0.004842743021834321,3.720651006917295,0.23077884254250053,0.004842743021834321,0.41384287766229605,1.3750163855555557,0.338133149625369,1.5836585940740742,0.010000000000000002,0.004842743021834321,0.0,0.0,0.22786217587583385,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.029990740131578944,0.0,0.0156125723119625,0.0,0.3682395652187546,0.0,0.03431691512425712,0.0,0.27050472154270916,0.2028785411570318,0.004842743021834321,1583.658594074074,20.5555555555556,0.21666666666666667,0.0,1.5836585940740742,0.0,0.21666666666666667,1583.658594074074,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,1375.0163855555556,0.25,34.10990822630889,51.66666666666668,46.10666666666668,0.0,51.27076971486715,0.4356312098501797,1179.806187549525,1375.0163855555556,34.10990822630889,49.47575763190084,51.27076971486715,48.57825159041769,12.43753247303448,20.233207537460924,-0.05372887549410663,5.548455284961498,2.10179849308081,-0.12455270174925308,0.3,9.236100170605994,1731.8974375813307,-2769.5158125318785,-592.4857412900578,-170.8773173271176,-772.7346319776171,0.0,0.0,952.5527324020702,0.0,2.2507500000000005,0.02949751251693228,0.0,0.0,0.21512743030829776,148.54863171066668,-31.579256917196606,0.20619653525248302,9.599116175840322,0.002970739413976603,74.52579299552403,1.2197025267625006,0.413772558298876,-2845.0873872434313,75.57157471155277,0.25371894546431994,-600.7455750627266,8.259833772668761,0.20533592648385227,122.40534149845398,-293.28265882557156
2025-01-01 07:00:00,3.00593524869005,0.19813040009189967,0.006146558450789715,3.00593524869005,0.19813040009189967,0.0061465584507897145,0.10598266077693114,0.18333551807407408,0.2702192328020074,2.436397837037037,0.010000000000000002,0.006146558450789715,0.0,0.0,0.195213733425233,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.027945916940789472,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.006146558450789715,2436.3978370370373,20.5555555555556,0.3333333333333333,0.0,2.436397837037037,0.0,0.3333333333333333,2436.3978370370373,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,183.3355180740741,0.03333333333333333,36.83101522586963,51.66666666666668,46.10666666666668,0.0,51.7861990468946,0.0,0.0,183.3355180740741,36.83101522586963,51.7924817561826,51.795623110826604,51.7861990468946,12.43753247303448,20.14461986412623,-0.08771139087374132,5.284493356742906,1.8017721035149963,-0.38816033783069226,-0.55,9.236100170605994,2030.5280497175975,-3152.4327251432364,-777.7358944448441,-342.38551380661863,-823.9769631180283,0.0,0.0,450.5054133938104,8.935937938093556,0.0,0.030198772313107358,0.0,0.0,0.22024176724918618,0.0,-32.39823759522184,0.20755762500617228,9.562652559218408,0.0029739896452251123,-22.27372908651387,1.220068587827231,0.41913087483214956,-3238.152938982364,85.72021383912778,0.25371894546431994,-786.470909408996,8.735014964151945,0.2068117310434163,-57.091679507443324,-285.29383429917533
2025-01-01 08:00:00,3.5475796231865186,0.1987878641634471,0.006146558450789715,3.5475796231865186,0.19878786416344707,0.0061465584507897145,0.09916658347429956,0.0,0.2710958515640706,3.1673171881481483,0.010000000000000002,0.006146558450789715,0.0,0.0,0.19587119749678042,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.021129839638157892,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.006146558450789715,3167.317188148148,20.5555555555556,0.43333333333333335,0.0,3.1673171881481483,0.0,0.43333333333333335,3167.317188148148,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,0.0,0.0,36.46373169789266,51.66666666666668,46.10666666666668,0.0,51.61066677872238,0.0,0.0,0.0,36.46373169789266,51.630468185240765,51.64036888849997,51.61066677872238,12.43753247303448,20.29034179464001,-0.04504746076098946,4.651142715214791,1.283485442624535,-0.8468017501098142,-1.4,9.236100170605994,2806.0187345921177,-3475.951652483412,-890.4317725773961,-448.6191135137844,-894.9478494680556,0.0,0.0,444.56595485324203,562.1988370902485,0.0,0.03121054285370791,0.0,0.0,0.22762068085541287,0.0,89.0834410587829,0.2056872564277617,9.630716237530388,0.0029724501070528767,5.742193256800329,1.220036888337421,0.44812475824835996,-3584.8327429554333,108.88109047202138,0.25371894546431994,-900.0123297041323,9.580557126736286,0.22569062502986842,-166.63572035135743,-281.98339316242703
2025-01-01 09:00:00,2.081651274582717,0.1987878641634471,0.005960299103796088,2.081651274582717,0.19878786416344707,0.005960299103796088,0.09507693709272061,0.0,0.2710958515640706,1.705478485925926,0.010000000000000002,0.005960299103796088,0.0,0.0,0.19587119749678042,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.017040193256578944,0.0,0.0031740198555866026,0.0,0.07486272398055506,0.0,0.009934254901696644,0.0,0.22522022741778155,0.1689151705633361,0.005960299103796088,1705.4784859259262,20.5555555555556,0.23333333333333334,0.0,1.705478485925926,0.0,0.23333333333333334,1705.4784859259262,7309.193511111112,0.0,24.444444444444457,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1220.0550355555556,0.0,0.0,36.262945184489276,51.66666666666668,46.10666666666668,0.0,51.41339035598756,0.0,0.0,0.0,36.262945184489276,51.44650637030973,51.46306437747081,51.41339035598756,12.43753247303448,20.27845866521952,-0.0509833330511265,4.50944992913884,1.0973371110880559,-0.9388688903409979,-0.85,9.236100170605994,1592.6807710342837,-3010.0155581307417,-644.0924894741864,-164.53341829665047,-856.4893908303454,0.0,0.0,437.7469467827505,1416.99180657863,0.0,0.030697159058626963,0.0,0.0,0.22387653678447503,0.0,305.94472915595253,0.20617805463949815,9.633284140807909,0.0029758868701301247,37.231624847696125,1.2206958848767926,0.44173130042562636,-3130.8123611233923,120.79680299265031,0.25371894546431994,-652.5433256780549,8.450836203868363,0.23141070143439865,29.369953793865037,-193.9033720905155
