occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
0.813,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0,0,0,0
1.0,0.563,0.016,0.415,0.0494,0.0,0.083,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0,0.219,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0,0.0,0,0,0,0
1.0,0.589,0.0184,0.337,0.0504,0.0,0.0131,0,0,0,0
1.0,0.589,0.0186,0.337,0.0517,0.0,0.161,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0,0.035,0,0,0,0
1.0,0.589,0.022,0.337,0.0696,0.0,0.258,0,0,0,0
1.0,0.592,0.0231,0.331,0.0763,0.0,0.106,0,0,0,0
1.0,0.633,0.0394,0.253,0.171,0.0,0.0,0,0,0,0
1.0,0.635,0.0402,0.247,0.175,0.0,0.0134,0,0,0,0
0.987,0.666,0.0504,0.174,0.228,0.0,0.204,0,0,0,0
0.8,0.634,0.0402,0.253,0.173,0.0667,0.0,0,0,0,0
0.787,0.653,0.0496,0.258,0.203,1.0,0.0693,0,0,0,0
0.6,0.609,0.0333,0.337,0.129,1.0,0.0693,0,0,0,0
0.6,0.609,0.0333,0.337,0.129,1.0,0.347,0,0,0,0
0.6,0.609,0.0336,0.337,0.129,1.0,0.0,0,0,0,0
0.6,0.613,0.038,0.337,0.135,1.0,0.0,0,0,0,0
0.6,0.616,0.0394,0.331,0.14,1.0,0.0,0,0,0,0
0.6,0.664,0.06,0.253,0.22,0.133,0.0,0,0,0,0
0.6,0.664,0.0607,0.253,0.22,0.0,0.0114,0,0,0,0
0.6,0.664,0.0693,0.253,0.225,0.0,0.115,0,0,0,0
0.6,0.664,0.0693,0.253,0.225,0.0,0.0,0,0,0,0
0.6,0.664,0.0693,0.253,0.225,0.0,0.0138,0,0,0,0
0.587,0.664,0.0698,0.253,0.225,0.0,0.18,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.0,0.0,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.0,0.0134,0,0,0,0
0.4,0.664,0.0765,0.253,0.22,0.0,0.134,0,0,0,0
0.4,0.664,0.077,0.253,0.219,0.0,0.0693,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.0,0.0818,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.0,0.365,0,0,0,0
0.4,0.664,0.0837,0.253,0.212,0.0,0.0693,0,0,0,0
0.4,0.664,0.084,0.253,0.212,0.0,0.152,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.0,0.204,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.0,0.0,0,0,0,0
0.4,0.664,0.0879,0.253,0.207,0.0,0.103,0,0,0,0
0.4,0.664,0.0886,0.253,0.207,0.0,0.355,0,0,0,0
0.4,0.664,0.0982,0.253,0.205,0.0,0.133,0,0,0,0
0.387,0.661,0.0954,0.258,0.2,0.0,0.0693,0,0,0,0
0.2,0.613,0.057,0.337,0.127,0.0,0.222,0,0,0,0
0.2,0.613,0.0572,0.337,0.128,0.0,0.291,0,0,0,0
0.2,0.613,0.0596,0.337,0.129,0.0,0.416,0,0,0,0
0.2,0.613,0.0596,0.337,0.129,0.0,0.221,0,0,0,0
0.213,0.616,0.0625,0.331,0.134,0.0,0.0905,0,0,0,0
0.4,0.665,0.104,0.253,0.21,0.0,0.0693,0,0,0,0
0.387,0.676,0.111,0.258,0.222,0.0,0.0,0,0,0,0
0.2,0.621,0.0653,0.337,0.139,0.0,0.0,0,0,0,0
0.2,0.621,0.0653,0.337,0.139,0.0,0.0,0,0,0,0
0.2,0.621,0.0661,0.337,0.14,0.0,0.0,0,0,0,0
0.2,0.632,0.0782,0.337,0.163,0.0,0.0693,0,0,0,0
0.2,0.632,0.0782,0.337,0.163,0.0667,0.139,0,0,0,0
0.2,0.632,0.0782,0.337,0.163,1.0,0.0693,0,0,0,0
0.2,0.633,0.0792,0.337,0.165,1.0,0.0,0,0,0,0
0.213,0.649,0.0983,0.331,0.213,1.0,0.0693,0,0,0,0
0.4,0.726,0.17,0.253,0.356,0.0,0.0693,0,0,0,0
0.4,0.726,0.17,0.253,0.356,0.0,0.0,0,0,0,0
0.413,0.733,0.181,0.247,0.373,0.0,0.0693,0,0,0,0
0.6,0.82,0.331,0.168,0.612,0.0,0.0693,0,0,0,0
