Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 04:00:00,0.29554100954114365,0.15611256597942552,0.11104127169297127,0.29554100954114365,0.15611256597942552,0.11104127169297126,0.01304831080355911,0.21532923719912297,0.05966346153846154,0.007499999999999999,0.03871440426507711,0.07232686742789417,0.0,0.15392506597942554,0.0,0.002187500000000001,1.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.002985601699561403,0.0,0.010062709103997706,0.0,0.010095815893222209,0.0,0.1736751458716245,0.13025635940371835,0.0,0.0,1756.5207722792024,15.5555555555556,0.2268142458297882,0.0,2.1196915400278975,0.05966346153846154,0.2833333333333333,1696.8573107407408,5988.908155555556,879.2133333333333,0.0,91.03785534616162,51.66666666666668,46.10666666666668,0.0,50.48493262526835,0.30414402903176424,798.6826676228326,879.2133333333333,142.24664897837752,49.10532955057359,50.48501717308666,48.415443465407904,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,4991.777954259803,15.222602639863476,-0.056508465187747735,6.741433495037423,0.55,9.236100170605994,1608.0071829882597,-1486.0776778227969,-708.8212483230914,0.0,0.0,546.2183589027795,0.0,5.0,0.03658380933811762,0.0,0.0,0.5108745741477573,329.99807111111113,14.089300129369294,0.3342292864026208,7.8928113192480875,0.003512140655458533,139.66621876248809,1.2411134081220438,0.20969347440600175,-1531.0430240452613,44.96534622246442
2025-01-01 05:00:00,0.30974428016653116,0.15756607041912365,0.1427789574788286,0.30974428016653116,0.15756607041912365,0.1427789574788286,0.016394289501787177,0.21916729835705165,0.06668269230769232,0.007499999999999999,0.06194304682412337,0.08083591065470525,0.0,0.15537857041912367,0.0,0.002187500000000001,1.0,0.03155827543427626,0.023668706575707184,0.0,0.0,0.003326813322368421,0.0,0.013067476179418754,0.0,0.011995871131553353,0.0,0.17561315179122203,0.13170986384341649,0.0,0.0,1963.1702749002848,15.5555555555556,0.2534982747509398,0.0,2.3690670153252973,0.06668269230769232,0.31666666666666665,1896.4875825925926,5988.908155555556,1406.7413333333332,0.0,93.56999673645942,51.66666666666668,46.10666666666668,0.0,51.36717222271258,0.42588097777660994,1150.751923518775,1406.7413333333332,146.20311990071784,50.05666861826815,51.36717222271259,49.40141681604594,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,4981.116059092604,15.239340650634055,-0.05327481523903807,6.797449057255531,-0.25000000000000006,9.236100170605994,1771.1508752534605,-1596.416013038291,-761.0518220916164,0.0,0.0,553.2667383445644,0.0,5.0,0.03727176288647431,0.0,0.0,0.5204815008841693,329.99807111111113,15.765684100227562,0.3381201595245505,7.951997225226999,0.003558890601285332,137.61463408631894,1.240383635537685,0.18389742026219755,-1640.756881017496,44.340867979204944
2025-01-01 06:00:00,0.34333329153972936,0.16838468143716792,0.10678675007956574,0.34333329153972936,0.16838468143716792,0.10678675007956573,0.036374363395890695,0.2433050819899925,0.05615384615384615,0.007499999999999999,0.03871440426507711,0.06807234581448864,0.0,0.1661971814371679,0.0,0.002187500000000001,1.0,0.03331151295840273,0.024983634718802036,0.0,0.0,0.003753327850877193,0.0,0.0326210355450135,0.0,0.02170884007376854,0.0,0.18828472895782122,0.1412135467183659,0.0,0.0,1653.196020968661,15.5555555555556,0.21347223136921245,0.0,1.9950038023791976,0.05615384615384615,0.26666666666666666,1597.0421748148149,5988.908155555556,879.2133333333333,0.0,95.57016666119542,51.66666666666668,46.10666666666668,0.0,51.86862468527119,0.3012860566974677,819.7206433171184,879.2133333333333,149.32838540811784,50.81778467688115,51.87204138870235,50.28894796925498,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,4993.184377769806,15.23458122176259,-0.05399285614509439,6.4168144328267145,0.3,9.236100170605994,1542.0870780012874,-1719.7244115521255,-721.381369418602,0.0,0.0,595.4250917388358,0.0,4.98375,0.036746459191154386,0.0,0.0,0.5131458978810891,328.92557738,14.847334712392597,0.3415966664523158,7.991674870538591,0.0035945595770134928,110.24933104792969,1.240377494529907,0.22054437359334303,-1768.0202502562975,48.295838704171985
2025-01-01 07:00:00,0.4047974349308547,0.17071312522512194,0.14703347909223416,0.40479743493085474,0.17071312522512197,0.14703347909223413,0.03530079686026518,0.28430433037828184,0.07019230769230769,0.014999999999999998,0.06194304682412337,0.08509043226811078,0.0,0.16633812522512195,0.0,0.004375000000000002,1.0,0.03506475048252919,0.02629856286189688,0.04034339928645314,0.0,0.0034974191337719296,0.0,0.03180337772649325,0.0,0.022176764124999346,0.0,0.18671941648430015,0.1400395623632251,0.0,0.0,2066.4950262108264,15.5555555555556,0.26684028921151554,0.0,2.493754752973997,0.07019230769230769,0.3333333333333333,1996.3027185185188,5988.908155555556,1406.7413333333332,0.0,96.25069151624128,51.66666666666668,46.10666666666668,0.0,52.13197860296945,0.4496468212684896,1230.8483129090685,1406.7413333333332,150.391705494127,51.07491074583541,52.13443324979565,50.5439221704422,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,4978.111874670031,15.245647775000823,-0.05407631383575178,6.194575953313272,-0.55,9.236100170605994,1813.670084409165,-1944.7308418349394,-792.7274071676186,0.0,0.0,521.862775798186,4.622395736477215,3.48375,0.03803963490109239,0.0,0.0,0.5312044489741939,229.92615604666665,18.039689567771347,0.3438347666874565,8.02777228131799,0.003620854075466639,53.24414687960584,1.2403102848220784,0.2234962914498154,-1994.5714082610657,49.84056642612609
2025-01-01 08:00:00,0.4026563720589085,0.17120287724593497,0.08083591065470525,0.4026563720589085,0.17120287724593497,0.08083591065470525,0.03394613723973828,0.2870275425114779,0.06668269230769232,0.014999999999999998,0.0,0.08083591065470525,0.0,0.16682787724593498,0.0,0.004375000000000002,1.0,0.03594136924459241,0.0269560269334443,0.04034339928645314,0.0,0.0026443900767543858,0.0,0.03130174716298389,0.0,0.02424697356377806,0.0,0.18649580041665428,0.13987185031249066,0.0,0.0,1963.1702749002848,15.5555555555556,0.2534982747509398,0.0,2.3690670153252973,0.06668269230769232,0.31666666666666665,1896.4875825925926,5988.908155555556,0.0,0.0,89.43797589369443,51.66666666666668,46.10666666666668,0.0,50.81810801629747,0.0,0.0,0.0,139.74683733389756,48.52054299203462,50.81810801629747,47.3717604799032,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,4961.79092578022,15.256892094474942,-0.05212842210090848,5.634107046263076,-1.4,9.236100170605994,1687.5034129743735,-2164.808783689461,-870.0989150474514,0.0,0.0,491.31966805559034,330.86115982994187,3.0,0.03950320432060044,0.0,0.0,0.5516424628785527,197.99884266666666,103.1123850659499,0.3451320955315032,8.054017830265703,0.003635467161489545,58.2655487485737,1.2408337440207746,0.23866722828579842,-2219.3686343125296,54.5598506230687
2025-01-01 09:00:00,0.36912697159003316,0.17981209585030086,0.07351673954611708,0.36912697159003316,0.1798120958503009,0.07351673954611707,0.04702850807663132,0.272002309667248,0.035096153846153846,0.014999999999999998,0.030971523412061684,0.04254521613405539,0.0,0.1754370958503009,0.0,0.004375000000000002,1.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.0021325726425438594,0.0,0.044895935434087465,0.0,0.038086181866846695,0.0,0.19797475855580887,0.1484810689168566,0.0,0.0,1033.2475131054132,15.5555555555556,0.13342014460575777,0.0,1.2468773764869985,0.035096153846153846,0.16666666666666666,998.1513592592594,5988.908155555556,703.3706666666666,0.0,92.27565778443584,51.66666666666668,46.10666666666668,0.0,51.048809221145554,0.13152735132031823,355.36436052275826,703.3706666666666,144.180715288181,49.612477309672,51.049781972276065,48.89333860280472,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,4974.075018102923,15.287521202955835,-0.03553753621257734,5.539743665693922,-0.85,9.236100170605994,977.5344963458988,-1936.2076024207106,-825.9988721123026,0.0,0.0,503.1714273116394,951.5405665229714,3.0,0.03872962828819624,0.0,0.0,0.5408398610370424,197.99884266666666,267.11442804114887,0.3467428406760267,8.098819601019784,0.0036580201894005635,91.66804944727045,1.241307544662514,0.23561903493290695,-1990.0325686968886,53.82496627617788
2025-01-01 10:00:00,0.3574973002176449,0.1769671317787535,0.065007696319306,0.357497300217645,0.1769671317787535,0.065007696319306,0.046441574607420225,0.27547880253330165,0.028076923076923076,0.007499999999999999,0.030971523412061684,0.03403617290724432,0.0,0.1747796317787535,0.0,0.002187500000000001,1.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.002047269736842105,0.0,0.04439430487057812,0.0,0.04243929349496358,0.0,0.19797475855580887,0.1484810689168566,0.0,0.0,826.5980104843305,15.5555555555556,0.10673611568460623,0.0,0.9975019011895988,0.028076923076923076,0.13333333333333333,798.5210874074074,5988.908155555556,703.3706666666666,0.0,93.73904588091595,51.66666666666668,46.10666666666668,0.0,51.24987105127253,0.30894485177115044,829.8594267842443,703.3706666666666,146.46725918893117,50.06526477785234,51.24987105127253,49.47296164114225,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,5004.354862448923,15.156563025385422,-0.07168776858979484,6.166038503509872,0.85,9.236100170605994,999.1767644080887,-1473.345203421414,-672.9467872845337,0.0,0.0,455.4887823107041,1398.8758862087254,2.23375,0.03575608830291409,0.0,0.0,0.49931586446106113,147.42663826888887,390.03675889758773,0.3523781641631228,8.069992153498736,0.0036865067181375555,75.28203132386193,1.2418500586252423,0.2161274000378394,-1520.87110793514,47.52590451372571
2025-01-01 11:00:00,0.3490664939532431,0.1747796317787535,0.12269622153002382,0.349066493953243,0.1747796317787535,0.12269622153002382,0.044936682916892144,0.2795625033440432,0.024567307692307694,0.0,0.09291457023618506,0.029781651293838775,0.0,0.1747796317787535,0.0,0.0,1.0,0.03506475048252919,0.02629856286189688,0.0,0.0,0.002047269736842105,0.0,0.04288941318005004,0.0,0.04652299430570515,0.0,0.19797475855580887,0.1484810689168566,0.0,0.0,723.2732591737891,15.5555555555556,0.09339410122403044,0.0,0.8728141635408989,0.024567307692307694,0.11666666666666667,698.7059514814815,5988.908155555556,2110.112,0.0,94.17823898035721,51.66666666666668,46.10666666666668,0.0,51.73687688935565,0.5422794876519343,1483.8109604138563,2110.112,147.15349840680813,50.25102903127027,51.73687688935565,49.50810510222758,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.7468995968575,15.236089058585808,-0.04658264909426822,6.896285888993058,1.95,9.236100170605994,1015.3332605472243,-1248.9391411469721,-589.3644189529342,0.0,0.0,442.64018160647316,1581.8328724317844,2.0,0.033978827897268374,0.0,0.0,0.47449731304963394,131.99922844444444,438.7842387198961,0.3522533267683582,8.127060904446456,0.003706084271735054,56.82786169080824,1.2409101622467733,0.2001625958323207,-1292.0158445272823,43.07670338031021
2025-01-01 12:00:00,0.3280133247250198,0.17609455992184833,0.06194304682412337,0.3280133247250198,0.17609455992184833,0.06194304682412337,0.04391839858287331,0.2840949261421466,0.0,0.0,0.06194304682412337,0.0,0.0,0.17609455992184833,0.0,0.0,1.0,0.03681798800665564,0.02761349100499172,0.0,0.0,0.0021325726425438594,0.0,0.04178582594032945,0.0,0.049302179579682054,0.0,0.19797475855580887,0.1484810689168566,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,5988.908155555556,1406.7413333333332,0.0,92.82096241665495,51.66666666666668,46.10666666666668,0.0,51.24208114167244,0.42980494418524623,1163.425402852682,1406.7413333333332,145.03275377602333,49.508556922687276,51.24208114167244,48.6417948131947,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.382885401747,14.982361965632007,-0.07359051784362351,7.244281553989854,3.05,9.236100170605994,412.6266098257521,-1162.667490773215,-501.68707069771597,0.0,0.0,446.1543200705577,1664.1557271038232,2.0,0.032284587254462406,0.0,0.0,0.4508380910452296,131.99922844444444,468.15936045291045,0.35928109819330406,8.020713366159672,0.0037213898483342157,44.15871346349937,1.24136709598163,0.22594297131953894,-1206.1662463985863,43.498755625371594
2025-01-01 13:00:00,0.3183235580076746,0.17307574300862913,0.0696859276771388,0.31832355800767465,0.17307574300862913,0.06968592767713878,0.03945898000299062,0.278864578004684,0.0,0.0,0.0696859276771388,0.0,0.0,0.17307574300862913,0.0,0.0,1.0,0.03681798800665564,0.02761349100499172,0.0,0.0,0.002388481359649123,0.0,0.037070498643341505,0.0,0.04809692065984513,0.0,0.19394966933818322,0.14546225200363738,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,5988.908155555556,1582.5839999999998,0.0,93.6708028634826,51.66666666666668,46.10666666666668,0.0,51.77091989765895,0.7189090259061689,1975.288488982778,1582.5839999999998,146.36062947419157,49.953751088171835,51.771062028009425,49.0450245530778,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5051.174168367945,15.072102789827264,-0.016127822277002726,7.66866265139686,4.45,9.236100170605994,479.7550591942158,-890.1877016625084,-414.00304049361847,0.0,0.0,419.1739123117796,1701.8979021083928,1.7337500000000001,0.030091851592066128,0.0,0.0,0.42021763576699483,114.42683115777777,474.5841873760546,0.3581853629073628,8.073828275027624,0.0037333605600798642,28.88145861914103,1.2403888733362582,0.22024954170214475,-931.938899965578,41.751198303069486
2025-01-01 14:00:00,0.28232921190949994,0.16485785252264346,0.1393718553542776,0.2823292119095,0.16485785252264346,0.13937185535427757,0.02864387647353921,0.2536853354359608,0.0,0.0,0.1393718553542776,0.0,0.0,0.16485785252264346,0.0,0.0,1.0,0.03681798800665564,0.02761349100499172,0.0,0.0,0.002559087171052631,0.0,0.026084789302486578,0.0,0.03387486540576946,0.0,0.18299248202353569,0.13724436151765174,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,5988.908155555556,3165.1679999999997,0.0,93.74761630516059,51.66666666666668,46.10666666666668,0.0,51.5120472191786,0.9517033970291664,2581.5877403168993,3165.1679999999997,146.48065047681342,50.082140097300446,51.5120472191786,49.36718653636137,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5055.756843872436,15.2229141572079,0.0,8.155835379759392,4.7,9.236100170605994,381.75172430075895,-886.772441350093,-402.9230872433827,0.0,0.0,336.5918461211859,1584.1371322832435,1.01625,0.029641813373404793,0.0,0.0,0.4139330774482068,67.07210795333333,448.0829654229558,0.35469103850316935,8.14326779574825,0.0037348726051913785,-18.95376394497162,1.2391161505217374,0.20640538197628164,-926.738014553947,39.96557320385397
2025-01-01 15:00:00,0.3160805849253097,0.1713561026157638,0.0,0.3160805849253097,0.1713561026157638,0.0,0.03860137170872577,0.27747921321658403,0.0,0.0,0.0,0.0,0.0,0.1713561026157638,0.0,0.0,1.0,0.03594136924459241,0.0269560269334443,0.0,0.0,0.002985601699561403,0.0,0.03561577000916436,0.0,0.049004409728898815,0.0,0.19253343424309274,0.14440007568231952,0.0,0.0,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0.0,0.0,5988.908155555556,0.0,0.0,91.70386648174758,51.66666666666668,46.10666666666668,0.0,51.49979842453938,0.06357482639231395,175.65442356795396,0.0,143.28729137773058,49.41571730030674,51.49979842453938,48.373676738190426,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5051.647871304315,15.289745455943848,0.0,8.085835383261616,4.15,9.236100170605994,308.61789904749105,-941.1154551338703,-439.8029681828141,0.0,0.0,400.5301721305155,1167.1530220970624,1.4837500000000001,0.030526425007821902,0.0,0.0,0.4262862358588625,97.92692760222222,347.8906950997897,0.3528856098691907,8.171380361266179,0.0037318371577368397,-2.8127749469417243,1.2388313239704243,0.19534998032326928,-984.4599360887894,43.34448095491896
2025-01-01 16:00:00,0.3521617085461226,0.16963882971424926,0.08049345802533685,0.3521617085461226,0.16963882971424926,0.08049345802533683,0.035305890295615774,0.2887788951735838,0.028076923076923076,0.0,0.04645728511809253,0.03403617290724432,0.0,0.16963882971424926,0.0,0.0,1.0,0.0385712255307821,0.028928419148086568,0.01995598215909896,0.0,0.003753327850877193,0.0,0.03155256244473857,0.0,0.04263780672881908,0.0,0.1876138807548836,0.14071041056616268,0.0,0.0,826.5980104843305,15.5555555555556,0.10673611568460623,0.0,0.9975019011895988,0.028076923076923076,0.13333333333333333,798.5210874074074,5988.908155555556,1055.056,0.0,91.74566931309809,51.66666666666668,46.10666666666668,0.0,51.22318008052655,0.25792223537168263,703.6315726185286,1055.056,143.35260830171578,49.19096571345165,51.22318008052655,48.174858529914204,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035.541322296787,15.081668852620606,-0.06353735730319056,7.898543656013157,3.05,9.236100170605994,846.7951321608218,-1341.301373867025,-506.3130301235187,0.0,0.0,369.73041065173874,407.1551564782557,1.0,0.032238021418504084,0.0,0.0,0.45018782246889916,65.99961422222222,156.77974114827137,0.3569561203333487,8.063553942885008,0.003724210296273252,-58.35182183356776,1.2397320925635966,0.2145295338696794,-1387.1350033900048,45.83362952297963
2025-01-01 17:00:00,0.4267330752144893,0.1843998576702273,0.041779053760259734,0.4267330752144892,0.1843998576702273,0.041779053760259734,0.059454694141818185,0.33920145799574797,0.028076923076923076,0.0,0.007742880853015421,0.03403617290724432,0.0,0.1843998576702273,0.0,0.0,1.0,0.04207770057903502,0.03155827543427625,0.01995598215909896,0.0,0.004776962719298246,0.0,0.05467773142251994,0.0,0.07337899894301254,0.0,0.20378877631460146,0.15284158223595104,0.0,0.0,826.5980104843305,15.5555555555556,0.10673611568460623,0.0,0.9975019011895988,0.028076923076923076,0.13333333333333333,798.5210874074074,5988.908155555556,175.84266666666664,0.0,92.50806047448216,51.66666666666668,46.10666666666668,0.0,50.8743795533272,0.13107169826888757,351.30884713590797,175.84266666666664,144.5438444913784,49.734152913567144,50.877560338885125,49.1608588081292,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.884559209522,15.279878420598118,-0.0511620815717077,7.088123615023927,1.95,9.236100170605994,751.4426585901339,-1483.5544080218651,-600.116459560077,0.0,0.0,477.24183547314726,28.494998428625784,1.5162499999999999,0.03451311534951713,0.0,0.0,0.4819583697186471,100.07191506444444,47.71927219273309,0.3500568978383554,8.125890628536501,0.0037002828614901024,-60.91303846363741,1.238316241376,0.23030240660333703,-1535.0744260372305,51.520018015365395
2025-01-01 18:00:00,0.5926469993931679,0.21137472957568554,0.065007696319306,0.5926469993931679,0.21137472957568554,0.065007696319306,0.11626957744412929,0.44830049887211554,0.028076923076923076,0.0,0.030971523412061684,0.03403617290724432,0.0,0.21137472957568554,0.0,0.0,1.0,0.04383093810316148,0.0328732035773711,0.0,0.0,0.00545938596491228,0.0,0.110810191479217,0.0,0.16646752610453472,0.0,0.2380020346644193,0.17850152599831443,0.0,0.0,826.5980104843305,15.5555555555556,0.10673611568460623,0.0,0.9975019011895988,0.028076923076923076,0.13333333333333333,798.5210874074074,5988.908155555556,703.3706666666666,0.0,92.42778992727513,51.66666666666668,46.10666666666668,0.0,51.38997453983145,0.1934832552332889,526.9632707038619,703.3706666666666,144.41842176136737,49.59578771529722,51.38997453983145,48.69869430303011,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5010.130794608427,15.213838976558627,-0.055409526437132504,7.070186030286953,1.15,9.236100170605994,952.323384367004,-1319.3099924029755,-643.5690496908223,0.0,0.0,730.4813667319577,0.0,2.76625,0.0349478424856059,0.0,0.0,0.4880291164379732,182.5714328422222,38.81305684153802,0.3506957756217338,8.082387038208239,0.0036932754615662407,0.4987715236778229,1.2379820171306464,0.17884553422009625,-1366.7197764713228,47.40978406834723
2025-01-01 19:00:00,0.7304622693229194,0.22012976781710755,0.065007696319306,0.7304622693229194,0.22012976781710755,0.065007696319306,0.13757894662162745,0.5573063996243689,0.028076923076923076,0.007499999999999999,0.030971523412061684,0.03403617290724432,0.0,0.21794226781710754,0.0,0.002187500000000001,1.0,0.04207770057903502,0.03155827543427625,0.0,0.0,0.005800597587719299,0.0,0.13177834903390814,0.0,0.26671670920155865,0.0,0.24851198984377515,0.1863839923828313,0.0,0.0,826.5980104843305,15.5555555555556,0.10673611568460623,0.0,0.9975019011895988,0.028076923076923076,0.13333333333333333,798.5210874074074,5988.908155555556,703.3706666666666,0.0,92.86130371365756,51.66666666666668,46.10666666666668,0.0,51.527223700439805,0.1920334698777955,526.9632707038619,703.3706666666666,145.0957870525899,49.696194086424164,51.527223700439805,48.780679279416354,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,4984.391576681791,15.153790850239924,-0.07281585823469292,6.999851094574178,-0.25000000000000006,9.236100170605994,1013.4229358912581,-1399.481112833147,-745.1105283894107,0.0,0.0,893.0607469102653,0.0,3.26625,0.03672240836854635,0.0,0.0,0.512810040189392,215.5712399533333,38.87470688607302,0.352119645686946,8.054703706636948,0.003693924834714641,10.3152932259503,1.2382394610344456,0.15204350890845636,-1445.61402401328,46.13291118013272
2025-01-01 20:00:00,0.9214569302784421,0.2292068460286082,0.130015392638612,0.9214569302784421,0.2292068460286082,0.130015392638612,0.1428661841808264,0.7074368999437695,0.05615384615384615,0.014999999999999998,0.06194304682412337,0.06807234581448864,0.0,0.2248318460286082,0.0,0.004375000000000002,1.0,0.04120108181697179,0.030900811362728833,0.0,0.0,0.005971203399122806,0.0,0.1368949807817036,0.0,0.4076611052389586,0.0,0.25857471288783923,0.19393103466587938,0.0,0.0,1653.196020968661,15.5555555555556,0.21347223136921245,0.0,1.9950038023791976,0.05615384615384615,0.26666666666666666,1597.0421748148149,5988.908155555556,1406.7413333333332,0.0,94.29369778786125,51.66666666666668,46.10666666666668,0.0,51.916132548950095,0.25468845623837233,702.871163858494,1406.7413333333332,147.33390279353318,50.25072401207463,51.91957583859417,49.414576453992815,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,4979.809671065106,15.203419669422665,-0.07053747655076173,6.787523209767763,-0.55,9.236100170605994,2008.6132310686646,-1342.2139763907553,-772.2879967085336,0.0,0.0,1096.201311111336,0.0,4.0,0.037212186680821914,0.0,0.0,0.5196495490113966,263.9984568888889,31.5038956972008,0.35199145236655166,8.09043387225847,0.0037043099423694084,56.15592388036654,1.238018814502601,0.1436021909564121,-1388.8227342381115,46.60875784735621
2025-01-01 21:00:00,0.7747848849751591,0.20948611219025048,0.03403617290724432,0.7747848849751591,0.20948611219025048,0.03403617290724431,0.10005188703577693,0.631656074862459,0.028076923076923076,0.014999999999999998,0.0,0.03403617290724432,0.0,0.2051111121902505,0.0,0.004375000000000002,1.0,0.040324463054908555,0.030243347291181406,0.0,0.0,0.005544688870614035,0.0,0.0945071981651629,0.0,0.358174591942125,0.0,0.23315701986542553,0.1748677648990691,0.0,0.0,826.5980104843305,15.5555555555556,0.10673611568460623,0.0,0.9975019011895988,0.028076923076923076,0.13333333333333333,798.5210874074074,5988.908155555556,0.0,0.0,96.73472982937619,51.66666666666668,46.10666666666668,0.0,51.93042073485032,0.06065770083559633,167.54339679425337,0.0,151.1480153584003,51.334078568868655,51.93082395600903,51.035504264719115,12.43753247303448,0.0,21.111111111111143,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,4987.225214342327,15.288662557337421,-0.03631195369815442,6.731287570428199,-0.3,9.236100170605994,1068.5189818661368,-1586.7893495037786,-763.513029265808,0.0,0.0,979.3854273965451,0.0,4.0,0.037256131644664035,0.0,0.0,0.5202632184213066,263.9984568888889,26.048573251069126,0.35189618292982716,8.153862542612686,0.0037239716218126816,65.8754039933023,1.2376379478243338,0.17622290185672065,-1633.0700901378552,46.2807406340766
