Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Lighting Gas Power (therms/hour),Gas Lighting Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,21.92889013564087,51.666666666666686,46.10666666666668,0.0,50.9853207272027,0.0,0.0,0.0,21.92889013564087,49.11278497440106,50.9853207272027,48.17651709800025,12.43753247303448,18.043613880547873,0.0,2.8,9.236100170605994,-303.2061215312094,-495.4421181249771,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024939476451223803,0.0,0,0.3227428213253435,131.99922844444444,-64.22795636355615,0.23163150401698748,8.514359674687572,0.0029172520369837576,59.63716132433191,1.2265237002442084
2025-01-01 00:01:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,21.9751362701751,51.666666666666686,46.10666666666668,0.0,50.983119062512124,0.0,0.0,0.0,21.9751362701751,49.110938452793576,50.983119062512124,48.17484814793431,12.43753247303448,17.97608649307175,0.0,2.8,9.236100170605994,-302.0150745011391,-492.32333822742976,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024892755801161515,0.0,0,0.32213820741355,131.99922844444444,-66.15568923103328,0.2333197362421698,8.505914764370331,0.0029175369374827165,59.6980492125725,1.2303916494787863
2025-01-01 00:02:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.02023808564201,51.666666666666686,46.10666666666668,0.0,50.98091325809461,0.0,0.0,0.0,22.02023808564201,49.10908803703158,50.98091325809461,48.173175426500066,12.43753247303448,17.910180092488968,0.0,2.8,9.236100170605994,-301.17589945563714,-489.2868722377615,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024847132226803136,0.0,0,0.32154779080491874,131.99922844444444,-68.3529801751995,0.23431230695823083,8.47553432918485,0.0029178212323087097,59.75710843559805,1.2306700429452961
2025-01-01 00:03:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.064245556179298,51.666666666666686,46.10666666666668,0.0,50.97870341744047,0.0,0.0,0.0,22.064245556179298,49.10723382347241,50.97870341744047,48.171499026488384,12.43753247303448,17.845823814103184,0.0,2.8,9.236100170605994,-300.61569396057575,-486.3289309758728,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024802558462873627,0.0,0,0.32097095983752316,131.99922844444444,-70.75071594202686,0.23528664150750428,8.445336080276718,0.0029181057440125164,59.814355432990574,1.2309420051460374
2025-01-01 00:04:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.107204796465346,51.666666666666686,46.10666666666668,0.0,50.97648963952087,0.0,0.0,0.0,22.107204796465346,49.10537590426536,50.97648963952087,48.16981903663761,12.43753247303448,17.782952269079516,-0.05038106425385536,2.8,9.236100170605994,-298.1770801923657,-483.446018615825,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024758990891885744,0.0,0,0.3204071500556128,131.99922844444444,-71.19501453386462,0.23624341629260734,8.416552172324842,0.0029183904653573038,59.869866067652296,1.2312078041922319
2025-01-01 00:05:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.149121830089697,51.666666666666686,46.10666666666668,0.0,50.97427201913678,0.0,0.0,0.0,22.149121830089697,49.10351436767664,50.97427201913678,48.16813554194657,12.43753247303448,17.721556992577504,-0.11177634075586695,2.8,9.236100170605994,-294.09644337123336,-480.637279117829,-0.0,-0.0,256.46395295732384,0.0,2.0,0.02471642523792893,0.0,0,0.3198563061244482,131.99922844444444,-69.92311721072822,0.2371824783054992,8.38791608998547,0.0029186753894133105,59.92364589420376,1.2314674678600208
2025-01-01 00:06:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.190006302451888,51.666666666666686,46.10666666666668,0.0,50.97205065054379,0.0,0.0,0.0,22.190006302451888,49.101649301465216,50.97205065054379,48.16644862692593,12.43753247303448,17.6616243767063,-0.17170895662707153,2.8,9.236100170605994,-289.45848504385583,-477.9016357782189,-0.0,-0.0,256.46395295732384,0.0,2.0,0.02467485360411398,0.0,0,0.31931832585005143,131.99922844444444,-68.02080222296077,0.23810375811021675,8.360053734000289,0.002918960509278304,59.97570695890904,1.2317210459499142
2025-01-01 00:07:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.22988610588261,51.666666666666686,46.10666666666668,0.0,50.9698256271247,0.0,0.0,0.0,22.22988610588261,49.09978079257789,50.9698256271247,48.16475837530449,12.43753247303448,17.603114902422764,-0.23021843091060745,2.8,9.236100170605994,-284.91286749702977,-475.23684879406625,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024634250049455988,0.0,0,0.3187928735290379,131.99922844444444,-66.13997166028737,0.23900758476808312,8.332319537550656,0.0029192458181031117,60.02609366248391,1.2319686983254712
2025-01-01 00:08:00,0.18018554776711088,0.10086150291890078,0.0018121549785319972,0.0030030924627851814,0.0016810250486483463,3.020258297553329e-05,0.012283382744507028,0.0,0.11790216502260382,0.0,0.05,0.0018121549785319972,0.0,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.26879888263391,51.666666666666686,46.10666666666668,0.0,50.96759703973967,0.0,0.0,0.0,22.26879888263391,49.09790892561278,50.96759703973967,48.16306486854934,12.43753247303448,17.545975204017164,-0.28735812931620686,2.8,9.236100170605994,-280.5604598975797,-472.6400752852455,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024594578927633694,0.0,0,0.31827948786085397,131.99922844444444,-64.38433756965807,0.23989451121373156,8.30593669097679,0.002919531309219721,60.07486788054091,1.2322106439844276
2025-01-01 00:09:00,0.48055117276711085,0.10086150291890078,0.2986986414650184,0.00800918621278518,0.0016810250486483463,0.00497831069108364,0.012283382744507028,0.0,0.11790216502260382,0.300365625,0.05,0.0018121549785319972,0.2968864864864864,0.0,0.0,0.08627816958556744,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.0035099780701754383,0.0,On,0.008773404674331589,0,On,0.002864605575180535,0,On,0.08172604648902057,0.06129453486676541,On,0.0018121549785319972,On,On,8348.684478333333,18.33333333333337,0.9250000000000003,0.0,8.700885246846845,0.300365625,1,8048.318853333333,8048.318853333333,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4574.840044444444,Off,0.0,0.0,22.306782113055913,51.666666666666686,46.10666666666668,0.0,50.96536497584481,0.0,0.0,0.0,22.306782113055913,49.09603378199835,50.96536497584481,48.161368185075126,12.43753247303448,17.490152142478145,-0.34318119085522625,2.8,9.236100170605994,8072.293467758581,-470.1085125691608,-0.0,-0.0,256.46395295732384,0.0,2.0,0.024555804646655265,0.0,0,0.3177777082480255,131.99922844444444,-62.746450962915674,0.2407651041604667,8.279628927169934,0.0029198169762102272,60.122091494424,1.2324471014785605
