occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.641,0.124,0.211,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0,0,0,0,0,0
1.0,0.631,0.0556,0.211,0.0875,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.271,1.0,0,0,0,0,0
1.0,0.631,0.0556,0.211,0.0875,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.0357,0.316,0.0688,0.0688,0.0,0.0,0.0,0.0,0.0,0.0,0.102,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0678,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0514,0.0514,0.0,0.0,0.0,0.0,0.0,0.0,0.127,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0514,0.0514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0514,0.0514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.596,0.019,0.316,0.0514,0.0514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.101,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.273,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.101,0.101,0.0,0.0,0.0,0.0,0.0,1.0,0.0634,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.101,0.101,0.0,0.0,0.0,0.0,0.0,1.0,0.253,1.0,0,0,0,0,0
1.0,0.631,0.0311,0.211,0.101,0.101,0.0,0.0,0.0,0.0,0.0,1.0,0.0659,1.0,0,0,0,0,0
1.0,0.695,0.06,0.105,0.281,0.281,0.0,0.0,0.0,0.0,0.0,1.0,0.127,1.0,0,0,0,0,0
1.0,0.695,0.06,0.105,0.281,0.281,0.0,0.0,0.0,0.0,0.0,0.133,0.181,1.0,0,0,0,0,0
0.75,0.651,0.0453,0.211,0.204,0.204,0.663,1.0,0.0,0.0,0.0,0.0,0.0,0,0.133,0,0,0,0
0.5,0.606,0.0306,0.316,0.127,0.127,0.453,1.0,0.0,0.0,0.0,0.0,0.0,0,0.133,0,0,0,0
0.75,0.621,0.0377,0.316,0.151,0.151,0.442,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.621,0.0377,0.316,0.151,0.151,0.322,1.0,0.0,0.0,0.0,0.0,0.0634,1.0,0,0,0,0,0
0.75,0.621,0.0377,0.316,0.151,0.151,0.382,1.0,0.0,0.0,0.0,0.0,0.0634,1.0,0,0,0,0,0
1.0,0.68,0.0595,0.211,0.252,0.252,0.502,1.0,0.0,0.0,0.0,0.0,0.0634,1.0,0,0,0,0,0
1.0,0.69,0.0711,0.211,0.266,0.266,0.288,0.467,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.626,0.0435,0.316,0.158,0.158,0.213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.626,0.0435,0.316,0.158,0.158,0.446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.626,0.0435,0.316,0.158,0.158,0.341,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0
0.75,0.626,0.0493,0.316,0.161,0.161,0.0,0.0,0.0,0.0,0.0,1.0,0.127,1.0,0,0,0,0,0
0.75,0.626,0.0493,0.316,0.161,0.161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0
0.75,0.69,0.0827,0.211,0.273,0.273,0.0,0.0,0.0,0.0,0.0,0.0667,0.109,1.0,0,0,0,0,0
0.75,0.69,0.0827,0.211,0.273,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.127,1.0,0,0,0,0,0
0.75,0.69,0.0917,0.211,0.266,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.69,0.0917,0.211,0.266,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0907,1.0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.158,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0,1.0,0,0,0,0
0.25,0.626,0.0538,0.316,0.158,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.25,0.626,0.0583,0.316,0.153,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
