Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,1.2828785357455088,0.30776084757330574,0.6047614726950263,1.2828785357455086,0.30776084757330574,0.6047614726950264,0.24874318833424416,0.44328394116126435,0.5908514062500001,0.020753905127458845,0.5840075675675676,0.0,0.30776084757330574,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625873752607483,0.04694053144556121,0.013178920896525566,0.0,0.04949851973684211,0.0,0.003700706702469966,0.0,0.1955439618949321,0.0,0.019757223500331007,0.0,0.3477604215036595,0.26082031612774453,0.0,0.0,9106.71197830999,20.000000000000057,0.4162500000000001,7316.045999940014,17.11557467243243,0.5908514062500001,0.45,15831.906572000002,35182.01460444445,468.9137777777778,0.0,86.06502917762558,51.66666666666668,46.10666666666668,0.0,52.34370378940719,0.0,0.0,468.9137777777778,134.47660809003997,52.36592445229469,52.377034783738445,52.34370378940719,12.43753247303448,19.60771498087839,-0.07097914501704583,9.6168904460229,3.5522007180189066,2.8,9.236100170605994,7433.524256920134,566.4216805131995,-265.756413047631,-2217.330835013484,0.0,0.0,860.9139862922905,0.0,3.0,0.10121371213553519,0.0,0.0,0.2878911455647038,197.99884266666666,-316.77087266866357,0.1897285014789724,8.929731818227948,0.0026256852208041267,76.19038346930107,1.2236916197418652,0.7521426421570443,-6691.370673736738,-58.253645690075594,0.27184172728319994,-276.05618766116606,10.299774613535016
2025-01-01 01:00:00,1.086476089773831,0.29936739474037793,0.4542281081081081,1.0864760897738308,0.29936739474037793,0.4542281081081081,0.21529022328206507,0.41163477274176574,0.4595510937500001,0.0,0.4542281081081081,0.0,0.29936739474037793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06102269087922958,0.045767018159422176,0.0,0.0,0.045786130756578954,0.0,0.003148314761549082,0.0,0.16635577776393703,0.0,0.012478246421261689,0.0,0.33813383544127446,0.25360037658095574,0.0,0.0,7082.998205352214,20.000000000000057,0.3237500000000001,5690.257999953344,13.312113634114114,0.4595510937500001,0.35,12313.705111555557,35182.01460444445,0.0,0.0,84.12511617125564,51.66666666666668,46.10666666666668,0.0,51.753114650362065,0.0,0.0,0.0,131.44549401758692,51.785448452389446,51.80161535340313,51.753114650362065,12.43753247303448,19.747618281278463,-0.03459165955695032,10.448050302813245,4.398304749321256,2.5,9.236100170605994,5351.217942283258,-519.6390027079664,-670.8987424173544,-2188.624188705291,0.0,0.0,801.2544702096083,0.0,3.0,0.09733863530605655,0.0,0.0,0.276868920571158,197.99884266666666,-344.4105445732735,0.18843506684978886,9.000226719605942,0.002630438440989453,80.3739296546627,1.2231629675733537,0.6058006366767228,-6123.43025068538,-86.46675197593073,0.27184172728319994,-673.3582774127716,2.459534995417223
2025-01-01 02:00:00,1.3256286449756456,0.29819388145423886,0.6921571171171171,1.3256286449756456,0.29819388145423886,0.6921571171171171,0.21529022328206507,0.410070088360247,0.7002683333333335,0.0,0.6921571171171171,0.0,0.29819388145423886,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05945800649771089,0.044593504873283146,0.0,0.0,0.045786130756578954,0.0,0.003148314761549082,0.0,0.16635577776393703,0.0,0.012478246421261689,0.0,0.33813383544127446,0.25360037658095574,0.0,0.0,10793.14012244147,20.000000000000057,0.49333333333333346,8670.869333262239,20.285125537697695,0.7002683333333335,0.5333333333333333,18763.74112237037,35182.01460444445,0.0,0.0,82.66193179766557,51.66666666666668,46.10666666666668,0.0,51.11940353862344,0.0,0.0,0.0,129.15926843385245,51.16109982004301,51.181947960752815,51.11940353862344,12.43753247303448,19.680127861628574,-0.058203815674603906,11.282289317409017,4.381770199644238,1.6500000000000001,9.236100170605994,9040.746931108215,2970.4790548881615,-967.389491231571,-2222.6536929487456,0.0,0.0,799.6897858280895,0.0,3.0,0.09415358975093958,0.0,0.0,0.26780941278124004,197.99884266666666,-329.4292842125982,0.18963529070571117,8.975429172271836,0.0026360813236663548,101.30894388511425,1.2234409047405952,0.44176241853510534,-5577.007008948424,-123.38326942565249,0.27184172728319994,-972.0386813338688,4.649190102297934
2025-01-01 03:00:00,0.6213207012739512,0.2970203681680998,0.0,0.6213207012739512,0.29702036816809985,0.0,0.21281529729522297,0.4085054039787283,0.0,0.0,0.0,0.0,0.2970203681680998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057893322116192164,0.04341999158714411,0.0,0.0,0.04331120476973685,0.0,0.003148314761549082,0.0,0.16635577776393703,0.0,0.012478246421261689,0.0,0.33813383544127446,0.25360037658095574,0.0,0.0,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0.0,0.0,35182.01460444445,0.0,0.0,82.9139615025256,51.66666666666668,46.10666666666668,0.0,50.51849927921596,0.0,0.0,0.0,129.55306484769622,50.54565759963411,50.55923675984319,50.51849927921596,12.43753247303448,18.96925575861646,0.0,9.214259497354588,4.188428336997599,1.6500000000000001,9.236100170605994,-1597.0815569873232,-4864.4625463721195,-896.6452933266781,-2138.724585853338,0.0,0.0,795.6501754597288,0.0,3.0,0.09429618158696504,0.0,0.0,0.2682149993974742,197.99884266666666,-254.00714659371377,0.1988017424030313,8.651419140086317,0.0026423570681280784,66.68573501507086,1.2264171345475425,0.5097653950483312,-4820.510594707587,-43.95195166453377,0.27184172728319994,-903.4091794409562,6.763886114277992
2025-01-01 04:00:00,0.9042400273090992,0.29584685488196083,0.28118882882882884,0.9042400273090992,0.29584685488196083,0.28118882882882884,0.21281529729522297,0.4069407195972096,0.2844840104166667,0.0,0.28118882882882884,0.0,0.29584685488196083,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056328637734673455,0.04224647830100508,0.0,0.0,0.04331120476973685,0.0,0.003148314761549082,0.0,0.16635577776393703,0.0,0.012478246421261689,0.0,0.33813383544127446,0.25360037658095574,0.0,0.0,4384.713174741847,18.33333333333337,0.20041666666666674,3522.540666637784,8.240832249689689,0.2844840104166667,0.21666666666666667,7622.769830962964,35182.01460444445,0.0,0.0,83.87078535027895,51.66666666666668,46.10666666666668,0.0,49.88788068204635,0.0,0.0,0.0,131.04810210981086,49.91802256334604,49.93309350399589,49.88788068204635,12.43753247303448,17.977129580743405,-0.05264520426983298,8.26281499342066,4.173967407615921,0.55,9.236100170605994,2767.9932405777668,-590.3357060586794,-1289.5667607487342,-2160.13186324615,0.0,0.0,794.0854910782099,0.0,3.0,0.09406593990658761,0.0,0.0,0.2675601025487958,197.99884266666666,-250.6735619961404,0.21160278099683266,8.18579579155758,0.002645798756028093,111.81665313022978,1.230013084530046,0.4587003194282967,-4105.185119087847,-7.691253608616985,0.27184172728319994,-1296.1910877360299,6.624326987295617
2025-01-01 05:00:00,1.2146687545549177,0.31412232685976993,0.41959323128711556,1.2146687545549177,0.31412232685976993,0.41959323128711556,0.3800489863318473,0.462602216139737,0.3720175520833334,0.05188476281864711,0.3677084684684685,0.0,0.31412232685976993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056328637734673455,0.04224647830100508,0.022700691244265287,0.0,0.048261056743421064,0.0,0.006162522809117372,0.0,0.3256254067793088,0.0,0.02107175574911172,0.0,0.36250113141168655,0.27187584855876484,0.0,0.0,5733.855690047031,18.33333333333337,0.2620833333333334,4606.399333295563,10.776472941901902,0.3720175520833334,0.2833333333333333,9968.237471259261,35182.01460444445,1172.2844444444445,0.0,83.23090397521516,51.66666666666668,46.10666666666668,0.0,50.117894095230675,0.3315619729449082,867.5154275584406,1172.2844444444445,130.04828746127367,49.59701683981755,50.13235682076961,49.32211548657206,12.43753247303448,17.932089159499238,-0.07804234789749374,9.445482990066523,3.429514198720958,-0.25000000000000006,9.236100170605994,4175.9069257594765,-632.1994218799285,-1302.5528000009426,-2267.6406800036293,0.0,0.0,1007.0607831013602,0.0,3.0,0.09467059813468201,0.0,0.0,0.26927998561886946,197.99884266666666,-297.3688673852863,0.21290455348876713,8.172266923769609,0.002655827851672604,128.3176282174517,1.229578399447233,0.4156562941204254,-5188.515609083998,-50.083146091494406,0.27184172728319994,-1317.300066246016,14.74726624507374
2025-01-01 06:00:00,1.7626246345377974,0.3355345062977871,0.5191178378378378,1.7626246345377974,0.3355345062977871,0.5191178378378378,0.7102882428917937,0.5271351416460035,0.5252012500000001,0.0,0.5191178378378378,0.0,0.3355345062977871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05945800649771089,0.044593504873283146,0.045401382488530574,0.0,0.05444837171052633,0.0,0.012181359853255323,0.0,0.643658511328012,0.0,0.034354417427089966,0.0,0.3879213352326721,0.29094100142450396,0.0,0.0,8094.855091831103,18.33333333333337,0.3700000000000001,6503.151999946679,15.213844153273271,0.5252012500000001,0.4,14072.805841777781,35182.01460444445,0.0,0.0,83.64155032391858,51.66666666666668,46.10666666666668,0.0,51.12454724605238,0.0498772392104106,134.18404095328398,0.0,130.68992238112278,49.89178428073217,51.12454724605238,49.27540279807207,12.43753247303448,18.08064033091347,-0.0391095418794442,9.563363197369764,3.5472436268657708,0.3,9.236100170605994,6891.986369878309,477.1884281156989,-1148.6365597995662,-2206.174364341693,0.0,0.0,1348.9726186246983,0.0,2.3505000000000007,0.0944160634141687,0.0,0.0,0.26855598991978435,155.13209322933335,-345.66697623579876,0.2112711358188352,8.247780900085266,0.00266021051220071,35.69718209031317,1.2289479461141704,0.48936201747959207,-5970.374985830478,-55.58858600050126,0.27184172728319994,-1159.941268989861,11.30470919029496
2025-01-01 07:00:00,1.3864992602133865,0.3304359702124392,0.3962113118123035,1.3864992602133865,0.33043597021243926,0.39621131181230357,0.607727118412388,0.47240474596766513,0.3063673958333334,0.0933925730735648,0.3028187387387387,0.0,0.3304359702124392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625873752607483,0.04694053144556121,0.0,0.0,0.05073598273026317,0.0,0.010345375078518283,0.0,0.5466457606036066,0.0,0.03182345235107934,0.0,0.37799391835583745,0.28349543876687805,0.0,0.0,4721.998803568144,18.33333333333337,0.21583333333333338,3793.5053333022292,8.874742422742742,0.3063673958333334,0.23333333333333334,8209.136741037039,35182.01460444445,2110.112,0.0,83.85850764498538,51.66666666666668,46.10666666666668,0.0,51.22466155587804,0.5485388113648361,1476.414520372616,2110.112,131.02891819528966,49.84301203429228,51.226844538229074,49.15000429114837,12.43753247303448,17.98403324723489,-0.05138613936611384,9.174744844456539,3.3117946099113924,-0.55,9.236100170605994,3197.185332686427,-2616.6083558290607,-1369.5839356234742,-2367.4043207031386,0.0,0.0,1175.8375760204779,7.147178507067745,1.8510000000000002,0.09682150403221258,0.0,0.0,0.27539799818630445,122.16528592533335,-333.2467261990551,0.21272297053070782,8.204579793538494,0.0026623703533063137,55.819545962552574,1.229353914461952,0.49339127345354006,-6373.586019809895,-36.52766932139428,0.27184172728319994,-1383.5377436628712,13.953808039397122
2025-01-01 08:00:00,1.279131149326342,0.30171442131265597,0.6488972972972973,1.279131149326342,0.30171442131265597,0.6488972972972973,0.20786544532153875,0.4147641415048031,0.6565015625000001,0.0,0.6488972972972973,0.0,0.30171442131265597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064152059642267,0.04811404473170024,0.0,0.0,0.03836135279605264,0.0,0.003148314761549082,0.0,0.16635577776393703,0.0,0.012478246421261689,0.0,0.33813383544127446,0.25360037658095574,0.0,0.0,10118.568864788878,18.33333333333337,0.46250000000000013,8128.939999933348,19.017305191591586,0.6565015625000001,0.5,17591.007302222224,35182.01460444445,0.0,0.0,87.19344172543597,51.66666666666668,46.10666666666668,0.0,51.216900397267835,0.0,0.0,0.0,136.2397526959937,51.25334889069815,51.27157313741331,51.216900397267835,12.43753247303448,18.04688072970097,-0.05129398025901952,9.166550376062416,2.8675053486422692,-1.4,9.236100170605994,7973.853656916764,696.8960113837634,-1514.9079539782747,-2579.793690245374,0.0,0.0,691.3266784494527,387.708806354986,1.3995000000000002,0.10033647374714892,0.0,0.0,0.28539593854939677,92.36646010400001,-256.2481960761924,0.21237817516650773,8.243627709490038,0.002667224432327885,123.01058073654319,1.2296627356364496,0.5282661993329055,-7392.818859917396,-39.22512863218854,0.27184172728319994,-1533.4660600727423,18.558106094467597
2025-01-01 09:00:00,0.9434555901158156,0.30171442131265597,0.32444864864864864,0.9434555901158156,0.30171442131265597,0.32444864864864864,0.20044066736101243,0.4147641415048031,0.32825078125000007,0.0,0.32444864864864864,0.0,0.30171442131265597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064152059642267,0.04811404473170024,0.0,0.0,0.030936574835526323,0.0,0.003148314761549082,0.0,0.16635577776393703,0.0,0.012478246421261689,0.0,0.33813383544127446,0.25360037658095574,0.0,0.0,5059.284432394439,18.33333333333337,0.23125000000000007,4064.469999966674,9.508652595795793,0.32825078125000007,0.25,8795.503651111112,35182.01460444445,0.0,0.0,85.62198262965327,51.66666666666668,46.10666666666668,0.0,50.58120246690112,0.0,0.0,0.0,133.78434785883323,50.60740124569647,50.62050063509415,50.58120246690112,12.43753247303448,17.999764288404947,-0.04772822190552084,8.741922241087517,2.6781501611633316,-0.85,9.236100170605994,3273.76700576757,-2536.240483157029,-1245.566276772217,-2450.7934320190284,0.0,0.0,723.6006684435931,1170.6318933252867,2.0010000000000003,0.09843862963155176,0.0,0.0,0.27999773207110007,132.0652280586667,-58.32466305143392,0.21407202340934908,8.2394936562005,0.00267935487126514,251.67970543030424,1.2304695622240414,0.5193507074915404,-6585.7918794564275,-14.918603667274942,0.27184172728319994,-1266.039935718317,20.47365894610037
