occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.58,0.0265,0.365,0.0606,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.571,0.0164,0.393,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0173,0.337,0.0505,0.0,0.0,0.0,0.0741,0,0,0,0
1.0,0.589,0.0173,0.337,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.0173,0.337,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.933,0.58,0.0168,0.365,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.571,0.016,0.393,0.0505,0.0,0.0,0.0,0.177,0,0,0,0
0.8,0.589,0.0163,0.337,0.0505,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.58,0.0162,0.365,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.571,0.0179,0.393,0.0574,0.0,0.0,0.0,0.108,0,0,0,0
0.8,0.589,0.022,0.337,0.0712,0.0,0.0,0.0,0.043,0,0,0,0
0.8,0.604,0.0278,0.309,0.106,0.0,0.0,0.0,0.148,0,0,0,0
0.8,0.633,0.0394,0.253,0.175,0.0,0.0,0.0,0.186,0,0,0,0
0.733,0.621,0.0355,0.281,0.154,0.0,0.0,0.0,0.17,0,0,0,0
0.6,0.609,0.0316,0.309,0.133,0.0,0.0,0.0,0.148,0,0,0,0
0.6,0.641,0.0432,0.253,0.188,0.0,0.0,0.0,0.329,0,0,0,0
0.6,0.656,0.0508,0.253,0.213,0.0,0.0,0.0,0.37,0,0,0,0
0.467,0.625,0.0391,0.309,0.159,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.33,0,0,0,0
0.267,0.579,0.0232,0.393,0.0796,0.0,0.0,0.333,0.132,0,0,0,0
0.333,0.596,0.0306,0.365,0.109,0.0,0.0,1.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0505,0.0,0.0,1.0,0.0,0,0,0,0
0.2,0.562,0.0159,0.421,0.0505,0.0,0.0,1.0,0.0,0,0,0,0
0.2,0.579,0.0248,0.393,0.0805,0.0,0.0,0.8,0.222,0,0,0,0
0.2,0.613,0.0426,0.337,0.14,0.0,0.0,0.0,0.222,0,0,0,0
0.2,0.613,0.0426,0.337,0.14,0.0,0.0,0.0,0.148,0,0,0,0
0.2,0.613,0.0426,0.337,0.14,0.0,0.0,0.0,0.222,0,0,0,0
0.2,0.613,0.0438,0.337,0.139,0.0,0.0,0.0,0.296,0,0,0,0
0.2,0.613,0.0462,0.337,0.138,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0462,0.337,0.138,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0462,0.337,0.138,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0474,0.337,0.136,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0498,0.337,0.134,0.0,0.0,0.0,0.148,0,0,0,0
0.2,0.613,0.0498,0.337,0.134,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0498,0.337,0.134,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0505,0.337,0.133,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0519,0.337,0.131,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.596,0.0399,0.365,0.104,0.0,0.0,0.0,0.0,0,0,0,0
0.267,0.579,0.0279,0.393,0.0774,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.0536,0.337,0.131,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.057,0.337,0.13,0.0,0.0,0.0,0.0741,0,0,0,0
0.4,0.613,0.057,0.337,0.13,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.057,0.337,0.13,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.0579,0.337,0.131,0.0,0.0,0.0,0.0741,0,0,0,0
0.4,0.613,0.0596,0.337,0.132,0.0,0.0,0.0,0.148,0,0,0,0
0.4,0.613,0.0596,0.337,0.132,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.613,0.0596,0.337,0.132,0.0,0.0,0.0,0.0741,0,0,0,0
0.4,0.615,0.0615,0.337,0.135,0.0,0.0,0.0,0.222,0,0,0,0
0.4,0.621,0.0653,0.337,0.142,0.0,0.0,0.0,0.148,0,0,0,0
0.4,0.621,0.0653,0.337,0.142,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.621,0.0653,0.337,0.142,0.0,0.0,0.0,0.0,0,0,0,0
0.467,0.648,0.0903,0.309,0.189,0.0,0.0,0.333,0.0,0,0,0,0
0.6,0.703,0.14,0.253,0.283,0.0,0.0,0.667,0.148,0,0,0,0
0.667,0.726,0.161,0.225,0.321,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.774,0.203,0.168,0.399,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.813,0.243,0.14,0.492,0.0,0.0,0.0,0.116,0,0,0,0
0.8,0.891,0.325,0.0842,0.679,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.891,0.325,0.0842,0.679,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.891,0.325,0.0842,0.679,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.896,0.362,0.0842,0.725,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.907,0.436,0.0842,0.818,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.907,0.436,0.0842,0.818,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.907,0.436,0.0842,0.818,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.901,0.494,0.0842,0.815,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.891,0.609,0.0842,0.81,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.891,0.609,0.0842,0.81,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.891,0.609,0.0842,0.81,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.881,0.657,0.0842,0.761,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.0842,0.664,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.0842,0.664,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.0842,0.664,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.819,0.681,0.112,0.572,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.739,0.538,0.168,0.39,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.739,0.538,0.168,0.39,0.0,0.0,0.0,0.0,0,0,0,0
0.867,0.758,0.596,0.14,0.428,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.762,0.584,0.112,0.449,0.0,0.0,0.0,0.0849,0,0,0,0
1.0,0.692,0.328,0.168,0.341,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.692,0.328,0.168,0.341,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.692,0.328,0.168,0.341,0.0,0.0,0.0,0.176,0,0,0,0
0.933,0.659,0.238,0.225,0.258,0.0,0.0,0.0,0.0408,0,0,0,0
0.8,0.593,0.0591,0.337,0.0912,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.583,0.0447,0.365,0.0777,0.0,0.0,0.0,0.232,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
0.867,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0505,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.571,0.0179,0.393,0.0574,0.0,0.0,0.0,0.244,0,0,0,0
1.0,0.589,0.022,0.337,0.0712,0.0,0.0,0.0,0.148,0,0,0,0
1.0,0.589,0.022,0.337,0.0712,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.589,0.022,0.337,0.0712,0.0,0.0,0.0,0.253,0,0,0,0
0.933,0.604,0.0278,0.309,0.106,0.0,0.0,0.0,0.253,0,0,0,0
0.8,0.645,0.0433,0.225,0.196,0.0,0.0,0.0,0.0741,0,0,0,0
0.8,0.668,0.0512,0.168,0.237,0.0,0.0,0.0,0.281,0,0,0,0
0.733,0.657,0.0473,0.196,0.216,0.0,0.0,0.0,0.144,0,0,0,0
0.533,0.625,0.0374,0.281,0.161,0.0,0.0,0.0,0.148,0,0,0,0
0.4,0.609,0.0333,0.337,0.132,0.0,0.0,0.0,0.398,0,0,0,0
0.4,0.609,0.0333,0.337,0.132,0.0,0.0,0.0,0.0741,0,0,0,0
0.4,0.609,0.0333,0.337,0.132,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.61,0.0349,0.337,0.134,0.0,0.0,0.0,0.259,0,0,0,0
0.4,0.613,0.038,0.337,0.138,0.0,0.0,0.0,0.4,0,0,0,0
0.4,0.613,0.038,0.337,0.138,0.0,0.0,0.0,0.222,0,0,0,0
0.4,0.613,0.038,0.337,0.138,0.0,0.0,0.0,0.113,0,0,0,0
