Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,4.681147008842178,0.07571577601954725,0.0,0.0780191168140363,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,4.421563853333333,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,On,4421.563853333333,15.5555555555556,1.0000000000000002,0.0,4.421563853333333,0.0,1,4421.563853333333,4421.563853333333,Off,0.0,0.0,25.424570787319446,51.666666666666686,46.10666666666668,0.0,51.538845653050444,0.0,0.0,0.0,25.424570787319446,51.392737987800814,51.538845653050444,51.319684155176006,12.43753247303448,15.294404094571245,0.0,2.8,9.236100170605994,4398.764600445812,-208.51779240700833,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012805894471350084,0.0,0,0.23829760292368474,65.99961422222222,-135.12923035684412,0.2597554492540386,6.992321227036047,0.0027461414810720465,36.74661119667471,1.2383417426071832
2025-01-01 00:01:00,4.681147008842178,0.07571577601954725,0.0,0.0780191168140363,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,4.421563853333333,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,On,4421.563853333333,15.5555555555556,1.0000000000000002,0.0,4.421563853333333,0.0,1,4421.563853333333,4421.563853333333,Off,0.0,0.0,25.360792130855327,51.666666666666686,46.10666666666668,0.0,51.53504378283248,0.0,0.0,0.0,25.360792130855327,51.38916986229535,51.53504378283248,51.31623290202679,12.43753247303448,15.381394152286674,0.0,2.8,9.236100170605994,4392.873663014975,-210.5296600322473,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012840054556089251,0.0,0,0.23893326850153448,65.99961422222222,-139.00830016244223,0.25908612751897814,7.057323757496903,0.002746391498031318,36.693984832600506,1.2415844704801438
2025-01-01 00:02:00,4.681147008842178,0.07571577601954725,0.0,0.0780191168140363,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,4.421563853333333,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,On,4421.563853333333,15.5555555555556,1.0000000000000002,0.0,4.421563853333333,0.0,1,4421.563853333333,4421.563853333333,Off,0.0,0.0,25.29880662067477,51.666666666666686,46.10666666666668,0.0,51.53125142890076,0.0,0.0,0.0,25.29880662067477,51.38561068758999,51.53125142890076,51.31279031693461,12.43753247303448,15.465846926838493,0.0,2.8,9.236100170605994,4387.1354843614945,-212.48994053194951,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012873199153111723,0.0,0,0.23955003744633538,65.99961422222222,-142.78619831622063,0.2577086938412957,7.099378942738417,0.002746640504880231,36.64260818030691,1.24122098007887
2025-01-01 00:03:00,4.681147008842178,0.07571577601954725,0.0,0.0780191168140363,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,4.421563853333333,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,On,4421.563853333333,15.5555555555556,1.0000000000000002,0.0,4.421563853333333,0.0,1,4421.563853333333,4421.563853333333,Off,0.0,0.0,25.23853575837436,51.666666666666686,46.10666666666668,0.0,51.527468324647735,0.0,0.0,0.0,25.23853575837436,51.382060212031675,51.527468324647735,51.30935615572365,12.43753247303448,15.54787363307195,0.0,2.8,9.236100170605994,4381.549027184132,-214.40059039107956,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012905373413481629,0.0,0,0.24014874994854635,65.99961422222222,-146.4620056344533,0.25637935742955803,7.13943835599666,0.0027468892359044485,36.59239766839451,1.2408681300755597
2025-01-01 00:04:00,4.681147008842178,0.07571577601954725,0.0,0.0780191168140363,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,4.421563853333333,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,On,4421.563853333333,15.5555555555556,1.0000000000000002,0.0,4.421563853333333,0.0,1,4421.563853333333,4421.563853333333,Off,0.0,0.0,25.17990658980252,51.666666666666686,46.10666666666668,0.0,51.523694215135556,0.0,0.0,0.0,25.17990658980252,51.37851819498394,51.523694215135556,51.305930184908135,12.43753247303448,15.62757762406574,0.0,2.8,9.236100170605994,4376.708650690049,-216.26343709015174,-0.0,-0.0,320.84776987633126,0.0,1.0,0.01293661929348349,0.0,0,0.24073018674879032,65.99961422222222,-149.43953542946426,0.25509568197518445,7.178727867143988,0.0027471376967299244,36.54330321656339,1.2405254585233556
2025-01-01 00:05:00,4.681147008842178,0.07571577601954725,0.0,0.0780191168140363,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,4.421563853333333,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,On,4421.563853333333,15.5555555555556,1.0000000000000002,0.0,4.421563853333333,0.0,1,4421.563853333333,4421.563853333333,Off,0.0,0.0,25.122835840505537,51.666666666666686,46.10666666666668,0.0,51.51992885627194,0.0,0.0,0.0,25.122835840505537,51.374984406048824,51.51992885627194,51.30251218093727,12.43753247303448,15.705076918101781,0.0,2.8,9.236100170605994,4372.717014004074,-218.08070241925876,-0.0,-0.0,320.84776987633126,0.0,1.0,0.01296698438864641,0.0,0,0.24129523352518398,65.99961422222222,-151.6139067863312,0.2538550594219046,7.217322910435501,0.002747385892746652,36.495267589273524,1.2401924420172854
2025-01-01 00:06:00,0.25958315550884525,0.07571577601954725,0.0,0.004326385925147421,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,0.0,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,4421.563853333333,Off,0.0,0.0,25.067242284178942,51.666666666666686,46.10666666666668,0.0,51.516172016343994,0.0,0.0,0.0,25.067242284178942,51.371458626515235,51.516172016343994,51.299101931600866,12.43753247303448,15.780486636579932,0.0,2.8,9.236100170605994,-52.45992111675278,-219.85459161678602,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012996515044896274,0.0,0,0.2418447527026885,65.99961422222222,-153.45309937629798,0.2526549962968504,7.254114632556302,0.002747633829071412,36.44823496313609,1.2398685711477977
2025-01-01 00:07:00,0.25958315550884525,0.07571577601954725,0.0,0.004326385925147421,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,0.0,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,4421.563853333333,Off,0.0,0.0,25.12532665863245,51.666666666666686,46.10666666666668,0.0,51.51242347571368,0.0,0.0,0.0,25.12532665863245,51.36794064907153,51.51242347571368,51.295699235750455,12.43753247303448,15.694482588591718,0.0,2.8,9.236100170605994,-47.84552742505295,-217.8319323859193,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012962834374970627,0.0,0,0.24121800828228887,65.99961422222222,-150.86136491546492,0.25407300094264856,7.21232345558213,0.0027478815105535922,36.48001359601943,1.2402375592110635
2025-01-01 00:08:00,0.25958315550884525,0.07571577601954725,0.0,0.004326385925147421,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,0.0,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,4421.563853333333,Off,0.0,0.0,25.181430396939536,51.666666666666686,46.10666666666668,0.0,51.508666338141126,0.0,0.0,0.0,25.181430396939536,51.364414519972485,51.508666338141126,51.29228861088817,12.43753247303448,15.611282860302369,0.0,2.8,9.236100170605994,-43.68436511281507,-215.8820902515988,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012930232748915827,0.0,0,0.2406113431752435,65.99961422222222,-148.6500447375475,0.25545400196524387,7.172050849450336,0.002748129334232332,36.510492617807046,1.2405947187524726
2025-01-01 00:09:00,0.25958315550884525,0.07571577601954725,0.0,0.004326385925147421,0.0012619296003257875,0.0,0.07832134343548694,0.0,0.18126181207335829,0.0,0.0,0.0,0.07571577601954725,0.0,1,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0,0,Off,0.003103307748538012,0.0,On,0.07521803568694893,0,On,0.08030744404729527,0,On,0.06764285506766031,0.050732141300745215,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,4421.563853333333,Off,0.0,0.0,25.23569339612804,51.666666666666686,46.10666666666668,0.0,51.50490089808195,0.0,0.0,0.0,25.23569339612804,51.3608805171838,51.50490089808195,51.28887032673474,12.43753247303448,15.530689077744979,0.0,2.8,9.236100170605994,-39.62066950217289,-213.99976532773206,-0.0,-0.0,320.84776987633126,0.0,1.0,0.012898634413545104,0.0,0,0.24002334773360776,65.99961422222222,-146.46867405077208,0.2568004880978451,7.133188143586356,0.002748377293561041,36.53976440168451,1.2409408818833039
