Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.41672652245114,0.07488785565804204,0.0,2.41672652245114,0.07488785565804203,0.0,0.054967356548813275,0.0,0.15097723923566028,2.2107819266666664,0.0,0.0,0.07488785565804204,0.0,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.003103307748538012,0.0,0.05186404880027527,0.0,0.05112676502493755,0.0,0.06653896125232002,0.04990422093924,0.0,0.0,2210.781926666667,15.5555555555556,0.5000000000000001,0.0,2.2107819266666664,0.0,0.5,2210.781926666667,4421.563853333334,0.0,0.0,24.6010358569468,51.66666666666668,46.10666666666668,0.0,51.26091757533114,0.07831973050140523,212.35924556190602,0.0,24.6010358569468,50.187011061252385,51.26091757533114,49.650057804213006,12.43753247303448,15.270964789917826,-0.05040514567441982,2.8,9.236100170605994,2130.752775261139,-208.0239722804723,0.0,0.0,267.2864827190334,0.0,1.0,0.012796561915873523,0.0,0.0,0.23812393870958456,65.99961422222222,-139.2916618440886,0.261645710724965,7.010968814837823,0.002753453093209869,36.437938284359774,1.2419956894425634
2025-01-01 01:00:00,2.5000363984921377,0.06771036320539238,0.0,2.500036398492138,0.0677103632053924,0.0,0.02640652567266878,0.5249782813333334,0.10633331926391396,1.842318272222222,0.0,0.0,0.06771036320539238,0.0,1.0,0.0,0.0,0.0,0.0,0.032478725134442644,0.024359043850831975,0.0,0.0,0.0028705596673976605,0.0,0.02353596600527112,0.0,0.016052834990057406,0.0,0.0578017591394139,0.04335131935456041,0.0,0.0,1842.318272222222,15.5555555555556,0.4166666666666668,0.0,1.842318272222222,0.0,0.4166666666666667,1842.318272222222,4421.563853333334,524.9782813333334,0.15,24.9140159929427,51.66666666666668,46.10666666666668,0.0,51.33998581593322,0.09048523042053278,242.45063663343117,524.9782813333334,24.9140159929427,50.62120129074949,51.343705867190906,50.25808897689994,12.43753247303448,15.28392945332324,-0.04706714714662189,2.5,9.236100170605994,1710.462203843323,-195.3282231278727,0.0,0.0,194.69333601904597,0.0,1.0,0.011732411974178318,0.0,0.0,0.21832177800736446,65.99961422222222,-131.2211812700722,0.26284419846386436,7.035759230603012,0.0027683305093731247,37.583898966436536,1.2419889911009667
2025-01-01 02:00:00,1.8763974913454542,0.06333370772038806,0.0,1.8763974913454542,0.06333370772038806,0.0,0.01782317724548872,0.0,0.08994877276663235,1.7686255413333332,0.0,0.0,0.06333370772038806,0.0,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.0028705596673976605,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,1768.6255413333333,15.5555555555556,0.40000000000000013,0.0,1.7686255413333332,0.0,0.4,1768.6255413333333,4421.563853333334,0.0,0.0,25.505515938485605,51.66666666666668,46.10666666666668,0.0,51.44658744989442,0.0,0.0,0.0,25.505515938485605,51.46081450229304,51.46792802849236,51.44658744989442,12.43753247303448,15.242803631785694,-0.04906565675907668,1.6500000000000001,9.236100170605994,1624.6091791321712,-192.261460933886,0.0,0.0,170.0756337921742,0.0,1.0,0.010799109244449899,0.0,0.0,0.20095447861301247,65.99961422222222,-121.83053505945036,0.26504053524673965,7.034859231285753,0.0027842228925523413,40.41021519928598,1.242154101451831
2025-01-01 03:00:00,2.022794999911845,0.062709116852418,0.0,2.022794999911845,0.062709116852418,0.0,0.017668011858061817,0.0,0.08911598494267228,1.916011003111111,0.0,0.0,0.062709116852418,0.0,1.0,0.0,0.0,0.0,0.0,0.030813149486522508,0.023109862114891876,0.0,0.0,0.0027153942799707604,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,1916.011003111111,15.5555555555556,0.43333333333333346,0.0,1.916011003111111,0.0,0.43333333333333335,1916.011003111111,4421.563853333334,0.0,0.0,25.369893351466985,51.66666666666668,46.10666666666668,0.0,51.220084978521115,0.0,0.0,0.0,25.369893351466985,51.24676426616307,51.26010390998406,51.220084978521115,12.43753247303448,15.220968394564272,-0.06633365820294819,1.6500000000000001,9.236100170605994,1765.0756598564055,-201.37187761323884,0.0,0.0,169.0876805807872,0.0,1.0,0.01135119963952155,0.0,0.0,0.21122801460357532,65.99961422222222,-118.65114622225367,0.26695805903249514,7.043717321537213,0.0028003897937008675,35.04343944616129,1.2422362410935237
2025-01-01 04:00:00,2.2430404047545514,0.062084525984447955,0.0,2.2430404047545514,0.06208452598444796,0.0,0.017668011858061817,0.0,0.08828319711871221,2.1370891957777776,0.0,0.0,0.062084525984447955,0.0,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.0027153942799707604,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,2137.0891957777776,15.5555555555556,0.48333333333333345,0.0,2.1370891957777776,0.0,0.48333333333333334,2137.0891957777776,4421.563853333334,0.0,0.0,25.2079001618087,51.66666666666668,46.10666666666668,0.0,50.99499760852914,0.0,0.0,0.0,25.2079001618087,51.03394013525329,51.05341139861537,50.99499760852914,12.43753247303448,15.237810850309867,-0.053821941942859296,0.55,9.236100170605994,1961.5461478062934,-226.46371642446644,0.0,0.0,168.25489275682716,0.0,1.0,0.011736276977526244,0.0,0.0,0.21839369965525585,65.99961422222222,-117.33422430384518,0.26780677670076986,7.0647810237876145,0.002813756943286551,39.58615288187712,1.241570648798618
2025-01-01 05:00:00,2.3170434664182946,0.062084525984447955,0.0,2.3170434664182946,0.06208452598444796,0.0,0.01797834263291562,0.0,0.08828319711871221,2.2107819266666664,0.0,0.0,0.062084525984447955,0.0,1.0,0.0,0.0,0.0,0.0,0.02998036166256244,0.022485271246921824,0.0,0.0,0.003025725054824562,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,2210.781926666667,15.5555555555556,0.5000000000000001,0.0,2.2107819266666664,0.0,0.5,2210.781926666667,4421.563853333334,0.0,0.0,25.039345154450896,51.66666666666668,46.10666666666668,0.0,50.77127857427967,0.0,0.0,0.0,25.039345154450896,50.8222996136287,50.84781013330321,50.77127857427967,12.43753247303448,15.265160090285235,-0.053637125867663824,-0.25000000000000006,9.236100170605994,2020.215089156063,-239.08491604247348,0.0,0.0,168.56522353168094,0.0,1.0,0.011702934364387246,0.0,0.0,0.2177732459412251,65.99961422222222,-120.04714499981098,0.2689556577486993,7.096889324957565,0.002832284478651074,41.069749230538825,1.2408160728714555
2025-01-01 06:00:00,1.9506333010903372,0.06333370772038806,0.0,1.9506333010903372,0.06333370772038806,0.0,0.01836625610148287,0.0,0.08994877276663235,1.842318272222222,0.0,0.0,0.06333370772038806,0.0,1.0,0.0,0.0,0.0,0.0,0.03164593731048258,0.02373445298286193,0.0,0.0,0.003413638523391813,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,1842.318272222222,15.5555555555556,0.4166666666666668,0.0,1.842318272222222,0.0,0.4166666666666667,1842.318272222222,4421.563853333334,0.0,0.0,24.877932799167425,51.66666666666668,46.10666666666668,0.0,50.5613215935735,0.0,0.0,0.0,24.877932799167425,50.61200071787206,50.63734028002134,50.5613215935735,12.43753247303448,15.284075306475655,-0.050677156676901446,0.3,9.236100170605994,1658.236515696066,-230.30858875371268,0.0,0.0,170.61871264816835,0.0,1.0,0.011694917672073047,0.0,0.0,0.21762406787591124,65.99961422222222,-124.39188042061214,0.26995199921221313,7.123071010421911,0.002846282120713779,32.947269558265,1.2407243123288854
2025-01-01 07:00:00,2.025758859546006,0.06458288945632816,0.0,2.0257588595460057,0.06458288945632816,0.0,0.01813350802034252,0.0,0.09161434841455249,1.916011003111111,0.0,0.0,0.06458288945632816,0.0,1.0,0.0,0.0,0.0,0.0,0.03331151295840272,0.024983634718802033,0.0,0.0,0.0031808904422514625,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,1916.011003111111,15.5555555555556,0.43333333333333346,0.0,1.916011003111111,0.0,0.43333333333333335,1916.011003111111,4421.563853333334,0.0,0.0,24.74898225697014,51.66666666666668,46.10666666666668,0.0,50.394664384042215,0.0,0.0,0.0,24.74898225697014,50.40294524492895,50.40708567537233,50.394664384042215,12.43753247303448,15.259380651062221,-0.05133221583759715,-0.55,9.236100170605994,1712.6046090510804,-251.61758238478447,0.0,0.0,172.05154021494812,1.520253079371276,1.0,0.012062041361047226,0.0,0.0,0.22445566368944628,65.99961422222222,-123.84035189019413,0.2717248787148858,7.128258226747658,0.002860569254053413,38.81544173774788,1.2408197323193504
2025-01-01 08:00:00,2.0258158204328316,0.06520748032429821,0.0,2.0258158204328316,0.06520748032429821,0.0,0.017357681083208017,0.0,0.09244713623851256,1.916011003111111,0.0,0.0,0.06520748032429821,0.0,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0024050635051169594,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,1916.011003111111,15.5555555555556,0.43333333333333346,0.0,1.916011003111111,0.0,0.43333333333333335,1916.011003111111,4421.563853333334,0.0,0.0,24.618006535456775,51.66666666666668,46.10666666666668,0.0,50.174764522414236,0.0,0.0,0.0,24.618006535456775,50.19518368009831,50.20539325894035,50.174764522414236,12.43753247303448,15.23724485266756,-0.057865111560035994,-1.4,9.236100170605994,1706.132574804327,-276.37540563946243,0.0,0.0,172.1085011017737,86.79825585611361,1.0,0.012562725962396472,0.0,0.0,0.23377261851749484,65.99961422222222,-105.61152376909516,0.27392552652527813,7.142399775815831,0.002878315721454208,49.33501382291035,1.2414846458272306
2025-01-01 09:00:00,2.393813978714995,0.06520748032429821,0.0,2.393813978714995,0.06520748032429821,0.0,0.016892184920927315,0.0,0.09244713623851256,2.2844746575555552,0.0,0.0,0.06520748032429821,0.0,1.0,0.0,0.0,0.0,0.0,0.03414430078236278,0.025608225586772077,0.0,0.0,0.0019395673428362575,0.0,0.014952617578091057,0.0,0.005503829139448254,0.0,0.05279900631670152,0.03959925473752613,0.0,0.0,2284.4746575555555,15.5555555555556,0.5166666666666668,0.0,2.2844746575555552,0.0,0.5166666666666667,2284.4746575555555,4421.563853333334,0.0,0.0,24.481520934013027,51.66666666666668,46.10666666666668,0.0,49.95621777491418,0.0,0.0,0.0,24.481520934013027,49.98859246083363,50.00477980379336,49.95621777491418,12.43753247303448,15.224108775302403,-0.05620162897717685,-0.85,9.236100170605994,2113.1591611645918,-261.6046461308061,0.0,0.0,171.64300493949298,187.41486248194053,1.0,0.012313583746532217,0.0,0.0,0.22913647279878913,65.99961422222222,-81.35385519965035,0.2764240571309608,7.167063845348493,0.002900807566531226,61.30268466519116,1.2421472534374751
