Metric,Value
Total Electric Energy (kWh),1017.2297017561026
Total Gas Energy (therms),0.0
Average Electric Power (kW),1.412819030216809
Peak Electric Power (kW),10.716143221256711
Other Electric Energy (kWh),86.844553625077
HVAC Heating Electric Energy (kWh),809.9568051997777
Lighting Electric Energy (kWh),29.2571147396924
Water Heating Electric Energy (kWh),91.17122819155557
Average Temperature - Indoor (C),15.216908110796757
Unmet Heating Load (C-hours),43.461450497090354
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
