Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,33.667145391671966,51.666666666666686,46.10666666666668,0.0,50.82924175859884,0.0,0.0,2499.896577777778,33.667145391671966,48.65156400062288,50.82924175859884,47.5627251216349,12.43753247303448,19.949358377047542,-0.1617527340636009,2.8,-185.6075213998058,-611.9311182294455,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027380224877376735,0.0,0.0,0.5095030238135677,131.99922844444444,42.43125189299964,0.21586707897410612,9.557710635634464,0.0030628986055381813,45.23293092585881,1.2184417508237044
2025-01-01 00:01:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,34.059262580582526,51.666666666666686,46.10666666666668,0.0,50.82379036452128,0.0,0.0,2499.896577777778,34.059262580582526,48.99767863963236,50.82379036452128,48.08462277718791,12.43753247303448,19.94806650595042,-0.1630446051607244,2.8,-189.82116433178024,-611.8645158520159,-0.0,-0.0,383.89234493664003,0.0,2.0,0.02737930732196995,0.0,0.0,0.5094859495471448,131.99922844444444,38.15100658359571,0.216536989330645,9.581968695774039,0.0030632113881808023,45.207769867827736,1.2220061326197467
2025-01-01 00:02:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,34.4516743249028,51.666666666666686,46.10666666666668,0.0,50.818359245103686,0.0,0.0,2499.896577777778,34.4516743249028,49.34373824827951,50.818359245103686,48.60642774986742,12.43753247303448,19.946468659555872,-0.16464245155527024,2.8,-194.0315912197527,-611.78214289126,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027378172432819838,0.0,0.0,0.5094648310407679,131.99922844444444,33.85820673486727,0.21658035925899663,9.580999507831814,0.003063523085010714,45.18319431324029,1.2220125648222735
2025-01-01 00:03:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,34.84436372519394,51.666666666666686,46.10666666666668,0.0,50.8129483397393,0.0,0.0,2499.896577777778,34.84436372519394,49.68974278522592,50.8129483397393,49.128140007969236,12.43753247303448,19.944579320874407,-0.1665317902367356,2.8,-198.2315471191899,-611.6847484341127,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027376830488089744,0.0,0.0,0.5094398595549297,131.99922844444444,29.56085637828279,0.2166276369804503,9.580553289634668,0.003063834610758257,45.15910214171889,1.2220202125596864
2025-01-01 00:04:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,35.237314630509445,51.666666666666686,46.10666666666668,0.0,50.807557590337446,0.0,0.0,2499.896577777778,35.237314630509445,50.03569221150492,50.807557590337446,49.64975952208866,12.43753247303448,19.942412332116945,-0.16869877899419805,2.8,-200.85014527538183,-611.5730488027951,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027375291309864627,0.0,0.0,0.5094112178632196,131.99922844444444,26.830558590773137,0.2166786395658065,9.579958430040163,0.003064145968448303,45.13547157607369,1.222029018161914
2025-01-01 00:05:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,35.63044640662156,51.666666666666686,46.10666666666668,0.0,50.80218694121228,0.0,0.0,2499.896577777778,35.63044640662156,50.38158649041645,50.80218694121228,50.17128626501855,12.43753247303448,19.940036960722068,-0.17107415038907448,2.8,-201.51059191033417,-611.4506171419872,-0.0,-0.0,383.89234493664003,0.0,2.0,0.02737360408834656,0.0,0.0,0.5093798213181164,131.99922844444444,26.047680295013013,0.2167324396648949,9.579251928223183,0.0030644571609707086,45.11219208501341,1.2220386928669313
2025-01-01 00:06:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,36.0236663906785,51.666666666666686,46.10666666666668,0.0,50.79683634866697,0.0,0.0,2499.896577777778,36.0236663906785,50.727425596576836,50.79683634866697,50.692720220531776,12.43753247303448,19.937532824138614,-0.17357828697252842,2.8,-201.6966560315225,-611.321559143498,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027371825368523634,0.0,0.0,0.5093467221331259,131.99922844444444,25.732558175335427,0.2167879699856939,9.57847630977358,0.0030647681905271655,45.089136418803555,1.2220489047442884
2025-01-01 00:07:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,36.42662798474066,51.666666666666686,46.10666666666668,0.0,51.07320951760681,0.0,0.0,2499.896577777778,36.42662798474066,51.07320951760681,51.07320951760682,51.07320951760681,12.43753247303448,19.93492295027525,-0.17618816083589195,2.8,-201.69693282289464,-611.1870631264059,-0.0,-0.0,383.89234493664003,0.0,2.0,0.02736997150214277,0.0,0.0,0.5093122245886016,131.99922844444444,25.59778536687117,0.21684492258144045,9.57764387590971,0.0030650790585267725,45.066267838209555,1.2220595578020046
2025-01-01 00:08:00,2.816283449098884,0.19748705464808017,0.0,0.0469380574849814,0.0032914509108013363,0.0,0.013884341527087427,2.499896577777778,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Lower On,2499.896577777778,1.0,36.83201837107299,51.666666666666686,46.10666666666668,0.0,51.41893688635304,0.0,0.0,2499.896577777778,36.83201837107299,51.41893688635303,51.41893688635304,51.41893688635304,12.43753247303448,19.932219028973474,-0.1788920821376685,2.8,-201.68120595042538,-611.0477328512108,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027368050788141175,0.0,0.0,0.509276483114743,131.99922844444444,25.474181964145288,0.21690314159273089,9.576760872081906,0.0030653897661499147,45.043567732033914,1.222070603319165
2025-01-01 00:09:00,0.3163868713211061,0.19748705464808017,0.0,0.005273114522018435,0.0032914509108013363,0.0,0.013884341527087427,0.0,0.25250252979401866,0.0,0.05,0.0,0.0,0.18290372131474683,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0.0,0,Off,0.004654961622807018,0.0,On,0.00922937990428041,0,On,0.008630901374356133,0,On,0.2070536404130069,0.1552902303097551,On,0,0,Off,Off,0.0,20.611111111111143,0.0,0.0,0.0,0.0,0,0.0,1258.7404222222222,Off,0.0,21.611111111111143,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,2025.554893889699,Off,0.0,0.0,37.0393727445163,51.666666666666686,46.10666666666668,0.0,51.76460736195486,0.0,0.0,0.0,37.0393727445163,51.76460736195486,51.76460736195486,51.76460736195486,12.43753247303448,19.929426104612418,-0.181685006498725,2.8,-201.6900778352996,-610.9038295243971,-0.0,-0.0,383.89234493664003,0.0,2.0,0.027366066805312714,0.0,0.0,0.509239564307289,131.99922844444444,25.32140675245748,0.21696256035833025,9.575829994369204,0.003065700314461188,45.02102812291363,1.222082020282438
