occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.857,0.606,0.0396,0.301,0.0715,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.606,0.0396,0.301,0.0715,0.0,0.0,0.0,0.0,0.143,0,0,0,0
0.857,0.606,0.0396,0.301,0.0715,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.588,0.0233,0.353,0.056,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.586,0.0208,0.361,0.0536,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.586,0.0208,0.361,0.0536,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.586,0.0208,0.361,0.0536,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.568,0.0169,0.413,0.0505,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.857,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.981,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.566,0.0163,0.421,0.05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.588,0.0238,0.369,0.0882,0.0,0.0,0.0,0.0,0.232,0,0,0,0
1.0,0.591,0.0249,0.361,0.0941,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.613,0.0324,0.309,0.132,0.0,0.0,0.0,0.0,0.143,0,0,0,0
1.0,0.617,0.0335,0.301,0.138,0.0,0.0,0.0,0.0,0.24,0,0,0,0
1.0,0.661,0.0518,0.249,0.212,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.668,0.0546,0.241,0.223,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.668,0.0546,0.241,0.223,0.0,0.0,0.0,0.0,0.143,0,0,0,0
1.0,0.668,0.0546,0.241,0.223,0.0,0.0,0.0,0.0,0.0714,0,0,0,0
