Metric,Value
Total Electric Energy (kWh),60.953364647223175
Total Gas Energy (therms),0.0
Average Electric Power (kW),2.5397235269676326
Peak Electric Power (kW),7.025172538505863
Lighting Electric Energy (kWh),4.56531420800894
Water Heating Electric Energy (kWh),7.249700075555557
Other Electric Energy (kWh),4.44864897254757
HVAC Heating Electric Energy (kWh),43.48970139111111
HVAC Cooling Electric Energy (kWh),1.2
Average Temperature - Indoor (C),20.308991218669053
Unmet Heating Load (C-hours),1.2712054753273851
Unmet Cooling Load (C-hours),0.0
Total HVAC Heating Delivered (kWh),43.48970139111111
Average HVAC Heating COP (-),1.0
Average HVAC Heating Duct Efficiency (-),1.0
Total HVAC Cooling Delivered (kWh),0.0
Average HVAC Cooling COP (-),0.0
Total Hot Water Unmet Demand (kWh),0.0
