Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.8082676075129345,0.4648560275839129,0.0879125,0.8082676075129345,0.4648560275839129,0.0879125,0.048716263003722074,0.0,0.646986761175879,0.10256458333333335,0.010000000000000002,0.0879125,0.0,0.0,0.46193936091724624,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06977244475910051,0.05232933356932536,0.0,0.0,0.017184539473684212,0.0,0.002784468133892803,0.0,0.028747255396145054,0.0,0.03106761328621712,0.0,0.5461467031305614,0.4096100273479209,1381.3909522186927,20.0555555555556,0.20000000000000004,782.342755559085,2.5764614055555555,0.10256458333333335,0.25,2061.1691244444446,8244.676497777778,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,0.0,0.0,3.187110157417313e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.187110157417313e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.795680522655683,-0.049939278702120164,1.9306525138550676,2.642701966547938,2.8,9.236100170605994,1962.9581591414924,318.8994144990102,819.4272541557954,-448.4970611743598,0.0,0.0,1119.4700545160172,0.0,7.0,0.020245432345560987,0.0,0.0,0.5074642163441154,461.9972995555555,-89.40578641885801,0.37885969572060046,11.941427361045896,0.005327105082427073,178.8206666703962,1.2209210690177739,0.2718417272831999,307.4263296581613,11.473084840848887,0.11301779604572397,171.03543423242542,-133.9509356357152
2025-01-01 01:00:00,0.7878946943314703,0.45103389065530697,0.09963416666666668,0.7878946943314703,0.45103389065530697,0.09963416666666666,0.043378494103982444,0.0,0.6182763391163767,0.11623986111111112,0.010000000000000002,0.09963416666666668,0.0,0.0,0.4481172239886403,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06802813364012299,0.05102110023009222,0.0,0.0,0.015895699013157894,0.0,0.0024269198950639995,0.0,0.02505587519576055,0.0,0.020786707131522728,0.0,0.529461498344731,0.3970961237585481,1565.5764125145183,20.0555555555556,0.2266666666666667,886.6551229669633,2.919989592962963,0.11623986111111112,0.2833333333333333,2335.9916743703707,8244.676497777778,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,0.0,0.0,3.185059339235371e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.185059339235371e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.816185285544467,-0.03924684508318942,2.8864777120249334,4.276371779082933,2.5,9.236100170605994,2134.6489710490423,-125.34336683925973,563.5430820645327,-428.63562538678417,0.0,0.0,1086.5898278917834,0.0,7.0,0.01899115439640207,0.0,0.0,0.4760249679406506,461.9972995555555,-88.8816439704754,0.3854003675786453,12.052566309885378,0.005426783272939221,185.1151034626228,1.2208217852170689,0.2718417272831999,-137.16881802244473,11.825451183185006,0.09256888337882496,-203.3145705609268,-119.79747034150367
2025-01-01 02:00:00,0.7913209395979269,0.44884439649992086,0.10549500000000002,0.7913209395979268,0.44884439649992086,0.105495,0.043239832171132676,0.0,0.6150036074267943,0.1230775,0.010000000000000002,0.10549500000000002,0.0,0.0,0.4459277298332542,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06628382252114548,0.049712866890859096,0.0,0.0,0.015895699013157894,0.0,0.002414675092364383,0.0,0.024929458065610397,0.0,0.02043330098245511,0.0,0.5282864839231937,0.3962148629423951,1657.6691426624313,20.0555555555556,0.24000000000000005,938.8113066709022,3.0917536866666664,0.1230775,0.3,2473.4029493333337,8244.676497777778,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,0.0,0.0,3.187376004218676e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.187376004218676e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.793006013029217,-0.05868120327959889,2.673045322445314,4.575156235577296,1.6500000000000001,9.236100170605994,2231.7180214184314,-352.03202652595854,544.1253159046707,-425.79800345738965,0.0,0.0,1083.260685278859,0.0,7.0,0.017921207151197813,0.0,0.0,0.4492060820285315,461.9972995555555,-83.41380306546901,0.3935110568369811,12.152147695370608,0.005533890821462204,192.5892523389933,1.2208402915683416,0.2718417272831999,-364.17233116744353,12.140304641485079,0.07065163965109628,-272.429233638669,-122.25675712756241
2025-01-01 03:00:00,0.7340162903941541,0.4475361631606877,0.05860833333333334,0.7340162903941541,0.4475361631606877,0.05860833333333333,0.04238060519744847,0.0,0.6132592963078167,0.06837638888888889,0.010000000000000002,0.05860833333333334,0.0,0.0,0.44461949649402105,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06453951140216796,0.048404633551625956,0.0,0.0,0.015036472039473687,0.0,0.002414675092364383,0.0,0.024929458065610397,0.0,0.02043330098245511,0.0,0.5282864839231937,0.3962148629423951,920.9273014791286,19.222222222222253,0.13333333333333336,521.5618370393901,1.717640937037037,0.06837638888888889,0.16666666666666666,1374.1127496296297,8244.676497777778,0.0,20.222222222222253,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,0.0,0.0,3.2693014020424016e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.2693014020424016e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,18.973735082751126,-0.05396679216571402,2.4386724378774094,3.4177330701917423,1.6500000000000001,9.236100170605994,1523.6006644970298,-269.36396046741663,234.81927724060515,-410.1704695397723,0.0,-0.0012081963447133394,1080.657147186197,0.0,7.0,0.018101562410993647,0.0,4.947742687802872e-08,0.45372803774856163,461.9972995555555,-67.81210643217878,0.4219360646558661,11.917246464034873,0.005639009537567225,178.15537352811495,1.2241872837752052,0.2718417272831999,-280.83078196455546,11.466821497138831,0.07760330908442943,-171.42461727459067,-115.31794252419431
2025-01-01 04:00:00,0.7869730903862877,0.4462279298214546,0.10549500000000002,0.7869730903862876,0.4462279298214546,0.105495,0.04238060519744847,0.0,0.6115149851888392,0.1230775,0.010000000000000002,0.10549500000000002,0.0,0.0,0.4433112631547879,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06279520028319044,0.047096400212392815,0.0,0.0,0.015036472039473687,0.0,0.002414675092364383,0.0,0.024929458065610397,0.0,0.02043330098245511,0.0,0.5282864839231937,0.3962148629423951,1657.6691426624313,19.77777777777783,0.24000000000000005,938.8113066709022,3.0917536866666664,0.1230775,0.3,2473.4029493333337,8244.676497777778,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,0.0,0.0,3.217380365880571e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.217380365880571e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.492959925584636,-0.06042471032013281,2.3288010295446875,4.154526065595856,0.55,9.236100170605994,2184.331502319712,-625.6554867798299,458.93719900885566,-470.7880749570025,0.0,0.0,1078.9128360672198,0.0,7.0,0.018906620738997282,0.0,0.0,0.47390607981431093,461.9972995555555,-81.46240145293658,0.41498152081164225,12.225124879576127,0.005732555296425293,172.5030853009148,1.221373413262822,0.2718417272831999,-636.9991939566792,11.343707176849295,0.08139217729534072,-356.1901214913801,-123.6839861706664
2025-01-01 05:00:00,1.564841096923739,0.4603281028799028,0.08205166666666666,1.564841096923739,0.4603281028799028,0.08205166666666666,0.06331760303779511,0.756871074603506,0.6389254748379933,0.09572694444444446,0.010000000000000002,0.08205166666666666,0.0,0.0,0.4574114362132361,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06279520028319044,0.047096400212392815,0.0,0.0,0.01675492598684211,0.0,0.004111804746531236,0.0,0.042450872304421766,0.0,0.029043559887011666,0.0,0.5470867146677914,0.4103150360008433,1289.2982220707797,19.77777777777783,0.1866666666666667,730.1865718551461,2.404697311851852,0.09572694444444446,0.23333333333333334,1923.7578494814816,8244.676497777778,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,689.3581747488734,0.2277,3.2216058436378916e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.25205748157077995,689.3581747488734,689.3581747488734,3.2216058436378916e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.45071440587113,-0.06582200550398606,1.220709017575898,3.2298669857708804,-0.25000000000000006,9.236100170605994,1848.9259446979836,-514.1040064722723,282.08718678214314,-489.2993879588045,0.0,0.0,1125.9443074045987,0.0,7.0,0.01886129340373903,0.0,0.0,0.4727699222715533,461.9972995555555,-77.01719681859062,0.4230328699248661,12.304340698709881,0.005832295679626343,170.3174354665085,1.2208633744153772,0.2718417272831999,-526.8411926680888,12.73718619581638,0.07101782566872851,-314.79837866251546,-133.30100641048756
2025-01-01 06:00:00,1.7770198897634017,0.5100038971409401,0.09377333333333333,1.7770198897634017,0.5100038971409401,0.09377333333333333,0.1283072584395217,0.7675723365837612,0.7617380725178967,0.10940222222222223,0.010000000000000002,0.09377333333333333,0.0,0.0,0.5070872304742734,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06628382252114548,0.049712866890859096,0.0260567651851046,0.0,0.018902993421052634,0.0,0.009661149329997456,0.0,0.09974311568847163,0.0,0.05956500003376064,0.0,0.609832484777886,0.4573743635834144,1473.4836823666055,19.77777777777783,0.21333333333333337,834.4989392630242,2.748225499259259,0.10940222222222223,0.26666666666666666,2198.5803994074076,8244.676497777778,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,699.1048841604897,0.6831,3.2108836318103486e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.2556212762973591,699.1048841604897,699.1048841604897,3.2108836318103486e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.557935421708994,-0.04928191386758615,1.6391477301198665,3.030508377853079,0.3,9.236100170605994,2185.2738966950224,-466.48169520429894,429.02905608434713,-477.88928746266157,0.0,0.0,1271.2819550212785,0.0,6.566,0.018881874057102264,0.0,0.0,0.473285789008927,433.3534669831111,-81.60245323020028,0.4263853051783923,12.43561640515031,0.00591845275200829,136.16690018683985,1.2203534764426072,0.2718417272831999,-478.3915349164983,11.909839712199382,0.07735047642554167,-278.40691057061696,-127.06297260806005
2025-01-01 07:00:00,1.9267666570105773,0.5364144058555378,0.07619083333333335,1.926766657010577,0.5364144058555377,0.07619083333333333,0.15710805740739567,0.8506530432304699,0.820116250817156,0.08888930555555556,0.010000000000000002,0.07619083333333335,0.0,0.0,0.533497739188871,0.0,0.0029166666666666685,1.0,0.0,0.0,0.06977244475910051,0.05232933356932536,0.0260567651851046,0.0,0.01761415296052632,0.0,0.012318271515814248,0.0,0.12717563293105508,0.0,0.08272916671355644,0.0,0.6415578741593945,0.48116840561954566,1197.2054919228672,19.77777777777783,0.17333333333333337,678.0303881512071,2.232933218148148,0.08888930555555556,0.21666666666666667,1786.3465745185188,8244.676497777778,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,774.7747917743121,0.9107999999999999,3.22290122786247e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.2832892826291645,774.7747917743121,774.7747917743121,3.22290122786247e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.437751834063643,-0.06224794609350681,1.1975291412425888,2.5740143324561404,-0.55,9.236100170605994,1929.014665113193,-613.6983542637162,220.91882618273388,-508.84945028288143,0.0,0.0,1318.8183737677064,1.4625397484045695,5.999,0.019303574926561803,0.0,0.0,0.483855980724237,395.93168571911104,-78.15975029449928,0.4343267134811964,12.452947699979042,0.0059848267719691955,109.44639392791233,1.2208058346831667,0.2718417272831999,-626.1688616925783,12.47050742886208,0.07931452967331583,-331.16632998766374,-125.94523198080952
2025-01-01 08:00:00,2.524995345914391,0.5444202213975338,0.08205166666666666,2.524995345914391,0.5444202213975338,0.08205166666666666,0.16251825783845852,1.4364984945495334,0.8202516490819547,0.09572694444444446,0.010000000000000002,0.08205166666666666,0.0,0.0,0.5415035547308672,0.0,0.0029166666666666685,1.0,0.0,0.0,0.07151675587807801,0.0536375669085585,0.0,0.0,0.013318018092105265,0.0,0.013175407704787404,0.0,0.13602483204156587,0.0,0.09824690944079831,0.0,0.6504879837630783,0.48786598782230856,1289.2982220707797,19.77777777777783,0.1866666666666667,730.1865718551461,2.404697311851852,0.09572694444444446,0.23333333333333334,1923.7578494814816,8244.676497777778,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,1308.362828835715,0.6831,3.216284779199441e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.47839084484243405,1308.362828835715,1308.362828835715,3.216284779199441e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.503938639742668,-0.044457467210130434,0.5452809434930771,2.0593838198795944,-1.4,9.236100170605994,1982.5363973565838,-686.0233716600846,213.92756505207066,-552.5588636671272,0.0,0.0,1304.5236012036644,97.01965666136948,5.5649999999999995,0.01999329958940045,0.0,0.0,0.501144353703704,367.28785314666663,-58.72656225073327,0.43687934376372695,12.542450632180339,0.006042550755037096,89.96161685862792,1.2210609163271144,0.2718417272831999,-699.0397966369616,13.016424976876989,0.08516432727571996,-390.8529977671466,-125.40600903592897
2025-01-01 09:00:00,2.2784146258923452,0.5296150396861631,0.09963416666666668,2.2784146258923452,0.5296150396861631,0.09963416666666666,0.14122121598268686,1.2104100141666865,0.8005435346318605,0.11623986111111112,0.010000000000000002,0.09963416666666668,0.0,0.0,0.5266983730194964,0.0,0.0029166666666666685,1.0,0.0,0.0,0.07151675587807801,0.0536375669085585,0.0,0.0,0.010740337171052633,0.0,0.011522359340339171,0.0,0.11895851947129506,0.0,0.09827903727253172,0.0,0.6307477414812508,0.4730608061109379,1565.5764125145183,19.77777777777783,0.2266666666666667,886.6551229669633,2.919989592962963,0.11623986111111112,0.2833333333333333,2335.9916743703707,8244.676497777778,0.0,20.77777777777783,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,982.0812933333333,1102.441440903018,0.6830999999999999,3.216919675502873e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.40309758170997995,1102.441440903018,1102.441440903018,3.216919675502873e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.497557151274613,-0.062423666358312896,0.500167022167909,2.401199707761037,-0.85,9.236100170605994,2243.7557716490824,-472.8790487975196,419.34161870020364,-528.6983706565668,0.0,0.0,1227.4784805935265,260.3295497492956,4.997999999999999,0.01967310250620697,0.0,0.0,0.49311841683434005,329.86607188266663,-20.600750802395943,0.44041753592398064,12.587896671370254,0.006086086952639625,82.03837596735431,1.2216688750965399,0.2718417272831999,-484.8365864452246,11.957537647704957,0.08407094041849135,-364.0171305593125,-103.29637370744702
