occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.581,0.0272,0.0599,0.0599,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.581,0.0272,0.0599,0.0599,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.581,0.0221,0.0547,0.0547,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.581,0.0202,0.0529,0.0529,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.567,0.017,0.0503,0.0503,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.58,0.022,0.0812,0.0812,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.624,0.0366,0.156,0.156,0.0,0.0,0.0,0.389,0,0,0,0
1.0,0.638,0.0411,0.18,0.18,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.638,0.0411,0.18,0.18,0.0,0.0,0.0,0.0841,0,0,0,0
0.895,0.656,0.05,0.209,0.209,0.0,0.0,0.733,0.277,0,0,0,0
0.857,0.663,0.0532,0.22,0.22,0.0,0.0,1.0,0.0334,0,0,0,0
0.857,0.663,0.0532,0.22,0.22,0.0,0.0,1.0,0.0841,0,0,0,0
