occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.589,0.0173,0.337,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0
0.8,0.589,0.0173,0.337,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.589,0.0173,0.337,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.589,0.0173,0.337,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.597,0.0276,0.337,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0,0,0,0
1.0,0.597,0.0276,0.337,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0,0,0,0
1.0,0.633,0.0394,0.253,0.171,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0,0,0,0
1.0,0.668,0.0512,0.168,0.232,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.599,0,0,0,0
1.0,0.704,0.0682,0.168,0.288,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0,0,0,0
1.0,0.704,0.0682,0.168,0.288,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0757,0,0,0,0
1.0,0.704,0.0682,0.168,0.288,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0757,0,0,0,0
1.0,0.704,0.0682,0.168,0.288,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0,0,0,0
1.0,0.715,0.0821,0.168,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0,0,0,0
1.0,0.715,0.0821,0.168,0.305,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0,0,0,0
1.0,0.766,0.104,0.0842,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.766,0.104,0.0842,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.489,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.489,0.0,0.0,0.0,0.0,0.0,1.0,0.067,0,0,0,0
1.0,0.818,0.149,0.0,0.489,0.489,0.0,0.0,0.0,0.0,0.0,1.0,0.117,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0667,0.402,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.766,0.137,0.0842,0.39,0.39,0.0,0.0,0.149,1.0,0.0,0.0,0.0966,0,0,0,0
0.8,0.766,0.137,0.0842,0.39,0.39,0.0,0.0,0.0661,0.933,0.0667,0.0,0.0,0,0,0,0
0.8,0.766,0.152,0.0842,0.375,0.375,0.0,0.0,0.0661,0.0,1.0,0.0,0.198,0,0,0,0
0.8,0.766,0.152,0.0842,0.375,0.375,0.0,0.0,0.621,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.766,0.152,0.0842,0.375,0.375,0.0,0.0,0.391,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.766,0.152,0.0842,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.766,0.16,0.0842,0.365,0.365,0.0,0.0,0.48,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.766,0.16,0.0842,0.365,0.365,0.0,0.0,0.463,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.766,0.16,0.0842,0.365,0.365,0.0,0.0,0.198,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.766,0.16,0.0842,0.365,0.365,0.0,0.0,0.0661,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.715,0.139,0.168,0.284,0.284,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.715,0.139,0.168,0.284,0.284,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.664,0.0982,0.253,0.205,0.205,0.0,0.0,0.33,0.0,0.0,0.0,0.067,0,0,0,0
0.6,0.664,0.0982,0.253,0.205,0.205,0.0,0.0,0.48,0.0,0.0,0.0,0.201,0,0,0,0
0.6,0.664,0.103,0.253,0.209,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0,0,0,0
0.6,0.664,0.103,0.253,0.209,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.715,0.147,0.168,0.288,0.288,0.0,0.0,0.106,0.933,0.0667,0.0,0.0,0,0,0,0
0.8,0.766,0.191,0.0842,0.368,0.368,0.0,0.0,0.181,0.0,1.0,0.0,0.207,0,0,0,0
0.8,0.798,0.213,0.0842,0.406,0.406,0.0,0.0,0.092,0.0,1.0,0.0,0.067,0,0,0,0
0.8,0.798,0.213,0.0842,0.406,0.406,0.0,0.0,0.563,0.0,1.0,0.0,0.067,0,0,0,0
0.6,0.739,0.164,0.168,0.317,0.317,0.0,0.0,0.158,0.0,1.0,0.0,0.0,0,0,0,0
0.8,0.798,0.213,0.0842,0.406,0.406,0.0,0.0,0.397,0.0,1.0,0.0,0.0,0,0,0,0
0.8,0.844,0.265,0.0842,0.503,0.503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0
0.8,0.844,0.265,0.0842,0.503,0.503,0.0,0.0,0.216,0.0,0.467,1.0,0.134,0,0,0,0
0.8,0.844,0.265,0.0842,0.503,0.503,0.0,0.0,0.207,0.0,0.0,1.0,0.0,0,0,0,0
0.8,0.844,0.265,0.0842,0.503,0.503,0.0,0.0,0.595,0.0,0.0,1.0,0.268,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.639,1.0,0.0,0.0,0.0,0.0667,0.134,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.39,1.0,0.233,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.373,1.0,0.273,0.0,0.0,0.0,0.134,0,0,0,0
0.8,0.891,0.325,0.0842,0.663,0.663,0.434,1.0,0.172,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.907,0.436,0.0842,0.799,0.799,0.639,0.267,0.207,0.0,0.0,0.0,0.134,0,0,0,0
0.8,0.907,0.436,0.0842,0.799,0.799,0.325,0.0,0.224,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.907,0.436,0.0842,0.799,0.799,0.297,0.0,0.167,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.907,0.436,0.0842,0.799,0.799,0.402,0.0,0.0661,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.891,0.609,0.0842,0.792,0.792,0.422,0.0,0.149,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.891,0.609,0.0842,0.792,0.792,0.711,0.0,0.233,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.891,0.609,0.0842,0.792,0.792,0.329,0.0,0.379,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.891,0.609,0.0842,0.792,0.792,0.438,0.0,0.149,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.0842,0.649,0.649,0.257,0.0,0.348,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.0842,0.649,0.649,0.273,0.0,0.0172,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.86,0.752,0.0842,0.649,0.649,0.0,0.0,0.167,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.86,0.752,0.0842,0.649,0.649,0.0,0.0,0.299,0.0,0.0,0.0,0.067,0,0,0,0
0.8,0.798,0.712,0.0842,0.491,0.491,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.798,0.712,0.0842,0.491,0.491,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.739,0.538,0.168,0.381,0.381,0.0,0.0,0.506,0.0,0.0,0.0,0.183,0,0,0,0
0.8,0.739,0.538,0.168,0.381,0.381,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.648,0.224,0.253,0.239,0.239,0.0,0.0,0.638,0.0,0.0,0.0,0.124,0,0,0,0
0.8,0.648,0.224,0.253,0.239,0.239,0.0,0.0,0.193,0.0,0.0,0.0,0.062,0,0,0,0
0.8,0.648,0.224,0.253,0.239,0.239,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.648,0.224,0.253,0.239,0.239,0.0,0.0,0.379,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.593,0.0591,0.337,0.0892,0.0892,0.0,0.0,0.0489,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.593,0.0591,0.337,0.0892,0.0892,0.0,0.0,0.149,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.593,0.0591,0.337,0.0892,0.0892,0.0,0.0,0.603,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.593,0.0591,0.337,0.0892,0.0892,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0,0,0,0
