occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_dishwasher,dishwasher,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.822,0.583,0.0162,0.05,0.0,0.0,0.0,0.176,0,0,0,0
1.0,0.608,0.0166,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0166,0.05,0.0,0.0,0.0,0.176,0,0,0,0
1.0,0.586,0.0163,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.844,0.601,0.033,0.117,0.0,0.0,0.0,0.0881,0,0,0,0
0.667,0.647,0.0527,0.194,0.0,0.0,0.0,0.0881,0,0,0,0
0.667,0.647,0.0527,0.194,0.0,0.0,0.0,0.0881,0,0,0,0
0.667,0.647,0.0527,0.194,0.0,0.0,0.0,0.176,0,0,0,0
0.667,0.647,0.0563,0.196,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.647,0.0604,0.198,0.0,0.0,0.0,0.0881,0,0,0,0
0.667,0.647,0.0604,0.198,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.647,0.0604,0.198,0.0,0.0,0.0,0.0,0,0,0,0
0.511,0.607,0.0396,0.129,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.489,0.601,0.0423,0.114,0.0,0.0,0.0,0.328,0,0,0,0
0.667,0.647,0.074,0.186,0.0,0.0,0.0,0.0433,0,0,0,0
0.511,0.607,0.0479,0.121,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.562,0.0159,0.05,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.601,0.0479,0.112,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0845,0.182,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.647,0.0845,0.182,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0845,0.182,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0865,0.183,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.647,0.0888,0.185,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0888,0.185,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.647,0.0888,0.185,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.653,0.0932,0.192,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.66,0.0982,0.201,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.66,0.0982,0.201,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.66,0.0982,0.201,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.669,0.108,0.22,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.679,0.12,0.242,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.679,0.12,0.242,0.0,0.0,0.0,0.264,0,0,0,0
0.333,0.679,0.12,0.242,0.0,0.0,0.0,0.176,0,0,0,0
0.333,0.688,0.131,0.273,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.699,0.145,0.309,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.699,0.145,0.309,0.0,0.0,0.0,0.0881,0,0,0,0
0.333,0.699,0.145,0.309,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.702,0.166,0.336,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.367,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.367,0.0,0.0,0.0,0.0,0,0,0,0
