Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.17855993646827,51.666666666666686,46.10666666666668,0.0,50.28109606402836,0.0,0.0,0.0,38.17855993646827,48.26405406212758,50.28109606402836,47.25553306117719,12.43753247303448,15.525173034792111,0.0,0.04578399066660711,2.8,9.236100170605994,-835.7274665202483,544.8006934681956,-1328.8687077136472,-0.0,-0.0,453.0147422996189,0.0,4.0,0.08013103021013128,0.0,0,0.7499471623463747,263.9984568888889,40.12649889378004,0.28274310947750475,7.453710389297754,0.0030351839602394174,34.15601427336455,1.2371360531435809,0.2381144725485238,854.6758701929322,-309.87517672473655
2025-01-01 00:01:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.20953878640592,51.666666666666686,46.10666666666668,0.0,50.27732765488439,0.0,0.0,0.0,38.20953878640592,48.260839237509046,50.27732765488439,47.252595028821375,12.43753247303448,15.495312485066792,0.0,0.067251337217973,2.8,9.236100170605994,-836.643267373443,537.0061198909126,-1324.5464046808847,-0.0,-0.0,453.0147422996189,0.0,4.0,0.08005825709216749,0.0,0,0.7492660779628478,263.9984568888889,34.8883950078229,0.2841236125583311,7.461288777386544,0.0030353009539714473,34.283479522554245,1.2408781566185356,0.23791168968533855,847.2920349719774,-310.2859150810648
2025-01-01 00:02:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.240367807426296,51.666666666666686,46.10666666666668,0.0,50.273556531729014,0.0,0.0,0.0,38.240367807426296,48.25762180431728,50.273556531729014,47.249654440611415,12.43753247303448,15.465578095917909,0.0,0.08796064317006304,2.8,9.236100170605994,-837.5476099241318,530.1767876129436,-1320.2477485277054,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07998577672529723,0.0,0,0.7485877334399129,263.9984568888889,29.68539630395469,0.28467710117685985,7.447283257134396,0.003035418030173519,34.41034516836308,1.2410059094762147,0.2377159034264251,840.1791058890684,-310.00231827612475
2025-01-01 00:03:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.27103847697983,51.666666666666686,46.10666666666668,0.0,50.26978270812528,0.0,0.0,0.0,38.27103847697983,48.254401775168624,50.26978270812528,47.2467113086903,12.43753247303448,15.435977204941123,0.0,0.10812288943843605,2.8,9.236100170605994,-838.5434217853342,524.3642612863707,-1315.973732066995,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07991360723147661,0.0,0,0.7479122983811495,263.9984568888889,24.415567982041715,0.28522938977940787,7.432800128653074,0.003035535527518039,34.53648572565709,1.2411331142035578,0.2375251340389168,833.2636819437022,-308.8994206573314
2025-01-01 00:04:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.30154703439102,51.666666666666686,46.10666666666668,0.0,50.266006198406636,0.0,0.0,0.0,38.30154703439102,48.251179163397055,50.266006198406636,47.243765645892275,12.43753247303448,15.40651305770489,0.0,0.1279217366760591,2.8,9.236100170605994,-837.8377187614674,519.2754639512638,-1311.7247533401844,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07984175676579455,0.0,0,0.7472398491101215,263.9984568888889,20.872292279098183,0.28578040575973856,7.418931340579835,0.0030356534434947575,34.661884140205814,1.2412597564960146,0.23733765381114613,826.4821360023541,-307.2066720510903
2025-01-01 00:05:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.33185395098045,51.666666666666686,46.10666666666668,0.0,50.262227017246396,0.0,0.0,0.0,38.33185395098045,48.24795398265323,50.262227017246396,47.240817465356656,12.43753247303448,15.377219641432438,0.0,0.14750507650277417,2.8,9.236100170605994,-835.236850226765,514.3805684486932,-1307.505633297808,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07977030847603547,0.0,0,0.746571163807826,263.9984568888889,19.254040771424044,0.2863295107778601,7.404607393961035,0.003035771775537893,34.78636117780988,1.2413856897734077,0.23715206847579656,819.7834195767529,-305.40285112805964
2025-01-01 00:06:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.36191842406153,51.666666666666686,46.10666666666668,0.0,50.25844518289161,0.0,0.0,0.0,38.36191842406153,48.244726249916305,50.25844518289161,47.23786678342866,12.43753247303448,15.34813204177048,0.0,0.1669797175116137,2.8,9.236100170605994,-832.003969087612,509.6169992138061,-1303.3213269535781,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07969934825312094,0.0,0,0.7459070463283093,263.9984568888889,18.302615566347313,0.286876040849313,7.39039229161369,0.0030358905204852116,34.90973169170519,1.2415107626124322,0.23696736910934216,813.1307843654822,-303.51378515167613
2025-01-01 00:07:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.39172846473537,51.666666666666686,46.10666666666668,0.0,50.254660717278234,0.0,0.0,0.0,38.39172846473537,48.241495985601226,50.254660717278234,47.23491361976273,12.43753247303448,15.319260583273195,0.0,0.18643228977347942,2.8,9.236100170605994,-828.7162142934694,505.4063894785497,-1299.1732096791404,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07962890162860267,0.0,0,0.7452477356216354,263.9984568888889,17.442253086052133,0.2874197836598359,7.376832763358413,0.0030360096745587375,35.03194113187325,1.2416349300487757,0.23678273521745483,806.4945573772991,-301.08816789874936
2025-01-01 00:08:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.42128490245398,51.666666666666686,46.10666666666668,0.0,50.25087364342594,0.0,0.0,0.0,38.42128490245398,48.23826321113247,50.25087364342594,47.23195799498574,12.43753247303448,15.290604574551079,0.0,0.20595001532659843,2.8,9.236100170605994,-825.4619130104962,501.3417578425556,-1295.0610704833946,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07955896726312377,0.0,0,0.7445932191527486,263.9984568888889,16.584415173279467,0.2879607291594925,7.36284562659954,0.0030361292338006458,35.15299308853295,1.2417581945108744,0.23659733811604344,799.8450222473621,-298.5032644048065
2025-01-01 00:09:00,0.24694950076204197,0.14786980121674928,0.0,0.0041158250127007,0.0024644966869458215,0.0,0.015264704996000498,0.0,0.18168479576604146,0.0,0.05,0.0,0.0,0.0,0.13328646788341594,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.004021034356725146,0.0,On,0.011243670639275352,0,On,0.0039695052548201475,0,On,0.11333164787588497,0.0849987359069137,On,0,0,Off,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,18186.5278,Off,0.0,26.666666666666686,0,0.0,0.05,0.0,0.0,0,0,0,12466.072782222222,Off,0.0,0.0,38.45059054864584,51.666666666666686,46.10666666666668,0.0,50.24708398427916,0.0,0.0,0.0,38.45059054864584,48.235027947864666,50.24708398427916,47.22899992965743,12.43753247303448,15.262161620671685,0.0,0.22559105566552565,2.8,9.236100170605994,-822.2773922779413,497.3903393021181,-1290.9844555963173,-0.0,-0.0,453.0147422996189,0.0,4.0,0.07948953965366864,0.0,0,0.7439434454188676,263.9984568888889,15.692321018757127,0.2884988990645982,7.3489714881087345,0.0030362491942672017,35.27290015340927,1.2418805657686818,0.23641062288647807,793.1625033693927,-295.77216406727456
