Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,9.964674834953083,0.12145402245580642,0.0,0.16607791391588472,0.0020242337075967736,0.0,0.009715633392971728,3.499855208888889,0.16609101933788936,6.2890129733333335,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,On,6289.012973333333,20.000000000000057,1.0,0.0,6.2890129733333335,0.0,1,6289.012973333333,6289.012973333333,Lower On,3499.855208888889,1.0,35.39457652330839,51.666666666666686,46.10666666666668,0.0,50.96144814159692,0.0,0.0,3499.855208888889,35.39457652330839,50.3433807488485,50.96144814159692,50.034347052474295,12.43753247303448,20.178489822306478,0.0,6.175999531954072,2.8,9.236100170605994,4636.5943396653365,-1159.5846053731213,-1870.4608319877707,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08258837718637978,0.0,0,1.5051163496932538,65.99961422222222,-16.536080948703635,0.19655564165467423,9.397947317440675,0.002827673744700777,-70.56968899210439,1.2176627375092177,0.26952428004636025,-1185.8176884657837,26.233083092662447
2025-01-01 00:01:00,3.67566186161975,0.12145402245580642,0.0,0.06126103102699584,0.0020242337075967736,0.0,0.009715633392971728,3.499855208888889,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Lower On,3499.855208888889,1.0,35.88022755468137,51.666666666666686,46.10666666666668,0.0,50.9561041629974,0.0,0.0,3499.855208888889,35.88022755468137,50.82958877369299,50.9561041629974,50.76633107904079,12.43753247303448,20.232764927567747,0.0,6.210899556957899,2.8,9.236100170605994,-1663.9124567950412,-1172.5383171573149,-1879.5176370577237,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08272989622259938,0.0,0,1.507695436756876,65.99961422222222,-18.97309900579569,0.19643613434659912,9.445835369790922,0.0028271955274258337,-70.65634066213535,1.2209941176805708,0.2696089197118881,-1198.4525362014585,25.91421904414374
2025-01-01 00:02:00,3.67566186161975,0.12145402245580642,0.0,0.06126103102699584,0.0020242337075967736,0.0,0.009715633392971728,3.499855208888889,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Lower On,3499.855208888889,1.0,36.63847785287817,51.666666666666686,46.10666666666668,0.0,51.31572864148396,0.0,0.0,3499.855208888889,36.63847785287817,51.315728641483965,51.31572864148397,51.31572864148396,12.43753247303448,20.063455309262974,0.0,6.243630778530393,2.8,9.236100170605994,-1632.5354365791575,-1184.6747311838235,-1851.3231863194708,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08228806756951028,0.0,0,1.4996434135523684,65.99961422222222,-15.790529528164612,0.19847139443900888,9.368322924785897,0.0028267180293315604,-69.86890653810816,1.2216995057021152,0.26968827544887064,-1210.30910063118,25.63436944735649
2025-01-01 00:03:00,0.1758066527308611,0.12145402245580642,0.0,0.002930110878847685,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Off,0.0,0.0,37.11642536368404,51.666666666666686,46.10666666666668,0.0,51.80176209519813,0.0,0.0,0.0,37.11642536368404,51.80176209519813,51.801762095198136,51.80176209519813,12.43753247303448,19.900354443740298,0.0,6.274372140231183,2.8,9.236100170605994,-1602.8762390142383,-1196.0596159104352,-1824.3243516021676,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08186142325992428,0.0,0,1.4918681145606918,65.99961422222222,-13.130166680548705,0.20045371016505786,9.293264747437512,0.002826246125371989,-69.10699244364834,1.222379806018643,0.2697627855797132,-1221.4509266983684,25.391310787933236
2025-01-01 00:04:00,0.1758066527308611,0.12145402245580642,0.0,0.002930110878847685,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Off,0.0,0.0,37.29336030824968,51.666666666666686,46.10666666666668,0.0,51.79624542224012,0.0,0.0,0.0,37.29336030824968,51.79655311585607,51.796706962664054,51.79624542224012,12.43753247303448,19.74306155432527,0.0,6.303279847662305,2.8,9.236100170605994,-1573.6015813159622,-1206.7623659284664,-1798.4376854703671,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08144901824772846,0.0,0,1.4843523169666721,65.99961422222222,-9.742175114073113,0.20238581307021325,9.220469141576963,0.002825779627250647,-68.36904567836253,1.2230366071200662,0.2698328325754119,-1231.933528394155,25.171162465688674
2025-01-01 00:05:00,0.1758066527308611,0.12145402245580642,0.0,0.002930110878847685,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Off,0.0,0.0,37.46385624706888,51.666666666666686,46.10666666666668,0.0,51.79070251991427,0.0,0.0,0.0,37.46385624706888,51.79131930517689,51.7916276978082,51.79070251991427,12.43753247303448,19.591278089937013,0.0,6.3304914375256,2.8,9.236100170605994,-1544.9195109014208,-1216.8307315341146,-1773.598472773402,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08105016436968364,0.0,0,1.477083479468763,65.99961422222222,-5.899317396496848,0.2042693891903241,9.150495265320068,0.0028253183583927355,-67.65390833765163,1.2236710801200188,0.2698987530551472,-1241.8058246602304,24.975093126115684
2025-01-01 00:06:00,0.1758066527308611,0.12145402245580642,0.0,0.002930110878847685,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Off,0.0,0.0,37.628227458107496,51.666666666666686,46.10666666666668,0.0,51.785134345572565,0.0,0.0,0.0,37.628227458107496,51.78606156682109,51.786525177445355,51.785134345572565,12.43753247303448,19.44473483533776,-0.05526516466229836,6.356130266763233,2.8,9.236100170605994,-1517.2276008782476,-1226.3100246302931,-1749.7483310941495,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08066424163952989,0.0,0,1.4700503032439558,65.99961422222222,-2.0575490525760927,0.20610593842382663,9.082513072585588,0.002824862151053714,-66.96053282954092,1.2242842810118653,0.2699608487707901,-1251.111736976942,24.801712346648962
2025-01-01 00:07:00,0.1758066527308611,0.12145402245580642,0.0,0.002930110878847685,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,0.0,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,6289.012973333333,Off,0.0,0.0,37.78677354156682,51.666666666666686,46.10666666666668,0.0,51.77954180984336,0.0,0.0,0.0,37.78677354156682,51.78078076034291,51.781400235592685,51.77954180984336,12.43753247303448,19.303175146470156,-0.19682485352990042,6.380307745428006,2.8,9.236100170605994,-1490.6446657786958,-1235.2416304588428,-1726.8322959514617,-0.0,-0.0,234.57827926847804,0.0,1.0,0.08029065515514262,0.0,0,1.463241946610349,65.99961422222222,1.6093509042881209,0.20789696703530092,9.016404455357826,0.0028244108454766816,-66.28791669517894,1.2248772198717361,0.27001939210017034,-1259.890975581599,24.649345122756024
2025-01-01 00:08:00,6.464819626064195,0.12145402245580642,0.0,0.10774699376773657,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,6.2890129733333335,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,On,6289.012973333333,20.000000000000057,1.0,0.0,6.2890129733333335,0.0,1,6289.012973333333,6289.012973333333,Off,0.0,0.0,37.93977508095156,51.666666666666686,46.10666666666668,0.0,51.77392577881354,0.0,0.0,0.0,37.93977508095156,51.775477703250196,51.77625366546852,51.77392577881354,12.43753247303448,19.166358681945262,-0.333641318054795,6.403125107333311,2.8,9.236100170605994,4823.86333289476,-1243.6632523598896,-1704.7992970029204,-0.0,-0.0,234.57827926847804,0.0,1.0,0.07992884565019766,0.0,0,1.4566482173239854,65.99961422222222,5.071377295868729,0.20964392587082606,8.952743278913607,0.0028239642895214823,-65.63511783902742,1.2254508446092935,0.27007463040430313,-1268.1796626137118,24.51641025382225
2025-01-01 00:09:00,6.464819626064195,0.12145402245580642,0.0,0.10774699376773657,0.0020242337075967736,0.0,0.009715633392971728,0.0,0.16609101933788936,6.2890129733333335,0.0,0.0,0.12145402245580642,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.05868172968480915,0.04401129726360685,On,0,0,Off,0.003122880116959065,0.0,On,0.006592753276012663,0,On,0.004152322730147431,0,On,0.10325696692293279,0.07744272519219957,On,0,0,Off,On,6289.012973333333,20.000000000000057,1.0,0.0,6.2890129733333335,0.0,1,6289.012973333333,6289.012973333333,Off,0.0,0.0,37.82911957709193,51.666666666666686,46.10666666666668,0.0,51.76828707685558,0.0,0.0,0.0,37.82911957709193,51.77015317367326,51.771086222082104,51.76828707685558,12.43753247303448,19.256132802021785,-0.24386719797827183,6.424674781455575,2.8,9.236100170605994,4807.037455390197,-1251.6094617271299,-1719.2437829005332,-0.0,-0.0,234.57827926847804,0.0,1.0,0.0801663346134389,0.0,0,1.4609762902759387,65.99961422222222,2.689985688918668,0.20844176087500416,8.993925692026004,0.0028235223381898205,-65.87616154233486,1.2250749351112704,0.2701267894050422,-1276.0108139239221,24.401352196792146
