Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.7442862684721251,0.1387301372244143,0.4266150000000001,0.7442862684721251,0.1387301372244143,0.4266150000000001,0.026962166830450808,0.0,0.1696066016416743,0.4977174999999999,0.05,0.4266150000000001,0.0,0.0,0.12414680389108096,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.003974278143274853,0.0,0.011493944343587978,0.0,0.011493944343587978,0.0,0.004077529786899625,0.0,0.12786879741355175,0.09590159806016378,0.0,0.0,8146.433260853044,19.500000000000057,0.4799999999999999,2353.5668044802887,12.502853206666668,0.4977174999999999,0.6,10002.282565333333,16670.470942222222,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,0.0,0.0,3.244114481641228e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.244114481641228e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.225628418896353,-0.05169274620248317,1.1514953925423224,2.8,9.236100170605994,2674.328540819152,2151.428289329994,-4091.295025735411,0.0,0.0,385.61679531984316,0.0,3.0,0.19109905033039457,0.0,0.0,1.8349665697552184,197.99884266666666,-137.13983744771576,0.20710412454552418,8.951699180932268,0.00279950548791725,-113.35951866738607,1.2251624150076372,0.0,0.0,106.32906132973828
2025-01-01 01:00:00,0.7845231490836821,0.13802400707864138,0.4621662500000001,0.7845231490836821,0.13802400707864138,0.4621662500000001,0.026664095969705197,0.0,0.16866509478064373,0.5391939583333333,0.05,0.4621662500000001,0.0,0.0,0.12344067374530802,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03671876758019234,0.027539075685144247,0.0,0.0,0.003676207282529239,0.0,0.011493944343587978,0.0,0.011493944343587978,0.0,0.004077529786899625,0.0,0.12786879741355175,0.09590159806016378,0.0,0.0,8825.302699257465,19.500000000000057,0.5199999999999999,2549.697371520313,13.544757640555558,0.5391939583333333,0.65,10835.806112444443,16670.470942222222,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,0.0,0.0,3.251013288697714e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.251013288697714e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.156636376300572,-0.0717701587933084,2.587345989992058,2.5,9.236100170605994,3504.3042888946384,-2459.064695366098,-3804.8675858974434,0.0,0.0,384.377217598067,0.0,3.0,0.17542343317273015,0.0,0.0,1.6844465467887806,197.99884266666666,-135.44750221195744,0.20644647122746754,8.895919018448343,0.002778351018007086,-71.70241576263354,1.2255268285166534,0.0,0.0,97.18321431757597
2025-01-01 02:00:00,0.6729777533337628,0.13731787693286845,0.36736291666666676,0.6729777533337628,0.13731787693286845,0.36736291666666676,0.026664095969705197,0.0,0.16772358791961314,0.4285900694444444,0.05,0.36736291666666676,0.0,0.0,0.1227345435995351,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.003676207282529239,0.0,0.011493944343587978,0.0,0.011493944343587978,0.0,0.004077529786899625,0.0,0.12786879741355175,0.09590159806016378,0.0,0.0,7014.984196845677,19.500000000000057,0.4133333333333333,2026.6825260802486,10.766345816851851,0.4285900694444444,0.5166666666666667,8613.076653481481,16670.470942222222,0.0,20.500000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,0.0,0.0,3.250820921291759e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.250820921291759e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,19.158563829437128,-0.07307449084308365,1.7310504156386748,1.6500000000000001,9.236100170605994,2164.2149944694374,-3527.9311546951676,-3701.9652737368037,0.0,0.0,383.4357107370364,0.0,3.0,0.16151405774326652,0.0,0.0,1.5508862864153625,197.99884266666666,-129.2428000073373,0.20576065900764343,8.886545376676231,0.00276939802183551,-14.517676113119585,1.2255254669541205,0.0,0.0,110.43882126301932
2025-01-01 03:00:00,0.505931699232235,0.1366117467870955,0.2251579166666667,0.5059316992322351,0.1366117467870955,0.2251579166666667,0.026465382062541454,0.0,0.16678208105858255,0.2626842361111111,0.05,0.2251579166666667,0.0,0.0,0.12202841345376217,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483575385813119,0.026126815393598384,0.0,0.0,0.003477493375365497,0.0,0.011493944343587978,0.0,0.011493944343587978,0.0,0.004077529786899625,0.0,0.12786879741355175,0.09590159806016378,0.0,0.0,4299.506443227995,18.111111111111168,0.2533333333333333,1242.1602579201524,6.598728081296297,0.2626842361111111,0.31666666666666665,5278.982465037037,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,0.0,0.0,3.374189523736643e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.374189523736643e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.92486825947471,-0.04466101384799467,1.5198045385014132,1.6500000000000001,9.236100170605994,269.24842895986984,-1726.0437659835954,-3464.2339888064243,0.0,-0.6836252445746929,382.29548996884205,0.0,3.0,0.16284025447247516,0.0,2.931243751429629e-05,1.5639021229756855,197.99884266666666,-87.7346015403697,0.22206353488414474,8.30513452830764,0.002766086584672832,-73.89121075143554,1.2307232536524837,0.0,0.0,108.82483555515871
2025-01-01 04:00:00,0.6847215118156489,0.13590561664132259,0.3792133333333334,0.684721511815649,0.13590561664132259,0.3792133333333334,0.026465382062541454,0.0,0.165840574197552,0.4424155555555555,0.05,0.3792133333333334,0.0,0.0,0.12132228330798923,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.0,0.0,0.003477493375365497,0.0,0.011493944343587978,0.0,0.011493944343587978,0.0,0.004077529786899625,0.0,0.12786879741355175,0.09590159806016378,0.0,0.0,7241.274009647151,18.111111111111168,0.42666666666666664,2092.0593817602567,11.113647294814816,0.4424155555555555,0.5333333333333333,8890.917835851851,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,0.0,0.0,3.385480582293907e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.0,0.0,0.0,3.385480582293907e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.81195617035929,-0.057255593648572516,0.669614909854302,0.55,9.236100170605994,2300.748319603797,-6094.348522710501,-3767.0785820836495,0.0,0.0,381.3539831078115,0.0,3.0,0.1663308064804373,0.0,0.0,1.5971375518839133,197.99884266666666,-106.54628913808509,0.2218798112456686,8.224741812659385,0.0027458838036960114,9.901350674332283,1.230636990644102,0.0,0.0,127.56350279435816
2025-01-01 05:00:00,1.2098750195713708,0.1402143628175132,0.40291416666666674,1.2098750195713708,0.14021436281751323,0.40291416666666674,0.04180726895240625,0.2036544258939791,0.4443467969472076,0.47006652777777774,0.05,0.40291416666666674,0.0,0.0,0.12563102948417987,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389424699710062,0.025420685247825456,0.27093403289639134,0.0,0.0038749211896929826,0.0,0.018966173881356633,0.0,0.018966173881356633,0.0,0.005904724738576343,0.0,0.13361379231513926,0.10021034423635442,0.0,0.0,7693.853635250098,18.111111111111168,0.4533333333333333,2222.8130931202727,11.808250250740741,0.47006652777777774,0.5666666666666667,9446.600200592593,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,185.4884511042362,0.4554,3.386148502065743e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.06782214755461555,185.4884511042362,185.4884511042362,3.386148502065743e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.805276088891784,-0.0604006354227493,-0.3306741573369703,-0.25000000000000006,9.236100170605994,2728.678374495487,-2062.6554678702055,-3910.878383782263,0.0,0.0,598.9384138932312,0.0,3.0,0.1645837224209387,0.0,0.0,1.58036174458299,197.99884266666666,-114.46456381555933,0.22356652775717725,8.242343266915185,0.0027670288052770264,53.011396154336055,1.230032000419749,0.0,0.0,132.75370335709425
2025-01-01 06:00:00,1.792880815838049,0.15067072399373643,0.3792133333333334,1.7928808158380487,0.15067072399373643,0.3792133333333334,0.08981857415080707,1.0182721294698955,0.1923745566617906,0.4424155555555555,0.05,0.3792133333333334,0.0,0.0,0.1360873906604031,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03577726071916177,0.02683294553937132,0.0,0.0,0.004371705957602339,0.0,0.042723434096602377,0.0,0.042723434096602377,0.0,0.010924702447919748,0.0,0.1456725934947091,0.10925444512103179,0.0,0.0,7241.274009647151,18.111111111111168,0.42666666666666664,2092.0593817602567,11.113647294814816,0.4424155555555555,0.5333333333333333,8890.917835851851,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,927.4422555211809,0.4554,3.387838526257446e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.33911073777307776,927.4422555211809,927.4422555211809,3.387838526257446e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.788431871435396,-0.05651316003851565,0.37249432912110236,0.3,9.236100170605994,2316.4631864956295,-3585.3789351624077,-3792.2204266693834,0.0,0.0,438.1170782653014,0.0,2.5170000000000003,0.16501060098210668,0.0,0.0,1.5844607073341608,166.12102899733333,-122.45267281800929,0.22297992046215492,8.222600785696514,0.0027568929388613567,-94.34999822193784,1.2301105051379602,0.0,0.0,125.50757232622321
2025-01-01 07:00:00,1.011038808482536,0.14564119544761117,0.3792133333333334,1.011038808482536,0.14564119544761114,0.3792133333333334,0.05903707077638747,0.27658472705871495,0.1830014550918779,0.4424155555555555,0.05,0.3792133333333334,0.0,0.0,0.13105786211427783,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.004073635096856725,0.0,0.027481717839765375,0.0,0.027481717839765375,0.0,0.008257638939507416,0.0,0.13708354171114756,0.10281265628336064,0.0,0.0,7241.274009647151,18.111111111111168,0.42666666666666664,2092.0593817602567,11.113647294814816,0.4424155555555555,0.5333333333333333,8890.917835851851,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,251.9133694050776,0.22769999999999999,3.3846739604431126e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.09210980850322789,251.9133694050776,251.9133694050776,3.3846739604431126e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.82004031779605,-0.06222678820016832,-0.46722154481107936,-0.55,9.236100170605994,1872.2893103877234,-4603.439574581015,-4112.366168198129,0.0,0.0,316.04768926448503,4.379585938028111,1.2667500000000003,0.16972798127356187,0.0,0.0,1.629757819573476,83.605011316,-124.4114183963531,0.22104663372866665,8.215657658121083,0.0027382335774343565,-55.91660726866326,1.2299910226244368,0.0,0.0,138.33036240584713
2025-01-01 08:00:00,1.5971951261006025,0.1539409574682547,0.47401666666666675,1.5971951261006025,0.1539409574682547,0.47401666666666675,0.09260693428188556,0.7017821432833063,0.19978660409096627,0.5530194444444444,0.05,0.47401666666666675,0.0,0.0,0.13935762413492137,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0030800655610380115,0.0,0.044763434360423765,0.0,0.044763434360423765,0.0,0.013976438577737707,0.0,0.14720838421097507,0.11040628815823127,0.0,0.0,9051.592512058938,18.111111111111168,0.5333333333333333,2615.074227200321,13.89205911851852,0.5530194444444444,0.6666666666666666,11113.647294814815,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,639.1831761024355,0.4554000000000001,3.381645619179431e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.2337114544111752,639.1831761024355,639.1831761024355,3.381645619179431e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.8503303166267,-0.045307412367641756,-1.3073245228655246,-1.4,9.236100170605994,3025.7543005179123,-4691.99880044851,-4490.606533268648,0.0,0.0,348.0225660860835,269.94313726339425,0.9990000000000001,0.17641432068940313,0.0,0.0,1.6939612223684815,65.933614608,-72.93574194667426,0.2208441375625537,8.235436945482379,0.002739788253738762,91.0455722547457,1.230439146685581,0.0,0.0,148.66945306348882
2025-01-01 09:00:00,1.5709514200851098,0.14690191668536903,0.41476458333333344,1.5709514200851098,0.146901916685369,0.41476458333333344,0.060816274240474005,0.7898489220482704,0.18639420990747674,0.48389201388888886,0.05,0.41476458333333344,0.0,0.0,0.13231858335203567,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03860178130225349,0.02895133597669011,0.0,0.0,0.0024839238395467835,0.0,0.029166175200463614,0.0,0.029166175200463614,0.0,0.009969432104762447,0.0,0.13782299650046081,0.10336724737534557,0.0,0.0,7920.143448051571,18.111111111111168,0.4666666666666666,2288.189948800281,12.155551728703704,0.48389201388888886,0.5833333333333334,9724.441382962961,16670.470942222222,0.0,19.111111111111168,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8498.18300888889,719.3943982015646,0.6831,3.391732936314106e-05,51.66666666666668,46.10666666666668,0.0,51.66666666666668,0.2630399506510089,719.3943982015646,719.3943982015646,3.391732936314106e-05,51.66666666666668,51.66666666666668,51.66666666666668,12.43753247303448,17.74945859219004,-0.07188144796237696,-0.9170649556342837,-0.85,9.236100170605994,2400.6474633860203,-2122.417656248094,-4250.154924988991,0.0,0.0,271.62857527371847,785.4746144238634,0.5161500000000001,0.17295940941389995,0.0,0.0,1.6607865588572923,34.0657008808,43.059054660035535,0.22520415438400068,8.232786137075607,0.0027749147059453845,225.73203788665373,1.2314575674102948,0.0,0.0,138.7887752609098
