Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.559759469137758,1.003034646178744,0.0,1.5597594691377579,1.003034646178744,0.0,0.03549218855022609,0.2914875521326491,1.2327797284548827,0.0,0.0,0.0,0.2067376066655461,0.7962970395131979,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.006816077302631578,0.0,0.0009196752704211589,0.0,0.027756435977173356,0.0,0.015837409911920883,0.0,0.23170476302591358,0.1737785722694351,0.0,0.0,0.0,0.0,79.46731656662915,51.66666666666668,46.10666666666668,0.0,51.3112177881189,0.0,0.0,0.0,124.16768213535806,51.34275975794871,51.35853074286363,51.3112177881189,12.43753247303448,3412.869991328844,21.722222222222285,2.797415909202755,0.0,1.2130401995993456,0.01973952885553709,1.9128693607324163,3393.1304624733075,6037.9946752542955,0.0,0.0,22.722222222222285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8914.972152736866,21.726633007298947,0.0,5.427936329249836,1.7880389258102638,-0.8911058756975646,2.8,9.236100170605994,2756.1927371284796,-2200.973926501996,485.5950246393743,1724.148426971545,-1067.318284174239,0.0,0.0,466.9814941350612,0.0,2.367,0.043271598247059014,0.0,0.0,0.31558280485106366,156.221086864,-56.340464161186624,0.177620350734652,10.091174421699469,0.0028023138961627172,64.6613877447336,1.2147677333176974,0.6689502437125832,-2291.536599322806,90.56267282081005,0.3624556363775999,478.00926781123223,7.5857568281420855,0.41684892871080925,2014.1679099457683,-290.01948297422337
2025-01-01 01:00:00,1.5992844561967716,1.0255871844094273,0.0,1.5992844561967716,1.0255871844094273,0.0,0.037682800514614714,0.30622874727203175,1.255372908410125,0.0,0.0,0.0,0.21469639234150675,0.8108907920679205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042846744714944256,0.03213505853620819,0.0,0.0,0.006304871504934209,0.0,0.0010063256170989555,0.0,0.03037160339258155,0.0,0.019966890816689318,0.0,0.24341511174039818,0.18256133380529857,0.0,0.0,0.0,0.0,77.4970650972296,51.66666666666668,46.10666666666668,0.0,50.57059127200708,0.0,0.0,0.0,121.08916421442126,50.60896131369217,50.62814633453472,50.57059127200708,12.43753247303448,3423.0221434424184,21.722222222222285,2.7555985063091075,0.0,1.2353679279287266,0.020004980481398715,1.948758575244038,3403.01716296102,5956.316690572526,0.0,0.0,22.722222222222285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8908.902892074506,21.726853141879765,0.0,5.857703448289134,2.8225691519540437,0.6479768193444361,2.5,9.236100170605994,2825.172164724522,-2117.658297058535,-147.10443257897694,559.4427719540643,-1062.13246303061,0.0,0.0,524.8713326314853,0.0,3.0,0.04235843280570948,0.0,0.0,0.3089230251584166,197.99884266666666,-60.58884831877187,0.17851413576313332,10.107177335906156,0.0028163798885732713,98.78813595387653,1.2148154873214947,0.5207620857961771,-2195.7510658771253,78.09276881858965,0.3624556363775999,-154.4750801483983,7.370647569421381,0.30810400217522893,799.0808183472355,-239.63804639317127
2025-01-01 02:00:00,1.667184934514617,1.0779455885369162,0.0,1.667184934514617,1.0779455885369162,0.0,0.03106334699750403,0.2798207621130941,1.356300825404019,0.0,0.0,0.0,0.20186180241546595,0.8760837861214502,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.006304871504934209,0.0,0.0007940322677383538,0.0,0.023964443224831468,0.0,0.010671692225806063,0.0,0.2274009596522141,0.17055071973916053,0.0,0.0,0.0,0.0,75.57832114503438,51.66666666666668,46.10666666666668,0.0,49.858365302363495,0.0,0.0,0.0,118.09112678911622,49.893337983913966,49.9108243246892,49.858365302363495,12.43753247303448,3535.9027299448353,21.722222222222285,2.635757779194646,0.0,1.3346929025816932,0.02160792282232575,2.128593532258041,3514.2948071225096,5721.24566309109,0.0,0.0,22.722222222222285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8888.554588351391,21.726403629460172,0.0,6.250600973777141,2.7063400962191198,0.9610326654160447,1.6500000000000001,9.236100170605994,2864.704097760809,-2054.0762546125493,-492.99678901332146,-64.32002348099596,-1105.6768803212074,0.0,0.0,492.96488460160975,0.0,3.0,0.042068280003028466,0.0,0.0,0.3068069203918983,197.99884266666666,-58.486636464428905,0.17956341718976773,10.125182003554267,0.0028329314022810825,105.46365680777886,1.2148052065502282,0.353785947879621,-2115.8108325548196,61.734577942270484,0.3624556363775999,-501.3895451547754,8.392756141453955,0.18327983780569762,190.54140084348808,-254.86142432448403
2025-01-01 03:00:00,1.6736521171482723,1.0828673219641904,0.0,1.6736521171482723,1.0828673219641904,0.0,0.03018217957995525,0.27548482890667214,1.367985108661645,0.0,0.0,0.0,0.19923623444564245,0.8836310875185479,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04064947575520353,0.030487106816402636,0.0,0.0,0.005964067639802631,0.0,0.0007767021984027945,0.0,0.023441409741749828,0.0,0.009836516312482111,0.0,0.2249988368389865,0.16874912762923983,0.0,0.0,0.0,0.0,73.70659070904773,51.66666666666668,46.10666666666668,0.0,49.168618249935506,0.0,0.0,0.0,115.16654798288708,49.195444005730934,49.208856883628656,49.168618249935506,12.43753247303448,3568.2524182189727,21.722222222222285,2.6368836748841487,0.0,1.34615427476246,0.021830833899184783,2.1567923042165424,3546.421584319788,5767.7808386120305,0.0,0.0,22.722222222222285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.54685763346,21.726325776043478,0.0,6.085499118105328,2.4676502872582087,0.8193016786918537,1.6500000000000001,9.236100170605994,2876.8051904195795,-2392.485674676134,-379.75853504159556,27.633961734787537,-1120.898404201769,0.0,0.0,487.915932574565,0.0,3.0,0.04265790320373145,0.0,0.0,0.3111070838021036,197.99884266666666,-58.46475617218951,0.18062837231847126,10.143719856446381,0.002849796331408203,87.48774465004188,1.2147931655417592,0.4385021340833912,-2455.7447682705033,63.25909359436966,0.3624556363775999,-388.2282679899371,8.469732948341541,0.23125758874704075,306.3814267173689,-278.74746498258133
2025-01-01 04:00:00,1.883079393961194,1.2152489456250861,0.04645728511809253,1.883079393961194,1.2152489456250861,0.04645728511809252,0.030526047295129834,0.2820200938507555,1.5630332528153088,0.007499999999999999,0.04645728511809253,0.0,0.203441703225935,1.009619742399151,0.002187500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.005964067639802631,0.0,0.0007877304243436051,0.0,0.0237742492309836,0.0,0.010764489549508725,0.0,0.23170476302591358,0.1737785722694351,0.0,0.0,1055.056,0.0,72.06795851844664,51.66666666666668,46.10666666666668,0.0,48.736108368947754,0.1675603337338719,425.9487317671975,1055.056,112.60618518507289,48.54728551006871,48.77444779203354,48.414534657543406,12.43753247303448,3679.806402627078,21.722222222222285,2.4194410651448606,0.0,1.4643661534969645,0.023667099318344344,2.38731741479469,3656.139303308734,5463.869320095177,0.0,0.0,22.722222222222285,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,8854.673489709343,21.726411554282606,0.0,5.8469621509863305,2.428980743795378,0.9102963443961518,0.55,9.236100170605994,2894.3302612176253,-2311.736448912127,-888.8766986205165,-246.53159913659,-1225.758763436861,0.0,0.0,494.32565040073797,0.0,3.0,0.043954073157509016,0.0,0.0,0.32056014230115265,197.99884266666666,-54.04302837332961,0.18137191150654441,10.154293231494607,0.0028629480456743915,105.24864995476992,1.2142131304879193,0.3906214320939407,-2380.7559412985743,69.01949238644734,0.3624556363775999,-897.342832197412,8.466133576895581,0.2354610144961772,29.3410513432804,-275.8726504798704
2025-01-01 05:00:00,1.98945526992747,1.2676439734172513,0.03871440426507711,1.98945526992747,1.2676439734172513,0.03871440426507711,0.051716908037591214,0.3129355011190948,1.617302860770784,0.007499999999999999,0.03871440426507711,0.0,0.2207820272839218,1.0446744461333295,0.002187500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03955084127533316,0.02966313095649986,0.0,0.0,0.006645675370065789,0.0,0.0014454853286705153,0.0,0.043625747338854916,0.0,0.018559464740532286,0.0,0.2548251951032293,0.19111889632742193,0.0,0.0,879.2133333333333,0.0,77.03626640958073,51.66666666666668,46.10666666666668,0.0,51.793127420754864,0.24950894354643402,681.517970827516,879.2133333333333,120.36916626496989,50.378341320934894,51.795131965318866,49.66894372646092,12.43753247303448,3711.5137990959115,21.722222222222285,2.337417614488126,0.0,1.517677135617054,0.024625725153729985,2.495736784151716,3686.888073942181,5245.466876108278,0.0,0.0,22.722222222222285,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,8834.002286874915,21.727116521595576,0.0,5.846165314540779,1.3962411459604673,0.17618567561399429,-0.25000000000000006,9.236100170605994,2915.9996518851376,-2534.584357811419,-775.7953865365331,-377.2816489788272,-1290.2275262360313,0.0,0.0,544.8134881661266,0.0,3.0,0.044571622955146245,0.0,0.0,0.325063976344001,197.99884266666666,-50.10010914086927,0.1825703507123157,10.17302286503544,0.0028835295854113896,109.32389331449957,1.2135858003947484,0.3398930699715804,-2599.254292197854,64.66993438643506,0.3624556363775999,-786.319343375282,10.523956838748887,0.18541007628169934,-48.9877194350412,-328.293929543786
2025-01-01 06:00:00,1.8956517082786777,1.1753676514769862,0.03871440426507711,1.8956517082786775,1.1753676514769862,0.03871440426507711,0.09420147321619979,0.3313524092706131,1.4625978257918646,0.007499999999999999,0.03871440426507711,0.0,0.2284352860367964,0.9447448654401899,0.002187500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417481102350739,0.03131108267630542,0.0,0.0,0.007497685032894736,0.0,0.002780688397932926,0.0,0.08392309978537212,0.0,0.026772027888217823,0.0,0.2628322711473214,0.197124203360491,0.0,0.0,879.2133333333333,0.0,76.21270021403923,51.66666666666668,46.10666666666668,0.0,51.817746330412646,0.5185299824562553,1424.99212082117,879.2133333333333,119.08234408443629,50.09781928163605,51.81805402361887,49.23754806404154,12.43753247303448,3629.953276705457,21.722222222222285,2.506824889483593,0.0,1.4392888322032968,0.02330899358856782,2.352827168952503,3606.6442831168893,5443.42887701552,0.0,0.0,22.722222222222285,0.0,0.0,0.007499999999999999,0.0,0.0,0.0,0.0,0.0,8853.652587847555,21.72798182573592,0.0,5.440861231166591,1.7033028810895272,-0.11657171941591485,0.3,9.236100170605994,2924.7270950308757,-2701.9090510878013,-659.4376690195581,-171.944866371097,-1241.884341157542,0.0,0.0,589.7600561558338,0.0,2.76675,0.044105215632558786,0.0,0.0,0.32166243498597574,182.60443264933332,-53.10189667287328,0.1834142299329085,10.188283372821122,0.0028970737974729926,66.98859300777511,1.2135723227179416,0.41270758787893735,-2779.298419032141,77.38936794433917,0.3624556363775999,-668.42454231222,8.986873292661903,0.20496845835726102,120.95020039355275,-292.89506676464975
2025-01-01 07:00:00,2.0967393933307696,1.3505232334911343,0.0,2.0967393933307696,1.3505232334911341,0.0,0.031204591175349992,0.27878073234628326,1.7717540698091365,0.014999999999999998,0.0,0.0,0.2017081620253508,1.1444400714657834,0.004375000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043945379194814636,0.03295903439611097,0.0,0.0,0.006986479235197368,0.0,0.0007767021984027945,0.0,0.023441409741749828,0.0,0.009836516312482111,0.0,0.2249988368389865,0.16874912762923983,0.0,0.0,0.0,0.0,71.02061778661299,51.66666666666668,46.10666666666668,0.0,51.006000466954134,0.0,0.0,0.0,110.96971529158279,48.0937977572934,51.006000466954134,46.63769640246304,12.43753247303448,3966.67646665876,21.722222222222285,2.271273429853765,0.0,1.6697287191204362,0.027025350688700205,2.77008770749419,3939.6511159700594,5182.074446064088,0.0,0.0,22.722222222222285,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,8825.71436914614,21.72640721898295,0.0,5.189416158611409,1.346744015711335,-0.35287528309798455,-0.55,9.236100170605994,2950.2791782173617,-3093.8644293017583,-896.3940927570782,-365.33135660007736,-1327.2876733048615,0.0,0.0,360.1690195509042,4.0423173783259125,0.9990000000000001,0.045194873944143905,0.0,0.0,0.3296093895758187,65.933614608,-49.27863468744028,0.18369744272406865,10.192197561525244,0.002901287474337424,-0.8975332994919811,1.213575718049585,0.4181958494764527,-3178.793816282198,84.92938698043986,0.3624556363775999,-906.1884865256732,9.794393768595038,0.20661362132006258,-67.3602019180443,-297.97115468203305
2025-01-01 08:00:00,2.273744145290385,1.396766873749667,0.08517168938316963,2.2737441452903844,1.396766873749667,0.08517168938316963,0.11547978163316498,0.3498876180271407,1.7933767456300787,0.014999999999999998,0.08517168938316963,0.0,0.2339849334709526,1.1584069402787143,0.004375000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.005282459909539473,0.0,0.0035341525488175843,0.0,0.10666316917480793,0.0,0.03790770673253719,0.0,0.2669358976199186,0.20020192321493888,0.0,0.0,1934.2693333333332,0.0,74.72444968088783,51.66666666666668,46.10666666666668,0.0,51.4137038158883,0.42019726106153,1149.2871235318564,1934.2693333333332,116.75695262638722,49.471943396318494,51.41533150529646,48.49943549712543,12.43753247303448,3773.9280419546044,21.722222222222285,2.1206183932392615,0.0,1.6171667772908427,0.026209968339236174,2.689481727145697,3747.7180736153678,4887.37178953588,0.0,0.0,22.722222222222285,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,8796.291752754249,21.728485736165496,0.0,4.57197892588769,0.7534812491139286,-0.8248922082987858,-1.4,9.236100170605994,2944.8955751314074,-3426.7655778680423,-1021.0598807880489,-467.36561841146846,-1419.3425180353847,0.0,0.0,569.9361663869114,282.8297329137877,1.8675000000000002,0.046422009287335614,0.0,0.0,0.33855897381177036,123.25427956000001,20.37388482527687,0.18414936929772655,10.203808733684307,0.0029074564217180573,85.78722089301355,1.2141326681008686,0.44740292584507085,-3532.259976347955,105.49439847991282,0.3624556363775999,-1031.806839255384,10.746958467335048,0.22637722570338278,-173.7933115297089,-293.5723068817595
2025-01-01 09:00:00,2.013750730751151,1.1808826151779261,0.03871440426507711,2.013750730751151,1.1808826151779261,0.03871440426507711,0.17054465058070992,0.3993801629734446,1.4288259171969966,0.014999999999999998,0.03871440426507711,0.0,0.25357724766634027,0.922930367511586,0.004375000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045044013674684996,0.03378301025601374,0.0,0.0,0.004260048314144736,0.0,0.005332934972806207,0.0,0.160951667293759,0.0,0.06127716608499076,0.0,0.29305898321376883,0.21979423741032658,0.0,0.0,879.2133333333333,0.0,77.80431448756009,51.66666666666668,46.10666666666668,0.0,51.92748574809713,0.5139516894857716,1409.1932951338047,879.2133333333333,121.56924138681264,50.70941705348666,51.92748574809713,50.100382706181435,12.43753247303448,3281.89295184527,21.722222222222285,2.3562508124709587,0.0,1.3321991833828843,0.021626733814112266,2.159380199476789,3260.266218031158,4892.082666363813,0.0,0.0,22.722222222222285,0.0,0.0,0.014999999999999998,0.0,0.0,0.0,0.0,0.0,8816.468757144496,21.72999500157949,0.0,4.442340895507693,0.6334866708159766,-0.7455710439265156,-0.85,9.236100170605994,2753.471190427709,-2971.8365022582075,-701.895933116674,-207.76154848160758,-1363.2607106565615,0.0,0.0,681.4759127878573,816.5902288298245,2.0010000000000003,0.04572074132866304,0.0,0.0,0.3334445773412145,132.0652280586667,153.36303645114347,0.18540157213901706,10.229165989744075,0.0029261172791192145,138.36509213680986,1.2147221167163162,0.44111090647995366,-3087.3318739217157,115.49537166350837,0.3624556363775999,-710.3173109353786,8.421377818704492,0.2292873483136531,-34.36558646235471,-173.39596201925286
