Metric,Value
Total Electric Energy (kWh),19.95879974532118
Total Gas Energy (therms),3.93077421028089
Average Electric Power (kW),0.8316166560550491
Peak Electric Power (kW),2.1778226120025805
Lighting Electric Energy (kWh),1.8400855217090109
Water Heating Electric Energy (kWh),0.186528
Other Electric Energy (kWh),12.716646918056611
HVAC Heating Electric Energy (kWh),4.0155393055555555
HVAC Cooling Electric Energy (kWh),1.2
Water Heating Gas Energy (therms),0.4888833769475565
HVAC Heating Gas Energy (therms),3.4418908333333333
Average Temperature - Indoor (C),15.791506282642336
Unmet Heating Load (C-hours),1.8339559738638718
Unmet Cooling Load (C-hours),0.0
Total HVAC Heating Delivered (kWh),66.91991502753993
Average HVAC Heating COP (-),0.8
Average HVAC Heating Duct Efficiency (-),0.7899600139315859
Total HVAC Cooling Delivered (kWh),0.0
Average HVAC Cooling COP (-),0.0
Total Hot Water Unmet Demand (kWh),0.0
