Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.665713660438996e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.665713660438996e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,15.0095057363941,0.0,7.012685057925365,-2.7999999999999283,2.8,9.236100170605994,-371.61414407801055,-2062.7807645056546,1182.5415344643095,-921.8209758882105,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.05793364463331472,0.0,0.0,0.7497217495798042,290.5963014204445,-83.81822485948314,0.34155027611790284,7.817191144324614,0.003549868299074437,11.676996893595355,1.2389655636189412,0.38240673100310435,-2099.433738761877,36.65297425622232,0.18353674655858312,1339.456789328781,-156.9152548644716
2025-01-01 00:01:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.6746302612300497e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.6746302612300497e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.920694135122528,0.0,6.982911621231673,-2.7274802557533366,2.8,9.236100170605994,-365.21250667940967,-2047.1034582032225,1159.755099937958,-911.7630956047757,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.05772140129768458,0.0,0.0,0.7469750995816479,290.5963014204445,-87.47446774431697,0.34451874529024573,7.797057615938948,0.0035499235225988513,12.47272965873172,1.242967787455136,0.38230577344997757,-2084.0455035904783,36.94204538725586,0.18314111196556265,1319.260922815226,-159.50582287726792
2025-01-01 00:02:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.683249639152564e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.683249639152564e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.834423816517567,0.0,6.9551394942380815,-2.657456976017358,2.8,9.236100170605994,-359.3009287768143,-2032.2177307496036,1138.7879932339447,-902.0353310997388,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.057514929860503404,0.0,0.0,0.7443031439658483,290.5963014204445,-91.29065434675852,0.34644578847070906,7.755322709179581,0.0035499823194173157,13.245966266274689,1.2433400942141661,0.38221157801922667,-2069.6985663755017,37.48083562589818,0.18275828419350612,1299.8254757869047,-161.03748255295994
2025-01-01 00:03:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.6916213389304176e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.6916213389304176e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.750535916937563,0.0,6.92921853284769,-2.589587001478396,2.8,9.236100170605994,-353.86255918069185,-2018.5435361633831,1119.17886031488,-892.6162781266528,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.05731387460198308,0.0,0.0,0.7417012793475571,290.5963014204445,-95.27133772372207,0.34833172103497684,7.714826768035193,0.0035500447425984923,13.998051677697202,1.2437023294807796,0.38212364028436013,-2056.3139708838385,37.77043472045527,0.1823864619984476,1281.048987807689,-161.87012749280902
2025-01-01 00:04:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.6997948882344645e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.6997948882344645e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.668897317248419,0.0,6.904995627897617,-2.523592381829358,2.8,9.236100170605994,-345.22295748084434,-2005.6410529598493,1100.7331585631323,-883.4877912572466,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.057117938952222745,0.0,0.0,0.7391656678031231,290.5963014204445,-95.76022289328071,0.3501786507171385,7.675499902644833,0.003550110690857641,14.730134287372248,1.2440550509170463,0.3820414449673589,-2043.8114592172933,38.17040625744394,0.18202418550728125,1262.8493447762348,-162.1161862131025
2025-01-01 00:05:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.707720753709509e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.707720753709509e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.589483005737945,0.0,6.8823534909304405,-2.4592375976474408,2.8,9.236100170605994,-334.2724577211666,-1993.447376734528,1083.287028784842,-874.6440614023721,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.05692708409542945,0.0,0.0,0.7366958070157251,290.5963014204445,-93.65345298847751,0.35198631185072454,7.637330494827026,0.0035501800684618473,15.442382205567537,1.2443983503941263,0.38196459765904806,-2032.1294591776405,38.68208244311224,0.18167021514217832,1245.1571704712455,-161.87014168640354
2025-01-01 00:06:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.715448474395089e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.715448474395089e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.512253736054209,0.0,6.861188073113028,-2.396323313811617,2.8,9.236100170605994,-322.9196629206781,-1982.3067011703358,1066.6985857200432,-866.0778215765254,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.056741236153668544,0.0,0.0,0.734290740927881,290.5963014204445,-90.86689801383577,0.3537547906360721,7.600299200480732,0.003550252780624455,16.1350960076724,1.2447323820376774,0.38189274834485654,-2021.213385782941,38.906684612605275,0.18132349998173633,1227.913884832766,-161.21529911272282
2025-01-01 00:07:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.7229780502912035e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.7229780502912035e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.437129544243819,-0.06287045575623829,6.841384774461513,-2.3346814874983366,2.8,9.236100170605994,-311.8791667653484,-1971.671323705404,1050.8466232175765,-857.7774544851871,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.05656022212795989,0.0,0.0,0.7319482307524598,290.5963014204445,-88.12676894984415,0.35548514306574974,7.564364600310515,0.0035503287341184654,16.80895200737997,1.2450574770271006,0.38182551071380527,-2011.0033507027194,39.33202699731553,0.18098315302721668,1211.070180250995,-160.22355703341861
2025-01-01 00:08:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.730259942358316e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.730259942358316e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.36401984082933,-0.13598015917072637,6.822862576867977,-2.2741710294332025,2.8,9.236100170605994,-301.2709765609991,-1961.920500983497,1035.6276591387616,-849.7303789981205,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.05638384195780512,0.0,0.0,0.7296656874980764,290.5963014204445,-85.56565423256154,0.35717872393549677,7.529479430793346,0.0035504078390260685,17.464728368554187,1.2453740136744191,0.3817626120544329,-2001.45690087091,39.53639988741301,0.1806484290913368,1194.5846850463902,-158.9570259076285
2025-01-01 00:09:00,0.4214826258479934,0.26162088536005623,0.018539063236593645,0.00702471043079989,0.004360348089334271,0.00030898438727656075,0.019426160153759715,0.007772,0.34428446569423365,0.0,0.05,0.018539063236593645,0.0,0.0,0,0.24703755202672287,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.005264967105263157,0.0,On,0.014161193048496558,0,On,0.014901062991936423,0,On,0.28974100855364154,0.2173057564152311,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,16929.545804444446,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,8484.994808888889,On,409.88542572722514,52.73873208018851,3.737393222991159e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.1498708391744363,409.88542572722514,409.88542572722514,3.737393222991159e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,14.292837468052987,-0.2071625319470698,6.805525602279558,-2.214674024726414,2.8,9.236100170605994,-291.06540700697053,-1952.6206218139055,1020.9535909744573,-841.9246021244257,-0.0,-0.0,634.025056669683,0.0,4.4030000000000005,0.056211902394298664,0.0,0.0,0.7274406103224568,290.5963014204445,-83.16586155222782,0.35883686503705564,7.494693030823369,0.003550490009203953,18.103176418430547,1.2456823565716182,0.3817037288470344,-1992.5240242545806,39.90340244067515,0.18031870542458064,1178.4228090797199,-157.4692181052626
