Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,3.0622765158491267,1.9652637392888688,0.0,0.05103794193081878,0.03275439565481448,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8427719995530882,0.05,0.0,0.0,0.11443109474049869,1.8362493112150367,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5340.6716326983715,19.500000000000057,1.994406952817294,0.0,2.5119490828864217,0.3308229166666667,1,5009.8487160317045,5009.8487160317045,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.80817940954605,51.666666666666686,46.10666666666668,0.0,50.02233799338246,0.0,0.0,0.0,35.80817940954605,50.07216035026255,50.0970715287026,50.02233799338246,12.43753247303448,19.293712959119404,0.0,2.8,4473.904003882247,-1027.8402416876845,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04781779357536948,0.0,0,0.6677515374007033,131.99922844444444,-132.20542889358666,0.21623739624606078,9.12655474215257,0.002945135464150278,15.294010331380793,1.2212601793777187
2025-01-01 00:01:00,3.0640828747852433,1.9664305318957933,0.0,0.05106804791308739,0.03277384219826322,0.0,0.011864208445834778,0.0,0.15764030785020408,2.844578358489205,0.05,0.0,0.0,0.11443109474049869,1.8374161038219612,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5339.80272823193,19.500000000000057,1.9926281324859596,0.0,2.5137554418225383,0.3308229166666667,1,5008.979811565263,5008.979811565263,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.76105198786938,51.666666666666686,46.10666666666668,0.0,50.0170268996425,0.0,0.0,0.0,35.76105198786938,50.067134972279796,50.09218900859845,50.0170268996425,12.43753247303448,19.329184958398656,0.0,2.8,4465.1275667384,-1031.0201827565088,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04786279714927226,0.0,0,0.6683799897698981,131.99922844444444,-136.93302050216798,0.21639630538415733,9.16653674858324,0.0029452146452407417,15.197606075717463,1.2246790324101329
2025-01-01 00:02:00,3.0658289149474105,1.967558362423756,0.0,0.05109714858245684,0.03279263937372927,0.0,0.011864208445834778,0.0,0.15764030785020408,2.846324398651372,0.05,0.0,0.0,0.11443109474049869,1.838543934349924,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5338.963195947278,19.500000000000057,1.9909112815665044,0.0,2.5155014819847055,0.3308229166666667,1,5008.140279280611,5008.140279280611,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.71534912204264,51.666666666666686,46.10666666666668,0.0,50.01172287436746,0.0,0.0,0.0,35.71534912204264,50.06211620823585,50.087312875170056,50.01172287436746,12.43753247303448,19.363439185407913,0.0,2.8,4456.613907286041,-1034.0946306496505,-0.0,-0.0,293.2780417651471,0.0,2.0,0.047906243072486775,0.0,0,0.6689866903273916,131.99922844444444,-141.5326997767334,0.21594103494067288,9.181805130349725,0.0029452931075700417,15.10420912710737,1.224535560756652
2025-01-01 00:03:00,3.0675173207752913,1.9686489648494816,0.0,0.05112528867958819,0.032810816080824694,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8480128044792528,0.05,0.0,0.0,0.11443109474049869,1.8396345367756495,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5338.151707676573,19.500000000000057,1.9892534986151669,0.0,2.5171898878125862,0.3308229166666667,1,5007.328791009906,5007.328791009906,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.67100530303412,51.666666666666686,46.10666666666668,0.0,50.00642570572176,0.0,0.0,0.0,35.67100530303412,50.05710385820623,50.08244293444847,50.00642570572176,12.43753247303448,19.396531744638928,0.0,2.8,4448.264923755518,-1037.0682427425581,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04794820379568307,0.0,0,0.6695726508105035,131.99922844444444,-146.09658294364385,0.21550238870305774,9.197111607971324,0.0029453710968452606,15.013647637853982,1.2243969849673149
2025-01-01 00:04:00,3.0691505232295353,1.9697039094184277,0.0,0.051152508720492255,0.03282839849030713,0.0,0.011864208445834778,0.0,0.15764030785020408,2.849646006933497,0.05,0.0,0.0,0.11443109474049869,1.8406894813445955,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5337.367060640897,19.500000000000057,1.9876521552150233,0.0,2.5188230902668303,0.3308229166666667,1,5006.54414397423,5006.54414397423,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.62796118816561,51.666666666666686,46.10666666666668,0.0,50.00113519160925,0.0,0.0,0.0,35.62796118816561,50.0520977314601,50.07757900138553,50.00113519160925,12.43753247303448,19.42851344976545,0.0,2.8,4441.743408666493,-1039.945236268452,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04798874494169701,0.0,0,0.6701387876092693,131.99922844444444,-148.9564574710983,0.21507957824556698,9.211809715599369,0.002945448627287886,14.925797661258304,1.2242630890953812
2025-01-01 00:05:00,3.0707331410813388,1.9707261795620576,0.0,0.05117888568468898,0.032845436326034295,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8512286247853003,0.05,0.0,0.0,0.11443109474049869,1.8417117514882255,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5336.607004774581,19.500000000000057,1.98610250404666,0.0,2.5204057081186333,0.3308229166666667,1,5005.784088107914,5005.784088107914,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.586108003465135,51.666666666666686,46.10666666666668,0.0,49.99585113875648,0.0,0.0,0.0,35.586108003465135,50.047097645594874,50.07272089901407,49.99585113875648,12.43753247303448,19.459477608825683,0.0,2.8,4436.743463792294,-1042.7336893186598,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04802798587115213,0.0,0,0.6706867675350136,131.99922844444444,-150.40789342877363,0.214671257751975,9.226628508988693,0.0029455257125032054,14.840434465251722,1.2241334797164738
2025-01-01 00:06:00,3.072269200378537,1.9717183758503667,0.0,0.05120448667297561,0.03286197293083944,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8527646840824983,0.05,0.0,0.0,0.11443109474049869,1.8427039477765346,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5335.869579042034,19.500000000000057,1.9846004087175686,0.0,2.521941767415832,0.3308229166666667,1,5005.046662375367,5005.046662375367,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.54535095267109,51.666666666666686,46.10666666666668,0.0,49.99057337005968,0.0,0.0,0.0,35.54535095267109,50.04210343347347,50.067868465180375,49.99057337005968,12.43753247303448,19.48950553141608,0.0,2.8,4432.55911498183,-1045.4406437458015,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04806603058799795,0.0,0,0.6712180429508005,131.99922844444444,-151.14786207954995,0.21427625540841325,9.240256595159291,0.002945602364969948,14.757362162501511,1.2240078140192592
2025-01-01 00:07:00,3.073761603908619,1.9726823732988428,0.0,0.05122936006514365,0.03287803955498071,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8542570876125803,0.05,0.0,0.0,0.11443109474049869,1.8436679452250107,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5335.153365190132,19.500000000000057,1.9831428559309643,0.0,2.5234341709459134,0.3308229166666667,1,5004.330448523465,5004.330448523465,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.50562118019189,51.666666666666686,46.10666666666668,0.0,49.98530172250704,0.0,0.0,0.0,35.50562118019189,50.03711494126269,50.06302155064053,49.98530172250704,12.43753247303448,19.51865624447215,0.0,2.8,4428.13985256368,-1048.0711684489522,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04810295474246516,0.0,0,0.6717336702742118,131.99922844444444,-152.22038594264615,0.2138937076329752,9.253403517036874,0.002945678596184821,14.676438094339932,1.2238858427356725
2025-01-01 00:08:00,3.075211699374588,1.9736190424376272,0.0,0.051253528322909796,0.03289365070729379,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8557071830785494,0.05,0.0,0.0,0.11443109474049869,1.844604614363795,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5334.457693714011,19.500000000000057,1.9817283681513123,0.0,2.5248842664118833,0.3308229166666667,1,5003.634777047344,5003.634777047344,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.46688544345164,51.666666666666686,46.10666666666668,0.0,49.9800360433229,0.0,0.0,0.0,35.46688544345164,50.03213202479263,50.058180015527505,49.9800360433229,12.43753247303448,19.546958175439265,0.0,2.8,4424.340503621733,-1050.62759579743,-0.0,-0.0,293.2780417651471,0.0,2.0,0.048138795141355266,0.0,0,0.6722341634937954,131.99922844444444,-152.76763605999508,0.21352316583210898,9.266765864382968,0.002945754416930589,14.597592509258778,1.223767444801992
2025-01-01 00:09:00,3.076621961701189,1.9745299819101776,0.0,0.05127703269501982,0.032908833031836296,0.0,0.011864208445834778,0.0,0.15764030785020408,2.8571174454051507,0.05,0.0,0.0,0.11443109474049869,1.8455155538363455,0.01458333333333334,1,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.003412116228070175,0.0,On,0.008452092217764603,0,On,0.005065514862872458,0,On,0.11751004250480243,0.0881325318786018,On,0,0,Off,HP On,5333.781356285464,19.500000000000057,1.980354381766027,0.0,2.5262945287384837,0.3308229166666667,1,5002.9584396187975,5002.9584396187975,0.0,Off,0.0,20.500000000000057,0,0.0,0.05,0.0,0.0,0,0,0,6648.318155555556,Off,0.0,0.0,35.4290851158759,51.666666666666686,46.10666666666668,0.0,49.97477618467443,0.0,0.0,0.0,35.4290851158759,50.0271545445587,50.053343724500834,49.97477618467443,12.43753247303448,19.574461573830266,0.0,2.8,4420.196014225861,-1053.1142489200156,-0.0,-0.0,293.2780417651471,0.0,2.0,0.04817361615927637,0.0,0,0.672720421568711,131.99922844444444,-153.74913490473452,0.21316389758478532,9.279691796738955,0.0029458298376440397,14.520703924751206,1.2236524080901194
