Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.16654937441264,51.666666666666686,46.10666666666668,0.0,50.78574447091128,0.0,0.0,0.0,34.16654937441264,47.71763675787424,50.78574447091128,46.18358290135572,12.43753247303448,18.465694584747162,0.0,2.8,9.236100170605994,-198.84568147001193,-716.0373339877159,-0.0,-0.0,521.2756357581155,0.0,3.0,0.035072632095614585,0.0,0,0.48977174083998776,197.99884266666666,-4.083983240411563,0.245100445587775,9.001859130042234,0.003171072605632331,68.42209645100175,1.2245609888701137
2025-01-01 00:01:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.2107461576551,51.666666666666686,46.10666666666668,0.0,50.78217383957794,0.0,0.0,0.0,34.2107461576551,47.7147597644978,50.78217383957794,46.18105272695773,12.43753247303448,18.424806317808365,0.0,2.8,9.236100170605994,-197.49739474698032,-713.3705145081951,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03503344618592039,0.0,0,0.48922452923764775,197.99884266666666,-5.402515996900668,0.2464746838765506,9.006692141809829,0.003171425889863225,68.48434751865786,1.2283100533826872
2025-01-01 00:02:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.2534574314566,51.666666666666686,46.10666666666668,0.0,50.77859932113952,0.0,0.0,0.0,34.2534574314566,47.71187904953241,50.77859932113952,46.17851891372886,12.43753247303448,18.385191070470956,0.0,2.8,9.236100170605994,-196.4120812305453,-710.7904538867177,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03499546782211982,0.0,0,0.4886941804089041,197.99884266666666,-6.897263101943068,0.24711512140994718,8.989151367957906,0.003171778416235498,68.54363740732653,1.2284767011616018
2025-01-01 00:03:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.29478003034962,51.666666666666686,46.10666666666668,0.0,50.775021049931524,0.0,0.0,0.0,34.29478003034962,47.70899473806535,50.775021049931524,46.175981582132266,12.43753247303448,18.34676574191131,0.0,2.8,9.236100170605994,-195.5595746360977,-708.2913994036122,-0.0,-0.0,521.2756357581155,0.0,3.0,0.034958618493587015,0.0,0,0.4881795979921898,197.99884266666666,-8.543810990601045,0.2477389327486814,8.971619619482581,0.0031721311999422237,68.60005277789719,1.2286383786017272
2025-01-01 00:04:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.33479923729423,51.666666666666686,46.10666666666668,0.0,50.77143915153291,0.0,0.0,0.0,34.33479923729423,47.70610694702995,50.77143915153291,46.17344084477848,12.43753247303448,18.309457151561677,0.0,2.8,9.236100170605994,-193.45477884104395,-705.8682821484404,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03492282907106334,0.0,0,0.4876798166320314,197.99884266666666,-8.862132450719066,0.24834710675258928,8.954677946714193,0.0031724842275490262,68.65377095498123,1.2287953902967592
2025-01-01 00:05:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.373545945319606,51.666666666666686,46.10666666666668,0.0,50.76785374381056,0.0,0.0,0.0,34.373545945319606,47.70321578617831,50.76785374381056,46.17089680736219,12.43753247303448,18.273238857817752,0.0,2.8,9.236100170605994,-190.35773217788636,-703.5190972012026,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03488807516369554,0.0,0,0.4871944957223799,197.99884266666666,-8.114270734799263,0.24893991778283445,8.938312540315877,0.0031728374864546526,68.70485322579373,1.228947844164757
2025-01-01 00:06:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.41105503090022,51.666666666666686,46.10666666666668,0.0,50.76426494183697,0.0,0.0,0.0,34.41105503090022,47.70032136266116,50.76426494183697,46.16834957307325,12.43753247303448,18.2380809930704,0.0,2.8,9.236100170605994,-186.12769626788304,-701.241635018085,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03485432903204913,0.0,0,0.48672324789592597,197.99884266666666,-6.1616970079134745,0.24951770146568464,8.922507738805667,0.0031731909643495895,68.75336964893393,1.2290958627876716
2025-01-01 00:07:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.44735221295449,51.666666666666686,46.10666666666668,0.0,50.76067285753008,0.0,0.0,0.0,34.44735221295449,47.697423780692446,50.76067285753008,46.165799242273636,12.43753247303448,18.203961557004476,0.0,2.8,9.236100170605994,-182.54795316867245,-699.0342123580159,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03482157043028994,0.0,0,0.4862657904297357,197.99884266666666,-4.789376568772035,0.2500806777481962,8.907252092443816,0.0031735446492564654,68.79937087379237,1.2292395357731756
2025-01-01 00:08:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.48251559990361,51.666666666666686,46.10666666666668,0.0,50.75707760048131,0.0,0.0,0.0,34.48251559990361,47.6945231423205,50.75707760048131,46.1632459132401,12.43753247303448,18.17081352052292,0.0,2.8,9.236100170605994,-179.05755671696625,-696.8922525414456,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03478973581189508,0.0,0,0.48582123592844473,197.99884266666666,-3.4409399336361446,0.250629782048248,8.891898065597807,0.003173898529439202,68.84302025964202,1.2293791429306433
2025-01-01 00:09:00,0.39217101000308735,0.24823975706438423,0.0,0.006536183500051456,0.004137329284406403,0.0,0.017105471936137012,0.0,0.3250655380669504,0.0,0.05,0.0,0.0,0.2336564237310509,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0,0,Off,0.005118174342105263,0.0,On,0.01198729759403175,0,On,0.013523639758882424,0,On,0.26991738445197944,0.20243803833898452,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,3338.959168888889,Off,0.0,21.111111111111143,0,0.0,0.05,0.0,0.0,0,0,0,2622.107231111111,Off,0.0,0.0,34.51660100819301,51.666666666666686,46.10666666666668,0.0,50.753479273218865,0.0,0.0,0.0,34.51660100819301,47.691619543016486,50.753479273218865,46.16068967791531,12.43753247303448,18.138589006723052,0.0,2.8,9.236100170605994,-175.74788380118304,-694.8124418587432,-0.0,-0.0,521.2756357581155,0.0,3.0,0.03475877993751376,0.0,0,0.4853889526471777,197.99884266666666,-2.211077700555286,0.25116566052829237,8.877645059138192,0.0031742525939274903,68.8844337087553,1.2295148835694887
