Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.9795375867336763,0.4433829477592346,0.2723095833333334,0.9795375867336764,0.4433829477592346,0.2723095833333333,0.02884677665402157,0.6329962961907659,0.317694513888889,0.0,0.2723095833333334,0.0,0.4433829477592346,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10949265885008036,0.08211949413756024,0.0,0.0,0.0060315515350877185,0.0,0.0008809820354100368,0.0,0.021934243083523815,0.0,0.041819032511786286,0.0,0.48168460482889924,0.36126345362167434,4790.023368533386,20.000000000000057,0.29333333333333333,1912.1569176517985,7.98060721537037,0.317694513888889,0.36666666666666664,6384.485772296296,17412.233924444445,0.0,0.0,79.11406347445637,51.66666666666668,46.10666666666668,0.0,49.71696293691159,0.0,0.0,0.0,123.61572417883808,49.16780075499236,49.71696293691159,48.89321966403275,12.43753247303448,19.703226722724636,-0.05268070891440555,2.059181378920639,1.811091568970229,2.8,9.236100170605994,3959.992203756612,710.4386364513165,2054.3704627222005,-1588.9808947241568,0.0,0.0,892.1236073956534,0.0,4.0,0.07212175731729273,0.0,0.0,0.6749882923219809,263.9984568888889,-133.1738774482712,0.21961525565241774,9.465532834965604,0.0030594255574536385,53.63818380440171,1.2229726535054732,0.7249112727551998,696.4694087943461,13.969227656970453,0.2989781095700664,417.3259027403804,-275.11235766997845
2025-01-01 01:00:00,0.9238792045603511,0.42362986657257284,0.2723095833333334,0.9238792045603512,0.42362986657257284,0.2723095833333333,0.021950534656188715,0.5842341560152736,0.317694513888889,0.0,0.2723095833333334,0.0,0.42362986657257284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10675534237882835,0.08006650678412124,0.0,0.0,0.005579185169956139,0.0,0.000632159652933734,0.0,0.01573918983329884,0.0,0.01939433391850958,0.0,0.45808447971793564,0.3435633597884516,4790.023368533386,20.000000000000057,0.29333333333333333,1912.1569176517985,7.98060721537037,0.317694513888889,0.36666666666666664,6384.485772296296,17412.233924444445,0.0,0.0,77.15911618184857,51.66666666666668,46.10666666666668,0.0,48.92102039696575,0.0,0.0,0.0,120.5611190341384,48.43705996423647,48.92102039696575,48.19507974787184,12.43753247303448,19.69880010889887,-0.050344770376379994,2.982107321914586,3.4673467512653096,2.5,9.236100170605994,3981.360422442471,-441.7898453304343,1527.20813699573,-1514.7034188131995,0.0,0.0,838.1172339800956,0.0,4.0,0.06759394859289534,0.0,0.0,0.6326124824065897,263.9984568888889,-132.07676125781103,0.22050840917460973,9.476838187392593,0.003070949117885215,63.899611008896585,1.2230419371935386,0.7249112727551998,-456.1725008059083,14.38265547547408,0.23664808141758303,-137.63215704528406,-247.31662361078466
2025-01-01 02:00:00,0.9266412718008075,0.41809737359379945,0.28468729166666673,0.9266412718008075,0.41809737359379945,0.2846872916666667,0.020982000621697854,0.5735240975679985,0.33213517361111117,0.0,0.28468729166666673,0.0,0.41809737359379945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10401802590757633,0.07801351943068223,0.0,0.0,0.005579185169956139,0.0,0.000594760894840326,0.0,0.014808054556901389,0.0,0.016060932776265746,0.0,0.45344513888415644,0.3400838541631172,5007.751703466723,20.000000000000057,0.3066666666666667,1999.0731411814259,8.343362088796296,0.33213517361111117,0.38333333333333336,6674.689671037037,17412.233924444445,0.0,0.0,75.23529360179458,51.66666666666668,46.10666666666668,0.0,48.14657970011776,0.0,0.0,0.0,117.55514625280404,47.72470059256882,48.14657970011776,47.51376103879435,12.43753247303448,19.70126264852617,-0.060837604690280676,2.6080294776584703,3.9453118173460995,1.6500000000000001,9.236100170605994,4203.485492617483,-893.1062741839905,1157.6473990696452,-1508.0541179030438,0.0,0.0,826.7633953566943,0.0,4.0,0.06379713455134148,0.0,0.0,0.5970780594876121,263.9984568888889,-122.9754883028896,0.2215850810269527,9.495216852769236,0.003086385151238493,82.44195489076372,1.2230204995952034,0.7249112727551998,-909.349900446257,16.243626262266467,0.19144506528227861,-580.2886126971055,-261.13712941467537
2025-01-01 03:00:00,0.9236023777528011,0.4160443862403605,0.28468729166666673,0.9236023777528011,0.41604438624036044,0.2846872916666667,0.020680423044943472,0.5707867810967465,0.33213517361111117,0.0,0.28468729166666673,0.0,0.4160443862403605,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10128070943632432,0.07596053207724322,0.0,0.0,0.005277607593201754,0.0,0.000594760894840326,0.0,0.014808054556901389,0.0,0.016060932776265746,0.0,0.45344513888415644,0.3400838541631172,5007.751703466723,20.000000000000057,0.3066666666666667,1999.0731411814259,8.343362088796296,0.33213517361111117,0.38333333333333336,6674.689671037037,17412.233924444445,0.0,0.0,73.33865368720457,51.66666666666668,46.10666666666668,0.0,47.392757719675735,0.0,0.0,0.0,114.59164638625712,47.029979589305874,47.392757719675735,46.84859052412095,12.43753247303448,19.711335569973436,-0.05618856578305251,2.2176093958201406,3.8372684902272427,1.6500000000000001,9.236100170605994,4148.466491725103,-711.6111410343993,1105.021543618284,-1563.7276820550906,0.0,0.0,823.724501308688,0.0,4.0,0.06618955920265122,0.0,0.0,0.619468787195371,263.9984568888889,-119.28203099521554,0.22260162422826513,9.517980322897762,0.003102574549262653,50.0172357374167,1.2229664689600677,0.7249112727551998,-728.4231712491502,16.81203021475096,0.223078718802927,-618.1954089838833,-275.85618857925846
2025-01-01 04:00:00,0.9610671728852133,0.4310863613070425,0.3822366893831697,0.9610671728852133,0.4310863613070425,0.3822366893831697,0.02104752868704888,0.5934438108648311,0.3465758333333334,0.08517168938316963,0.297065,0.0,0.4310863613070425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09854339296507231,0.0739075447238042,0.0,0.0,0.005277607593201754,0.0,0.0006089362305692792,0.0,0.015160984863277844,0.0,0.01866199578877419,0.0,0.47623842211098455,0.3571788165832383,5225.480038400057,20.000000000000057,0.32000000000000006,2085.989364711053,8.706116962222222,0.3465758333333334,0.4,6964.893569777778,17412.233924444445,1934.2693333333332,0.0,80.07199390259588,51.66666666666668,46.10666666666668,0.0,50.875227666391076,0.3439564070182239,922.7468550495621,1934.2693333333332,125.11249047280603,49.46541010245809,50.875227666391076,48.760501320491585,12.43753247303448,19.721817747308577,-0.05701335795217008,2.124805623205429,3.7977459128997153,0.55,9.236100170605994,4243.98363338225,-1486.9808165759057,883.0072770269695,-1713.5449232800595,0.0,0.0,845.1531068929999,0.0,4.0,0.06799197734410421,0.0,0.0,0.6363376377143226,263.9984568888889,-113.10458863074744,0.2229141586364603,9.527636951763249,0.003110402018332036,76.92602832548383,1.2223433633462817,0.7249112727551998,-1503.888977634596,16.90816105869038,0.22985654841909675,-932.6667091568892,-270.3153785271941
2025-01-01 05:00:00,0.9624827500360128,0.43456586693237687,0.32340169593174384,0.9624827500360127,0.43456586693237687,0.3234016959317438,0.027946155064748228,0.6024014213601533,0.33213517361111117,0.03871440426507711,0.28468729166666673,0.0,0.43456586693237687,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09854339296507231,0.0739075447238042,0.0,0.0,0.005880762746710526,0.0,0.0008520281581764307,0.0,0.02121336415986127,0.0,0.02298026545031734,0.0,0.4808777629447637,0.3606583222085727,5007.751703466723,20.000000000000057,0.3066666666666667,1999.0731411814259,8.343362088796296,0.33213517361111117,0.38333333333333336,6674.689671037037,17412.233924444445,879.2133333333333,0.0,84.55393639981274,51.66666666666668,46.10666666666668,0.0,51.94086891062042,0.2766984140723773,757.0207014819024,879.2133333333333,132.1155256247074,51.1792651620756,51.94959943529787,50.78973276312574,12.43753247303448,19.70038846103309,-0.05443838528530396,0.8780020385773393,3.0684987617473984,-0.25000000000000006,9.236100170605994,3977.428913711299,-1080.3922087471115,803.9699321300992,-1782.7617049339167,0.0,0.0,860.6845899076569,0.0,4.0,0.06787760439767025,0.0,0.0,0.6352672200945514,263.9984568888889,-108.24567472916323,0.2247251839132887,9.539538616400138,0.0031332976697351694,84.00959374989647,1.2218020506991465,0.7249112727551998,-1099.737121048837,19.34491230172553,0.20749775529512923,-889.8330423703912,-305.27016668093546
2025-01-01 06:00:00,1.1705065876408822,0.4686258465877857,0.3110239875984105,1.170506587640882,0.4686258465877857,0.31102398759841043,0.06490296392490137,0.7879091098270918,0.317694513888889,0.03871440426507711,0.2723095833333334,0.0,0.4686258465877857,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10401802590757633,0.07801351943068223,0.11974043286087414,0.0,0.00663470668859649,0.0,0.0022499575433614773,0.0,0.05601829969294339,0.0,0.04333421484916985,0.0,0.5208164362094715,0.3906123271571035,4790.023368533386,20.000000000000057,0.29333333333333333,1912.1569176517985,7.98060721537037,0.317694513888889,0.36666666666666664,6384.485772296296,17412.233924444445,879.2133333333333,0.0,81.5446001966741,51.66666666666668,46.10666666666668,0.0,51.55546412887555,0.4490228496809418,1226.0272899259917,879.2133333333333,127.41343780730328,50.04769987118266,51.55610868319997,49.2931731880118,12.43753247303448,19.69318475809699,-0.0531411373803504,1.4471641781135398,2.834671262535447,0.3,9.236100170605994,3997.6965729337567,-1075.5478046967546,909.1209697120099,-1725.747166134261,0.0,0.0,1046.8260589051742,0.0,4.0,0.06771133781950704,0.0,0.0,0.633711129424563,263.9984568888889,-113.40568837054258,0.22552788622435652,9.547323042690818,0.0031431404027450964,48.77733391550227,1.2218248124087892,0.7249112727551998,-1092.8312369637524,17.28343226699773,0.2156829384232129,-717.8734229849717,-285.16252495481694
2025-01-01 07:00:00,1.2069638852724003,0.47711902403965056,0.32340169593174384,1.2069638852724003,0.47711902403965056,0.3234016959317438,0.06976191323278418,0.8050667984285049,0.33213517361111117,0.03871440426507711,0.28468729166666673,0.0,0.47711902403965056,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10949265885008036,0.08211949413756024,0.11974043286087414,0.0,0.006182340323464912,0.0,0.002455047507099521,0.0,0.06112452540221973,0.0,0.04916766684809655,0.0,0.5266660398694539,0.3949995299020903,5007.751703466723,20.000000000000057,0.3066666666666667,1999.0731411814259,8.343362088796296,0.33213517361111117,0.38333333333333336,6674.689671037037,17412.233924444445,879.2133333333333,0.0,80.3643060214372,51.66666666666668,46.10666666666668,0.0,51.46905219249881,0.1142611291487067,310.5201338926806,879.2133333333333,125.56922815849562,49.53601129549839,51.46905219249881,48.569490846998185,12.43753247303448,19.68025250941821,-0.0646206249873961,0.9321904967847331,2.5960506303719266,-0.55,9.236100170605994,4003.0683012590225,-1397.640473600727,755.6997844365434,-1852.598769619713,0.0,0.0,958.4118676498272,4.052974832370733,2.3329999999999997,0.0694343787625296,0.0,0.0,0.6498370879007965,153.97709998044445,-110.49650023781369,0.22620105974038068,9.549043292515202,0.0031499586159532936,-2.41798755257479,1.2218738735365495,0.7249112727551998,-1416.2690649649853,18.628591364258327,0.2269780794952582,-953.9673580678907,-289.4059986769917
2025-01-01 08:00:00,1.1842335325065503,0.5006541765581976,0.30944270833333337,1.1842335325065503,0.5006541765581976,0.30944270833333337,0.08582823162001571,0.7373888078309789,0.3610164930555556,0.0,0.30944270833333337,0.0,0.5006541765581976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11222997532133236,0.08417248149099925,0.0,0.0,0.0046744524396929825,0.0,0.0031336540047621647,0.0,0.07802012517556058,0.0,0.06984990575338215,0.0,0.5553089267562645,0.4164816950671983,5443.208373333394,20.000000000000057,0.3333333333333333,2172.90558824068,9.068871835648148,0.3610164930555556,0.4166666666666667,7255.097468518518,17412.233924444445,0.0,0.0,82.25254811096191,51.66666666666668,46.10666666666668,0.0,51.66231059542612,0.08494205009224642,233.87375517715324,0.0,128.51960642337798,50.321395908440785,51.66231059542612,49.65093856494813,12.43753247303448,19.703023455798476,-0.06057362523908913,0.20858466910542497,2.1308057611148565,-1.4,9.236100170605994,4312.217713130366,-1521.5338641111985,745.0661324256939,-2003.2251211739679,0.0,0.0,916.3446430225008,278.2518594627534,2.0,0.07179949731307947,0.0,0.0,0.671972257521683,131.99922844444444,-44.11018205155962,0.22603558840417903,9.563911976398021,0.003150581353435393,33.828415778494666,1.2223525039607221,0.7249112727551998,-1541.475923693699,19.94205958250069,0.24386204562456096,-1139.5575098261943,-288.28194598879213
2025-01-01 09:00:00,1.1557137542357043,0.5017131565311254,0.2723095833333334,1.1557137542357043,0.5017131565311254,0.2723095833333333,0.08750104914283309,0.7505181912039823,0.317694513888889,0.0,0.2723095833333334,0.0,0.5017131565311254,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11222997532133236,0.08417248149099925,0.0,0.0,0.0037697197094298243,0.0,0.0032331829577526856,0.0,0.08049814647565055,0.0,0.08156731582914835,0.0,0.5567209000535016,0.4175406750401261,4790.023368533386,20.000000000000057,0.29333333333333333,1912.1569176517985,7.98060721537037,0.317694513888889,0.36666666666666664,6384.485772296296,17412.233924444445,0.0,0.0,79.12610042635548,51.66666666666668,46.10666666666668,0.0,50.74631208624093,0.04418834592895488,116.93687758857662,0.0,123.63453191618045,49.12577329501162,50.74631208624093,48.315503899396965,12.43753247303448,19.68777860522022,-0.059906036931752324,0.08253565305213272,2.150943297768009,-0.85,9.236100170605994,3890.3749085008035,-1097.5877053800539,755.470638070656,-1916.59541542963,0.0,0.0,931.0480057875149,801.2680922573234,2.0,0.07063873433877739,0.0,0.0,0.6611086645234178,131.99922844444444,85.89894960953266,0.22738241191831915,9.577099147945338,0.00316489870837975,105.66304917035161,1.223018800131455,0.7249112727551998,-1115.130808792939,17.543103412884932,0.23381961657755404,-940.1983543046517,-216.48792527649084
