Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Gas Fireplace Gas Power (therms/hour),Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.8165675701541197,0.27315089355407113,0.18061433479718988,0.8165675701541196,0.27315089355407113,0.18061433479718986,0.026030806367013052,0.5917206526759956,0.14881611111111112,0.05,0.0,0.010538779241634289,0.1700755555555556,0.0,0.2585675602207378,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.0,0.0,0.005773848684210526,0.0,0.020256957682802525,0.0,0.009144121565698314,0.0,0.2803731043256475,0.21027982824423555,0.06917762784252252,0.0,0.010538779241634289,0.08787099039082978,0.0,0.08077116591596112,0.0,0.0,0.0,2538.736845005833,14.777777777777828,0.08,600.7331884756491,4.984423203950618,0.14881611111111112,0.13333333333333333,2990.6539223703708,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,0.0,0.0,97.16851374381291,51.66666666666668,46.10666666666668,0.0,51.82085330478538,0.0,0.0,0.0,151.82580272470767,51.859018764203796,51.87810149391301,51.82085330478538,12.43753247303448,14.85376896930915,-0.030552096137265304,1.433634260008514,2.8,9.236100170605994,2633.320354588765,-1970.4097778100722,-829.6120039518233,0.0,-8.65882970255447,778.7346015848125,0.0,4.0,0.05276480817617826,0.0,0.0005116341472192555,0.2557848677162619,263.9984568888889,154.1197416524976,0.27483384255981463,6.878418227997956,0.0028141539505021217,164.03388765335018,1.2437531437047855,0.0,0.0,148.18848211686844
2025-01-01 01:00:00,0.9096521973386215,0.2719437002546586,0.28188168510863215,0.9096521973386215,0.2719437002546586,0.28188168510863215,0.025597767715697262,0.5922282490673685,0.24182618055555558,0.05,0.0,0.005508907330854288,0.2763727777777778,0.0,0.25736036692132525,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277405156945293,0.04708053867708968,0.0,0.0,0.005340810032894736,0.0,0.020256957682802525,0.0,0.009144121565698314,0.0,0.2803731043256475,0.21027982824423555,0.03616103273586404,0.0,0.005508907330854288,0.10617744672225267,0.0,0.09759849214845302,0.0,0.0,0.0,4125.447373134479,14.777777777777828,0.13,976.1914312729297,8.099687706419754,0.24182618055555558,0.21666666666666667,4859.812623851852,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,0.0,0.0,96.38734704090734,51.66666666666668,46.10666666666668,0.0,51.10022318542272,0.0,0.0,0.0,150.60522975141774,51.133064303663005,51.14948486278316,51.10022318542272,12.43753247303448,14.42550000727419,-0.05940036816222015,2.524887027661138,2.5,9.236100170605994,4172.854609505319,-6542.423946047508,-739.7430478953196,0.0,0.0,702.9864643856702,0.0,4.0,0.04765396142387757,0.0,0.0,0.22879084427169477,263.9984568888889,84.16381988049052,0.28404090475998867,6.687989439180618,0.0028308060298564055,157.13152311595624,1.2456492997122735,0.0,0.0,164.15344139518828
2025-01-01 02:00:00,0.90382397622819,0.27073650695524604,0.32344250315737244,0.9038239762281899,0.27073650695524604,0.32344250315737244,0.025597767715697262,0.5491960001791593,0.27903020833333336,0.05,0.0,0.004550836490705716,0.31889166666666674,0.0,0.2561531736219127,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.005340810032894736,0.0,0.020256957682802525,0.0,0.009144121565698314,0.0,0.2803731043256475,0.21027982824423555,0.029872157477452903,0.0,0.004550836490705716,0.08787099039082978,0.0,0.08077116591596112,0.0,0.0,0.0,4760.131584385937,14.777777777777828,0.15,1126.374728391842,9.345793507407409,0.27903020833333336,0.25,5607.476104444445,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,0.0,0.0,94.4031980516624,51.66666666666668,46.10666666666668,0.0,50.391872906008274,0.0,0.0,0.0,147.5049969557225,50.41979819109563,50.43376083363931,50.391872906008274,12.43753247303448,14.468024899952647,-0.051379878430592406,1.686840540019542,1.6500000000000001,9.236100170605994,4750.883163325344,-8703.89651507591,-739.3400946776226,0.0,0.0,687.3377290375117,0.0,4.0,0.04403108865612842,0.0,0.0,0.2113971146749159,263.9984568888889,42.75394457951812,0.28496187320602734,6.729933021528914,0.002847815254233715,166.58647881984206,1.2454524649323406,0.0,0.0,208.60255013898743
2025-01-01 03:00:00,0.9307706000335995,0.26952931365583344,0.3224844323172239,0.9307706000335996,0.26952931365583344,0.3224844323172239,0.025309075281486737,0.5764313164187794,0.27903020833333336,0.05,0.0,0.0035927656505571437,0.31889166666666674,0.0,0.2549459803225001,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05955486943768611,0.04466615207826457,0.0,0.0,0.005052117598684211,0.0,0.020256957682802525,0.0,0.009144121565698314,0.0,0.2803731043256475,0.21027982824423555,0.023583282219041764,0.0,0.0035927656505571437,0.10617744672225267,0.0,0.09759849214845302,0.0,0.0,0.0,4760.131584385937,14.777777777777828,0.15,1126.374728391842,9.345793507407409,0.27903020833333336,0.25,5607.476104444445,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,0.0,0.0,92.54298992871206,51.66666666666668,46.10666666666668,0.0,49.688688612686356,0.0,0.0,0.0,144.5984217636126,49.720550054303516,49.736480775112106,49.688688612686356,12.43753247303448,14.477034618013585,-0.05734325804080882,1.6158424527992679,1.6500000000000001,9.236100170605994,4683.941281557132,-6655.823968783733,-777.3878004101736,0.0,0.0,671.4003012551431,0.0,4.0,0.04636072814213535,0.0,0.0,0.2225819179719853,263.9984568888889,29.79719632622656,0.2864922824466654,6.755189712043235,0.0028647910435352186,141.14794483187816,1.245400868925839,0.0,0.0,205.97824607356907
2025-01-01 04:00:00,1.1130208866790785,0.2683221203564209,0.3865022833605944,1.1130208866790787,0.2683221203564209,0.3865022833605944,0.025309075281486737,0.7028755613975919,0.33483625000000006,0.05,0.0,0.003832283360594287,0.38267000000000007,0.0,0.25373878702308755,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.005052117598684211,0.0,0.020256957682802525,0.0,0.009144121565698314,0.0,0.2803731043256475,0.21027982824423555,0.025155501033644553,0.0,0.003832283360594287,0.17208068951537497,0.0,0.15817686658542385,0.0,0.0,0.0,5712.157901263124,14.777777777777828,0.18,1351.6496740702103,11.21495220888889,0.33483625000000006,0.3,6728.971325333334,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,0.0,0.0,90.76470704213703,51.66666666666668,46.10666666666668,0.0,48.99780302696658,0.0,0.0,0.0,141.81985475333914,49.034853180342516,49.05337825703048,48.99780302696658,12.43753247303448,14.468349506673455,-0.052463016745996516,0.6272148111026883,0.55,9.236100170605994,5536.74786364016,-12340.2676691589,-878.3633366327376,0.0,0.0,673.3004962598284,0.0,4.0,0.04800692748856152,0.0,0.0,0.23048546527539243,263.9984568888889,29.652802749945103,0.2878933775601942,6.764421119139576,0.002878659163930595,160.1032738399644,1.244843579688437,0.0,0.0,245.04768692770816
2025-01-01 05:00:00,1.2783265219439572,0.2760860108120577,0.4388660815993157,1.2783265219439572,0.2760860108120577,0.4388660815993157,0.03369340124469984,0.8597968706992575,0.33483625000000006,0.05,0.05188476281864711,0.004311318780668574,0.38267000000000007,0.0,0.26150267747872435,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0579452783718027,0.043458958778852017,0.0,0.0,0.005629502467105263,0.0,0.028063898777594576,0.0,0.01203400904165014,0.0,0.2907249582664965,0.21804371869987232,0.02829993866285012,0.0,0.004311318780668574,0.2453065148410665,0.0,0.22548617151539146,0.0,0.0,0.0,5712.157901263124,14.777777777777828,0.18,1351.6496740702103,11.21495220888889,0.33483625000000006,0.3,6728.971325333334,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,1172.2844444444445,0.0,88.28961360088515,51.66666666666668,46.10666666666668,0.0,48.521096525185385,0.1564527818929368,394.5582637266003,1172.2844444444445,137.95252125138305,48.056357593265474,48.52902635242096,47.81605830006994,12.43753247303448,14.48111054105262,-0.05680869741285119,-0.3278949101929433,-0.25000000000000006,9.236100170605994,5524.952071745586,-8673.75486740784,-929.5876696315269,0.0,0.0,701.2215060051203,0.0,4.0,0.04791388391602256,0.0,0.0,0.2300387549310856,263.9984568888889,41.16033410886812,0.2894452371315844,6.79066704722251,0.0028980195660214007,167.50398695931474,1.244149205960523,0.0,0.0,245.53860724867008
2025-01-01 06:00:00,1.3419960788449428,0.2978633531255433,0.48330111216850186,1.3419960788449428,0.2978633531255433,0.4833011121685018,0.07764093249718003,0.842314868569985,0.3720402777777778,0.05,0.05188476281864711,0.006227460460965717,0.425188888888889,0.0,0.28328001979220996,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116446050356953,0.045873345377677135,0.0,0.0,0.006351233552631579,0.0,0.07128969894454845,0.0,0.023205365105404212,0.0,0.3165422325527105,0.23740667441453284,0.0408776891796724,0.0,0.006227460460965717,0.20869360217822072,0.0,0.19183151905040766,0.0,0.0,0.0,6346.842112514582,14.777777777777828,0.2,1501.8329711891226,12.461058009876545,0.3720402777777778,0.3333333333333333,7476.634805925927,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,1172.2844444444445,0.0,95.24926655609013,51.66666666666668,46.10666666666668,0.0,51.51914707669789,0.4633628831534379,1257.5829876822108,1172.2844444444445,148.82697899389083,50.735408646970974,51.51914707669789,50.34353943210751,12.43753247303448,14.488489885959861,-0.04692986958303198,0.3350884102819517,0.3,9.236100170605994,6263.326572991168,-9550.095582542184,-891.5222791852649,0.0,0.0,773.1701540122946,0.0,3.4170000000000003,0.04780679663886024,0.0,0.0,0.22952461953036218,225.52068179733334,34.83658564955657,0.2906955150526793,6.811530089185964,0.0029120897753783033,110.61466030239004,1.2441065618263591,0.0,0.0,223.45261002486012
2025-01-01 07:00:00,1.2035231308278413,0.3175827967640409,0.48497773613876183,1.2035231308278413,0.3175827967640409,0.4849777361387618,0.10833293531589043,0.6731499177341732,0.3720402777777778,0.05,0.05188476281864711,0.007904084431225717,0.425188888888889,0.0,0.30299946343070755,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438364263533634,0.04828773197650224,0.013860340962002065,0.0,0.00591819490131579,0.0,0.10241474041457464,0.0,0.034764915009211514,0.0,0.33961564193894045,0.2547117314542053,0.05188322088189189,0.0,0.007904084431225717,0.08787099039082978,0.0,0.08077116591596112,0.0,0.0,0.0,6346.842112514582,14.777777777777828,0.2,1501.8329711891226,12.461058009876545,0.3720402777777778,0.3333333333333333,7476.634805925927,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,1172.2844444444445,0.0,94.68052224443477,51.66666666666668,46.10666666666668,0.0,51.91271139014794,0.3916644332522597,1074.5994450843673,1172.2844444444445,147.9383160069293,50.48274349149699,51.91271139014794,49.76775954217153,12.43753247303448,14.48385299073559,-0.05333809213327214,-0.506797088190265,-0.55,9.236100170605994,6248.885339597332,-11207.332826583006,-980.6801612725612,0.0,0.0,840.5128695950795,11.051011668116024,2.9170000000000003,0.049427363786559965,0.0,0.0,0.23730510440177127,192.52087468622221,42.210518760232226,0.29189943343398855,6.822940401972328,0.0029232918896000353,116.64213898285624,1.2441182793807788,0.0,0.0,247.1925626073561
2025-01-01 08:00:00,1.1528433312059185,0.30821987414192376,0.4746007835750324,1.1528433312059185,0.30821987414192376,0.4746007835750324,0.08685850586214768,0.6439445475659931,0.3720402777777778,0.05,0.04150781025491769,0.007904084431225717,0.425188888888889,0.0,0.2936365408085904,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.004474732730263157,0.0,0.08238377313188452,0.0,0.03190378263252289,0.0,0.32552215404356755,0.2441416155326756,0.05188322088189189,0.0,0.007904084431225717,0.08787099039082978,0.0,0.08077116591596112,0.0,0.0,0.0,6346.842112514582,14.777777777777828,0.2,1501.8329711891226,12.461058009876545,0.3720402777777778,0.3333333333333333,7476.634805925927,22429.90441777778,0.0,15.777777777777828,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,937.8275555555556,0.0,93.58907991785465,51.66666666666668,46.10666666666668,0.0,51.60777067350924,0.3416308862718926,933.0731113563477,937.8275555555556,146.2329373716479,50.0809821700105,51.60777067350924,49.317587918261125,12.43753247303448,14.497852435612634,-0.05257960858454028,-1.3639758414511067,-1.4,9.236100170605994,6167.232541323593,-11830.797162129802,-1085.3428169225215,0.0,0.0,696.8355191380649,669.4117645569436,1.417,0.05162465947844961,0.0,0.0,0.24785451354722157,93.52145335288888,208.8977265934676,0.2928274000103597,6.846312744569664,0.0029338915935500673,81.04422793078766,1.2446342331096611,0.0,0.0,260.5405040477064
2025-01-01 09:00:00,1.2751930242472516,0.2862377746590966,0.7507340436427731,1.2751930242472516,0.2862377746590966,0.7507340436427731,0.04635165792161804,0.5649749079923,0.6138664583333334,0.05,0.04150781025491769,0.007664566721188574,0.7015616666666669,0.0,0.2716544413257633,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599323370121975,0.04949492527591479,0.0,0.0,0.003608655427631579,0.0,0.042743002493986465,0.0,0.01894961041445028,0.0,0.2962126880664647,0.2221595160498485,0.050311002067289105,0.0,0.007664566721188574,0.06956453405940691,0.0,0.06394383968346923,0.0,0.0,0.0,10472.28948564906,16.444444444444485,0.33,2478.0244024620524,20.5607457162963,0.6138664583333334,0.55,12336.44742977778,22429.90441777778,0.0,17.44444444444449,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13736.53604888889,937.8275555555556,0.0,86.44781757087296,51.66666666666668,46.10666666666668,0.0,50.76652427419569,0.16103718752223253,428.43881028573213,937.8275555555556,135.074714954489,48.84764168089485,50.76652427419569,47.88820038424444,12.43753247303448,16.018326878104585,-0.11990513044770466,-0.9223957064522185,-0.85,9.236100170605994,10291.70785881698,-8598.924117001989,-1190.8569266772515,0.0,0.0,552.1050631926772,1966.101250127333,0.5003,0.05342305103404581,0.0,0.0,0.25648874898204893,33.01960699537778,458.1702366524945,0.2665086716558917,7.602814702078281,0.0029424520059583045,86.10358061911181,1.2387057877114955,0.0,0.0,237.3819579357073
