Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.6787115854701029,0.23405136505349078,0.2517875,0.011311859757835049,0.003900856084224846,0.004196458333333333,0.04838746797713665,0.3365720341596329,0.2937520833333333,0.0,0.2517875,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,On,3554.6471944803975,20.000000000000057,0.8,2642.436279964046,7.3791642388888885,0.2937520833333333,1,5903.331391111111,5903.331391111111,Off,0.0,0,42.70574536200288,51.666666666666686,46.10666666666668,0.0,50.2115803973546,0.0,0.0,0.0,66.7277271281295,47.839876330732096,50.2115803973546,46.654024297420854,12.43753247303448,19.689487890179997,0.0,6.870966537485842,2.8,9.236100170605994,3564.033852234269,1613.7921561363457,-511.44716450256,-0.0,-0.0,564.0272667017033,0.0,3.0,0.02323628217767714,0.0,0,0.5927154132070788,197.99884266666666,-43.193444445271645,0.28517819773202585,10.459407812412483,0.003987527877193797,38.81066008143485,1.2188440371190719,0.19376210378950007,-1027.9784861819649,-0.6656376457355728
2025-01-01 00:01:00,0.6787115854701029,0.23405136505349078,0.2517875,0.011311859757835049,0.003900856084224846,0.004196458333333333,0.04838746797713665,0.3365720341596329,0.2937520833333333,0.0,0.2517875,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,On,3554.6471944803975,20.000000000000057,0.8,2642.436279964046,7.3791642388888885,0.2937520833333333,1,5903.331391111111,5903.331391111111,Off,0.0,0,42.50524686427509,51.666666666666686,46.10666666666668,0.0,50.2012733135392,0.0,0.0,0.0,66.41444822542982,47.83100453102923,50.2012733135392,46.645870139774246,12.43753247303448,19.81307223780532,0.0,7.073216495874977,2.8,9.236100170605994,3554.055594543173,1557.8958458964926,-517.2447415292421,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023328976532120047,0.0,0,0.595079878063181,197.99884266666666,-47.37412510968562,0.28385191659232883,10.538678739501973,0.003987895637966683,38.302466132563495,1.2218885056172482,0.19411011014241097,-1080.987580033262,-3.5528540342916326
2025-01-01 00:02:00,0.6787115854701029,0.23405136505349078,0.2517875,0.011311859757835049,0.003900856084224846,0.004196458333333333,0.04838746797713665,0.3365720341596329,0.2937520833333333,0.0,0.2517875,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,On,3554.6471944803975,20.000000000000057,0.8,2642.436279964046,7.3791642388888885,0.2937520833333333,1,5903.331391111111,5903.331391111111,Off,0.0,0,42.31087288021571,51.666666666666686,46.10666666666668,0.0,50.19101094507153,0.0,0.0,0.0,66.11073887533705,47.82217438339208,50.19101094507153,46.63775610255235,12.43753247303448,19.932650941496174,0.0,7.264201599374675,2.8,9.236100170605994,3544.3428984976886,1505.1027104910077,-522.8793037657879,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023418508593884644,0.0,0,0.5973636785687139,197.99884266666666,-51.452258918624395,0.2817804985103581,10.591306181777735,0.003988257678894438,37.81089536614421,1.2213897049953146,0.19443816155573299,-1131.209273471334,-6.124296001704635
2025-01-01 00:03:00,0.6787115854701029,0.23405136505349078,0.2517875,0.011311859757835049,0.003900856084224846,0.004196458333333333,0.04838746797713665,0.3365720341596329,0.2937520833333333,0.0,0.2517875,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,On,3554.6471944803975,20.000000000000057,0.8,2642.436279964046,7.3791642388888885,0.2937520833333333,1,5903.331391111111,5903.331391111111,Off,0.0,0,42.1223254536853,51.666666666666686,46.10666666666668,0.0,50.180791941508794,0.0,0.0,0.0,65.81613352138328,47.81338461549866,50.180791941508794,46.62968095249361,12.43753247303448,20.048419631067965,0.0,7.444670738629227,2.8,9.236100170605994,3534.889171982379,1455.1603270474918,-528.3576164222604,-0.0,-0.0,564.0272667017033,0.0,3.0,0.02350504088365248,0.0,0,0.5995709603314895,197.99884266666666,-55.42767277746118,0.2797917959420247,10.642469283231978,0.0039886152193736295,37.335028712174335,1.220907179606743,0.19474764210370019,-1178.8126626159883,-8.46329030056603
2025-01-01 00:04:00,0.6787115854701029,0.23405136505349078,0.2517875,0.011311859757835049,0.003900856084224846,0.004196458333333333,0.04838746797713665,0.3365720341596329,0.2937520833333333,0.0,0.2517875,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,On,3554.6471944803975,20.000000000000057,0.8,2642.436279964046,7.3791642388888885,0.2937520833333333,1,5903.331391111111,5903.331391111111,Off,0.0,0,41.93933151022277,51.666666666666686,46.10666666666668,0.0,50.170615018080035,0.0,0.0,0.0,65.53020548472308,47.804634016925185,50.170615018080035,46.62164351634776,12.43753247303448,20.160557555275954,0.0,7.6152931182837,2.8,9.236100170605994,3526.525992937396,1407.8903167524068,-533.6859068668916,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023588722079406068,0.0,0,0.6017055158571751,197.99884266666666,-58.46256137781297,0.27788101726724096,10.69227437169671,0.003988968399577817,36.87409754589247,1.2204401454344775,0.195039785159961,-1223.9497574907998,-10.596205720839649
2025-01-01 00:05:00,0.38495950213676955,0.23405136505349078,0.0,0.006415991702279493,0.003900856084224846,0.0,0.04838746797713665,0.3365720341596329,0.0,0.0,0.0,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,5903.331391111111,Off,0.0,0,41.76157596494019,51.666666666666686,46.10666666666668,0.0,50.160478950203085,0.0,0.0,0.0,65.25246244521905,47.795921433976986,50.160478950203085,46.613642675863936,12.43753247303448,20.26927178232717,0.0,7.776678239941541,2.8,9.236100170605994,-35.49485880158562,-1279.306656201759,-538.8719480139418,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023669720122236247,0.0,0,0.6037716290183924,197.99884266666666,-60.65017748934701,0.2760430671940163,10.740252431952726,0.0039893173529716485,36.42723263555874,1.2199877063269864,0.1953157098713365,-1266.7601455852378,-12.546510616521385
2025-01-01 00:06:00,0.38495950213676955,0.23405136505349078,0.0,0.006415991702279493,0.003900856084224846,0.0,0.04838746797713665,0.3365720341596329,0.0,0.0,0.0,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,5903.331391111111,Off,0.0,0,41.85440658659259,51.666666666666686,46.10666666666668,0.0,50.150382582738494,0.0,0.0,0.0,65.39751029155092,47.787245778415965,50.150382582738494,46.605677376254704,12.43753247303448,20.199205985172227,0.0,7.66868329622331,2.8,9.236100170605994,-30.58129696725956,-1247.7442061864413,-535.5272673622659,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023617531706186346,0.0,0,0.6024403971824596,197.99884266666666,-59.081296306696906,0.27726538354704977,10.70950514336861,0.003989662205358471,36.6724031965378,1.2202788444868078,0.19513111104662578,-1238.0999163547765,-9.644289831664857
2025-01-01 00:07:00,0.38495950213676955,0.23405136505349078,0.0,0.006415991702279493,0.003900856084224846,0.0,0.04838746797713665,0.3365720341596329,0.0,0.0,0.0,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,5903.331391111111,Off,0.0,0,41.94323695985496,51.666666666666686,46.10666666666668,0.0,50.140266302216325,0.0,0.0,0.0,65.53630774977337,47.778550837986494,50.140266302216325,46.59769310587158,12.43753247303448,20.131764450760755,0.0,7.567934119657034,2.8,9.236100170605994,-26.030324879376394,-1218.8095503486752,-532.3157442901102,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023567248517225615,0.0,0,0.6011577642339382,197.99884266666666,-57.74184729096952,0.27844869616939816,10.680643870777683,0.003990009295916788,36.90762072911565,1.2205591985442321,0.19495874002561056,-1211.4084740670223,-7.401076281652827
2025-01-01 00:08:00,0.38495950213676955,0.23405136505349078,0.0,0.006415991702279493,0.003900856084224846,0.0,0.04838746797713665,0.3365720341596329,0.0,0.0,0.0,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,5903.331391111111,Off,0.0,0,42.02839489322808,51.666666666666686,46.10666666666668,0.0,50.130130990163124,0.0,0.0,0.0,65.66936702066887,47.769837443710294,50.130130990163124,46.58969067048388,12.43753247303448,20.066731379207212,0.0,7.473653339423067,2.8,9.236100170605994,-21.622871616264263,-1191.9875969402594,-529.2262447477941,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023518714950865757,0.0,0,0.5999197609845616,197.99884266666666,-56.42389357017343,0.279596118983267,10.652390463118824,0.003990358532485265,37.13369560248273,1.2208296520965154,0.1947972975841219,-1186.4708583946804,-5.516738545579128
2025-01-01 00:09:00,0.38495950213676955,0.23405136505349078,0.0,0.006415991702279493,0.003900856084224846,0.0,0.04838746797713665,0.3365720341596329,0.0,0.0,0.0,0.0,0.23405136505349078,0,1,0.0,0.0,Off,0.0,0.0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.017112774122807015,0.0,On,0.03127469385432964,0,On,0.024503547421645077,0,On,0.2704439728818993,0.2028329796614244,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,5903.331391111111,Off,0.0,0,42.110128419002656,51.666666666666686,46.10666666666668,0.0,50.11997745586732,0.0,0.0,0.0,65.79707565469165,47.76110635850934,50.11997745586732,46.58167080983035,12.43753247303448,20.003943622518875,0.0,7.385235707478815,2.8,9.236100170605994,-17.361548528428386,-1166.953592949119,-526.2502525812848,-0.0,-0.0,564.0272667017033,0.0,3.0,0.023471813982732754,0.0,0,0.5987234023548033,197.99884266666666,-55.13856264884681,0.2807099355930592,10.625249919805526,0.003990709830435063,37.35123763034062,1.2210908715202622,0.19464577327993213,-1163.1193885011678,-3.8342044479511346
