Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.5820115656937898,0.2583291192703259,0.18185099099099095,0.5820115656937896,0.2583291192703259,0.18185099099099095,0.021728623858185574,0.0,0.36630088454393744,0.1839820572916667,0.010000000000000002,0.18185099099099095,0.0,0.0,0.25541245260365925,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.0035099780701754383,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,4045.013311317912,17.77777777777783,0.2620833333333334,1068.781404714495,5.329527198638638,0.1839820572916667,0.2833333333333333,4929.812658740741,17399.338795555555,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,38.31849202882548,51.66666666666668,46.10666666666668,0.0,51.299678575165,0.0,0.0,0.0,38.31849202882548,50.479065381352,51.299678575165,50.06875878444551,12.43753247303448,17.568723359501746,-0.050561239762557025,8.195633977865155,2.8,9.236100170605994,2761.051714205494,-1604.0637277658702,-1640.8142258809396,0.0,0.0,433.10434301792986,0.0,1.0,0.08522270972919226,0.0,0.0,1.1028706970967952,65.99961422222222,-76.25171424940862,0.21675688423397937,7.987660307150543,0.002639877297415646,-19.536169981122175,1.2322643646093605,0.3863960499716669,-2717.1853259425648,44.340193462199935
2025-01-01 01:00:00,0.6023526524087911,0.25754865963552426,0.20324522522522517,0.602352652408791,0.25754865963552426,0.20324522522522515,0.021465375502922414,0.0,0.3652602716975352,0.20562700520833335,0.010000000000000002,0.20324522522522517,0.0,0.0,0.2546319929688576,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04058390100968627,0.030437925757264693,0.0,0.0,0.0032467297149122803,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,4520.897230296491,17.77777777777783,0.29291666666666677,1194.5203935044353,5.956530398478477,0.20562700520833335,0.31666666666666665,5509.790618592593,17399.338795555555,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,38.03087190999746,51.66666666666668,46.10666666666668,0.0,50.94838126886323,0.0,0.0,0.0,38.03087190999746,50.15756377937806,50.94838126886323,49.76215503463548,12.43753247303448,17.493549996342416,-0.06374214960959072,8.425173024845941,2.5,9.236100170605994,3266.8412328730587,-1071.798071322039,-1614.0447803300171,0.0,0.0,431.80048181626455,0.0,1.0,0.08253452988720004,0.0,0.0,1.0680828478758504,65.99961422222222,-71.8116989096787,0.21739496327198257,7.946428833906596,0.002634961303801338,-11.836392006192252,1.2326465592213345,0.30560893819347906,-2308.1660493947847,41.8475845683101
2025-01-01 02:00:00,0.5904895656040555,0.2567682000007226,0.19254810810810807,0.5904895656040554,0.2567682000007226,0.19254810810810805,0.021465375502922414,0.0,0.364219658851133,0.19480453125000002,0.010000000000000002,0.19254810810810807,0.0,0.0,0.2538515333340559,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.0032467297149122803,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,4282.9552708072015,17.77777777777783,0.2775000000000001,1131.6508991094654,5.643028798558557,0.19480453125000002,0.3,5219.801638666667,17399.338795555555,0.0,20.000000000000057,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,37.667456772574596,51.66666666666668,46.10666666666668,0.0,50.60047365765275,0.0,0.0,0.0,37.667456772574596,49.83888917320824,50.60047365765275,49.45809693098599,12.43753247303448,17.486365740115914,-0.05651233879212955,9.0852174103744,1.6500000000000001,9.236100170605994,2955.1043992843547,-937.23630535483,-1691.794917445895,0.0,0.0,430.7598689698623,0.0,1.0,0.0815602707997746,0.0,0.0,1.0554749197506343,65.99961422222222,-66.81582304681434,0.21738553656351303,7.941690066657492,0.002633791662383353,6.6598179544722225,1.2326775411491426,0.21708324210355162,-2104.728415729104,35.84121126480878
2025-01-01 03:00:00,0.7407880892708112,0.2559877403659209,0.3423077477477477,0.7407880892708112,0.2559877403659209,0.34230774774774764,0.021289876599413646,0.0,0.3631790460047308,0.3463191666666667,0.010000000000000002,0.3423077477477477,0.0,0.0,0.25307107369925425,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03850267531688185,0.028877006487661377,0.0,0.0,0.003071230811403509,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,7614.142703657247,20.0555555555556,0.49333333333333346,2011.8238206390492,10.032051197437434,0.3463191666666667,0.5333333333333333,9279.64735762963,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,34.78382208602452,51.66666666666668,46.10666666666668,0.0,50.266783153896014,0.0,0.0,0.0,34.78382208602452,49.533274472922685,50.266783153896014,49.16652013243602,12.43753247303448,19.65839340954303,-0.11004805427628656,9.71868449358247,1.6500000000000001,9.236100170605994,5806.342503268481,-710.8814462214024,-2119.8388408315827,0.0,0.0,429.5437572199513,0.0,1.0,0.0899091468607022,0.0,0.0,1.1635180785582913,65.99961422222222,-117.50511677713443,0.18982789555007532,8.963319489500025,0.002634551378482071,-30.29786621391737,1.2235343985750653,0.2666231879574929,-2755.897761940656,33.192495080204125
2025-01-01 04:00:00,2.1093328588856637,0.2745549893783831,0.25673081081081073,2.1093328588856637,0.2745549893783831,0.25673081081081073,0.03442725708143717,1.3999420835555556,0.4052241432486707,0.259739375,0.010000000000000002,0.25673081081081073,0.0,0.0,0.2716383227117164,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.003071230811403509,0.0,0.03135602627003367,0.0,0.043039712966382114,0.0,0.32472236781180897,0.24354177585885667,5710.607027742935,20.0555555555556,0.3700000000000001,1508.8678654792868,7.524038398078076,0.259739375,0.4,6959.735518222223,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,1399.9420835555554,0.4,34.30222958223291,51.66666666666668,46.10666666666668,0.0,49.91890148660298,0.42704016535619577,1112.009131407635,1399.9420835555554,34.30222958223291,49.18514921510408,49.91975710948001,48.81741745647762,12.43753247303448,19.743464574554704,-0.05817073378381572,9.227655598860805,0.55,9.236100170605994,3759.2884870167773,-1021.8585772885498,-2356.407875367434,0.0,0.0,482.92044880550355,0.0,1.0,0.09318604413951054,0.0,0.0,1.2059245450703038,65.99961422222222,-77.83111416422757,0.1878608017397046,8.985782322238746,0.002622850488622672,16.829456518786568,1.222612100288564,0.24200590373876205,-2576.216342898189,45.48990013035203
2025-01-01 05:00:00,2.825397511315721,0.31604285946736105,0.23533657657657653,2.8253975113157206,0.3160428594673611,0.2353365765765765,0.08536918000769585,1.9832512850370372,0.5086826191876546,0.23809442708333334,0.010000000000000002,0.23533657657657653,0.0,0.0,0.31312619280069437,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746206247047963,0.028096546852859717,0.0,0.0,0.0034222286184210525,0.0,0.0819469513892748,0.0,0.09118102878672861,0.0,0.3800395279304463,0.2850296459478347,5234.723108764358,20.0555555555556,0.3391666666666667,1383.1288766893463,6.897035198238237,0.23809442708333334,0.36666666666666664,6379.75755837037,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,1983.2512850370372,0.5666666666666667,34.52866760602477,51.66666666666668,46.10666666666668,0.0,50.95791664724211,0.8720798772701318,2341.780198062675,1983.2512850370372,34.52866760602477,49.42445623851477,50.957916647242115,48.65772603415111,12.43753247303448,19.767361965088867,-0.06091009963500446,9.497757508584153,-0.25000000000000006,9.236100170605994,3309.014954404528,-1281.2476575474159,-2496.8073015089,0.0,0.0,633.4486464624414,0.0,1.0,0.09466025267438206,0.0,0.0,1.225002340175461,65.99961422222222,-62.34949931337156,0.18878897551391483,9.013537719813867,0.00264102994464324,27.499180256510048,1.221885710356984,0.2165452994482114,-2709.8900034192316,45.51346918246928
2025-01-01 06:00:00,2.0062307098605836,0.26733962843685644,0.278125045045045,2.0062307098605836,0.26733962843685644,0.278125045045045,0.038958661145271335,1.2832802432592594,0.39260748253938627,0.2813843229166667,0.010000000000000002,0.278125045045045,0.0,0.0,0.26442296177018976,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954328816328407,0.029657466122463037,0.0,0.0,0.0038609758771929823,0.0,0.03509768526807835,0.0,0.04004353351246652,0.0,0.3130206608636357,0.23476549564772672,6186.490946721514,20.0555555555556,0.4008333333333335,1634.6068542692274,8.151041597917915,0.2813843229166667,0.43333333333333335,7539.713478074074,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,1283.2802432592594,0.36666666666666664,36.158436485376164,51.66666666666668,46.10666666666668,0.0,51.316186720107765,0.31167309152879696,824.3335467318324,1283.2802432592594,36.158436485376164,50.78363188303738,51.32162829889959,50.51191288571035,12.43753247303448,19.752338547166786,-0.0630620362828795,9.007434530026595,0.3,9.236100170605994,4155.146549705484,-1187.4785174745987,-2391.642873391026,0.0,0.0,419.5546395575365,0.0,0.15,0.0935433849588346,0.0,0.0,1.2105489077520515,9.899942133333333,-59.256163182539794,0.18809150208470993,8.992608582401477,0.0026287720088631473,-75.50628425061275,1.2219574323872007,0.2517549478773741,-2875.129885502632,53.044513758806055
2025-01-01 07:00:00,0.6362116849372107,0.2583291192703259,0.23533657657657653,0.6362116849372107,0.2583291192703259,0.2353365765765765,0.02181637330993996,0.0,0.36630088454393744,0.23809442708333334,0.010000000000000002,0.23533657657657653,0.0,0.0,0.25541245260365925,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041624513856088494,0.03121838539206636,0.0,0.0,0.0035977275219298247,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,5234.723108764358,20.0555555555556,0.3391666666666667,1383.1288766893463,6.897035198238237,0.23809442708333334,0.36666666666666664,6379.75755837037,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,37.07587548734771,51.66666666666668,46.10666666666668,0.0,51.5966604199865,0.0,0.0,0.0,37.07587548734771,51.6173510993939,51.6276964390976,51.5966604199865,12.43753247303448,19.75018479425216,-0.06483750926764689,8.872008040803316,-0.55,9.236100170605994,2976.693695972763,-1739.21553458048,-2571.774784038219,0.0,0.0,367.19247824746213,4.662148959951151,0.0,0.09607660506364055,0.0,0.0,1.2433314164491427,0.0,-53.44710700083715,0.186879619755222,8.971788386187388,0.0026114185261725755,-24.91873056341213,1.2219792212038618,0.25522484995879874,-3176.892701157289,54.54828988746268
2025-01-01 08:00:00,0.6688422251410692,0.2591095789051276,0.26742792792792786,0.6688422251410691,0.2591095789051276,0.26742792792792786,0.0209388787923961,0.0,0.36734149739033967,0.27056184895833335,0.010000000000000002,0.26742792792792786,0.0,0.0,0.2561929122384609,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.002720233004385965,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,5948.548987232224,20.0555555555556,0.3854166666666668,1571.7373598742572,7.837539997997996,0.27056184895833335,0.4166666666666667,7249.724498148148,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,36.7298067285655,51.66666666666668,46.10666666666668,0.0,51.26790346225148,0.0,0.0,0.0,36.7298067285655,51.30655647971631,51.32588298844874,51.26790346225148,12.43753247303448,19.7363042651209,-0.060062401054698886,8.309052969711269,-1.4,9.236100170605994,3571.5123371035684,-1842.1994387514544,-2763.4732391964517,0.0,0.0,367.3555965763204,300.1593731608906,0.0,0.0988897943082352,0.0,0.0,1.2797370176452354,0.0,19.080992491475747,0.18748644453115004,8.975096273597977,0.0026165219782768394,66.04269580156064,1.2226071780869352,0.2706732150194367,-3474.1009115400034,60.164112914291735
2025-01-01 09:00:00,0.6683157284305427,0.2591095789051276,0.26742792792792786,0.6683157284305428,0.2591095789051276,0.26742792792792786,0.020412382081869785,0.0,0.36734149739033967,0.27056184895833335,0.010000000000000002,0.26742792792792786,0.0,0.0,0.2561929122384609,0.0,0.0029166666666666685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426651267024907,0.03199884502686802,0.0,0.0,0.0021937362938596492,0.0,0.018218645788010135,0.0,0.02575094773905835,0.0,0.2989254229487906,0.22419406721159288,5948.548987232224,20.0555555555556,0.3854166666666668,1571.7373598742572,7.837539997997996,0.27056184895833335,0.4166666666666667,7249.724498148148,17399.338795555555,0.0,21.0555555555556,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,1266.0672,0.0,0.0,36.31057239348474,51.66666666666668,46.10666666666668,0.0,50.942735412895296,0.0,0.0,0.0,36.31057239348474,50.998925830847604,51.02702103982377,50.942735412895296,12.43753247303448,19.788485754826247,-0.055380154636917214,8.1901569559046,-0.85,9.236100170605994,3800.0178490884136,-1562.2305292321569,-2655.4675878381545,0.0,0.0,366.8290998657941,782.203066214671,0.0,0.09741007832883,0.0,0.0,1.2605879504670428,0.0,140.1073498285502,0.1892708063359932,9.039835779700379,0.002648699499665301,156.51370602867985,1.2229793573793553,0.26742764620577714,-3193.616126834967,59.64823772855257
