Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,13.98761270389999,0.4731184959446871,0.0,0.23312687839833315,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,13.257657853333335,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,On,13257.657853333334,18.33333333333337,1.0,0.0,13.257657853333335,0.0,1,13257.657853333334,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.82635281154853,51.666666666666686,46.10666666666668,0.0,51.09579766082423,0.330194122276716,889.9145619192403,0.0,36.82635281154853,50.007622724390316,51.09579766082423,49.46353525617336,12.43753247303448,18.36038467741444,0.0,4.410443871115581,2.8,9.236100170605994,6659.414570815219,3888.19149880673,-2433.9873823092908,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12002738417583905,0.0,0,0.7122580960903001,263.9984568888889,-73.4799623540442,0.22209005677021545,8.588485101786242,0.002853002060436767,26.574052273557008,1.2252383865195804,0.5436834545663999,-1141.0623125490574,32.81432623805023
2025-01-01 00:01:00,13.98761270389999,0.4731184959446871,0.0,0.23312687839833315,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,13.257657853333335,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,On,13257.657853333334,18.33333333333337,1.0,0.0,13.257657853333335,0.0,1,13257.657853333334,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.69795294667483,51.666666666666686,46.10666666666668,0.0,51.08105200766351,0.33032011825382773,889.9145619192403,0.0,36.69795294667483,49.92958653044698,51.08105200766351,49.35385379183873,12.43753247303448,18.395037104763084,0.0,4.662806070874113,2.8,9.236100170605994,6640.502869888698,3708.5738120101278,-2442.090581380087,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12015938706589778,0.0,0,0.7130414183945996,263.9984568888889,-84.2884642097702,0.22225969792519662,8.62782395120405,0.00285306033475154,26.34302412414842,1.2286713686697894,0.5436834545663999,-1319.8707767378537,32.005103630243696
2025-01-01 00:02:00,13.98761270389999,0.4731184959446871,0.0,0.23312687839833315,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,13.257657853333335,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,On,13257.657853333334,18.33333333333337,1.0,0.0,13.257657853333335,0.0,1,13257.657853333334,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.57058890306905,51.666666666666686,46.10666666666668,0.0,51.066308030337325,0.3304461960873509,889.9145619192403,0.0,36.57058890306905,49.851561148410845,51.066308030337325,49.244187707447615,12.43753247303448,18.42880975248251,0.0,4.899734850056822,2.8,9.236100170605994,6621.870304789242,3540.001942762567,-2449.998406426802,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12028798375061373,0.0,0,0.7138045278337348,263.9984568888889,-95.01320426251023,0.2217939284616456,8.643756329956956,0.002853117941037599,26.117590834053907,1.228529012865959,0.5436834545663999,-1487.7440603291477,31.306517973977186
2025-01-01 00:03:00,13.98761270389999,0.4731184959446871,0.0,0.23312687839833315,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,13.257657853333335,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,On,13257.657853333334,18.33333333333337,1.0,0.0,13.257657853333335,0.0,1,13257.657853333334,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.44422133853743,51.666666666666686,46.10666666666668,0.0,51.05156563662773,0.33057235664410806,889.9145619192403,0.0,36.44422133853743,49.77354649106059,51.05156563662773,49.134536918277036,12.43753247303448,18.461736346319558,0.0,5.122213120488219,2.8,9.236100170605994,6603.490257327117,3381.71187834679,-2457.717964506663,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12041330684338518,0.0,0,0.7145482113528456,263.9984568888889,-105.6736936447735,0.22134095900799702,8.6592174240702,0.0028531750609696142,25.897475743027137,1.228390254317496,0.5436834545663999,-1645.3785946979303,30.650987926982765
2025-01-01 00:04:00,13.98761270389999,0.4731184959446871,0.0,0.23312687839833315,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,13.257657853333335,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,On,13257.657853333334,18.33333333333337,1.0,0.0,13.257657853333335,0.0,1,13257.657853333334,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.31881395622247,51.666666666666686,46.10666666666668,0.0,51.03682473787459,0.3306986007629495,889.9145619192403,0.0,36.31881395622247,49.69554247448774,51.03682473787459,49.024901342794315,12.43753247303448,18.493847998288622,0.0,5.331157352033612,2.8,9.236100170605994,6588.599315130719,3233.0561995951084,-2465.255809217005,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12053547869349411,0.0,0,0.7152731949884711,263.9984568888889,-113.02679113083029,0.2209002762114838,8.674224556087026,0.0028532317059013824,25.68248327538,1.2282549595620564,0.5436834545663999,-1793.4237344989317,30.040448976302216
2025-01-01 00:05:00,13.98761270389999,0.4731184959446871,0.0,0.23312687839833315,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,13.257657853333335,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,On,13257.657853333334,18.33333333333337,1.0,0.0,13.257657853333335,0.0,1,13257.657853333334,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.194289558555965,51.666666666666686,46.10666666666668,0.0,51.02208524870024,0.330824929257004,889.9145619192406,0.0,36.194289558555965,49.617549017840155,51.02208524870024,48.91528090241011,12.43753247303448,18.525210976131333,0.0,5.527425553508837,2.8,9.236100170605994,6577.76534322518,3093.423332270191,-2472.6268163785494,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12065475503235779,0.0,0,0.7159809962840754,263.9984568888889,-116.48975587482519,0.22047088729967337,8.688814228887303,0.002853287886773002,25.472206808702985,1.2281228472875363,0.5436834545663999,-1932.4874124525304,29.47125960498418
2025-01-01 00:06:00,0.7299548505666547,0.4731184959446871,0.0,0.01216591417611091,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,0.0,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.070566806110946,51.666666666666686,46.10666666666668,0.0,51.00734709070741,0.33095134288184735,889.9145619192402,0.0,36.070566806110946,49.53956604676614,51.00734709070741,48.80567552479551,12.43753247303448,18.555895114097037,0.0,5.711820712308623,2.8,9.236100170605994,-1692.7260437364155,-2034.1980754492122,-2479.846792581424,-0.0,-0.0,905.6635472629574,0.0,4.0,0.1207714046639254,0.0,0,0.7166732103572262,263.9984568888889,-118.54279841794889,0.22005176037323726,8.703024858385898,0.0028533436136552897,25.266219139507278,1.2279936214616132,0.5436834545663999,-2063.138576455646,28.94050100643411
2025-01-01 00:07:00,0.7299548505666547,0.4731184959446871,0.0,0.01216591417611091,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,0.0,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.05847681317107,51.666666666666686,46.10666666666668,0.0,50.99261019285361,0.3310778423320643,889.9145619192403,0.0,36.05847681317107,49.461593493763196,50.99261019285361,48.69608514421799,12.43753247303448,18.49064459107642,0.0,5.617291655210922,2.8,9.236100170605994,-1670.1138735033894,-1966.8068898859199,-2464.5034315126486,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12052329321652866,0.0,0,0.7152008847845709,263.9984568888889,-111.27398925369803,0.22095751669512875,8.672789031136311,0.0028533988957044542,25.637705758979102,1.2282683269231427,0.5436834545663999,-1996.1610515449108,29.354161658991217
2025-01-01 00:08:00,0.7299548505666547,0.4731184959446871,0.0,0.01216591417611091,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,0.0,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.04428618760414,51.666666666666686,46.10666666666668,0.0,50.97786446351077,0.3312045144182219,889.9145619192403,0.0,36.04428618760414,49.383621958797775,50.97786446351077,48.586500706441285,12.43753247303448,18.427200148779406,0.0,5.52874271818765,2.8,9.236100170605994,-1649.1182821775994,-1903.745616394391,-2449.621287748529,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12028185606275243,0.0,0,0.7137681653376304,263.9984568888889,-105.16054169202786,0.22184239788902715,8.643509578093408,0.002853454978014135,25.99840832306176,1.2285355449285302,0.5436834545663999,-1933.4206750153378,29.67505862094674
2025-01-01 00:09:00,0.7299548505666547,0.4731184959446871,0.0,0.01216591417611091,0.007885308265744784,0.0,0.0288712229878502,0.0,0.6510836275788044,0.0,0.05,0.0,0.0,0.45853516261135374,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0,0,Off,0.005086641081871345,0.0,On,0.0005682424170731083,0.0,On,0.023216339488905745,0,On,0.039703410763665896,0,On,0.5469965741798022,0.41024743063485153,On,0,0,Off,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,13257.657853333334,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,12226.340613333334,Off,0.0,0.0,36.0281143171386,51.666666666666686,46.10666666666668,0.0,50.96311009414947,0.33133135777896044,889.9145619192402,0.0,36.0281143171386,49.30565161875361,50.96311009414947,48.47692238105568,12.43753247303448,18.365459354665905,0.0,5.445785899914161,2.8,9.236100170605994,-1629.0133911637092,-1844.678953381328,-2435.17338301841,-0.0,-0.0,905.6635472629574,0.0,4.0,0.12004671891165972,0.0,0,0.712372830925343,263.9984568888889,-99.5035554082568,0.22270751602179228,8.614475436319822,0.0028535118369882088,26.348926672610155,1.2287956974133984,0.5436834545663999,-1874.6425327909287,29.96357940960062
