Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.391330037535075e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.391330037535075e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.753658609364106,0.0,7.28606159609189,0.06623079282872181,-1.8469215689944656,2.8,9.236100170605994,-323.81855189311756,-3886.7553840949363,1305.628537176198,2321.774080198508,-741.6544577179995,-0.0,-0.0,553.4564999292057,0.0,3.0,0.03805717067714031,0.0,0,0.27755361838995335,197.99884266666666,-135.6205941043237,0.23242991327422266,8.328406479482453,0.0028741532937243412,95.96447113336009,1.227778148610886,0.6801966216534518,-3976.6498729527743,89.89448885783743,0.3624556363775999,1291.3214257091329,14.307111467065162,0.4330343698145633,2622.438800823453,-300.6647206249455
2025-01-01 00:01:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.3989091482074706e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3989091482074706e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.677918131416376,0.0,7.271750391153051,0.20712154400854013,-1.798801838334774,2.8,9.236100170605994,-316.54580786984053,-3873.076229298821,1238.5539578620212,2288.4265206722553,-735.9120121696724,-0.0,-0.0,553.4564999292057,0.0,3.0,0.037954744775976004,0.0,0,0.2768066190996966,197.99884266666666,-134.09029562937383,0.23424568197213086,8.315702218306447,0.0028744113912863183,96.102207185001,1.2316851407759088,0.6801107272388635,-3963.463202719652,90.38697342083125,0.3624556363775999,1224.7703630936428,13.783594768378375,0.43224087841071884,2590.5273710896745,-302.1008504174192
2025-01-01 00:02:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.40629011219562e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.40629011219562e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.604117805170898,0.0,7.258320880166884,0.3409715861423023,-1.7520385972477086,2.8,9.236100170605994,-309.971245039391,-3860.3213012025517,1174.8741514546343,2256.6174067208813,-730.3338829050916,-0.0,-0.0,553.4564999292057,0.0,3.0,0.03785482696408555,0.0,0,0.27607791148064964,197.99884266666666,-133.09386206350504,0.23535984260232315,8.28074850814581,0.002874669039412263,96.23602599729203,1.231997580316919,0.6800301147955458,-3951.09180201292,90.7705008103687,0.3624556363775999,1161.5450451750744,13.329106279559827,0.4314683572945482,2559.6025785644406,-302.9851718435591
2025-01-01 00:03:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.4134729294995246e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.4134729294995246e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.532153053765583,0.0,7.245709550948562,0.46815391921008875,-1.7064392443094447,2.8,9.236100170605994,-303.5990794490644,-3848.3728514393183,1114.3719792069742,2226.99711415682,-724.910885283785,-0.0,-0.0,553.4564999292057,0.0,3.0,0.03775728404707759,0.0,0,0.2753665241367625,197.99884266666666,-132.14469409448506,0.23645255055177947,8.247394579993209,0.002874926980872224,96.36605175897749,1.2323023966023816,0.6799544048967598,-3939.476637239918,91.10378580059971,0.3624556363775999,1101.4692819280208,12.902697278953436,0.43071372914092293,2529.5303087533625,-302.5331945965425
2025-01-01 00:04:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.420507136790244e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.420507136790244e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.461938716998766,0.0,7.233860575881452,0.5890196239895551,-1.6618233133156244,2.8,9.236100170605994,-296.1095865351652,-3837.1476512024783,1056.881397592684,2198.561032158667,-719.6354146745624,-0.0,-0.0,553.4564999292057,0.0,3.0,0.03766200839372823,0.0,0,0.27467167210596066,197.99884266666666,-129.9306717898085,0.2375246898159031,8.214336380380828,0.002875185206950946,96.4924577575514,1.232599939397544,0.6798832639753724,-3928.5658316701706,91.41818046769222,0.3624556363775999,1044.3772370671243,12.50416052555973,0.42997409385793783,2500.1859495506756,-301.62491739200885
2025-01-01 00:05:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.4273431973967185e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.4273431973967185e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.393416785195523,0.0,7.222723752784248,0.7039012004249736,-1.6180518589319535,2.8,9.236100170605994,-287.20955942966515,-3826.5958925830446,1002.2438188842066,2171.286972567073,-714.5019988422691,-0.0,-0.0,553.4564999292057,0.0,3.0,0.037568928619285936,0.0,0,0.27399283477423814,197.99884266666666,-126.16406051660174,0.23857676644634207,8.182173748669944,0.0028754437093358024,96.61535765145778,1.232890444215494,0.6798163920079022,-3918.3127556858913,91.7168631028467,0.3624556363775999,990.1118511372713,12.131967746935292,0.4292472196569288,2471.4734650642977,-300.18649249722455
2025-01-01 00:06:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.4340306479900086e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.4340306479900086e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.32653894884547,0.0,7.2122528931860606,0.8131135712159785,-1.5750045460851472,2.8,9.236100170605994,-278.06945007350095,-3816.6788951089516,950.3088924025349,2144.9917585044263,-709.5059635246367,-0.0,-0.0,553.4564999292057,0.0,3.0,0.037477986060536254,0.0,0,0.2733295843066521,197.99884266666666,-122.01998647806995,0.23960916207202285,8.150881353002804,0.0028757024799800617,96.73484424277389,1.2331741060945107,0.6797535128725458,-3908.674532570152,91.99563746120074,0.3624556363775999,938.5243674590708,11.78452494346396,0.428531168145333,2443.310015821912,-298.3182573174857
2025-01-01 00:07:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.4405694885701145e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.4405694885701145e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.261244734893552,-0.016533042884276483,7.202405021044616,0.916954917948871,-1.532580501121034,2.8,9.236100170605994,-269.1789728538204,-3807.3587208795934,900.9342927789328,2119.5219376514447,-704.6417932629598,-0.0,-0.0,553.4564999292057,0.0,3.0,0.03738910508161271,0.0,0,0.2726813690855167,197.99884266666666,-117.99367952006634,0.24062246270104615,8.119807304037657,0.002875961511054804,96.85103856202112,1.2334511723398018,0.6796943695653018,-3899.6112928280722,92.2525719484786,0.3624556363775999,889.4739371744221,11.460355604510845,0.42782431155346046,2415.626320003099,-296.1043823516543
2025-01-01 00:08:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.446910182465975e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.446910182465975e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.197470976833234,-0.08030680094459441,7.19313998961067,1.0157075685166437,-1.4906956123499513,2.8,9.236100170605994,-260.6352239514882,-3798.5975407873443,853.9852686567399,2094.7484868149472,-699.9038440564391,-0.0,-0.0,553.4564999292057,0.0,3.0,0.037302205913760794,0.0,0,0.27204760735170336,197.99884266666666,-114.18787982425476,0.24161731770189862,8.090159615273954,0.0028762207950128755,96.96406867751291,1.2337219023758512,0.6796387219221809,-3891.0858148414213,92.48827405407641,0.3624556363775999,842.8272000653731,11.158068591366915,0.4271252906372375,2388.3647096298423,-293.61622281489497
2025-01-01 00:09:00,0.42959273447004437,0.22381238473952514,0.0,0.007159878907834072,0.003730206412325419,0.0,0.05199482616304176,0.007382,0.32021590830700264,0.0,0.05,0.0,0.0,0.0,0,0.2092290514061918,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.006816077302631578,0.0,On,0.001448933494389786,0.0,On,0.0437298153660204,0,On,0.04124383976541348,0,On,0.23932967439293343,0.17949725579470002,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,18417.760906666666,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12024.121546666667,Off,0.0,0.0,3.453151803019713e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.453151803019713e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.135156934982245,-0.1426208427955835,7.184420217643961,1.1096388327879354,-1.4492801911884334,2.8,9.236100170605994,-252.4226741541152,-3790.359188283243,809.3342435391462,2070.5622894697794,-695.2867222370527,-0.0,-0.0,553.4564999292057,0.0,3.0,0.037217211640002724,0.0,0,0.27142773814429144,197.99884266666666,-110.59245184626825,0.2425943614498385,8.060668199858949,0.002876480324604471,97.07405814420777,1.2339865459789543,0.6795863450548141,-3883.0632763508606,92.7040880676182,0.3624556363775999,798.4578898180846,10.876353721061637,0.42643297805066155,2361.4774565838416,-290.9151671140621
