Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.31657522871623,51.666666666666686,46.10666666666668,0.0,50.278901770327266,0.0,0.0,0.0,148.9321487948691,48.77143501029725,50.278901770327266,48.017701630282254,12.43753247303448,13.137642958561239,0.0,-2.7999999999739407,-0.7838714667465239,-0.9323872783402452,2.8,9.236100170605994,-1741.3448406185867,170.32663898342335,1751.8739364888477,1057.8759520955723,-2208.2224921610627,-0.0,-0.0,624.6372008273459,0.0,3.0,0.1639093200820738,0.0,0,0.7869430075709684,197.99884266666666,-157.75954928487,0.3039894460655513,5.976182943958101,0.002794814514643059,-68.91784074976884,1.2476341989487196,0,0,170.32663898342335,0.3624556363775999,1692.8751702438242,58.99876624502353,0.2777789895885711,1351.150562135769,-293.27461004019665
2025-01-01 00:01:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.43571794121246,51.666666666666686,46.10666666666668,0.0,50.26230141821212,0.0,0.0,0.0,149.11830928314447,48.75658403023664,50.26230141821212,48.003725336248905,12.43753247303448,13.078126303472356,0.0,-2.6292115629675443,-0.4991069883761752,-0.8769828497423792,2.8,9.236100170605994,-1739.743987547533,166.57421938440635,1614.43881818986,1035.1113891639793,-2190.1637955054753,-0.0,-0.0,624.6372008273459,0.0,3.0,0.16351025409066922,0.0,0,0.7850270567797751,197.99884266666666,-174.21739286940337,0.3060527870620285,5.96717303312408,0.0027946944356726034,-68.29810329946518,1.2515389745099859,0,0,166.57421938440635,0.3624556363775999,1558.3640084252263,56.074809764634004,0.2772816215850928,1328.710421558591,-293.59903239461175
2025-01-01 00:02:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.55222669464966,51.666666666666686,46.10666666666668,0.0,50.245682078723334,0.0,0.0,0.0,149.30035421039008,48.74171448691939,50.245682078723334,47.98973069101742,12.43753247303448,13.01957719559947,0.0,-2.4623431516457503,-0.23581179362432045,-0.823453348351057,2.8,9.236100170605994,-1738.9042751868174,163.2123240704775,1487.569101035387,1013.6189695877952,-2172.4554250782007,-0.0,-0.0,624.6372008273459,0.0,3.0,0.16311740127295726,0.0,0,0.783140935979883,197.99884266666666,-191.0860509359625,0.30721394173098365,5.937198399435181,0.002794575807776368,-67.68809531693988,1.2517951238015788,0,0,163.2123240704775,0.3624556363775999,1433.9940633042418,53.57503773114503,0.2768002360457127,1307.093883046982,-293.4749134591868
2025-01-01 00:03:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.66620562918467,51.666666666666686,46.10666666666668,0.0,50.22904419059126,0.0,0.0,0.0,149.47844629560106,48.72682679073449,50.22904419059126,47.97571809080612,12.43753247303448,12.96195705738947,0.0,-2.299167122338153,0.007683071625090826,-0.7715448910231066,2.8,9.236100170605994,-1738.7573739205927,159.85579659644424,1370.215124817745,993.7196334647335,-2155.0830478599573,-0.0,-0.0,624.6372008273459,0.0,3.0,0.16273051671872046,0.0,0,0.7812834693358787,197.99884266666666,-208.31152688798113,0.3083614184191276,5.907978587772773,0.002794458263468714,-67.08727247176934,1.2520473118562216,0,0,159.85579659644424,0.3624556363775999,1318.9769888116682,51.23813600607681,0.2763326275077029,1286.192378030696,-292.47274456596256
2025-01-01 00:04:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.77775258801128,51.666666666666686,46.10666666666668,0.0,50.21238817519432,0.0,0.0,0.0,149.65273841876763,48.711921335845204,50.21238817519432,47.961687916170646,12.43753247303448,12.905229652520855,0.0,-2.1395217267437983,0.2328944951255357,-0.7210233882466006,2.8,9.236100170605994,-1728.667991640575,156.5614149022549,1261.6618677658448,974.8002490214865,-2138.0332167923116,-0.0,-0.0,624.6372008273459,0.0,3.0,0.1623493703001328,0.0,0,0.7794535519839058,197.99884266666666,-215.2719756756092,0.30949573832818655,5.878496462618429,0.0027943417859904998,-66.49529438386524,1.2522956924716275,0,0,156.5614149022549,0.3624556363775999,1212.5962688453697,49.06559892047508,0.27587675200682343,1265.9066055316068,-291.1063565101204
2025-01-01 00:05:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.88669828183185,51.666666666666686,46.10666666666668,0.0,50.195714437607954,0.0,0.0,0.0,149.82296606536227,48.6969985011701,50.195714437607954,47.947640532951176,12.43753247303448,12.849458740847886,0.0,-1.983279609174975,0.4412251092668449,-0.6717056131324015,2.8,9.236100170605994,-1711.277791751897,153.3378154235916,1161.2341877863112,956.7949623061121,-2121.322570273235,-0.0,-0.0,624.6372008273459,0.0,3.0,0.1619744035360658,0.0,0,0.7776533036947524,197.99884266666666,-214.59242230600776,0.3106154018871058,5.8505309713670215,0.002794226359207862,-65.91275827587326,1.252539981830935,0,0,153.3378154235916,0.3624556363775999,1114.1893568916792,47.04483089463191,0.2754310104344177,1246.1587718766684,-289.3638095705563
2025-01-01 00:06:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,95.99294382208593,51.666666666666686,46.10666666666668,0.0,50.17902341107967,0.0,0.0,0.0,149.98897472200926,48.682058692004226,50.17902341107967,47.93357633246651,12.43753247303448,12.794681751391469,-0.038651581941902435,-1.8303347123954967,0.6339697320755224,-0.623434144009401,2.8,9.236100170605994,-1691.8973215573615,150.1919156649741,1068.3094751518408,939.5716703971115,-2104.959695594054,-0.0,-0.0,624.6372008273459,0.0,3.0,0.1616058816118731,0.0,0,0.7758839976465373,197.99884266666666,-211.5748267906531,0.31171942814774023,5.822118315906097,0.0027941119659437015,-65.34001451816108,1.2527800111178369,0,0,150.1919156649741,0.3624556363775999,1023.1446335587206,45.164841593120464,0.2749940258574835,1226.8822654931707,-287.3105950960593
2025-01-01 00:07:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,96.09652275279507,51.666666666666686,46.10666666666668,0.0,50.16231554530725,0.0,0.0,0.0,150.15081680124229,48.66710232905014,50.16231554530725,47.91949572092158,12.43753247303448,12.74088654736705,-0.09244678596632205,-1.68059425137575,0.8123234615753157,-0.5760768835234945,2.8,9.236100170605994,-1672.743520584041,147.12703506767468,982.313015692843,923.0150705286268,-2088.938346260656,-0.0,-0.0,624.6372008273459,0.0,3.0,0.16124373630328445,0.0,0,0.774145306288561,197.99884266666666,-208.4423751507308,0.312807842615544,5.794246610680467,0.002793998588417855,-64.77694823065183,1.2530158285872919,0,0,147.12703506767468,0.3624556363775999,938.8975831295712,43.415432563271686,0.27456464143768516,1208.0212893032917,-285.00621877466494
2025-01-01 00:08:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,96.19751941500658,51.666666666666686,46.10666666666668,0.0,50.14559128438973,0.0,0.0,0.0,150.30862408594777,48.652129827783995,50.14559128438973,47.90539909948113,12.43753247303448,12.688041968855694,-0.14529136447767677,-1.5339741913982325,0.9773892525308353,-0.5295236829757456,2.8,9.236100170605994,-1654.1839325125939,144.14436364451709,902.7143689484961,907.0281899044376,-2073.2467205446187,-0.0,-0.0,624.6372008273459,0.0,3.0,0.16088777072331095,0.0,0,0.7724362843491386,197.99884266666666,-205.57441279532122,0.313881068643447,5.766898613858137,0.002793886209074367,-64.223265647264,1.2532475660642652,0,0,144.14436364451709,0.3624556363775999,860.9272146166259,41.78715433187043,0.27414189185726856,1189.5293601484257,-282.50117024398804
2025-01-01 00:09:00,0.44765510288247806,0.27346713971006176,0.0,0.0074609183813746345,0.0045577856618343624,0.0,0.04486029790358094,0.40279480497889714,0.0,0.0,0.0,0.0,0.27346713971006176,0,1,0.0,0.0,Off,0.0,0.0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.0007847211047511457,0.0,On,0.038301728114619266,0,On,0.03817195203214799,0,On,0.3002392103114128,0.22517940773355954,On,Off,0.0,13.333333333333371,0.0,0.0,0.0,0.0,0,0.0,36824.385111111114,Off,0.0,0,96.29602169879749,51.666666666666686,46.10666666666668,0.0,50.128851058370415,0.0,0.0,0.0,150.46253390437107,48.63714159054105,50.128851058370415,47.89128685662637,12.43753247303448,12.636115514085033,-0.1972178192483387,-1.3903965338334503,1.1301849826879025,-0.4836832281413892,2.8,9.236100170605994,-1636.166121844718,141.24370921449756,829.0239713321378,891.5289358915222,-2057.8727690284727,-0.0,-0.0,624.6372008273459,0.0,3.0,0.16053777815938025,0.0,0,0.7707559393830976,197.99884266666666,-202.93055364359117,0.3149395694511457,5.7410345311233915,0.0027937748108985243,-63.67866006903573,1.25347536154056,0,0,141.24370921449756,0.3624556363775999,788.7527239569503,40.271247375187535,0.2737249767308214,1171.3679422946143,-279.83900640309207
