Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.670445714044185,51.666666666666686,46.10666666666668,0.0,51.578753982085,0.0,0.0,0.0,43.670445714044185,51.613270856991804,51.63052929444522,51.578753982085,12.43753247303448,14.078664712644382,0.0,6.651981786754012,-2.084726924779802,2.8,9.236100170605994,-1206.7307413784276,-2587.5215304358335,9235.693551529617,-1509.2338015257255,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10267889471216697,0.0,0.0,0.9609728655718183,131.99922844444444,-85.98751201918043,0.2816372009565281,6.397892717817923,0.002752738816955468,-25.332752544310992,1.2435782624859981,0.5270739074016286,-2645.8998036852513,58.37827324941768,1.4498225455103997,9229.385597233035,6.307954296583072
2025-01-01 00:01:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.73881014500812,51.666666666666686,46.10666666666668,0.0,51.57481101840187,0.0,0.0,0.0,43.73881014500812,51.60959358827823,51.626984873216415,51.57481101840187,12.43753247303448,14.016220635246775,0.0,6.651856948966073,-1.5157883252210558,2.8,9.236100170605994,-1195.2033728727477,-2587.492989626774,8159.592265964411,-1496.7938076922646,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10239948728425835,0.0,0.0,0.9583578884880459,131.99922844444444,-86.90013734696166,0.2835978300091584,6.387597407371729,0.0027526524948288836,-24.951816013731573,1.2474821856983138,0.527073320275413,-2645.8111062014877,58.31811657471353,1.4498225455103997,8154.4117456058775,5.1805203585336805
2025-01-01 00:02:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.80541567387918,51.666666666666686,46.10666666666668,0.0,51.57086191537744,0.0,0.0,0.0,43.80541567387918,51.60591056293957,51.62343488672064,51.57086191537744,12.43753247303448,13.95528250646944,0.0,6.651608293907017,-1.0169423365135104,2.8,9.236100170605994,-1184.1575290943483,-2587.4131667562983,7216.3208523618305,-1484.6935170025004,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10212653260587344,0.0,0.0,0.9558033027555634,131.99922844444444,-87.95458425832642,0.2847132297472015,6.357219775643124,0.0027525677368330525,-24.579685646802048,1.247747027759734,0.5270721508206387,-2645.634436872529,58.2212701162307,1.4498225455103997,7211.873492329327,4.447360032503695
2025-01-01 00:03:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.870329750582556,51.666666666666686,46.10666666666668,0.0,51.56690683209958,0.0,0.0,0.0,43.870329750582556,51.60222192908413,51.61987947757641,51.56690683209958,12.43753247303448,13.895792503852197,-0.048651940592259635,6.65126615607471,-0.5794293267387141,2.8,9.236100170605994,-1173.572530133483,-2587.246281147841,6389.044804447023,-1472.918653088948,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10185979166126143,0.0,0.0,0.9533068714234215,131.99922844444444,-89.14444921101347,0.2858068020374715,6.327102540263999,0.0027524842606366194,-24.2159590964515,1.24800568517102,0.52707054170085,-2645.391349284822,58.14506813698099,1.4498225455103997,6385.220061503281,3.8247429437428373
2025-01-01 00:04:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.93361873372435,51.666666666666686,46.10666666666668,0.0,51.562945921556114,0.0,0.0,0.0,43.93361873372435,51.5985278291406,51.61631878293285,51.562945921556114,12.43753247303448,13.837693737131783,-0.10675070731267411,6.650853736940533,-0.19560262235956793,2.8,9.236100170605994,-1162.0937776009803,-2587.0141044623983,5663.343980373115,-1461.45532905994,-0.0,-0.0,388.4905721664786,0.0,2.0,0.1015990281659971,0.0,0.0,0.9508663831031767,131.99922844444444,-89.1290207075189,0.28687928219777836,6.297750892368015,0.0027524020367535613,-23.86032050412952,1.248258397638023,0.5270686020322092,-2645.0983289824417,58.08422452004335,1.4498225455103997,5660.003542385376,3.3404379877393
2025-01-01 00:05:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.995319145435,51.666666666666686,46.10666666666668,0.0,51.55897933073348,0.0,0.0,0.0,43.995319145435,51.59482839994994,51.61275293455817,51.55897933073348,12.43753247303448,13.780954953937425,-0.16348949050703254,6.650387457141065,0.14124855266166325,2.8,9.236100170605994,-1149.292615782057,-2586.7417002891766,5026.528011293294,-1450.2948890902105,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10134411968708018,0.0,0.0,0.9484806919430797,131.99922844444444,-87.48829885832508,0.2879309484056645,6.269147947650621,0.0027523210368226164,-23.512598484810212,1.2485052938814247,0.5270664090402364,-2644.767043601602,58.0253433124252,1.4498225455103997,5023.54434394367,2.983667349624267
2025-01-01 00:06:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,44.055457807962384,51.666666666666686,46.10666666666668,0.0,51.55500720331446,0.0,0.0,0.0,44.055457807962384,51.59112377527776,51.60918206125941,51.55500720331446,12.43753247303448,13.725553235539325,-0.21889120890513247,6.649878719959632,0.43699879490927807,2.8,9.236100170605994,-1136.3622312134958,-2586.4420205583183,4467.479497386903,-1439.430437239156,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10109498038353361,0.0,0.0,0.946148994556515,131.99922844444444,-85.4223661408187,0.28896193658193475,6.241281523319397,0.0027522412331071515,-23.172668361538925,1.248746466723135,0.5270640163536785,-2644.4055958232107,57.963575264892185,1.4498225455103997,4464.742783854133,2.736713532769744
2025-01-01 00:07:00,0.3152075509107402,0.1440943455589042,0.0,0.00525345918184567,0.0024015724259817367,0.0,0.07151883835236784,0.0,0.23368871255837234,0.0,0.010000000000000002,0.0,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,Off,0.0,14.444444444444457,0.0,0.0,0.0,0.0,0,0.0,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,44.11408559743704,51.666666666666686,46.10666666666668,0.0,51.5510296805552,0.0,0.0,0.0,44.11408559743704,51.5874140866311,51.60560628966906,51.5510296805552,12.43753247303448,13.671444987327485,-0.27299945711697227,6.649335613585331,0.6967836397595077,2.8,9.236100170605994,-1123.7510601149168,-2586.1202558538366,3976.4772088573222,-1428.8511460110917,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10085143056755709,0.0,0.0,0.9438696092434522,131.99922844444444,-83.39048627030363,0.28997278442470104,6.213601577898997,0.0027521625983326276,-22.840287575847896,1.2489820993298129,0.5270614620103607,-2644.0197328494214,57.89947699558488,1.4498225455103997,3973.8955896584803,2.5816191988418176
2025-01-01 00:08:00,1.4173138009107402,0.1440943455589042,0.9446625,0.02362189668184567,0.0024015724259817367,0.015744374999999998,0.07151883835236784,0.0,0.23368871255837234,1.10210625,0.010000000000000002,0.9446625,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,On,19608.195985529434,14.444444444444457,0.8000000000000002,3642.173344470568,27.685328849999998,1.10210625,1,22148.26308,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,44.17126043156966,51.666666666666686,46.10666666666668,0.0,51.54704689911045,0.0,0.0,0.0,44.17126043156966,51.58369946123301,51.602025742294295,51.54704689911045,12.43753247303448,13.618580558609972,-0.3258638858344849,6.648764004639278,0.9250912034138284,2.8,9.236100170605994,18496.65042690783,1056.3940221144253,3545.025570684454,-1418.545157892125,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10061326219745305,0.0,0.0,0.9416405889394351,131.99922844444444,-81.49097289595998,0.2909641617862512,6.187134523730867,0.0027520851060906892,-22.515178491016428,1.2492124016836346,0.5270587736000925,-2643.61362337707,57.834301020927334,1.4498225455103997,3542.5227468816975,2.5028238027563985
2025-01-01 00:09:00,1.4173138009107402,0.1440943455589042,0.9446625,0.02362189668184567,0.0024015724259817367,0.015744374999999998,0.07151883835236784,0.0,0.23368871255837234,1.10210625,0.010000000000000002,0.9446625,0.0,0.0,0.14117767889223753,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.09906478657864412,0.07429858993398307,On,0,0,Off,0.024126206140350874,0.0,On,0.002316662071522806,0.0,On,0.045075970140494165,0,On,0.0029776484827866464,0,On,0.08917211861100598,0.06687908895825447,On,0.04247415888593561,0,On,On,19608.195985529434,14.444444444444457,0.8000000000000002,3642.173344470568,27.685328849999998,1.10210625,1,22148.26308,22148.26308,Off,0.0,22.77777777777783,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1609.8396133333333,Off,0.0,0.0,43.81289588381743,51.666666666666686,46.10666666666668,0.0,51.543058990396936,0.0,0.0,0.0,43.81289588381743,51.579980021429535,51.59844053694584,51.543058990396936,12.43753247303448,13.922853944607002,-0.021590499837454757,6.779587144391382,1.1258441695501242,2.8,9.236100170605994,18418.771344872475,960.3892568303986,3165.699728845001,-1478.2702843657,-0.0,-0.0,388.4905721664786,0.0,2.0,0.10198116303999236,0.0,0.0,0.95444278744535,131.99922844444444,-99.64492845773619,0.2852557707060332,6.339951760348313,0.002752008730957753,-24.214961655070525,1.2478883977952888,0.52767370819457,-2736.6617792390216,54.877691598852564,1.4498225455103997,3163.212590389446,2.487138455554496
