Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.6169684034355749,0.2947950048760585,0.0,0.010282806723926249,0.004913250081267641,0.0,0.043974646384826954,0.5229937570507479,0.0,0.05,0.0,0.0,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,78.79649153409595,51.666666666666686,46.10666666666668,0.0,50.25466224625266,0.0,0.0,0.0,123.11951802202492,48.145353866532226,50.25466224625266,47.09069967667201,12.43753247303448,18.842043214486694,-0.10240122995776346,2.8,9.236100170605994,-1112.4155892459162,-1611.9818920508503,-0.0,-0.0,609.3921874742754,0.0,1.0,0.0771050503460761,0.0,0,1.3908315777319804,65.99961422222222,-109.8258846693412,0.20564744889192,8.661849664216444,0.0027220994101737114,-31.55646573075275,1.2233139135310291
2025-01-01 00:01:00,0.6169684034355749,0.2947950048760585,0.0,0.010282806723926249,0.004913250081267641,0.0,0.043974646384826954,0.5229937570507479,0.0,0.05,0.0,0.0,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,79.10985808548654,51.666666666666686,46.10666666666668,0.0,50.23597641231245,0.0,0.0,0.0,123.6091532585727,48.128984483812076,50.23597641231245,47.075488519561894,12.43753247303448,18.708813483357137,-0.2356309610873204,2.8,9.236100170605994,-1094.110848527989,-1592.992467528716,-0.0,-0.0,609.3921874742754,0.0,1.0,0.07683485573326101,0.0,0,1.3859577698821757,65.99961422222222,-110.51056847354835,0.2079576599147978,8.62297793896103,0.0027218887293094358,-31.19012063556147,1.2274475860166452
2025-01-01 00:02:00,0.9631184034355749,0.2947950048760585,0.34214054054054055,0.016051973390592913,0.004913250081267641,0.005702342342342343,0.043974646384826954,0.5229937570507479,0.34615,0.05,0.0,0.34214054054054055,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,On,9621.264524444445,19.444444444444457,0.9250000000000002,0.0,10.027150837237237,0.34615,1,9275.114524444445,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,79.41301940523309,51.666666666666686,46.10666666666668,0.0,50.217222998250335,0.0,0.0,0.0,124.0828428206767,48.11255000153088,50.217222998250335,47.060213503171155,12.43753247303448,18.57932202139585,-0.3651224230486072,2.8,9.236100170605994,8544.6649054,-1574.6204191868853,-0.0,-0.0,609.3921874742754,0.0,1.0,0.07657198185492019,0.0,0,1.3812160144547905,65.99961422222222,-111.37138733183293,0.20963427623593486,8.562247485688163,0.002721681195552578,-30.8334253148344,1.2279925735920363
2025-01-01 00:03:00,0.9631184034355749,0.2947950048760585,0.34214054054054055,0.016051973390592913,0.004913250081267641,0.005702342342342343,0.043974646384826954,0.5229937570507479,0.34615,0.05,0.0,0.34214054054054055,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,On,9621.264524444445,19.444444444444457,0.9250000000000002,0.0,10.027150837237237,0.34615,1,9275.114524444445,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,78.80305885119184,51.666666666666686,46.10666666666668,0.0,50.19840425390892,0.0,0.0,0.0,123.12977945498724,48.096052539749294,50.19840425390892,47.04487668266949,12.43753247303448,18.79008390740231,-0.15436053704214814,2.8,9.236100170605994,8503.109263300525,-1604.5655724294318,-0.0,-0.0,609.3921874742754,0.0,1.0,0.07699970744824416,0.0,0,1.3889313879501586,65.99961422222222,-122.98187618876389,0.2068720250762331,8.660000915403046,0.002721476126236624,-31.28112933173064,1.227106194144917
2025-01-01 00:04:00,0.9631184034355749,0.2947950048760585,0.34214054054054055,0.016051973390592913,0.004913250081267641,0.005702342342342343,0.043974646384826954,0.5229937570507479,0.34615,0.05,0.0,0.34214054054054055,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,On,9621.264524444445,19.444444444444457,0.9250000000000002,0.0,10.027150837237237,0.34615,1,9275.114524444445,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,78.21277885234667,51.666666666666686,46.10666666666668,0.0,50.179721347797184,0.0,0.0,0.0,122.20746695679168,48.07968179271806,50.179721347797184,47.02966201517851,12.43753247303448,18.99363793000182,0.0,2.8,9.236100170605994,8465.304435189653,-1633.6960133233044,-0.0,-0.0,609.3921874742754,0.0,1.0,0.07741215768364001,0.0,0,1.396371222423475,65.99961422222222,-131.65626340576296,0.2042422132198423,8.754841966629545,0.0027212679290171734,-31.709744258752963,1.2262513496350576
2025-01-01 00:05:00,0.9631184034355749,0.2947950048760585,0.34214054054054055,0.016051973390592913,0.004913250081267641,0.005702342342342343,0.043974646384826954,0.5229937570507479,0.34615,0.05,0.0,0.34214054054054055,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,On,9621.264524444445,19.444444444444457,0.9250000000000002,0.0,10.027150837237237,0.34615,1,9275.114524444445,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,77.64088554773261,51.666666666666686,46.10666666666668,0.0,50.16116993841618,0.0,0.0,0.0,121.3138836683322,48.0634336719488,50.16116993841618,47.01456553871512,12.43753247303448,19.190462209200113,0.0,2.8,9.236100170605994,8430.280930310211,-1662.058461666745,-0.0,-0.0,609.3921874742754,0.0,1.0,0.07781036328584366,0.0,0,1.403554110230289,65.99961422222222,-138.31731994176374,0.20173425647186013,8.84638760742313,0.002721056731946313,-32.120517585077195,1.2254259066891267
2025-01-01 00:06:00,0.9631184034355749,0.2947950048760585,0.34214054054054055,0.016051973390592913,0.004913250081267641,0.005702342342342343,0.043974646384826954,0.5229937570507479,0.34615,0.05,0.0,0.34214054054054055,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,On,9621.264524444445,19.444444444444457,0.9250000000000002,0.0,10.027150837237237,0.34615,1,9275.114524444445,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,77.08629818278237,51.666666666666686,46.10666666666668,0.0,50.142745969472536,0.0,0.0,0.0,120.44734091059745,48.04730435774309,50.142745969472536,46.99958355187836,12.43753247303448,19.380955710515007,0.0,2.8,9.236100170605994,8396.877361283878,-1689.6908033011844,-0.0,-0.0,609.3921874742754,0.0,1.0,0.0781951881766234,0.0,0,1.4104956349111164,65.99961422222222,-144.0885473336583,0.19933914036908457,8.934184280781803,0.0027208426548887537,-32.51449976670985,1.2246280787034274
2025-01-01 00:07:00,0.9631184034355749,0.2947950048760585,0.34214054054054055,0.016051973390592913,0.004913250081267641,0.005702342342342343,0.043974646384826954,0.5229937570507479,0.34615,0.05,0.0,0.34214054054054055,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,On,9621.264524444445,19.444444444444457,0.9250000000000002,0.0,10.027150837237237,0.34615,1,9275.114524444445,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,76.54813584756285,51.666666666666686,46.10666666666668,0.0,50.12444562291934,0.0,0.0,0.0,119.60646226181694,48.03129025492117,50.12444562291934,46.984712570922085,12.43753247303448,19.565443143145746,0.0,2.8,9.236100170605994,8364.551495988091,-1716.6222720865135,-0.0,-0.0,609.3921874742754,0.0,1.0,0.0785673407331182,0.0,0,1.417208574270905,65.99961422222222,-149.48294384411452,0.1970492449299508,9.019133159596647,0.0027206258108370285,-32.892557997011735,1.2238564022896266
2025-01-01 00:08:00,0.6169684034355749,0.2947950048760585,0.0,0.010282806723926249,0.004913250081267641,0.0,0.043974646384826954,0.5229937570507479,0.0,0.05,0.0,0.0,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,76.02563652724096,51.666666666666686,46.10666666666668,0.0,50.10626527492033,0.0,0.0,0.0,118.79005707381401,48.01538795130578,50.10626527492033,46.96994928949851,12.43753247303448,19.74420508802617,0.0,2.8,9.236100170605994,-1288.0990630520832,-1742.877423406293,-0.0,-0.0,609.3921874742754,0.0,1.0,0.0789274356734198,0.0,0,1.4237040166797361,65.99961422222222,-154.6138271200655,0.19485788247609703,9.101416735364074,0.0027204063071424043,-33.25544868028322,1.223109608788494
2025-01-01 00:09:00,0.6169684034355749,0.2947950048760585,0.0,0.010282806723926249,0.004913250081267641,0.0,0.043974646384826954,0.5229937570507479,0.0,0.05,0.0,0.0,0.0,0.28021167154272514,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.0031326663011695902,0.0,On,0.040841980083657366,0,On,0.1493781949937809,0,On,0.33679757405031135,0.2525981805377334,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,9275.114524444445,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,6118.445586666667,Off,0.0,0,76.42147032516863,51.666666666666686,46.10666666666668,0.0,50.088201469649476,0.0,0.0,0.0,119.40854738307597,47.99959419302254,50.088201469649476,46.95529055470907,12.43753247303448,19.580817214263295,0.0,2.8,9.236100170605994,-1258.3852633853173,-1718.874131011037,-0.0,-0.0,609.3921874742754,0.0,1.0,0.07859832967094889,0.0,0,1.4177675570236798,65.99961422222222,-148.9033198485557,0.19682924580060465,9.02596326356787,0.002720184246248774,-32.81819518695794,1.223792452142911
