Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.70095526979707,51.666666666666686,46.10666666666668,0.0,50.86639269294944,0.0,0.0,0.0,30.70095526979707,50.00597580125632,50.86639269294944,49.575767355409766,12.43753247303448,23.644049396163457,0.0,2.8,1352.135799521765,-542.6249223873976,-0.0,-54.785719201067856,233.60756203696238,0.0,2.0,0.019975607276076456,0.0,0.002016822239352693,0.40924460588986444,131.99922844444444,48.6573279621568,0.17770520111912205,11.290097302381994,0.003160436143635086,47.292087563924575,1.2032030087727572
2025-01-01 00:01:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.66436766722833,51.666666666666686,46.10666666666668,0.0,50.861637305633984,0.0,0.0,0.0,30.66436766722833,50.00166717939377,50.861637305633984,49.571682116273664,12.43753247303448,23.67117446584092,0.0,2.8,1343.1656993208414,-543.669489856334,-0.0,-56.51505573061986,233.60756203696238,0.0,2.0,0.01998804972540266,0.0,0.0020777802787425837,0.41061047381526433,131.99922844444444,42.46113175972176,0.17795192706044663,11.327831721226723,0.0031607673069819014,47.08103396994828,1.2066072035094852
2025-01-01 00:02:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.628854942374407,51.666666666666686,46.10666666666668,0.0,50.856887456219205,0.0,0.0,0.0,30.628854942374407,49.997363692294705,50.856887456219205,49.56760181033246,12.43753247303448,23.69738082942986,0.0,2.8,1334.31218785604,-544.6794392611724,-0.0,-58.186617081929064,233.60756203696238,0.0,2.0,0.020000068010558397,0.0,0.002136552649245296,0.41192777684244025,131.99922844444444,36.28913105106796,0.1776897214566298,11.339653625443404,0.003161096062283825,46.876679038390776,1.206500442346643
2025-01-01 00:03:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.59436838546269,51.666666666666686,46.10666666666668,0.0,50.852142984854254,0.0,0.0,0.0,30.59436838546269,49.99306518910906,50.852142984854254,49.563526291236464,12.43753247303448,23.722710201671354,0.0,2.8,1325.5740225048771,-545.6563011016068,-0.0,-59.80298328269914,233.60756203696238,0.0,2.0,0.020011681540535082,0.0,0.0021932455544107607,0.41319885242369325,131.99922844444444,30.144193741109447,0.17743724543371467,11.350231635773085,0.0031614234195901565,46.67863945683327,1.2063972648557078
2025-01-01 00:04:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.560861938339823,51.666666666666686,46.10666666666668,0.0,50.84740373893009,0.0,0.0,0.0,30.560861938339823,49.98877152582275,50.84740373893009,49.55945541926908,12.43753247303448,23.74720202502271,0.0,2.8,1319.1078513952323,-546.6015253922685,-0.0,-61.36659684205658,233.60756203696238,0.0,2.0,0.020022908656667556,0.0,0.002247958898865566,0.4144259009308309,131.99922844444444,26.186860481483674,0.17719403492427088,11.361151266792653,0.0031617494217913936,46.486617784058666,1.2062975089186816
2025-01-01 00:05:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.528202048530446,51.666666666666686,46.10666666666668,0.0,50.84266957268531,0.0,0.0,0.0,30.528202048530446,49.98448256488557,50.84266957268531,49.55538906098571,12.43753247303448,23.77097094955184,0.0,2.8,1315.2101577900348,-547.5194742221636,-0.0,-62.8847116935272,233.60756203696238,0.0,2.0,0.02003380214115941,0.0,0.002300959018054558,0.4156148606425766,131.99922844444444,24.725230557652186,0.17695882920470704,11.37169013585087,0.003162074109767261,46.299801079705475,1.2062007070646232
2025-01-01 00:06:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.49624873253152,51.666666666666686,46.10666666666668,0.0,50.837940360210446,0.0,0.0,0.0,30.49624873253152,49.980198187490316,50.837940360210446,49.551327101130255,12.43753247303448,23.794137171405374,0.0,2.8,1312.366220968549,-548.414737868252,-0.0,-64.36495065186965,233.60756203696238,0.0,2.0,0.020044417267460254,0.0,0.0023525223506584594,0.4167719042012002,131.99922844444444,24.256796340597063,0.17673031700985817,11.381910688436593,0.0031623975188656765,46.117343085588146,1.2061063696471928
2025-01-01 00:07:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.464931176233296,51.666666666666686,46.10666666666668,0.0,50.833215996403595,0.0,0.0,0.0,30.464931176233296,49.97591829447526,50.833215996403595,49.54726944351109,12.43753247303448,23.816761455652674,0.0,2.8,1309.4980962861343,-549.2896211637665,-0.0,-65.81115090847219,233.60756203696238,0.0,2.0,0.020054782036015174,0.0,0.00240279123463579,0.41790020133712213,131.99922844444444,23.70975521029938,0.17650782627052555,11.391844574384804,0.003162719678671588,45.93881062565495,1.206014248720154
2025-01-01 00:08:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.434226540748842,51.666666666666686,46.10666666666668,0.0,50.82849638668939,0.0,0.0,0.0,30.434226540748842,49.97164279661685,50.82849638668939,49.54321600158058,12.43753247303448,23.838863342851013,0.0,2.8,1306.9644473658539,-550.14484032208,-0.0,-67.22452027715492,233.60756203696238,0.0,2.0,0.020064905541261908,0.0,0.002451815504855192,0.41900084863227066,131.99922844444444,23.44469481701503,0.17629112630061367,11.40150209601822,0.003163040615824279,45.764055980767424,1.2059242639087848
2025-01-01 00:09:00,1.7725914158965377,0.06790446861207904,0.0,0.029543190264942294,0.0011317411435346507,0.0,0.011833160917469084,0.0,0.0934767038679573,1.6672815511111112,0.0,0.0,0.06790446861207904,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.03766027444122292,0.02824520583091718,On,0.0,0,Off,0.003103307748538012,0.0,On,0.008729853168931071,0,On,0.002937412385185223,0,On,0.05287901704154915,0.03965926278116185,On,0,0,Off,On,1667.2815511111112,23.888888888888914,1.0,0.0,1.6672815511111112,0.0,1,1667.2815511111112,1667.2815511111112,Off,0.0,0.0,30.404098147176267,51.666666666666686,46.10666666666668,0.0,50.82378143988823,0.0,0.0,0.0,30.404098147176267,49.96737160789679,50.82378143988823,49.53916669190107,12.43753247303448,23.86047427220776,0.0,2.8,1304.2188306831135,-550.9815752006813,-0.0,-68.6070308502441,233.60756203696238,0.0,2.0,0.020074802315996468,0.0,0.002499670848892695,0.4200755249462084,131.99922844444444,22.918323585965215,0.17607986218754812,11.411686427026776,0.003163360355965119,45.59285084646767,1.2058362866023409
