Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.74156087929781,0.19637382458165875,0.3176221621621621,1.7415608792978097,0.19637382458165875,0.3176221621621621,0.02116111806276769,1.1000131084444444,0.2490423559155975,0.321344296875,0.05,0.3176221621621621,0.0,0.0,0.18179049124832541,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031860399916240616,0.023895299937180457,0.0,0.0,0.005086641081871345,0.0,0.016074476980896344,0.0,0.006655034251163549,0.0,0.21052692174819335,0.15789519131114496,0.0,0.0,7062.177348764055,20.000000000000057,0.41625000000000006,1869.610846110945,9.308587997837837,0.321344296875,0.45,8610.443898,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,1100.0131084444445,0.2,36.18990489897314,51.66666666666668,46.10666666666668,0.0,51.38387528921964,0.0,0.0,1100.0131084444445,36.18990489897314,50.80409388264024,51.38790676484239,50.510171703727785,12.43753247303448,19.75807235814616,-0.042007248283025864,4.083794347515129,2.8,9.236100170605994,5331.175215573823,1283.6927640672236,-1846.4774929549255,0.0,0.0,387.46581790043615,0.0,2.0,0.08353653124110944,0.0,0.0,0.4957166325362398,131.99922844444444,-271.9904581357418,0.19362260788849098,9.089701217802359,0.0027049888091192215,14.069481783641232,1.2230050889594797,0.1875828030621927,-318.0970291100787,-267.82105293364265
2025-01-01 01:00:00,0.6522714033993189,0.19577644208322925,0.3293859459459459,0.6522714033993189,0.19577644208322925,0.3293859459459459,0.020779619981627338,0.0,0.24824584591769153,0.33324593750000003,0.05,0.3293859459459459,0.0,0.0,0.18119310874989594,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031063889918334597,0.02329791743875094,0.0,0.0,0.0047051430007309936,0.0,0.016074476980896344,0.0,0.006655034251163549,0.0,0.21052692174819335,0.15789519131114496,0.0,0.0,7323.739472792353,20.000000000000057,0.43166666666666675,1938.8556922632022,9.653350516276275,0.33324593750000003,0.4666666666666667,8929.349227555556,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,37.199409580210606,51.66666666666668,46.10666666666668,0.0,51.59564143035059,0.0,0.0,0.0,37.199409580210606,51.6094472115907,51.61635010221076,51.59564143035059,12.43753247303448,19.637567171106596,-0.06756434090192306,5.5010880075032675,2.5,9.236100170605994,5663.033572459325,1086.2357308441444,-1787.8296245445022,0.0,0.0,386.28780982138977,0.0,2.0,0.08000966473665717,0.0,0.0,0.4747877483580616,131.99922844444444,-259.16408560991584,0.19523505234530553,9.036882094520841,0.0027070697400064635,21.272319786127493,1.2235662881083118,0.16246379739267852,-613.4236901260483,-239.19627129300974
2025-01-01 02:00:00,0.6395732527764129,0.19517905958479972,0.3176221621621621,0.6395732527764127,0.19517905958479972,0.3176221621621621,0.020779619981627338,0.0,0.24744933591978546,0.321344296875,0.05,0.3176221621621621,0.0,0.0,0.1805957262514664,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03026737992042858,0.02270053494032143,0.0,0.0,0.0047051430007309936,0.0,0.016074476980896344,0.0,0.006655034251163549,0.0,0.21052692174819335,0.15789519131114496,0.0,0.0,7062.177348764055,20.000000000000057,0.41625000000000006,1869.610846110945,9.308587997837837,0.321344296875,0.45,8610.443898,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,36.8961644876813,51.66666666666668,46.10666666666668,0.0,51.44224606401349,0.0,0.0,0.0,36.8961644876813,51.467649531914155,51.48035126586449,51.44224606401349,12.43753247303448,19.75591508631252,-0.046238481928163884,6.220908404953139,1.6500000000000001,9.236100170605994,5339.18464795558,810.6095145332063,-1855.4017307020479,0.0,0.0,385.49129982348376,0.0,2.0,0.07825497088555138,0.0,0.0,0.4643751670109665,131.99922844444444,-253.0822699299111,0.19408074460194985,9.095768420085431,0.0027108822323778617,38.795740363192245,1.223069205341233,0.1339865609409854,-803.5192409392697,-255.4820906384691
2025-01-01 03:00:00,0.6266207700994132,0.19458167708637022,0.3058583783783783,0.6266207700994133,0.19458167708637022,0.30585837837837837,0.02052528792753377,0.0,0.24665282592187945,0.30944265625,0.05,0.3058583783783783,0.0,0.0,0.1799983437530369,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029470869922522562,0.022103152441891916,0.0,0.0,0.004450810946637427,0.0,0.016074476980896344,0.0,0.006655034251163549,0.0,0.21052692174819335,0.15789519131114496,0.0,0.0,6800.615224735757,20.000000000000057,0.40083333333333343,1800.365999958688,8.963825479399397,0.30944265625,0.43333333333333335,8291.538568444445,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,36.848138192615764,51.66666666666668,46.10666666666668,0.0,51.28967395576209,0.0,0.0,0.0,36.848138192615764,51.32652737670875,51.34495408718208,51.28967395576209,12.43753247303448,19.655594964111625,-0.06310631216646888,5.897596826356306,1.6500000000000001,9.236100170605994,5067.872350497259,714.3306310374536,-1880.699632917639,0.0,0.0,384.44045777148415,0.0,2.0,0.07981183023655877,0.0,0.0,0.4736137727245127,131.99922844444444,-236.48369909234367,0.1956384370968361,9.055066048974016,0.0027157200592251587,8.009634500872796,1.2234846201298193,0.15080028995700093,-823.8208217501182,-262.2145471711162
2025-01-01 04:00:00,0.6765360780521619,0.21175452741788714,0.3293859459459459,0.6765360780521619,0.21175452741788717,0.3293859459459459,0.021364877749558274,0.0,0.2719252628026035,0.33324593750000003,0.05,0.3293859459459459,0.0,0.0,0.1971711940845538,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028674359924616546,0.021505769943462403,0.0,0.0,0.004450810946637427,0.0,0.01691406680292085,0.0,0.009030337356531672,0.0,0.2342205655214553,0.17566542414109143,0.0,0.0,7323.739472792353,20.000000000000057,0.43166666666666675,1938.8556922632022,9.653350516276275,0.33324593750000003,0.4666666666666667,8929.349227555556,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,34.36256774908863,51.66666666666668,46.10666666666668,0.0,50.84254093435188,0.237845228510308,639.5586447828167,0.0,34.36256774908863,49.23219991403036,50.84360682308558,48.425963515135905,12.43753247303448,19.746093406654385,-0.04300006431047336,5.867357566812755,0.55,9.236100170605994,5410.3188412618565,665.5739542158985,-2086.01698000894,0.0,0.0,408.89392941010436,0.0,2.0,0.08253989880462549,0.0,0.0,0.48980248613884797,131.99922844444444,-236.29758093166095,0.19441748634388442,9.092487407734438,0.0027152835596380544,45.723831590735045,1.222532877989938,0.15082176220822646,-1014.0677869181469,-259.21395112915695
2025-01-01 05:00:00,1.9805828537080228,0.21337000312970048,0.3293859459459459,1.9805828537080228,0.21337000312970048,0.3293859459459459,0.03623623376461121,1.2833486265185186,0.27775205592489294,0.33324593750000003,0.05,0.3293859459459459,0.0,0.0,0.19878666979636714,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028674359924616546,0.021505769943462403,0.0,0.0,0.004959475054824562,0.0,0.031276758709786655,0.0,0.012703162863070045,0.0,0.23637453313720638,0.17728089985290474,0.0,0.0,7323.739472792353,20.000000000000057,0.43166666666666675,1938.8556922632022,9.653350516276275,0.33324593750000003,0.4666666666666667,8929.349227555556,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,1283.3486265185188,0.23333333333333334,34.35551673354517,51.66666666666668,46.10666666666668,0.0,50.72048194266816,0.1724035129705725,457.1341991232884,1283.3486265185188,34.35551673354517,49.075401153819456,50.72130718908476,48.252035512978516,12.43753247303448,19.64164559228482,-0.06560150328859707,5.054711196379457,-0.25000000000000006,9.236100170605994,5352.487783630529,712.2429569907722,-2176.0789715583433,0.0,0.0,429.4413008143442,0.0,2.0,0.08304769284424601,0.0,0.0,0.4928158019613128,131.99922844444444,-224.61401841782575,0.19640714831546244,9.053343178562244,0.0027267503624598287,56.37204633528246,1.2223468047429156,0.13680905549768713,-941.7518184370211,-284.86091683540906
2025-01-01 06:00:00,0.7158309142294286,0.21547786309410616,0.3176221621621621,0.7158309142294286,0.21547786309410616,0.3176221621621621,0.060209400409128214,0.0,0.28427721694530034,0.321344296875,0.05,0.3176221621621621,0.0,0.0,0.20089452976077282,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03026737992042858,0.02270053494032143,0.0,0.0,0.0055953051900584794,0.0,0.05461409521906973,0.0,0.01641784393093649,0.0,0.23759199309393525,0.17819399482045137,0.0,0.0,7062.177348764055,20.000000000000057,0.41625000000000006,1869.610846110945,9.308587997837837,0.321344296875,0.45,8610.443898,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,36.329384375286345,51.66666666666668,46.10666666666668,0.0,51.525757794394266,0.12161752381593352,331.5832571105542,0.0,36.329384375286345,50.95011695341798,51.526899239921676,50.66115508740244,12.43753247303448,19.740211341826576,-0.04595853189993733,4.98763711696887,0.3,9.236100170605994,5159.662858572225,696.5849089520341,-2110.764102184564,0.0,0.0,448.8654705142975,0.0,1.8335000000000001,0.08261772745818703,0.0,0.0,0.49026433148345544,121.01029267644444,-240.61585852156458,0.19529770431975368,9.100135602219833,0.0027279915056094292,-6.684782270286108,1.221934541050325,0.14598551427877252,-899.5778897987639,-273.4480473601472
2025-01-01 07:00:00,0.6892814993804119,0.19637382458165875,0.36467729729729725,0.6892814993804119,0.19637382458165875,0.36467729729729725,0.021288284089814473,0.0,0.2490423559155975,0.36895085937500005,0.05,0.36467729729729725,0.0,0.0,0.18179049124832541,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031860399916240616,0.023895299937180457,0.0,0.0,0.005213807108918129,0.0,0.016074476980896344,0.0,0.006655034251163549,0.0,0.21052692174819335,0.15789519131114496,0.0,0.0,8108.425844877248,20.000000000000057,0.4779166666666667,2146.590230719974,10.68763807159159,0.36895085937500005,0.5166666666666667,9886.065216222221,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,35.6389724222724,51.66666666666668,46.10666666666668,0.0,51.28248025409186,0.0,0.0,0.0,35.6389724222724,50.230978410434226,51.28248025409186,49.705227488605416,12.43753247303448,19.64437730293609,-0.06258569752802234,4.740576407021488,-0.55,9.236100170605994,5945.865430407499,811.4663545600237,-2252.3458443333175,0.0,0.0,321.59336970526067,4.559127596855898,1.0,0.0845727736609185,0.0,0.0,0.5018658297222748,65.99961422222222,-231.80793984169216,0.19632816673809256,9.053986985601421,0.002726141665415714,-2.8804675476660253,1.2223357703921356,0.15076862162609847,-1058.865362400644,-276.25851375930637
2025-01-01 08:00:00,0.6877609491891192,0.2119319169329681,0.3058583783783783,0.6877609491891192,0.2119319169329681,0.30585837837837837,0.04890503478298591,0.0,0.2794132581561333,0.30944265625,0.05,0.3058583783783783,0.0,0.0,0.19734858359963475,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032656909914146624,0.02449268243560996,0.0,0.0,0.003942146838450292,0.0,0.044962887944535616,0.0,0.016281813356620253,0.0,0.23047453488536646,0.1728559011640248,0.0,0.0,6800.615224735757,20.000000000000057,0.40083333333333343,1800.365999958688,8.963825479399397,0.30944265625,0.43333333333333335,8291.538568444445,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,0.0,0.0,34.69697863976958,51.66666666666668,46.10666666666668,0.0,51.03973418961651,0.17937022677423747,481.8151535360482,0.0,34.69697863976958,49.514874052520675,51.03973418961651,48.75244398397276,12.43753247303448,19.742667212770787,-0.04085590587324871,4.296545348807174,-1.4,9.236100170605994,4572.530851119379,320.19274955998793,-2444.5711667373416,0.0,0.0,378.1846897193658,331.6093937970602,1.0,0.08745409159252242,0.0,0.0,0.5189639447756573,65.99961422222222,-161.6978965984017,0.19554574031109925,9.10809355009967,0.0027305972393277286,76.7291234699571,1.2224964248317784,0.15974270612227232,-1204.4263314569978,-275.7469189417022
2025-01-01 09:00:00,1.9469298199206782,0.23293310118654117,0.37644108108108104,1.9469298199206782,0.23293310118654117,0.37644108108108104,0.09072473017658883,1.1000131084444444,0.3253394812996446,0.3808525,0.05,0.37644108108108104,0.0,0.0,0.21834976785320784,0.0,0.01458333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032656909914146624,0.02449268243560996,0.0,0.0,0.0031791506761695907,0.0,0.08754557950041925,0.0,0.034206457495367354,0.0,0.2584761138901306,0.19385708541759789,0.0,0.0,8369.987968905547,20.000000000000057,0.4933333333333334,2215.835076872231,11.032400590030027,0.3808525,0.5333333333333333,10204.970545777778,19134.319773333333,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,13759.688666666667,1100.0131084444445,0.2,33.33136641449127,51.66666666666668,46.10666666666668,0.0,50.663651411172644,0.07814935436015584,208.17848504675575,1100.0131084444445,33.33136641449127,48.20799798425798,50.663651411172644,46.980171270800646,12.43753247303448,19.690104307763075,-0.05597147210468852,4.308290449321082,-0.85,9.236100170605994,6502.966429810634,940.2110830744605,-2330.2629095549764,0.0,0.0,463.97049772614645,956.51341912866,1.0,0.0859008130253365,0.0,0.0,0.5097465878986555,65.99961422222222,-0.7291272660827967,0.1974113111960221,9.105863423735123,0.0027463497261467408,162.1603190153069,1.2233178187388731,0.15544124935988948,-1062.8232589007418,-212.80073489702895
