occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.597,0.0403,0.072,0.072,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0678,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0678,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0678,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0251,0.0572,0.0572,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0555,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0555,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0555,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0185,0.0502,0.0502,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0493,0.0,0.0,0.0,0.374,0,0,0,0
1.0,0.566,0.0161,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.783,0.6,0.0286,0.115,0.115,0.0,0.0,0.867,0.0,0,0,0,0
0.75,0.606,0.0306,0.125,0.125,0.0,0.0,1.0,0.0,0,0,0,0
0.75,0.606,0.0306,0.125,0.125,0.0,0.0,1.0,0.15,0,0,0,0
0.75,0.606,0.0306,0.125,0.125,0.0,0.0,1.0,0.0,0,0,0,0
0.75,0.619,0.0367,0.146,0.146,0.0,0.0,0.267,0.17,0,0,0,0
0.75,0.621,0.0377,0.149,0.149,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.621,0.0377,0.149,0.149,0.0,0.0,0.0,0.0748,0,0,0,0
0.75,0.621,0.0377,0.149,0.149,0.0,0.0,0.0,0.0748,0,0,0,0
0.75,0.736,0.0905,0.339,0.339,0.0,0.0,0.867,0.121,0,0,0,0
0.75,0.754,0.0987,0.369,0.369,0.0,0.0,1.0,0.0,0,0,0,0
0.75,0.754,0.0987,0.369,0.369,0.0,0.0,1.0,0.15,0,0,0,0
0.75,0.754,0.0987,0.369,0.369,0.0,0.0,1.0,0.123,0,0,0,0
0.75,0.754,0.114,0.377,0.377,0.0,0.0,1.0,0.0,0,0,0,0
0.75,0.754,0.116,0.379,0.379,0.0,0.0,1.0,0.0,0,0,0,0
0.75,0.754,0.116,0.379,0.379,0.0,0.0,0.333,0.414,0,0,0,0
0.75,0.754,0.116,0.379,0.379,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.754,0.128,0.37,0.37,0.0,0.0,0.0,0.0748,0,0,0,0
0.75,0.754,0.13,0.369,0.369,0.0,0.0,0.0,0.146,0,0,0,0
0.75,0.754,0.13,0.369,0.369,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.754,0.13,0.369,0.369,0.0,0.0,0.0,0.288,0,0,0,0
0.75,0.754,0.141,0.357,0.357,0.0,0.0,0.0,0.0748,0,0,0,0
0.75,0.754,0.143,0.355,0.355,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.754,0.143,0.355,0.355,0.0,0.0,0.0,0.284,0,0,0,0
0.533,0.698,0.106,0.267,0.267,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.105,0.247,0.247,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.69,0.106,0.246,0.246,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.69,0.106,0.246,0.246,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.69,0.106,0.246,0.246,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.69,0.117,0.245,0.245,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.634,0.0742,0.16,0.16,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.626,0.0673,0.147,0.147,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.626,0.0673,0.147,0.147,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.626,0.0701,0.149,0.149,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.681,0.118,0.235,0.235,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.249,0.0,0.0,0.0,0.15,0,0,0,0
0.5,0.69,0.125,0.249,0.249,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.706,0.137,0.269,0.269,0.0,0.0,0.0,0.15,0,0,0,0
0.5,0.709,0.139,0.272,0.272,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.709,0.139,0.272,0.272,0.0,0.0,0.0,0.302,0,0,0,0
0.5,0.709,0.139,0.272,0.272,0.0,0.0,0.0,0.151,0,0,0,0
0.717,0.811,0.235,0.448,0.448,0.0,0.0,0.0,0.221,0,0,0,0
0.967,0.827,0.249,0.475,0.475,0.0,0.0,0.0,0.156,0,0,0,0
0.783,0.75,0.182,0.352,0.352,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.738,0.172,0.333,0.333,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.853,0.288,0.586,0.586,0.0,0.0,0.0,0.505,0,0,0,0
0.75,0.87,0.306,0.625,0.625,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.87,0.306,0.625,0.625,0.0,0.0,0.0,0.0,0,0,0,0
0.533,0.781,0.222,0.459,0.459,0.0,0.0,0.0,0.473,0,0,0,0
0.283,0.682,0.155,0.304,0.304,0.0,0.0,0.0,0.0748,0,0,0,0
0.25,0.669,0.147,0.284,0.284,0.0,0.0,0.0,0.0748,0,0,0,0
0.25,0.669,0.147,0.284,0.284,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.669,0.147,0.284,0.284,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.665,0.194,0.282,0.282,0.0,0.0,0.0,0.0748,0,0,0,0
0.467,0.754,0.362,0.482,0.482,0.0,0.0,0.0,0.0,0,0,0,0
0.717,0.857,0.548,0.714,0.714,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.745,0.0,0.0,0.867,0.335,0,0,0,0
0.967,0.926,0.887,0.791,0.791,0.268,0.867,0.133,0.155,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.156,1.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.634,0.0667,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.0,0.0,0.0,0.193,0,0,0,0
1.0,0.867,0.893,0.628,0.628,0.201,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.602,0.642,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.602,0.524,0.0,0.0,0.163,0,0,0,0
1.0,0.857,0.887,0.602,0.602,0.605,0.0,0.0,0.0,0,0,0,0
1.0,0.742,0.47,0.431,0.431,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.677,0.293,0.302,0.302,0.0,0.0,0.0,0.0891,0,0,0,0
1.0,0.67,0.276,0.286,0.286,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.67,0.276,0.286,0.286,0.0,0.0,0.0,0.0,0,0,0,0
0.783,0.61,0.0974,0.124,0.124,0.0,0.0,0.0,0.0,0,0,0,0
0.967,0.636,0.117,0.142,0.142,0.0,0.0,0.0,0.237,0,0,0,0
1.0,0.607,0.0771,0.106,0.106,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.601,0.0699,0.0991,0.0991,0.0,0.0,0.0,0.0734,0,0,0,0
1.0,0.567,0.0231,0.056,0.056,0.0,0.0,0.0,0.122,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.6,0.0286,0.115,0.115,0.0,0.0,0.0,0.0559,0,0,0,0
0.783,0.568,0.0178,0.0595,0.0595,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.251,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.613,0.0348,0.136,0.136,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.621,0.0377,0.149,0.149,0.0,0.0,0.0,0.0891,0,0,0,0
0.967,0.672,0.0566,0.235,0.235,0.0,0.0,0.0,0.15,0,0,0,0
1.0,0.68,0.0595,0.248,0.248,0.0,0.0,0.0,0.0,0,0,0,0
0.783,0.688,0.0695,0.26,0.26,0.0,0.0,0.0,0.315,0,0,0,0
0.75,0.69,0.0711,0.262,0.262,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.69,0.0711,0.262,0.262,0.0,0.0,0.0,0.374,0,0,0,0
0.533,0.634,0.0472,0.17,0.17,0.0,0.0,0.0,0.149,0,0,0,0
0.5,0.681,0.0774,0.254,0.254,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.0827,0.269,0.269,0.0,0.0,0.0,0.0,0,0,0,0
0.283,0.634,0.0537,0.174,0.174,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0493,0.159,0.159,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0532,0.156,0.156,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0538,0.156,0.156,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0538,0.156,0.156,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0538,0.156,0.156,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0577,0.152,0.152,0.0,0.0,0.0,0.0,0,0,0,0
0.467,0.681,0.0951,0.24,0.24,0.0,0.0,0.0,0.0,0,0,0,0
0.283,0.634,0.0639,0.165,0.165,0.0,0.0,0.0,0.0,0,0,0,0
0.25,0.626,0.0583,0.151,0.151,0.0,0.0,0.0,0.0748,0,0,0,0
0.25,0.626,0.0605,0.148,0.148,0.0,0.0,0.0,0.374,0,0,0,0
0.467,0.681,0.0999,0.233,0.233,0.0,0.0,0.0,0.15,0,0,0,0
0.5,0.69,0.106,0.246,0.246,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.69,0.106,0.246,0.246,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.69,0.117,0.245,0.245,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.634,0.0742,0.16,0.16,0.0,0.0,0.0,0.299,0,0,0,0
0.5,0.626,0.0673,0.147,0.147,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.626,0.0673,0.147,0.147,0.0,0.0,0.0,0.0748,0,0,0,0
0.5,0.681,0.117,0.235,0.235,0.0,0.0,0.867,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.249,0.0,0.0,0.133,0.15,0,0,0,0
0.5,0.69,0.125,0.249,0.249,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.249,0.0,0.0,0.0,0.0748,0,0,0,0
