Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),TV Electric Power (kW),TV Reactive Power (kVAR),MELs Electric Power (kW),MELs Reactive Power (kVAR),HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.44148948867433374,0.22500393233777785,0.0,0.44148948867433374,0.22500393233777785,0.0,0.09219949438831392,0.0,0.2992899942860199,0.0,0.05,0.0,0.0,0.21042059900444451,0.0,0.01458333333333334,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.0,0.0,0.024126206140350874,0.0,0.0033275806303053935,0.0,0.06474570761765765,0.0,0.018729195613427067,0.0,0.2409184045239371,0.18068880339295273,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,42.43964662389678,51.66666666666668,46.10666666666668,0.0,51.41547548417646,0.0,0.0,0.0,42.43964662389678,50.92004554234821,51.41547548417646,50.672330571434095,12.43753247303448,14.462806923587781,-0.003259049802196253,5.338276111492203,1.739877031496129,2.8,9.236100170605994,42.9450003330885,-1647.4022056028275,771.6259672161816,-595.0871264225456,0.0,0.0,638.623657246547,0.0,4.0,0.039146093254523374,0.0,0.0,0.36636870231408286,263.9984568888889,-0.5915304909130337,0.3117487034556836,7.054526685331305,0.003116257312893232,115.30989604236943,1.2452123185194697,0.5208585691413549,-1723.0191488377775,75.61694323494982,0.5436834545663999,751.1384828267514,20.48748438943018
2025-01-01 01:00:00,0.41922685722593495,0.2241848769429233,0.0,0.41922685722593495,0.2241848769429233,0.0,0.07761083865030143,0.0,0.2916160185756336,0.0,0.05,0.0,0.0,0.20960154360958996,0.0,0.01458333333333334,1.0,0.0,0.0,0.03865133429493931,0.028988500721204475,0.0,0.0,0.022316740679824556,0.0,0.002702904092227003,0.0,0.05259119387824987,0.0,0.012147293762846864,0.0,0.24081739051784737,0.18061304288838548,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,42.90007145808481,51.66666666666668,46.10666666666668,0.0,51.17933805177479,0.0,0.0,0.0,42.90007145808481,50.70437900398542,51.17933805177479,50.466899480090746,12.43753247303448,13.850665528014535,0.0,5.550575262201101,2.831319919407249,2.5,9.236100170605994,65.40606771979611,-1470.4710563314595,-218.65069923322915,-541.1911617155548,0.0,0.0,616.3680967785746,0.0,4.0,0.036573679351484686,0.0,0.0,0.34229345328876437,263.9984568888889,-9.770867343223639,0.3268263858129815,6.782010131979634,0.0031400206314802477,120.46787812720437,1.247910502890316,0.4037037933089461,-1543.647761531295,73.17670519983542,0.5436834545663999,-235.32351901794522,16.672819784716072
2025-01-01 02:00:00,1.3186391445993535,0.21859290976033036,0.0,1.3186391445993537,0.21859290976033036,0.0,0.07128303843553073,0.9166775903703706,0.2806785157934524,0.0,0.05,0.0,0.0,0.20400957642699702,0.0,0.01458333333333334,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.0,0.0,0.022316740679824556,0.0,0.002393586502772325,0.0,0.046572711252933836,0.0,0.008665747224122972,0.0,0.2343524941281065,0.17576437059607983,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,916.6775903703705,0.16666666666666666,43.2250509375323,51.66666666666668,46.10666666666668,0.0,51.210062157730356,0.22814883802647942,609.4676504888282,916.6775903703705,43.2250509375323,50.48026721838999,51.21139019905278,50.11404170739739,12.43753247303448,13.36895428771618,0.0,5.857467715553182,2.4951789086667633,1.6500000000000001,9.236100170605994,45.89896778479132,-1422.8984614013348,-585.5159390506556,-537.032856687036,0.0,0.0,599.5553365289046,0.0,4.0,0.0349941572226286,0.0,0.0,0.32751068891780094,263.9984568888889,-16.623512057077253,0.33995600028616857,6.573945876805095,0.003165475346898724,128.61634610595866,1.2499893122711219,0.27211401654776973,-1487.2792352979502,64.38077389661548,0.5436834545663999,-601.7638706820841,16.24793163142864
2025-01-01 03:00:00,0.3916842206889599,0.21239485854119922,0.0,0.3916842206889599,0.21239485854119922,0.0,0.06985426640221265,0.0,0.2718299542867472,0.0,0.05,0.0,0.0,0.19781152520786588,0.0,0.01458333333333334,1.0,0.0,0.0,0.03666921458750652,0.027501910940629884,0.0,0.0,0.021110430372807017,0.0,0.002382712056268059,0.0,0.04636112397313757,0.0,0.008081254009592684,0.0,0.22707948568964806,0.17030961426723598,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,45.24892352524828,51.66666666666668,46.10666666666668,0.0,51.80164008297256,0.0,0.0,0.0,45.24892352524828,51.815461039522646,51.82237151779769,51.80164008297256,12.43753247303448,12.924967257576549,0.0,5.673109585276368,2.168145665047981,1.6500000000000001,9.236100170605994,48.69334197940456,-1643.9691853002012,-353.31837842154334,-518.7564449410796,0.0,0.0,589.7871135795734,0.0,4.0,0.03514906914213144,0.0,0.0,0.32896051121685443,263.9984568888889,-22.33732665908923,0.3527793321608004,6.383735231249388,0.0031911335381542157,112.9525322322922,1.251909838861368,0.3384949790557578,-1712.64009191756,68.67090661735877,0.5436834545663999,-369.7396801043603,16.421301682816896
2025-01-01 04:00:00,0.3906931608352435,0.21165156365091192,0.0,0.3906931608352435,0.21165156365091192,0.0,0.06985426640221265,0.0,0.2708388944330309,0.0,0.05,0.0,0.0,0.19706823031757859,0.0,0.01458333333333334,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.021110430372807017,0.0,0.002382712056268059,0.0,0.04636112397313757,0.0,0.008081254009592684,0.0,0.22707948568964806,0.17030961426723598,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,45.42491788849962,51.66666666666668,46.10666666666668,0.0,51.555932947616974,0.0,0.0,0.0,45.42491788849962,51.58643198056244,51.60168149703517,51.555932947616974,12.43753247303448,12.544061934990824,0.0,5.448922006089129,2.0771614204790434,0.55,9.236100170605994,-11.123977785657644,-1594.283217870407,-1077.816723683615,-574.1440266213034,0.0,0.0,588.7960537258571,0.0,4.0,0.036237399807781435,0.0,0.0,0.33914620946955915,263.9984568888889,-25.776004890211258,0.36397787495000444,6.21588696384228,0.003212829115362863,125.4469297514358,1.2529741423019003,0.30047326686824233,-1669.789267559425,75.50604968901794,0.5436834545663999,-1094.2309843482376,16.414260664622752
2025-01-01 05:00:00,0.3931057814492786,0.21165156365091192,0.0,0.3931057814492786,0.21165156365091192,0.0,0.07226688701624773,0.0,0.2708388944330309,0.0,0.05,0.0,0.0,0.19706823031757859,0.0,0.01458333333333334,1.0,0.0,0.0,0.03567815473379013,0.02675861605034259,0.0,0.0,0.023523050986842105,0.0,0.002382712056268059,0.0,0.04636112397313757,0.0,0.008081254009592684,0.0,0.22707948568964806,0.17030961426723598,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,45.648712817630226,51.66666666666668,46.10666666666668,0.0,51.30923585255753,0.0,0.0,0.0,45.648712817630226,51.356335022222765,51.37988460705539,51.30923585255753,12.43753247303448,12.121008547864182,0.0,5.394832460277466,0.7932757419833215,-0.25000000000000006,9.236100170605994,-26.57766996707881,-1756.2095782635392,-736.5753049573048,-591.0286656577752,0.0,0.0,591.2086743398921,0.0,4.0,0.03620793152694483,0.0,0.0,0.3388704155163966,263.9984568888889,-26.757678649195864,0.3773709414963268,6.034314826214412,0.003241456161483776,128.0866536863108,1.2541810512284348,0.2601776002967331,-1831.8232422778171,75.6136640142781,0.5436834545663999,-756.3329572515776,19.757652294272802
2025-01-01 06:00:00,1.1369935614103328,0.2260174392079234,0.0,1.1369935614103328,0.2260174392079234,0.0,0.14765687774023162,0.0,0.939336683670101,0.0,0.05,0.0,0.0,0.21143410587459005,0.0,0.01458333333333334,1.0,0.0,0.0,0.03766027444122292,0.02824520583091718,0.642126067932362,0.0,0.02653882675438596,0.0,0.005920531985655928,0.0,0.11519751900018971,0.0,0.01529847457161885,0.0,0.2442518667248972,0.18318890004367286,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,45.014561085235904,51.66666666666668,46.10666666666668,0.0,50.994159409253584,0.09105246428957135,244.43889725487762,0.0,45.014561085235904,50.673485331014355,51.04036533312498,50.466942368023346,12.43753247303448,11.986779885607815,0.0,5.004210825476084,1.3141515829367154,0.3,9.236100170605994,507.5713776583583,-1872.198332257986,-705.971099107166,-543.1573657610035,0.0,0.0,1090.2774616545287,0.0,3.033,0.03536342990209638,0.0,0.0,0.33096671584485626,200.176829936,-39.54871823516677,0.3833217272474031,5.994280097872044,0.003263812575850203,105.9606098004592,1.2547543990077157,0.31820801368486873,-1960.2733364090898,88.07500415110385,0.5436834545663999,-724.6300031175241,18.65890401035828
2025-01-01 07:00:00,1.699577093205035,0.23235270128080363,0.0,1.6995770932050347,0.23235270128080363,0.0,0.17130692095632183,1.0083453494074075,0.46992482284130543,0.0,0.05,0.0,0.0,0.2177693679474703,0.0,0.01458333333333334,1.0,0.0,0.0,0.03964239414865571,0.029731795611491772,0.1605315169830905,0.0,0.024729361293859647,0.0,0.00716505197447748,0.0,0.1394125076879847,0.0,0.01903414859492113,0.0,0.2507167631146381,0.1880375723359785,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,1008.3453494074075,0.18333333333333332,43.012144462127154,51.66666666666668,46.10666666666668,0.0,50.49254803171099,0.19606700313996633,520.817810417726,1008.3453494074075,43.012144462127154,48.669031754165616,50.49254803171099,47.757273615392926,12.43753247303448,11.78835589368034,-0.03021091753537813,4.743190765165635,0.8615191420381153,-0.55,9.236100170605994,144.00071875681937,-2165.101719475278,-991.7725016979638,-594.7886238261432,0.0,0.0,776.7315882910038,2.725041691361665,3.0,0.03654474911257625,0.0,0.0,0.342022694875719,197.99884266666666,-37.942245708041426,0.3906874676451782,5.917824677124547,0.0032831780284226218,81.13938046213758,1.2556137816100164,0.3224492318176368,-2261.7508518583895,96.64913238311118,0.5436834545663999,-1011.612817458818,19.840315760854303
2025-01-01 08:00:00,1.5065972040936162,0.27218841652780523,0.0,1.5065972040936162,0.27218841652780523,0.0,0.3761196500149613,0.0,1.0804775540786549,0.0,0.05,0.0,0.0,0.2576050831944719,0.0,0.01458333333333334,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.6878812670503568,0.0,0.01869780975877193,0.0,0.01747161071685403,0.0,0.33995022953933535,0.0,0.049122842769002056,0.0,0.3028399902569239,0.22712999269269282,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0.0,0.0,4983.7574486656795,0.0,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,0.0,0.0,45.175393248975936,51.66666666666668,46.10666666666668,0.0,51.71579392046551,0.23468821854619912,642.0595034561452,0.0,45.175393248975936,50.474284680101924,51.71579392046551,49.85353005992013,12.43753247303448,11.667077673371088,-0.056588248421018505,4.139918509526883,0.15547926005320256,-1.4,9.236100170605994,785.4003863601805,-2415.6646287787535,-1096.268013060056,-658.2114165573291,0.0,0.0,1440.790492668198,203.63651380608994,3.0,0.03809105135138976,0.0,0.0,0.35649455394313706,197.99884266666666,2.8213102493114333,0.39666996380054326,5.887667822573119,0.003305592713480468,153.60838319322121,1.2567211733366739,0.3455559091236581,-2530.84375801506,115.17912923630637,0.5436834545663999,-1117.9510446425643,21.683031582508292
2025-01-01 09:00:00,11.507878711942263,5.9407684001301435,0.0,11.507878711942265,5.9407684001301435,0.0,0.38930893841439335,1.3750163855555557,0.9199060955942854,8.77364729237803,0.05,0.0,0.0,0.25896877227668286,5.667216294520128,0.01458333333333334,1.0,0.0,0.0,0.040633454002372095,0.030475090501779063,0.5159109502877676,0.0,0.015078878837719297,0.0,0.018293235563843012,0.0,0.35593682401283105,0.0,0.058703448937607226,0.0,0.3046582423665385,0.2284936817749038,5676.9049164476855,15.5555555555556,1.4448120981902688,5191.0999599664165,3.0581382571928435,0.40127500000000005,1.0,10466.7298764141,5152.495841228915,5.314234035185185,0.0,22.222222222222285,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,8064.144693333334,1375.0163855555556,0.25,40.93341349337009,51.66666666666668,46.10666666666668,0.0,51.289999224036386,0.2514425939150739,674.6513564234623,1375.0163855555556,40.93341349337009,49.399373491413684,51.290440312795106,48.45361953634361,12.43753247303448,14.316368422694643,-0.6839374555967856,7.237109492980618,0.05403004176325588,-0.85,9.236100170605994,6192.2568926426275,1332.3131057162684,-640.3374128245509,-835.9762409239657,0.0,0.0,1341.4327336291128,584.8897380926044,3.0,0.041715422499858705,0.0,0.0,0.3904150819952112,197.99884266666666,9.895483489795383,0.33779244522309587,7.249900525867099,0.0033396107844072607,173.2316855771446,1.2457519603363891,0.36328739233462914,-3888.3292198964295,29.542365646281507,0.5436834545663999,-661.7813768941131,21.443964069562234
