Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.510901281010256,51.666666666666686,46.10666666666668,0.0,50.047315469844236,0.0,0.0,0.0,35.510901281010256,50.07940498302282,50.09544973961212,50.047315469844236,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1965.3099710668323,19.556990600458857,0.0,2.8,9.236100170605994,17.138737134546943,-394.5563990416687,-0.0,-0.0,427.3867667690231,0.0,1.0,0.01806738975266147,0.0,0,0.3362057745188703,65.99961422222222,-15.691630592807389,0.1927644884106817,8.931440060923023,0.002667613020386111,37.583052600539055,1.2203660604706135
2025-01-01 00:01:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.54978604346439,51.666666666666686,46.10666666666668,0.0,50.04204459870781,0.0,0.0,0.0,35.54978604346439,50.07442132553485,50.09060968894837,50.04204459870781,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1965.3272730741282,19.518577174380535,0.0,2.8,9.236100170605994,18.220565825641074,-393.25425368675855,-0.0,-0.0,427.3867667690231,0.0,1.0,0.018049137885731238,0.0,0,0.33586613591353215,65.99961422222222,-15.911947256623428,0.19380856694382748,8.937161692986223,0.002667872494846864,37.586273503091135,1.22409135979859
2025-01-01 00:02:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.58730022463502,51.666666666666686,46.10666666666668,0.0,50.03676801224413,0.0,0.0,0.0,35.58730022463502,50.06943221089623,50.08576431022229,50.03676801224413,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1965.1170954933593,19.481336292239995,0.0,2.8,9.236100170605994,19.240523467247158,-391.9934780071793,-0.0,-0.0,427.3867667690231,0.0,1.0,0.01803143753132181,0.0,0,0.3355367600908512,65.99961422222222,-16.152765294596627,0.19427666449082281,8.920809870607194,0.0026681312018138354,37.58902039958789,1.224246949062249
2025-01-01 00:03:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.62351236988989,51.666666666666686,46.10666666666668,0.0,50.03148591422255,0.0,0.0,0.0,35.62351236988989,50.06443783145658,50.0809137900736,50.03148591422255,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1964.9144323562884,19.445209232229814,0.0,2.8,9.236100170605994,20.164118798795073,-390.77193762903414,-0.0,-0.0,427.3867667690231,0.0,1.0,0.01801426129065447,0.0,0,0.33521713720254576,65.99961422222222,-16.450710341193854,0.1947325259164255,8.904344480640882,0.0026683898948063308,37.59127589953503,1.2243979170095998
2025-01-01 00:04:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.65848587429306,51.666666666666686,46.10666666666668,0.0,50.02619849822186,0.0,0.0,0.0,35.65848587429306,50.059438369945724,50.07605830580766,50.02619849822186,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1964.7189234754264,19.41014168972051,0.0,2.8,9.236100170605994,21.639701872560863,-389.5876613381018,-0.0,-0.0,427.3867667690231,0.0,1.0,0.01799758381650373,0.0,0,0.3349067955765208,65.99961422222222,-16.159403558360417,0.19517670793828892,8.887739515091695,0.002668648571422805,37.593064077521056,1.2245444875044367
2025-01-01 00:05:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.69225203609541,51.666666666666686,46.10666666666668,0.0,50.020905948395914,0.0,0.0,0.0,35.69225203609541,50.05443400019653,50.071198026096845,50.020905948395914,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1964.5302192846186,19.376106938053756,0.0,2.8,9.236100170605994,23.314273000438334,-388.4396202922107,-0.0,-0.0,427.3867667690231,0.0,1.0,0.017981392838369185,0.0,0,0.3346055068780169,65.99961422222222,-15.632873476374058,0.19560944061413638,8.872406342401627,0.0026689072293807734,37.594396056027236,1.2246867692678947
2025-01-01 00:06:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.72485422539468,51.666666666666686,46.10666666666668,0.0,50.01560844424437,0.0,0.0,0.0,35.72485422539468,50.049424891649416,50.066333115351945,50.01560844424437,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1964.3481499025743,19.343067870559516,0.0,2.8,9.236100170605994,25.49474310720956,-387.326443947771,-0.0,-0.0,427.3867667690231,0.0,1.0,0.017965671117987532,0.0,0,0.3343129503300017,65.99961422222222,-14.565579714042514,0.19603108616293674,8.857611547631775,0.0026691658664519296,37.59528794795532,1.2248249146827654
2025-01-01 00:07:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.756319257249366,51.666666666666686,46.10666666666668,0.0,50.01030615881845,0.0,0.0,0.0,35.756319257249366,50.04441120765817,50.06146373207804,50.01030615881845,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1964.1724775304226,19.31100160344333,0.0,2.8,9.236100170605994,27.308649826802764,-386.2472492391181,-0.0,-0.0,427.3867667690231,0.0,1.0,0.0179504081559212,0.0,0,0.3340289305544164,65.99961422222222,-13.830867703102221,0.19644183929726558,8.842633748617825,0.0026694244804871875,37.59574919315594,1.2249590167855293
2025-01-01 00:08:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.78670810450661,51.666666666666686,46.10666666666668,0.0,50.00499926118166,0.0,0.0,0.0,35.78670810450661,50.03939310781332,50.056590031129154,50.00499926118166,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1963.994601966902,19.279855890692406,0.0,2.8,9.236100170605994,29.102918573313787,-385.20017312844226,-0.0,-0.0,427.3867667690231,0.0,1.0,0.01793557944794357,0.0,0,0.3337529915660521,65.99961422222222,-13.083675067267027,0.1968422593987605,8.828863898706835,0.0026696830693832443,37.59580325066572,1.2250892917858098
2025-01-01 00:09:00,0.3756551407540313,0.18048479322531782,0.0,0.006260919012567188,0.0030080798870886303,0.0,0.04387829252456135,0.0,0.33177684822946996,0.0,0.0,0.0,0.0,0.18048479322531782,0.0,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.036817988006655644,0.027613491004991726,On,0,0,Off,0.004654961622807018,0.0,On,0.03922333090175433,0,On,0.09113045726237945,0,On,0.20382840296043486,0.1528713022203261,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,1660.2478444444446,Off,0.0,0.0,35.81606440894208,51.666666666666686,46.10666666666668,0.0,49.99968791133288,0.0,0.0,0.0,35.81606440894208,50.034370743148344,50.05171215905609,49.99968791133288,12.43753247303448,Off,0.0,25.000000000000057,0,0.0,0.0,0.0,0.0,0,0.0,0,1963.8311080023495,19.249593373732274,0.0,2.8,9.236100170605994,30.655992671617184,-384.1838627636391,-0.0,-0.0,427.3867667690231,0.0,1.0,0.017921167543949592,0.0,0,0.33348480864583396,65.99961422222222,-12.546911333766761,0.19723273060769853,8.81486438922893,0.0026699416311529436,37.595466602083654,1.2252158937719666
