Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Water Heating Heat Pump Max Capacity (W),Water Heating Heat Pump On Fraction (-),Water Heating Heat Pump COP (-),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.9034703675487787,0.4038169708355286,0.0,0.015057839459146313,0.00673028284725881,0.0,0.011428054795333294,0.5086751387280722,0.3833671740253732,0.0,0.0,0.12748600688653286,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1607.404012134054,3.1599814690242622,-680.5027440059475,51.666666666666686,43.496666666666684,1607.4040121340538,1,3.3934734604191106,0.0,51.332185710498344,0.0,0.0,1607.404012134054,55.34441658933383,48.88804188402388,51.754815436147425,20.423156902907255,12.43753247303448,17.886135498062032,0.0,6.270956591647607,2.8,9.236100170605994,-655.7572958066248,-1545.9028995554947,-981.5073290688068,-0.0,-0.0,340.9105977091969,0.0,5.0,0.049922679927020576,0.0,0,0.6971452210543287,329.99807111111113,-15.160564447015076,0.26638290488088645,8.908707908022784,0.0033240033670744067,7.266430641544247,1.2268864392965744,0.3520420070994392,-1592.4335637526706,46.53066419717604
2025-01-01 00:01:00,0.9032298806021521,0.4037566991253554,0.0,0.015053831343369203,0.006729278318755923,0.0,0.011428054795333294,0.5084346517814456,0.3833671740253732,0.0,0.0,0.1274257351763596,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1607.019127181923,3.1607191239843186,-680.0903439819208,51.666666666666686,43.496666666666684,1607.0191271819228,1,3.394384253740219,0.0,51.609136610214634,0.0,0.0,1607.019127181923,55.767213043192214,49.018733020763754,51.60913661021465,20.52429353680405,12.43753247303448,17.802758300562047,0.0,6.302817978630406,2.8,9.236100170605994,-648.8217159750395,-1561.4501734438952,-973.2101566609323,-0.0,-0.0,340.95824905101335,0.0,5.0,0.04977575636741388,0.0,0,0.6950935071321229,329.99807111111113,-16.569808365120522,0.26857080622175594,8.893479631710902,0.003324040814766926,7.725858843218788,1.230822916781699,0.3521427637866958,-1607.5111371910043,46.06096374710886
2025-01-01 00:02:00,0.9040934633922655,0.40397313337414287,0.0,0.015068224389871092,0.006732885556235715,0.0,0.011428054795333294,0.509298234571559,0.3833671740253732,0.0,0.0,0.12764216942514708,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1597.7205776554533,3.13710213230862,-673.1004894212032,51.666666666666686,43.496666666666684,1597.7205776554536,1,3.3685990400084442,0.0,51.59974789211213,0.0,0.0,1597.7205776554533,56.14434268555624,49.14935614671245,52.01953346199571,20.625141769501766,12.43753247303448,17.72192403266968,0.0,6.333029425555275,2.8,9.236100170605994,-639.0226262871679,-1576.1560985068152,-965.1930127270009,-0.0,-0.0,344.3117527154857,0.0,5.0,0.0496331332958207,0.0,0,0.6931018473710959,329.99807111111113,-18.141366275652828,0.26994582503346987,8.85558955819189,0.003324080502792246,9.073322970470514,1.2311649370876827,0.3522382761737712,-1621.8155253851205,45.659426878305446
2025-01-01 00:03:00,0.903705059753913,0.4038757902465869,0.0,0.01506175099589855,0.006731263170776448,0.0,0.011428054795333294,0.5089098309332065,0.3833671740253732,0.0,0.0,0.12754482629759112,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1595.7753800245646,3.135674107726182,-671.764432248459,51.666666666666686,43.496666666666684,1595.7753800245646,1,3.3672552790943797,0.0,51.87492614466989,0.0,0.0,1595.7753800245648,56.55577353578292,49.279164532355466,51.8749261446699,20.72578679689672,12.43753247303448,17.64355396916816,0.0,6.361641409075135,2.8,9.236100170605994,-632.5556661992626,-1590.098372828734,-957.4456626716016,-0.0,-0.0,344.82549473302277,0.0,5.0,0.049494687702362185,0.0,0,0.6911685239999003,329.99807111111113,-19.935498260684,0.2712871367112068,8.819563455819125,0.003324127099842735,9.632392088077964,1.23149670654079,0.3523287080432245,-1635.369429924602,45.27105709586791
2025-01-01 00:04:00,0.904567034710998,0.40409182153443346,0.0,0.015076117245183299,0.006734863692240557,0.0,0.011428054795333294,0.5097718058902915,0.3833671740253732,0.0,0.0,0.12776085758543768,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1586.6717521920973,3.1125137441076265,-664.9122763876941,51.666666666666686,43.496666666666684,1586.6717521920973,1,3.3419670934687717,0.0,51.86541939713622,0.0,0.0,1586.6717521920973,56.92225089533031,49.40877447816024,52.28211092641269,20.826074525332974,12.43753247303448,17.567422746547724,0.0,6.388704102986317,2.8,9.236100170605994,-621.2902783853001,-1603.2911163186907,-949.9436134644054,-0.0,-0.0,348.11414365357496,0.0,5.0,0.04936003600185754,0.0,0,0.6892881804436072,329.99807111111113,-19.460808574469667,0.2725976405267917,8.784115744262003,0.0033241765547274106,10.936163626960251,1.2318191663244753,0.35241422182811616,-1648.19552013055,44.90440381185914
2025-01-01 00:05:00,0.904188779229087,0.4039970217746254,0.0,0.015069812987151451,0.006733283696243756,0.0,0.011428054795333294,0.5093935504083805,0.3833671740253732,0.0,0.0,0.1276660578256296,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1584.861912027371,3.1112720425234834,-663.666719236265,51.666666666666686,43.496666666666684,1584.861912027371,1,3.3408167346774564,0.0,52.13862516399331,0.0,0.0,1584.861912027371,57.323199243024874,49.53758699401056,52.13862516399333,20.92616712420027,12.43753247303448,17.493542855060078,0.0,6.414278087686586,2.8,9.236100170605994,-611.6438353755,-1615.7607307333365,-942.6860405262091,-0.0,-0.0,348.586566598904,0.0,5.0,0.04922921380742558,0.0,0,0.6874613140215841,329.99807111111113,-17.544361448194863,0.27387685550376856,8.749842676742478,0.0033242326887723845,11.45907733140659,1.2321322458836315,0.3524950124650947,-1660.3215051717427,44.5607744384062
2025-01-01 00:06:00,0.9050488816735558,0.40421258376657343,0.0,0.015084148027892597,0.006736876396109557,0.0,0.011428054795333294,0.5102536528528493,0.3833671740253732,0.0,0.0,0.12788161981757765,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1575.9383875343522,3.08853915836411,-656.942114907862,51.666666666666686,43.496666666666684,1575.9383875343522,1,3.315994265534458,0.0,52.1290035207502,0.0,0.0,1575.9383875343522,57.679746642573264,49.66621335047332,52.542691255116814,21.025911542703916,12.43753247303448,17.42176046586376,0.0,6.4384314705753285,2.8,9.236100170605994,-599.0089971337259,-1627.5384496075274,-935.655895522285,-0.0,-0.0,351.8151634882749,0.0,5.0,0.04910196150441087,0.0,0,0.6856842993451975,329.99807111111113,-15.168265099715768,0.27512656015654013,8.716656984098755,0.0033242914919266314,12.722310431934986,1.2324365862166156,0.35257129828762507,-1671.7787716625935,44.24032205506608
2025-01-01 00:07:00,0.9046799988623415,0.40412013301946514,0.0,0.015077999981039024,0.006735335550324419,0.0,0.011428054795333294,0.509884770041635,0.3833671740253732,0.0,0.0,0.12778916907046942,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1574.2523995434376,3.087466996542946,-655.7794881548425,51.666666666666686,43.496666666666684,1574.2523995434376,1,3.3150197665960452,0.0,52.40029374134826,0.0,0.0,1574.2523995434376,58.07086308846306,49.7940582787305,52.400293741348285,21.125468189935113,12.43753247303448,17.352057222977813,0.0,6.46123318690523,2.8,9.236100170605994,-589.5162218701857,-1638.6568258231675,-928.8495711706826,-0.0,-0.0,352.249808197576,0.0,5.0,0.048978258516314564,0.0,0,0.683956849073947,329.99807111111113,-12.916458897079124,0.2763468703610847,8.683986864028697,0.0033243567613388905,13.211665551577397,1.2327322493248116,0.35264329987576276,-1682.5992036560638,43.9423778328961
2025-01-01 00:08:00,0.9055335740416094,0.40433405912455145,0.0,0.015092226234026822,0.006738900985409191,0.0,0.011428054795333294,0.5107383452209029,0.3833671740253732,0.0,0.0,0.1280030951755557,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1565.4511441321888,3.0650746292705024,-649.1467795533704,51.666666666666686,43.496666666666684,1565.4511441321888,1,3.2905717183787067,0.0,52.39056013399029,0.0,0.0,1565.4511441321888,58.418223637437904,49.92172830446413,52.80132714799523,21.22468510995084,12.43753247303448,17.284254786548715,0.0,6.482750391793404,2.8,9.236100170605994,-577.6712706014611,-1649.1479561879705,-922.247974823431,-0.0,-0.0,355.4359022924465,0.0,5.0,0.048857799460913266,0.0,0,0.6822746986980359,329.99807111111113,-10.85919807047648,0.2775400876433076,8.652305926737775,0.003324424525038624,14.441087926194797,1.23301998269227,0.35271123184831066,-1692.8139372965525,43.66598110858219
2025-01-01 00:09:00,0.905177113044774,0.4042447215775839,0.0,0.0150862852174129,0.006737412026293065,0.0,0.011428054795333294,0.5103818842240675,0.3833671740253732,0.0,0.0,0.12791375762858814,0.27633096394899576,0.0,1,0,0,Off,0,0,Off,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.003412116228070175,0.0,On,0.008015938567263119,0,On,0.014925888760045365,0,On,0.3268167714092393,0.24511257855692942,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,5726.902582222222,Heat Pump On,1563.9167235782547,3.064208922610711,-648.0827650098197,51.666666666666686,43.496666666666684,1563.9167235782547,1,3.2898113610932533,0.0,52.65998334037516,0.0,0.0,1563.9167235782547,58.800305285258446,50.04862797123548,52.659983340375184,21.323718910698872,12.43753247303448,17.218333046728528,-0.05944473104930026,6.503048007985657,2.8,9.236100170605994,-568.9994052109387,-1659.0430870043783,-915.8475962864028,-0.0,-0.0,355.8246289462891,0.0,5.0,0.048740558914678295,0.0,0,0.6806374931906194,329.99807111111113,-8.976437870825066,0.2787064334708527,8.621611098599256,0.0033244985772604096,14.896755052854758,1.233299857707319,0.3527753014669747,-1702.4531371029834,43.410050098605
